,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
1,농민백암순대,서울특별시 강남구 선릉로86길 40-4,탕 / 찌개 / 전골,만원 미만,133,4.4
2,신동궁감자탕뼈숯불구이,서울특별시 강남구 선릉로86길 39,탕 / 찌개 / 전골,만원 미만,61,4.3
3,류경회관,서울특별시 강남구 논현로71길 18,국수 / 면 요리,만원 미만,58,4.2
4,백운봉막국수,서울특별시 강남구 언주로93길 30 역삼빌딩,국수 / 면 요리,만원 미만,36,4.0
5,가연,서울특별시 강남구 테헤란로51길 15 남경선능빌딩 1F,국수 / 면 요리,만원 미만,6,4.0
6,영동떡볶이,서울특별시 강남구 도곡로51길 31,기타 한식,만원 미만,16,4.0
7,우리집만두,서울특별시 강남구 선릉로 424 해창상가 1F,한정식 / 백반 / 정통 한식,만원 미만,17,4.0
8,제주은희네해장국,서울특별시 강남구 삼성로91길 28 CS빌딩,탕 / 찌개 / 전골,만원 미만,19,4.0
9,아우라지왕순대,서울특별시 강남구 테헤란로57길 16,탕 / 찌개 / 전골,만원 미만,5,4.0
10,담뿍화로된장찌개,서울특별시 강남구 논현로85길 5-9,한정식 / 백반 / 정통 한식,만원 미만,16,4.0
11,언주집,서울특별시 강남구 강남대로62길 12,고기 요리,만원 미만,5,4.0
12,덕이닭찜,서울특별시 강남구 테헤란로4길 46 쌍용플래티넘밸류,닭 / 오리 요리,만원 미만,8,4.0
13,을밀대,서울특별시 강남구 테헤란로4길 46,국수 / 면 요리,만원 미만,114,3.9
14,봉된장,서울특별시 강남구 테헤란로10길 25 102호,탕 / 찌개 / 전골,만원 미만,70,3.9
15,고운님,서울특별시 강남구 삼성로81길 22 대치동우편취급소,한정식 / 백반 / 정통 한식,만원 미만,8,3.9
16,이화수,서울특별시 강남구 논현로85길 22,탕 / 찌개 / 전골,만원 미만,37,3.9
17,호남마을,서울특별시 강남구 역삼로7길 2,고기 요리,만원 미만,12,3.8
18,도마다리뼈다귀감자탕,서울특별시 강남구 봉은사로72길 7,탕 / 찌개 / 전골,만원 미만,9,3.7
19,동봉관,서울특별시 강남구 도곡로37길 38,탕 / 찌개 / 전골,만원 미만,30,3.6
20,현대북어,서울특별시 강남구 역삼로17길 64 제스빌딩 B1,한정식 / 백반 / 정통 한식,만원 미만,13,3.6
21,민들레떡볶이,서울특별시 강남구 논현로94길 11 2F,기타 한식,만원 미만,13,3.6
22,윤화돈까스,서울특별시 강남구 도곡로 160,기타 한식,만원 미만,12,3.6
23,콩뿌리전주콩나물국밥,서울특별시 강남구 논현로85길 13,탕 / 찌개 / 전골,만원 미만,19,3.6
24,풍국면,서울특별시 강남구 테헤란로8길 21 화인강남빌딩 1F,국수 / 면 요리,만원 미만,13,3.5
25,명가순두부,서울특별시 강남구 테헤란로22길 16 1F,탕 / 찌개 / 전골,만원 미만,13,3.5
26,역삼어가생선구이,서울특별시 강남구 논현로71길 28 1F,한정식 / 백반 / 정통 한식,만원 미만,15,3.5
27,두레국수,서울특별시 강남구 언주로98길 25,국수 / 면 요리,만원 미만,14,3.3
28,이태리부대찌개,서울특별시 강남구 논현로87길 23 2F,탕 / 찌개 / 전골,만원 미만,16,3.1
29,홍익궁중전통육개장,서울특별시 강남구 강남대로 310 유니온센터오피스텔 B1,탕 / 찌개 / 전골,만원 미만,10,2.7
30,청춘닭볶이,서울특별시 강남구 선릉로76길 23,기타 한식,만원 미만,11,
31,종로김밥,서울특별시 강남구 테헤란로20길 19,기타 한식,만원 미만,18,
32,옛골,서울특별시 강남구 봉은사로24길 12,탕 / 찌개 / 전골,만원 미만,4,
33,남호식당,서울특별시 강남구 논현로85길 23,탕 / 찌개 / 전골,만원 미만,11,
34,부산아지매국밥,서울특별시 강남구 논현로85길 5-3 청도빌딩 1F,탕 / 찌개 / 전골,만원 미만,15,
35,마포만두,서울특별시 강남구 논현로 429 1F,기타 한식,만원 미만,12,
36,토속청국장,서울특별시 강남구 논현로85길 5-10,탕 / 찌개 / 전골,만원 미만,7,
37,호또,서울특별시 강남구 언주로93길 32-3 1F,닭 / 오리 요리,만원 미만,9,
