,가게이름,리뷰아이디,리뷰,맛평가
1,농민백암순대,LionGo,농민백암순대는 웨이팅이 길어서갔다가 포기하는 경우가 많음 ㅠㅠ원래 순댓국은 청담동 신의주를 자주 가는데(무생채때문엨ㅋ)국물맛은 여기가 훨 좋음.들깨 가루가 곱게 갈아져서 나와서 더욱 좋음.깍두기가 조금 아쉽다,맛있다
2,농민백암순대,ㅇㅇ,줄을 오래 선다.맛집이 줄 서는 건 당연한 현상인데이 식당은 문제가 있다.식당이 좁은 골목은 중간에 두고 두곳에서 운영한다.명단에 이름을 쓰고 기다리는데 우리 보다 늦게 온 사람들이 계속 먼저 입장하더라.알고 봤더니 그 사람들은 양쪽 명단 두곳에 이름을 써놨고 난 정직하게 한 곳에 썼더니 내가 이름을 쓴 곳이 늦게 입장을 했다.화장실도 한 줄 서기인 시대에...직원 한테 불합리 하다고 한곳에만 이름을 쓰고 오는 순서대로 입장하는게 좋겠다고 얘기 했더니 손님말은 제대로 듣지 않고 계속 자기 말만 늘어 놓더라.맛집이라 그런지 절대 손님의 말에 조금도 수긍 하지 않았다.맛은 있었으나 줄서서 먹을정도는 아니었다.,별로
3,농민백암순대,에바노트,"농민백암의 근본은 단적으로 들깨가루에서 드러나는 것 같네요. 직접 소분한 엄청 곱고 향이 강한 들깨가루, 거기에 제대로 담은 새우젓만 봐도 재료 하나 반찬하나에 엄청난 신경을 쓰고 있단 것을 단번에 알 수 있습니다. 자신감 때문인지 일요일, 공휴일은 세상 두쪽나도 영업을 안하셔서 아쉽습니다 ㅋㅋ이 또한 직원들이 일정한 컨디션으로 일할 수 있게 유지하며 맛을 놓치지 않기 위해 관리하는 방편으로 생각하겠습니다..",맛있다
4,농민백암순대,SKang,"순대국밥에 진심인 내가, 감히 최고라고 추천하고픈 곳1. 사실 국밥 분야는 전문가가 너무 많아서, 함부로 명함을 내밀기 어려운 분야다. 조예가 깊은 재야의 고수도 많고, 적극적으로 국밥탐방을 하는 탐험가들도 많다. 나는 그정도는 아니지만, 주 1-2회 국밥을 먹으며 나름의 짬을 가진 수준이라 마음속 깊숙히 원픽정도는 생각하며 살고있다.2. 선릉역 골목 구석에 위치한 농민백암순대 본점. 길 하나를 두고 양쪽에 같은 식당이 자리해있는데, 언제가도 사람이 바글바글하다. 맞다. 이곳이 내가 감히, 원픽이자 최고라고 추천하고픈 국밥 맛집이다.3. 순대를 시켜서 소주를 기울이는 사람부터, 든든하게 국밥 한그릇 시켜먹는 사람까지 모양새도 다양하다. 여느때처럼 착석 후 순대국밥을 시켜, 부추를 넣고 새하얀 밥을 말아 말없이 흡입을 시작한다.4. 순대국밥 특유의 묘한 냄새도 없고, 국물도 매우 진하다. 무엇보다 한번 숟가락을 들면, 중간에 내려놓을 틈이 없게 입 안을 자극하는 맛이다. 깍두기도 개운한 맛이 있어 중간중간 쉬지않고 넣어줘야한다.5. 한그릇 다 비우고나면, 송글송글 이마에 맺힌 땀이 만족도를 말해준다. 그냥 그만큼, 한국인의 든든한 한끼를 표현하기에 부족함이 없는 곳이다.서울쪽만 파고 공부한 국밥 초급자이기에, 감히 최고란 표현을 쓰며 논란이 있을만한 리뷰를 남긴데 먼저 사과를 드리며... 리뷰를 마무리한다",맛있다
5,농민백암순대,oogie,수육과 깍두기가 맛있는 국밥집국밥정식을 주문했다놀랍게도 이집을 대치동살면서 처음가봤다. 국밥을 웨이팅해서 먹어야된다는 개념이 이해가 안되서 그랬던것같다. 좀더 일찍와봤어야했는데 라는 생각이 들었다정식주문시 순대랑 수육을 좀 주는데 수육이 진짜 살코기와 지방의 부드러움의 적당함이 미쳤다. 살면서 먹은 수육중에 손에 꼽을 정도로 맛있었다. 다음엔 수육만 따로 주문해서 먹고싶을 정도. 센과치히로에서 치히로 부모가 돼지로 변하기전 이집 수육을 먹어서 못참았나 싶을정도반면 국물은 그닥이었다깔끔하긴한데 특이점을 모르겠다. 깔끔하기만한 국밥은 다른말로 맛이 없는 국밥아닐까.. 심연으로부터의 끌어당김은 느껴지지 않았다거의 완뚝하긴 했지만.. 국물에서 오는 감동은 너무 작아서 이것저것 추가해서 스까먹었다이 집 깍두기가 진짜 진짜 맛있다역대급 깍두기여서 수육과 깍두기만으로도 재방문의사가 불타오른다무 안쪽까지 깍두기 양념이 잘 베어있으면서 적당히 매콤새콤하고 아삭아삭한 식감은 그대로 유지한 미친 깍두기였다재방문의사 - o,맛있다
6,농민백암순대,고운_밥상,선릉-역삼을 혼자 가야만 하는 이유. 둘 이상 가면 무한대기를 해야함. 어차피 순대국은 혼밥의 매력이 있는 음식이니 혼자 가서 기다리지 않는 것을 추천. 자극적이지 않은데 이렇게 맛있을 수 있나????????????,맛있다
7,농민백암순대,히믈내요슈퍼파월,"평일 오후 6시에도 웨이팅이 있는, 순대국의 전통강자. 강남점도 가봤는데 여기가 훨씬 크네요. 신관과 구관이 따로 있는 건 좀 불편해요. 웨이팅 시스템을 통일하면 좋겠다는 생각... 주문과 동시에 엄청나게 빨리 나오는데, 주변에 수많은 순대집에도 불구하고 여기가 잘 되는 이유를 알 수밖에 없어요. 양이 무지 많은 게 일단 하나. 굳이 정식으로 안 먹어도 될 것 같아요. 그리고 국물이 그 돼지기름의 눅진한 느낌이 있어요. 스튜 같은 느낌? 수육도 돼지기름이 꽤 많아서 조금 호불호가 갈릴 거 같기도 했어요. 전체적으로 정말 기본에 충실한 순대국밥.",맛있다
8,농민백암순대,SKang,"한국인의 소울푸드, 순대국밥의 맛을 가장 잘 나타내는 곳이 바로 농민백암순대 본점이 아닐까 싶다.언제가도 웨이팅이 가득한 모습이 이를 첫번째로 증명하고, 추울땐 추운대로, 더울땐 더운대로 속을 든든하게 채워주는 그 맛이 두번째로 이를 증명한다.혼밥으로 식사하기에도 더할나위없고, 두세명이서 국밥에 순대 한접시 시켜두고 소주한잔 기울이기에도 완벽한 곳이다.잘 익은 깍두기와 알싸한 청양고추는, 국밥만으론 살짝 아쉬울 수 있는 입에 색다른 즐거움을 추가해준다.힙한 식당이 넘쳐나는 선릉, 다소 구석진 골목에 위치해 있음에도 이곳이 붐비는건 바로 변치않는 맛과 속을 든든히 채워주는 ""한국의 소울"" 덕이 아닐까 싶다.",맛있다
9,농민백암순대,3년뒤에한국떠남,친절하시고 사람도 많다. 그렇지만 매운순대국을 싫어해서...죄송해요 죄송해요ㅠㅠ,별로
10,농민백암순대,호로록,존맛포장해도 엄청 맛있음,맛있다
