,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
1,온수반,서울특별시 영등포구 양평로22가길 6 1F,국수 / 면 요리,만원 미만,10,4.4
2,은성감자탕,서울특별시 영등포구 국회대로34길 8,탕 / 찌개 / 전골,만원 미만,13,4.3
3,서민준밀밭,서울특별시 영등포구 영신로40길 22-1,국수 / 면 요리,만원 미만,9,4.3
4,호박집,서울특별시 영등포구 영등포로 237-1 성일빌딩,탕 / 찌개 / 전골,만원 미만,15,4.2
5,우동가게,서울특별시 영등포구 당산로 180 신우빌딩,기타 한식,만원 미만,16,4.2
6,삼거리먼지막순대국,서울특별시 영등포구 시흥대로185길 11,탕 / 찌개 / 전골,만원 미만,22,4.1
7,사비문,서울특별시 영등포구 당산로32길 1-4,탕 / 찌개 / 전골,만원 미만,10,4.0
8,소문난식당,서울특별시 영등포구 도림로141가길 32-1,한정식 / 백반 / 정통 한식,만원 미만,12,4.0
9,당산분식,서울특별시 영등포구 당산로28길 10,기타 한식,만원 미만,7,4.0
10,영일분식,서울특별시 영등포구 도림로141가길 34-1,국수 / 면 요리,만원 미만,38,3.9
11,쉼표말랑 ,서울특별시 영등포구 도림로 438-7,한정식 / 백반 / 정통 한식,만원 미만,14,3.9
12,공주칼국수,서울특별시 영등포구 도림천로11길 1,국수 / 면 요리,만원 미만,8,3.9
13,까치네분식,서울특별시 영등포구 양평로 51,기타 한식,만원 미만,9,3.9
14,원조우렁된장너도나도식당,서울특별시 영등포구 양평로 126 신성빌딩,한정식 / 백반 / 정통 한식,만원 미만,21,3.7
15,함흥냉면,서울특별시 영등포구 영등포로42길 6,국수 / 면 요리,만원 미만,13,3.5
16,문래돼지불백,서울특별시 영등포구 당산로 2-1,한정식 / 백반 / 정통 한식,만원 미만,7,3.2
17,진미닭곰탕,서울특별시 영등포구 영등포로42길 10,탕 / 찌개 / 전골,만원 미만,9,2.9
18,청년다방,서울특별시 영등포구 당산로 205,기타 한식,만원 미만,14,2.9
19,옛촌민속집,서울특별시 영등포구 여의대방로39길 2,한정식 / 백반 / 정통 한식,만원 미만,1,
20,청룡불고기,서울특별시 영등포구 양평로17길 9 B상가,고기 요리,만원 미만,3,
21,만미정,서울특별시 영등포구 영등포로35길 25,탕 / 찌개 / 전골,만원 미만,2,
22,문래동돈까스,서울특별시 영등포구 도림로147길 2,기타 한식,만원 미만,5,
23,참나무숯불통닭,서울특별시 영등포구 도림로 382,닭 / 오리 요리,만원 미만,8,
24,숯닭,서울특별시 영등포구 국회대로54길 5 1F,닭 / 오리 요리,만원 미만,6,
25,원조북어국,서울특별시 영등포구 양평로 117-1,탕 / 찌개 / 전골,만원 미만,4,
26,명동식당,서울특별시 영등포구 영중로 97,한정식 / 백반 / 정통 한식,만원 미만,3,
27,해동집,서울특별시 영등포구 영등포로37길 9-1,탕 / 찌개 / 전골,만원 미만,2,
28,초가집부뚜막청국장,서울특별시 영등포구 당산로31길 15,탕 / 찌개 / 전골,만원 미만,3,
29,자성당 쫄면,서울특별시 영등포구 당산로26길 2,국수 / 면 요리,만원 미만,5,
30,E돈까스,서울특별시 영등포구 국회대로 650,기타 한식,만원 미만,9,
31,소정담,서울특별시 영등포구 당산로40길 16 보성빌딩,기타 한식,만원 미만,4,
32,이고집쭈꾸미,서울특별시 영등포구 영중로4길 21-1,해산물 요리,만원 미만,3,
33,한우진곰탕,서울특별시 영등포구 당산로31길 18,탕 / 찌개 / 전골,만원 미만,2,
34,오마니국수,서울특별시 영등포구 국회대로 654 수복빌딩,국수 / 면 요리,만원 미만,4,
35,왕가설농탕,서울특별시 영등포구 양산로19길 3,탕 / 찌개 / 전골,만원 미만,2,
36,명가생선구이,서울특별시 영등포구 당산로27길 9,한정식 / 백반 / 정통 한식,만원 미만,2,
37,신선설농탕,서울특별시 영등포구 영등포로 216,탕 / 찌개 / 전골,만원 미만,1,
38,시골밥상,서울특별시 영등포구 당산로46길 11,한정식 / 백반 / 정통 한식,만원 미만,1,
39,신풍낙지세상,서울특별시 영등포구 신풍로 23,해산물 요리,만원 미만,5,
40,이삭토스트,서울특별시 영등포구 영신로19길 17,기타 한식,만원 미만,2,
41,구이92,서울특별시 영등포구 당산로31길 33,한정식 / 백반 / 정통 한식,만원 미만,3,
42,서여사네,서울특별시 영등포구 도림로 431,해산물 요리,만원 미만,1,
43,북촌손만두,서울특별시 영등포구 영중로 15 타임스퀘어 B1,한정식 / 백반 / 정통 한식,만원 미만,6,
44,대한옥,서울특별시 영등포구 가마산로69가길 7,탕 / 찌개 / 전골,만원 미만,5,
45,당산빨간쭈꾸미,서울특별시 영등포구 당산로45길 7-2,해산물 요리,만원 미만,5,
46,용범이네인계동껍데기,서울특별시 영등포구 영등포로50길 8-4,고기 요리,만원 미만,2,
47,서산묵은지,서울특별시 영등포구 당산로29길 3,닭 / 오리 요리,만원 미만,2,
48,가마로강정,서울특별시 영등포구 당산로 214 당산 삼성 래미안,닭 / 오리 요리,만원 미만,1,
49,놀부부대찌개&철판구이,서울특별시 영등포구 영중로 15 타임스퀘어,탕 / 찌개 / 전골,만원 미만,2,
50,대추나무칼국수,서울특별시 영등포구 도림로141가길 28-1,국수 / 면 요리,만원 미만,1,
51,남궁칼국수,서울특별시 영등포구 영등포로 380-4,국수 / 면 요리,만원 미만,1,
52,크레이지후라이,서울특별시 영등포구 영중로 15 3F,기타 한식,만원 미만,3,
53,세미계 익스프레스,서울특별시 영등포구 경인로 지하843 롯데백화점 영등포점 1F,닭 / 오리 요리,만원 미만,1,
54,함흥냉면명가신면옥,서울특별시 영등포구 영등포로 363-1,국수 / 면 요리,만원 미만,1,
55,개성손만두,서울특별시 영등포구 영등포로 66,한정식 / 백반 / 정통 한식,만원 미만,2,
56,얌샘김밥,서울특별시 영등포구 영신로19길 8-1,기타 한식,만원 미만,3,
57,바삭하게,서울특별시 영등포구 양평로19길 10 2F,기타 한식,만원 미만,5,
58,돈애랑순대국감자탕,서울특별시 영등포구 경인로 829,탕 / 찌개 / 전골,만원 미만,1,
59,송백식당,서울특별시 영등포구 당산로38길 16,한정식 / 백반 / 정통 한식,만원 미만,1,
60,뽕씨네얼큰수제비,서울특별시 영등포구 영중로10길 18,국수 / 면 요리,만원 미만,5,
61,봉평메밀막국수,서울특별시 영등포구 양산로 97-2,국수 / 면 요리,만원 미만,1,
62,청실홍실,서울특별시 영등포구 당산로30길 8-1,기타 한식,만원 미만,1,
63,정가네황태해장국,서울특별시 영등포구 당산로 153-1,탕 / 찌개 / 전골,만원 미만,1,
64,20세기삼겹살,서울특별시 영등포구 영중로 98-7 1F,고기 요리,만원 미만,1,
65,디델리,서울특별시 영등포구 영신로19길 10-1,기타 한식,만원 미만,6,
66,오복순대국,서울특별시 영등포구 도림로139길 14,탕 / 찌개 / 전골,만원 미만,5,
67,일심해장국,서울특별시 영등포구 도신로 55,탕 / 찌개 / 전골,만원 미만,2,
68,청학동떡볶이,서울특별시 영등포구 당산로31길 21,기타 한식,만원 미만,3,
69,행복맛집,서울특별시 영등포구 도림로143길 11 1F,탕 / 찌개 / 전골,만원 미만,2,
70,옛날칼국수,서울특별시 영등포구 도영로 52-1,국수 / 면 요리,만원 미만,1,
71,팔팔껍데기,서울특별시 영등포구 당산로 239,고기 요리,만원 미만,3,
72,두끼떡볶이,서울특별시 영등포구 선유로 138 1F,기타 한식,만원 미만,2,
73,내사랑돈까스,서울특별시 영등포구 신길로 40,기타 한식,만원 미만,2,
74,싸움의고수,서울특별시 영등포구 경인로 846 영등포역사내 3F,고기 요리,만원 미만,2,
75,김밥예쁘게드세요,서울특별시 영등포구 영등포로11길 26,기타 한식,만원 미만,1,
76,삼례식당,서울특별시 영등포구 가마산로67길 4  1F,한정식 / 백반 / 정통 한식,만원 미만,1,
77,김둘레순대국,서울특별시 영등포구 당산로45길 1,탕 / 찌개 / 전골,만원 미만,5,
78,희락돈까스,서울특별시 영등포구 영등포동2가 437-3,기타 한식,만원 미만,4,
79,백종원의원조쌈밥집,서울특별시 영등포구 영등포로36길 10,한정식 / 백반 / 정통 한식,만원 미만,1,
80,돌배기집,서울특별시 영등포구 영중로4길 6-1,고기 요리,만원 미만,3,
81,육대장,서울특별시 영등포구 선유동2로 57 이레빌딩,탕 / 찌개 / 전골,만원 미만,3,
82,당산8번가찹쌀순대,서울특별시 영등포구 당산로46길 19,탕 / 찌개 / 전골,만원 미만,1,
83,명동칼국수샤브샤브,서울특별시 영등포구 영중로 15 타임스퀘어 B1 B149호,국수 / 면 요리,만원 미만,1,
84,봉쥬르김밥,서울특별시 영등포구 국회대로54길 10,기타 한식,만원 미만,3,
85,계림원,서울특별시 영등포구 양산로 131-1,닭 / 오리 요리,만원 미만,3,
86,고고즉석떡볶이,서울특별시 영등포구 당산로45길 1 당산쉐르빌 203호,기타 한식,만원 미만,2,
87,밀면땡기리,서울특별시 영등포구 도림로 439,국수 / 면 요리,만원 미만,1,
88,쥬라키치킨,서울특별시 영등포구 영등포로42길 3,닭 / 오리 요리,만원 미만,1,
89,제주고기국수,서울특별시 영등포구 신풍로19가길 1,국수 / 면 요리,만원 미만,1,
90,종로할머니칼국수,서울특별시 영등포구 당산로 69,국수 / 면 요리,만원 미만,1,
91,왕대박김밥,서울특별시 영등포구 당산로 175,기타 한식,만원 미만,1,
92,진삼,서울특별시 영등포구 당산로30길 1 ,고기 요리,만원 미만,1,
93,당산김밥떡볶이,서울특별시 영등포구 당산로48길 2,기타 한식,만원 미만,2,
94,왕돈가스앤왕냉면,서울특별시 영등포구 당산로38길 13,기타 한식,만원 미만,2,
95,한국밥24시,서울특별시 영등포구 영등포로50길 5,탕 / 찌개 / 전골,만원 미만,3,
96,곰집,서울특별시 영등포구 도신로58길 14-2,국수 / 면 요리,만원 미만,2,
97,교동우동&김밥,서울특별시 영등포구 경인로 846,기타 한식,만원 미만,2,
98,죠스떡볶이,서울특별시 영등포구 영신로19길 18,기타 한식,만원 미만,2,
99,신전떡볶이,서울특별시 영등포구 경인로114가길 14,기타 한식,만원 미만,3,
100,낙곱새,서울특별시 영등포구 영신로 228-6,해산물 요리,만원 미만,1,
101,나주곰탕나주전,서울특별시 영등포구 영등포로 216-1,탕 / 찌개 / 전골,만원 미만,2,
102,하리다,서울특별시 영등포구 양평로17길 9,기타 한식,만원 미만,1,
103,267즉석떡볶이,서울특별시 영등포구 영등포로25길 23-20 1F,기타 한식,만원 미만,2,
104,원조나주곰탕남평식당,서울특별시 영등포구 버드나루로7길 7 3F,탕 / 찌개 / 전골,만원 미만,1,
105,순천식당,서울특별시 영등포구 시흥대로 651-1,한정식 / 백반 / 정통 한식,만원 미만,1,
106,김밥처럼,서울특별시 영등포구 양평로22길 7-1,기타 한식,만원 미만,1,
107,철판희,서울특별시 영등포구 도림로 440-11,퓨전 한식,만원 미만,1,
108,송우리닭공장,서울특별시 영등포구 영중로 15,닭 / 오리 요리,만원 미만,1,
109,민속돌솥설렁탕,서울특별시 영등포구 가마산로 334,탕 / 찌개 / 전골,만원 미만,1,
110,만복국수,서울특별시 영등포구 당산로 243,국수 / 면 요리,만원 미만,3,
111,봉천동진순자김밥,서울특별시 영등포구 양평로 101,기타 한식,만원 미만,2,
112,라밥,서울특별시 영등포구 영중로3길 1-2,한정식 / 백반 / 정통 한식,만원 미만,2,
113,선유떡볶이,서울특별시 영등포구 선유로49길 20-1 1F,기타 한식,만원 미만,3,
114,고봉함박,서울특별시 영등포구 양평로 70 1F,한정식 / 백반 / 정통 한식,만원 미만,3,
115,국수나무,서울특별시 영등포구 문래로 89,국수 / 면 요리,만원 미만,2,
116,셰프리푸드트럭,서울특별시 영등포구 영중로 9 신세계백화점 영등포점 A관 B1,기타 한식,만원 미만,1,
117,까치네분식,서울특별시 영등포구 당산로 139 1F,기타 한식,만원 미만,1,
118,송가네옛날빈대떡,서울특별시 영등포구 당산로 232,한정식 / 백반 / 정통 한식,만원 미만,1,
119,남도분식,서울특별시 영등포구 영중로 15 타임스퀘어,기타 한식,만원 미만,2,
120,박찬숙순대국,서울특별시 영등포구 문래로 92,탕 / 찌개 / 전골,만원 미만,2,
121,소담집밥,서울특별시 영등포구 당산로31길 17,한정식 / 백반 / 정통 한식,만원 미만,2,
122,다사랑치킨,서울특별시 영등포구 영중로4길 7,닭 / 오리 요리,만원 미만,1,
123,공기 샤브진,서울특별시 영등포구 경인로 846 롯데백화점 영등포점 B1,탕 / 찌개 / 전골,만원 미만,1,
124,대부도바지락칼국수,서울특별시 영등포구 영등포로86가길 12,국수 / 면 요리,만원 미만,1,
125,영등포돈가스,서울특별시 영등포구 영등포로45길 10,기타 한식,만원 미만,1,
126,올라스수제꼬치,서울특별시 영등포구 영중로 98-7 1F,기타 한식,만원 미만,1,
127,요기분식,서울특별시 영등포구 양평로12가길 2 ,기타 한식,만원 미만,1,
128,유천냉면,서울특별시 영등포구 영중로 9,국수 / 면 요리,만원 미만,1,
129,일출옥,서울특별시 영등포구 국회대로50길 20 130호,탕 / 찌개 / 전골,만원 미만,1,
130,털보네기사식당,서울특별시 영등포구 가마산로 412,한정식 / 백반 / 정통 한식,만원 미만,1,
131,국수나무,서울특별시 영등포구 영신로 220,국수 / 면 요리,만원 미만,1,
132,시골소풍,서울특별시 영등포구 선유로 59 문래아카데미 105호,국수 / 면 요리,만원 미만,2,
133,올갱이나라,서울특별시 영등포구 대방천로 234,탕 / 찌개 / 전골,만원 미만,1,
134,장상궁김밥,서울특별시 영등포구 경인로 846 롯데백화점 B1,기타 한식,만원 미만,1,
135,치킨홀릭,서울특별시 영등포구 당산로 4-1,닭 / 오리 요리,만원 미만,1,
136,불떡,서울특별시 영등포구 도림로64길 13-2,기타 한식,만원 미만,1,
137,안동국시,서울특별시 영등포구 영중로 9 B1,국수 / 면 요리,만원 미만,1,
138,가마꿈터,서울특별시 영등포구 도신로 208,탕 / 찌개 / 전골,만원 미만,1,
139,아우네장터순대국,서울특별시 영등포구 영중로14길 19,탕 / 찌개 / 전골,만원 미만,1,
140,수원식당,서울특별시 영등포구 영등포로13길 26-2,한정식 / 백반 / 정통 한식,만원 미만,1,
141,신사부대찌개품격삼결삽,서울특별시 영등포구 당산로41길 11,탕 / 찌개 / 전골,만원 미만,1,
142,집밥126,서울특별시 영등포구 당산로36길 1,한정식 / 백반 / 정통 한식,만원 미만,1,
143,영등포아바이순대국,서울특별시 영등포구 영중로14길 22,탕 / 찌개 / 전골,만원 미만,1,
144,숨쉬는순두부,서울특별시 영등포구 영중로 15 B2,탕 / 찌개 / 전골,만원 미만,1,
145,어탕채,서울특별시 영등포구 경인로 지하843 롯데백화점 영등포점 B1,해산물 요리,만원 미만,1,
146,왕돈까스왕냉면,서울특별시 영등포구 시흥대로 595,기타 한식,만원 미만,1,
147,푸주옥,서울특별시 영등포구 대림로 171,탕 / 찌개 / 전골,만원 미만,1,
148,돼순이네왕족발,서울특별시 영등포구 국회대로34길 16,고기 요리,만원 미만,1,
149,나주곰탕냉면,서울특별시 영등포구 양평로 100,탕 / 찌개 / 전골,만원 미만,1,
150,대원,서울특별시 영등포구 양평로17길 1,한정식 / 백반 / 정통 한식,만원 미만,1,
151,김폴폴,서울특별시 영등포구 선유로 138 롯데마트 양평점 1F,한정식 / 백반 / 정통 한식,만원 미만,1,
152,연변냉면,서울특별시 영등포구 도림로 136 귀영빌딩 1F,국수 / 면 요리,만원 미만,1,
153,또똣온반,서울특별시 영등포구 영등포로18길 6-1 1F,국수 / 면 요리,만원 미만,1,
154,까치분식,서울특별시 영등포구 영신로19길 30,기타 한식,만원 미만,1,
155,죽이야기,서울특별시 영등포구 당산로31길 22-2,탕 / 찌개 / 전골,만원 미만,1,
156,맵수다,서울특별시 영등포구 영중로10길 36,고기 요리,만원 미만,1,
157,다래칼국수,서울특별시 영등포구 양평로 116,국수 / 면 요리,만원 미만,1,
158,한마당한식,서울특별시 영등포구 당산로50가길 1,한정식 / 백반 / 정통 한식,만원 미만,1,
159,동산손만두,서울특별시 영등포구 도림로 351,한정식 / 백반 / 정통 한식,만원 미만,1,
160,흥부가반해버리고놀부가기절한닭강정,서울특별시 영등포구 도신로64길 7,닭 / 오리 요리,만원 미만,1,
161,한옥집김치찜,서울특별시 영등포구 경인로 846,한정식 / 백반 / 정통 한식,만원 미만,1,
162,소담국,서울특별시 영등포구 여의대방로9가길 9 101호,국수 / 면 요리,만원 미만,1,
