,가게이름,리뷰아이디,리뷰,맛평가
1,온수반,뜨주렝,"선유도공원 쪽에 은근 맛집이 없길래 평소에는 잘 안 먹는 국밥을 먹으려고 온수반으로 향했다.온면과 온반이 있는데 나는 면보다는 밥을 좋아해서 차돌양지온반(9,000)으로 골랐다. 주문을 하고 웨이팅을 20분 정도하니 들어갈 수 있었다. 사람이 많다기보다는 가게가 많이 작아서 웨이팅을 하는 것 같다.고기가 생각보다 많았고 부드러웠다. 소스랑 찍어먹으면 더 맛있다. 국물도 맑아서 맛있어서 면도 괜찮았을 것 같다. 국밥을 많이 먹지는 않아서 이게 다른 국밥과 비교했을 때에 어떤지 정확한 비교는 안 되는데 맛이 깔끔해서 좋았다.주변에 먹을 거 없어서 선유도공원 쪽 왔을 때 한 번 들르면 좋겠다!",맛있다
2,온수반,토요미식회장,온수반선유도역의 국밥＆온면집.정갈하고 고급져 보이는 한식집 느낌이 들었는데 막상 와보니 마치 일본 동네 맛집들처럼 굉장히 아담하고 키오스크로 관리하고 있는 음식점이었다.입구에 키오스크랑 QR체크기가 있고 여기저기 고급져 보이는 메뉴 사진들이 보인다.메뉴는 온면과 온반으로 나뉘어 진다.온수반이란 상호명을 가진 곳이니 온반이 메인이라고 생각이 들긴 했지만 나는 밥보다 국수를 선호하는 편이라 온면을 골랐다.차돌양지 온 반/면차돌양지 특 반/면힘줄 반/면차돌양지힘줄 반/면모듬 반/면같은 베이스에 밥 혹은 면이 들어간다.이 중에 고른 건 모듬온면.차돌 양지 힘줄 아롱사태 요렇게 들어가나보다.테이블 자리는 많지 않고 모두 바테이블이다.자리에 앉으면 트레이에 반찬 소스 등을 먼저 올려준다. 바로 앞에 보면 먹는 방법이 안내되어 있다..........읽다보면... 참 온면을 설명한 건지 온반을 설명한건지 이도 저도 아닌 느낌. 좀 헷갈린다.해선장과 칠리소스를 살짝 얹어져서 나오고 1:1로 섞어서 면에 비벼 먹으라고 안내되어 있다. 그러니 온반에 대한 설명은 아닌 듯.그러니 온수반을 맛있게 먹는 팁이 아니라 온면을 맛있게 먹는 팁이라고 설명하면 좀 잘 이해가 갔을 거 같다. 그리고 종지에 담겨있는 칠리소스와 해선장은 양이 많지 않기 때문에 자리에 있는 소스통을 보고 리필해야 한다. 소스 통은 자리마다 3개가 있다.사실 자세히 보면 뭐가 칠리소스이고 해선장인지 참소스인지 구분이 되기는 한다. 그러나 좀 더 확실하게 좀 써뒀으면 좋겠다. 특히나 해선장은 모르는 한국사람 꽤 많을 것이라 생각한다.고기를 따로 먹을 때는 참소스에 찍어 먹으면 더욱 맛있다고 한다..........참소스 어딨나요?소스 통을 찾으면 참소스로 유추되는 것이 하나 있다. 빙고. 그것이 참 소스이다. 그런데 종지가 없네?음.......많은 부분에서 뭔가.... 당황스러운 곳이었다. 뒤늦게 여자 분이 당황하셨다는 듯 종지를 주신다. 만약 세팅할 때마다 주는 게 번거로우면... 자리마다 몇개씩 비치해 둬도 좋지 않았을까?처음 먹으러 온 사람에게는 조금 더 알기 쉽게 안내를 해 주는 것을 좀 추천하고 싶다.그러나 이곳은 확실히 음식의 퀄리티가 높다.소고기를 오랜 시간동안 끓여낸 육수이다. 감칠맛이 굉장히 좋고 간 또한 아주 적절했다. 국물은 깔끔하고 구수하며 감칠맛이 돈다. 아무리 마셔도 질리지 않을 듯.그리고 면 또한.개인적으로 내가 선호하는 면의 식감은 단단 쫄깃 탱탱이다. 이곳의 온면의 식감은 굉장히 부드럽다. 부드러운 면은 내 취향은 아닌 셈. 하지만 면의 부드러움도 충분히 매력적이라는 걸 알게 해 준다. 해선장과 칠리소스를 비벼서 먹으면 엄청 더 맛있어 지는 건 아닌데 그래도 맛의 포인트는 확실히 잡아준다.고기는 또 어떤가. 모든 고기 부위들이 다들 하나같이 부드러움의 끝을 보여준다. 부드럽다고 해서 고기의 육질의 느낌이 없다거나 그런 느낌은 아니다. 아주 맛있게 부드럽다. 힘줄?로 추정되는 부위가 정말 정말 맛있다. 약간 도가니 같기도 하고? 그런데 이게 너무너무 부드럽다. 부드러우면서 살짝 쫀득함이 느껴지는 듯한?참소스를 찾아서 찍어먹어보니 확실히 고기는 참소스 찍먹이 맞다. 새콤새콤하니 고기의 맛을 확실히 잘 살려준다.공기밥을 추가하는 것이 가능해서 추가를 했다. 면 추가도 물론 가능하다.밥도 굉장히 잘 지어진 느낌이고 밥과 국물과의 조화 또한 매우 훌륭했다.,맛있다
3,온수반,kc,"모듬온반과 모듬수육을 시켰다.모듬 수육에 들어가는 고기는 모듬온반과 똑같이 차돌양지와 힘줄이다.국물에 들어간 고기에 비해 촉촉함이 적은대신, 위에 기름으로 튀긴 파를 얹어줘서 술안주 같은 느낌이다. (반주를 하는 사람들에겐 이미 술안주였을 수도?)국밥집이라고 하기엔 굉장히 모던한 느낌의 인테리어에(약간 일본 주점 같은 느낌의 인테리어였다) 식기도 고급스러운 느낌이였다. 가격도 조금 있어서인지 밥은 원하면 리필을 해준다.그리고 면을 먹으면 고수를 추가로 주는것 같다. 면보다는 밥이 땡겨서 이번엔 밥으로 시켜먹었다.자리가 넉넉치 않아서, 외부가 보이는 자리는 4커플만 앉을 수 있고, 안쪽에 외부가 보이지 않는 자리는 1커플 정도 더 자리가 있었다.국밥의 얼큰하고 진한 맛보단 약간 동남아식 쌀국수보단 조금 진하지만 진한 육수의 국밥 어느 중간 정도의 진함이였다.고기는 개인적으론 힘줄보단 양지가 더 좋았다. 하지만 힘줄도 그만의 쫄깃한 매력이 있기에, 고기가 땡기면 양지, 조금 쫄깃한 식감이 땡긴다면 힘줄을 추천한다.#먹어서응원",맛있다
4,온수반,노니바이노니,"""먹으면 힘나는 이맛!""* 차돌양지온반(9.0)백신접종2일차 소울푸드가 필요해서 방문하..진짜맛있다 3시간 전에 먹었는데도 리뷰쓰면서 다시 입맛 다시는중고기 너무 야들야들하고, 찍어먹는 참소스도 진짜 대박이다국물은 뜨끈한 갈비탕과 쌀국수 국물을 동시에 느낄 수 있는데, 첫입에 살짝 느껴지는 한약재 맛이 전혀 거슬림없이 이렇게 잘 어우러져도되나 싶고 왠지 정말 원기보양 한그릇인 느낌이 난다깍두기, 깻잎장아찌, 산고추절임 전부 너무 안짜고 맛있다또갈거에요!!!!!!!!!!!!!!",맛있다
5,온수반,필,ㅡ 이른 시간부터 웨이팅.ㅡ 밑반찬과 식기들이 마음에든다.ㅡ 국밥맛이 아주좋다. 국물도 잘우려주셨고 서비스도 좋았습니다.,맛있다
6,온수반,꺄항,#선유도맛집친구가 이 동네 맛집이라고 데리고 가준 집정말 만족하면서 먹었다오픈키친인 점도 믿을만한데 구냥 동네가게이고 가격도 8000~12000원으로 합리적인데 서비스가 특급!마스크 담으라고 지퍼팩주시고먼저 머리끈이나 앞치마필요한지 물어봐주시고반찬 더 필요한거 있냐 계속 물어봐주시고면이나 밥은 부족하면 더주신다!!질긴게 싫어서 제일 기본 온수반 먹었고고기 좋아하는 사람들은 싫어할 수 없는 치트키의 맛이긴한데 그래도 맛있다고기는 부들부들 넉넉히 들어있고다만 여름엔 먹으면 땀나는 메뉴이니이열치열을 목표로 하는거 아니라면 비추천평냉스타일 냉쌀국수도 친구꺼 맛보았는데 괜찮았으니 여름엔 이걸로 드시는것도!흥하세요!,맛있다
7,온수반,슈슈슛,자주가는 동네 맛집이제 포장이랑 배달도 하시는 것 같습니다온면 온반 둘다 먹어봤는데 나는 온반이 더 취향고기는 부드럽고 깍두기도 맛있습니다찾아와서 먹을 만한 맛집인지는 모르겠지만 꽤 괜찮은 밥집임은 틀림없습니다,맛있다
8,온수반,민미리민,"진짜 맛있는 국밥.. 10번은 넘게 간듯. 쟁반에 정갈하게 사이드 반찬이랑 국밥이 같이 나오고, 고기 듬뿍 국밥과 함께. 조금 칼칼하게 고추가 많이 들어 있다. 밥은 좀 양이 적은데 국물이랑 같이 리필 가능. 고기가 많고 물렁뼈가 많은 차돌양지 메뉴 추천.",맛있다
9,온수반,봌네,"오픈키친이라 더 정감가고, 믿음직스럽나.정갈한 한상이 나와 나올때부터 기분이 좋다온반, 온면 수육 중 온면으로 먹어봤는데모듬 온면에는 모듬에는 차돌양지와 힘줄, 아롱사태까지 들어가 있다.국수도 쌀로 만든 국수여서 속도 편하고 대파, 숙주랑도 잘 어우러진다.육수가 정말 맛있는데, 담백하고 깔끔, 한약재향이 살짝 돌아서 고급진 맛이난다.계속 국물을 마시게 되는 수준의 자극적이지않은, 중독성 강한 맛을 느낄 수 있다.온반, 수육도 궁금해지는 집",맛있다
10,온수반,박정현,"고기와 면의 푸짐한 양, 밥도 공짜 추가, 잘게 부서지는 생면의 부드러움. 내부가 좁아 기다려야 하는 점만 제외하고 아주 만족",맛있다
