,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,화목순대국전문,서울특별시 종로구 새문안로5길 11,탕 / 찌개 / 전골,만원 미만,63,4.3,37.5711525,126.9747091
2,광화문더덕순대,서울특별시 종로구 새문안로5길 10,탕 / 찌개 / 전골,만원 미만,29,4.3,37.5710285,126.9750595
3,종로도담,서울특별시 종로구 삼봉로 78,한정식 / 백반 / 정통 한식,만원 미만,8,4.0,37.5720718,126.9813982
4,매일분식,서울특별시 종로구 새문안로5가길 5,기타 한식,만원 미만,8,4.0,37.5725253,126.9741435
5,대한순두부막걸리살롱,서울특별시 종로구 새문안로5길 13 B1,탕 / 찌개 / 전골,만원 미만,7,4.0,37.5713301,126.974401
6,청담동마녀김밥,서울특별시 종로구 새문안로 105,기타 한식,만원 미만,5,4.0,37.5704129,126.9762769
7,미진,서울특별시 종로구 종로 19 르메이에르종로타운 1F,국수 / 면 요리,만원 미만,136,3.9,37.5709593,126.9798759
8,만나분식,서울특별시 종로구 필운대로1길 4,기타 한식,만원 미만,20,3.9,37.5773179,126.9690795
9,모던김밥,서울특별시 종로구 자하문로2길 10,기타 한식,만원 미만,15,3.9,37.5763754,126.9732065
10,봉평막국수,서울특별시 종로구 필운대로 6,국수 / 면 요리,만원 미만,25,3.7,37.5764919,126.9693071
11,종로빈대떡,서울특별시 종로구 세종대로23길 21,기타 한식,만원 미만,9,3.6,37.5714849,126.9752117
12,광화문집,서울특별시 종로구 새문안로5길 12,탕 / 찌개 / 전골,만원 미만,36,3.5,37.571335,126.9749738
13,로라방앗간,서울특별시 종로구 종로3길 17 D타워,기타 한식,만원 미만,14,3.5,37.5716583,126.9798858
14,광화문미진,서울특별시 종로구 종로 19 르메이에르종로타운 1F,국수 / 면 요리,만원 미만,9,3.1,37.5709593,126.9798759
15,깡장집,서울특별시 종로구 새문안로5길 19,탕 / 찌개 / 전골,만원 미만,10,,37.5719994,126.9742775
16,부산집,서울특별시 종로구 사직로 133-8,국수 / 면 요리,만원 미만,5,,37.576255,126.9734573
17,옛날원조할머니떡볶이,서울특별시 종로구 자하문로15길 11,기타 한식,만원 미만,4,,37.5806456,126.9703379
18,도시락카페통,서울특별시 종로구 자하문로15길 18,기타 한식,만원 미만,5,,37.5807277,126.9699348
19,빌라드스파이시,서울특별시 종로구 종로3길 17 3F 308호,기타 한식,만원 미만,4,,37.5716583,126.9798858
20,경성치킨,서울특별시 종로구 율곡로4길 5,닭 / 오리 요리,만원 미만,5,,37.575167,126.9822504
21,이모네감자탕,서울특별시 종로구 새문안로9길 29-3 삼환빌딩 1F,탕 / 찌개 / 전골,만원 미만,5,,37.5712308,126.9752152
22,교동전선생,서울특별시 종로구 삼봉로 62,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5722111,126.9805167
23,송백부대찌개,서울특별시 종로구 새문안로5길 37 도렴빌딩 B1,탕 / 찌개 / 전골,만원 미만,10,,37.5736116,126.9742022
24,크레이지후라이,서울특별시 종로구 종로1길 50 케이트윈타워 B1,기타 한식,만원 미만,3,,37.574638,126.979181
25,흥진옥,서울특별시 종로구 종로5길 19-12,탕 / 찌개 / 전골,만원 미만,2,,37.5713592,126.98026
26,비어할레,서울특별시 종로구 새문안로5길 19,기타 한식,만원 미만,3,,37.5719994,126.9742775
27,덕담,서울특별시 종로구 새문안로 92 오피시아빌딩 B1,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5696602,126.9748903
28,나주소나주곰탕,서울특별시 종로구 자하문로2길 8,탕 / 찌개 / 전골,만원 미만,1,,37.576368,126.9730889
29,허니즉석떡볶이,서울특별시 종로구 새문안로 103-1,기타 한식,만원 미만,5,,37.5704416,126.9761633
30,풍년옥,서울특별시 종로구 새문안로7길 26,탕 / 찌개 / 전골,만원 미만,7,,37.5713767,126.9751045
31,무교원원대구탕,서울특별시 종로구 새문안로3길 30 B1,탕 / 찌개 / 전골,만원 미만,2,,37.5726979,126.973265
32,삼백집,서울특별시 종로구 사직로 133-3,탕 / 찌개 / 전골,만원 미만,5,,37.5760899,126.9733293
33,바지락칼국수,서울특별시 종로구 종로 22 인주빌딩,국수 / 면 요리,만원 미만,4,,37.56984,126.9796915
34,통인전통기름떡볶기집,서울특별시 종로구 자하문로15길 18,기타 한식,만원 미만,2,,37.5807277,126.9699348
35,활짝핀메밀,서울특별시 종로구 자하문로 38,국수 / 면 요리,만원 미만,1,,37.5793341,126.9716194
