,가게이름,리뷰아이디,리뷰,맛평가
1,화목순대국전문,자덕식객 (自德食客),"꾸릿꾸릿한 날씨에 꼬릿꼬릿한 냄새가 나는 곱창순대국이 생각나서 화목순대국을 찾아갔다. 이곳은 항상 줄을 서서 들어가야 해서 우린 조금(?) 일찍 갔는데 역시나 대기줄이 있었다. 그나마 길지 않아 다행.같이간 일행이 공기밥 따로를 주문하길래❓️왜 난 이렇게 먹지를 않았지? 나도 따로 주문하기로 하고 처음으로 ""특""으로 주문을 해보았다. 머지않아 우리의 차례가 와 직원이 안내하는 자리로 앉아 주문한 메뉴를 기다렸다. 항상 올때면 느끼는 것이 손님을 받는데 체계가 있으면서 여유가 느껴졌다. 기본찬과 공기밥이 나온 후 바로 주문한 순대국(특)이 나왔다. 역시나 양이 상당했다. 특으로 시키길 잘한 것 같다. 그러나 공기밥 따로는 양적으로 별 차이가 없어 보였다.꼬릿꼬릿한 냄새가 풀풀나는 국물에서 곱창을 건져 한입 먹으니 소주 한잔이 생각나게 했다. ""넌 식사가 아닌 안주인데 왜 지금 여기에 있니?"" 저녁에 한잔 하러 와야겠다는 생각을 하게끔 만들었다.항상 와서 순대국 한그릇 먹고 돌아서면 기분 좋게 포만감을 안겨다준다. ◇  화목순대국 광화문1호점@ 서울 종로구 새문안로5길 11☎️ 02-723-8313⏰️ 월~금 06:00-02:00, 토,일 정기휴무      브레이크 타임 10:00-11:00,14:00-18:00Ⓜ️ 순대국 9,000원, 특 10.000원#화목순대국 #순대국 #광화문맛집 #대기기본 #종로맛집 #노포 #오래가게 since 1985",맛있다
2,화목순대국전문,ㅇㅅㅇ,"성시경 먹을텐데를 보고 찾아왔습니다주말 12시 경 웨이팅이 있었고 약 15-20분 대기 후 들어갔습니다처음먹어보는 대창순대국인데 고소하고 쫄깃하고 정말 맛있었네요여기는 여의도점과 달리 내장사리가 따로 없었구요, 밥은 요청하면 따로도 가능했습니다",맛있다
3,화목순대국전문,Nyn,"동네 순대국밥집의 알 수 없는 인기....의 뒤에는 성시경이 숨어있었네..!점심시간엔 워낙 찾는 사람이 많아서 웨이팅을 자주 봤다. 저녁 시간에도 이정도인 줄은 몰랐다. 알고 보니 성시경이 유튜브 채널에서 여의도 화목순대국을 갔다고 한다. 사장님께선 오히려 별로 반기지 않으시는 눈치였다. 괜히 사람들이 맛있다고 듣고 기대했다가, 별로 특별하지도 않네~ 한다며. 순대국밥이라는 메뉴 자체가 유행을 타지는 않아서 다행인 듯 하다. 순순대탕 9,000빨간 순대국이다. 내장과 머릿고기는 누린내가 심해서 도전도 안 해봤다. 옆 테이블에서 먹기만 해도 내 자리까지 냄새가 풍겼다. 맛있는 흑미밥이 말아져 나온다. 밥이 맛있으니까 말지 말고, 밥을 따로 달라고 요청해서 먹는 게 더 맛있다. 들깨가루도 몇 숟갈 뿌려넣고 고소하게 먹으면 금상첨화! 팔팔 끓는 국물 속 순대속도 팔팔 끓는 온도다. 덩어리가 꽤나 커서 초반에 순대 먹을 땐 열심히 식혀서 먹어야 한다. 안 그러면 뜨거워서 눈물 난다. #항상함께해",맛있다
4,화목순대국전문,EJ,"광화문쪽에서 먹는 유명한 국물요리집 중 하나라서 예전부터 가봐야지-싶었는데 최근 성시경의 유투브를 보고 너무 땡겨서 바로 방문해봄.회사주변이라서 저녁은 한가할 줄 알았는데 가게 앞에 줄이 있다. 오랜만에 보는 나란히 줄서서 기다리는 식당.식당이 크고 회전이 생각보다 빨라서 금방 들어감.여기 순대국은 돼지곱창이 많이 들어있는 것이 특이한 점이다. 그리고 밥이 들어서 나온다해서 토렴인줄 알았는데 된장술밥처럼 밥이 다 풀어서 나온다. 친구가 건더기를 다 앞접시에 꺼냈는데 와 뚝배기 반이상이 건더기다. 상당히 건더기가 실한 순대국임. 머릿고기와 당면순대, 곱창이 가득 채우고있다. 국물은 빨갛게 얼큰한 편이고 곱창이 있으니 기름기가 많다. 밥도 끓여져서 나오기때문에 진득한 편의 국물이다. 순대국을 깔끔하고 담백한 스타일과 기름지고 찐득한 스타일로 나눠서 어느정도인지 구분하는 편인데 여기 순대국은 다르다. 첫맛은 일단 육수가 진한 고기맛의 육수느낌은 아니면서 기름진 스타일이다. 뭔가 돼지고기 해장국?내장탕?같은 느낌? 친구가 생각보다 안먹는걸보니 기름지고 걸쭉한 국물이라 그런듯. 근데 돼지곱창 굉장히 고소하고 부드럽고 먹다보면 되게 맛있다고 생각이 됨. 술안주로 아주 잘 들어간다. 깍두기는 상큼시큼해서 곱창과 또 잘 어울림. 친구의 곱창까지 왁왁 먹으니 양이 상당히 많았는데도 다 들어가는게… 나 이거 좋아하네기존에 먹던 순대국과는 다른 새로운 스타일을 또 경험해본 것 같아 뿌듯함. 종종 생각날 것 같다.",맛있다
5,화목순대국전문,이나가,0 이 근방에서 일하시는 분을 만날 기회가 있었고 닭곰탕과 순대국중에 고르랬더니 여기. 닭곰탕을 골랐더라면 어디일까. 1. 정신 없게 사람이 많다. 저엉말 많다. 문제는 뒷문과 앞문이 있는데 사람이 밀리면 앞문으로만 와야 되나 보다. 뒷문으로 오는 사람마다 앞문으로 오라고 소리를 치는데 그럴 거면 뒷문 막던가…2. 순순대국이 뭐냐고 물어보았는데 명확한 답변이 돌아오지 않아 그낭 순대국. 순순대국은 순대만 내장탕은 순대없이? 순대가 그냥 당면순대일줄 알았더라면 그냉 내장탕 시켰다. 그냥 시킨 순대국은 내장이 이렇게 많는데 순대가 이렇게 맛없다니 하는 느낌..너무 뜨거웠고 밥이 말아져 나왔는데 뒤늦게 밥 따로 시킬 수 있다는걸 알았다.. 늦었다리. 3. 8000원과 서울물가 그리고 양을 생각하면 맛있다.. 더라도 나는 인천 사람이라.,괜찮다
6,화목순대국전문,모진수,찾았다 소울 순댓국!스무살 때 순댓국이 소울 푸드였던 적이 있었는데 그 후로 좀 멀리하다가 날씨가 쌀쌀해지니 다시 오랜만에 당기기 시작했다. 가고싶다 누른지 오육 년 만에 드디어 방문빨간 양념이 되어 있는 스타일이다. 밥은 이미 안에 넣어져 있다. 순대의 개수는 많지 않지만 머릿고기를 비롯한 기타가 푸짐했다. 아주 짜거나 맵지 않다. 따뜻하고 얼큰하고 완전 이상적인 국밥이다. 추운 날 한 뚝배기 강추. 오래된 인테리어가 인상적이다.,맛있다
7,화목순대국전문,JI HYEON,내장 쿰쿰함 좋아하면 이만한 순대국이 없다,맛있다
8,화목순대국전문,자유정현,"순대국 한그릇에 담긴 정성이 잠들어있던 나의 제5대 욕구, 주욕을 일깨웠다.국밥에 혼술은 한 병이 원칙인데 이 날 깨졌다.22년 새해에는 나트륨 좀 덜 섭취하자는 목표를 세웠는데 우연히 둘러본 갤러리가 원망스럽다. 지금 이 순간 천일염이 잔뜩 들어간 뜨끈한 고깃국물이 간절하다.다행이다. 집 근처 순대국집이 곧 문 닫을 시간이다.아...다행은 아니지...순대국집 사장님께서는 지금 매상 만원을 올릴 기회를 잃으셨으니...임인년, 검은 호랑이의 기운이 모든 액운을 집어삼켜 이웃친지들과 마음껏 소주에 국물을 삼킬 수 있기를 기원해본다.#위드인기맛집",맛있다
9,화목순대국전문,LSH,"광화문 근처에 위치한 순대국 전문점 입니다점심시간 전 미리 방문해서 웨이팅 없이 먹었지만 11시반부터 웨이팅이 있어 일찍 방문하는 걸 추천합니다이번에 주문한 메뉴는 순대국(₩9,000)으로 돼지 부속물과 순대가 들어가 있는 점은 다른 곳과 비슷하지만 이곳은 내장이 들어간다는 점에서 다른 곳과 차이가 있어요!내장이 들어가서 부드러우면서도 쫄깃한 식감과 함께 배불리 먹을 수 있지만 혹시 돼지 비릿내가 민감하신 분들은 비추합니다(•́д•̀)■순대국 주문시 국과 밥을 따로 먹고 싶으신 분들은 공기밥 따로 달라고 직원분께 말씀 꼭 하세요 그냥 주문하면 국에 밥이 말아져서 옵니다!!!■순순대탕은 순대만 들어가 있는 버전이고 내장탕은 내장만 들어가 있는 버전이라 취향에 맞게 골라 드세요■가게 주차장이 따로 없어 주변 유료주차장을 이용하셔야 합니다#먹어서응원",맛있다
10,화목순대국전문,❤️거네❤️,식사용 순대국이라기보단 안주용 순대국 같은 느낌입니다. 소주 먹으러 방문했던 곳인데 아재성지같은 곳이랄까? 순대국밥집에 사람이 이렇게나 많다니.. 약간의 웨이팅이 있었고 다들 소주를 드시고 계셨어요.첫 입 먹었을때 존맛이다는 느낌은 없었는데 얼큰하니 술을 부르는 맛입니다. 홀짝홀짝 먹다보니 어느새 한 그릇을 다 비우게 되는 곳. 맛 보다는 분위기로 먹는 순대국밥이었습니다.#소주안주,맛있다
