,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,혜화도담,서울특별시 종로구 대명1길 16-6,한정식 / 백반 / 정통 한식,만원 미만,27,4.3,37.5829595,127.0004271
2,청산손만두,서울특별시 종로구 대학로11길 19-6,탕 / 찌개 / 전골,만원 미만,11,4.3,37.58193550000001,127.0005936
3,혜화칼국수,서울특별시 종로구 창경궁로35길 13,국수 / 면 요리,만원 미만,52,4.2,37.586514,127.0014858
4,나누미떡볶이,서울특별시 종로구 성균관로 9-1,기타 한식,만원 미만,165,4.1,37.5836794,126.9978756
5,왕십리순대국,서울특별시 종로구 율곡로 220-1,탕 / 찌개 / 전골,만원 미만,7,4.0,37.5758882,127.0033043
6,봉쥬떡볶이,서울특별시 종로구 대명길 4 B1,기타 한식,만원 미만,8,3.9,37.5837402,127.0011129
7,명륜 왕만두,서울특별시 종로구 성균관로 4-2,한정식 / 백반 / 정통 한식,만원 미만,9,3.8,37.5833464,126.998556
8,순대실록,서울특별시 종로구 동숭길 127 우성빌딩,탕 / 찌개 / 전골,만원 미만,42,3.7,37.5832367,127.0030501
9,둘리분식,서울특별시 종로구 창경궁로34길 15,기타 한식,만원 미만,7,3.7,37.5842858,127.0011645
10,창화당,서울특별시 종로구 창경궁로26길 39 1F,기타 한식,만원 미만,7,3.7,37.58197,126.9997712
11,개미식당,서울특별시 종로구 대명길 35,탕 / 찌개 / 전골,만원 미만,16,3.6,37.5829191,126.9997019
12,옥이모깻잎떡볶이,서울특별시 종로구 대학로11길 3,기타 한식,만원 미만,4,3.6,37.5821995,127.0015513
13,삼삼뚝배기,서울특별시 종로구 동숭길 51,탕 / 찌개 / 전골,만원 미만,10,3.5,37.5805179,127.0041777
14,혼가츠,서울특별시 종로구 대명길 24 B1F,기타 한식,만원 미만,14,3.4,37.5833734,127.0002483
15,어바웃샤브,서울특별시 종로구 대학로12길 61 계우빌딩 1F,탕 / 찌개 / 전골,만원 미만,11,3.4,37.5813877,127.0040077
16,식탁의목적,서울특별시 종로구 대명길 34,한정식 / 백반 / 정통 한식,만원 미만,16,3.2,37.5831728,126.9996464
17,석관동떡볶이,서울특별시 종로구 대명길 21-2,기타 한식,만원 미만,13,2.9,37.5831985,127.0003458
18,명륜쭈꾸미,서울특별시 종로구 성균관로 37,해산물 요리,만원 미만,2,,37.5858822,126.9960481
19,국수가,서울특별시 종로구 동숭2길 1,국수 / 면 요리,만원 미만,4,,37.5807824,127.004352
20,할매냉면집,서울특별시 종로구 동숭2길 3-8,국수 / 면 요리,만원 미만,2,,37.581026,127.0044902
21,코야코,서울특별시 종로구 동숭길 68,기타 한식,만원 미만,6,,37.5812676,127.0042946
22,모티집,서울특별시 종로구 이화장2길 1,국수 / 면 요리,만원 미만,3,,37.5780431,127.0046477
23,육수당,서울특별시 종로구 창경궁로34길 22,탕 / 찌개 / 전골,만원 미만,7,,37.583999,127.0010302
24,본가칡냉면,서울특별시 종로구 대학로7길 9,국수 / 면 요리,만원 미만,3,,37.5789364,127.0013832
25,명륜손칼국수,서울특별시 종로구 혜화로 45-5,국수 / 면 요리,만원 미만,3,,37.5893931,126.9988589
26,선다래분식,서울특별시 종로구 이화장길 14,기타 한식,만원 미만,3,,37.5767814,127.0032267
27,콩나물장수,서울특별시 종로구 동숭길 94 1F,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5824158,127.004328
28,삼청화,서울특별시 종로구 대학로12길 63 석마빌딩,한정식 / 백반 / 정통 한식,만원 미만,6,,37.5812279,127.003911
29,홍가네,서울특별시 종로구 낙산길 17,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5805309,127.0054048
30,이화김치찌개,서울특별시 종로구 율곡로 216,탕 / 찌개 / 전골,만원 미만,1,,37.57591370000001,127.0029134
31,고궁의아침,서울특별시 종로구 창경궁로 158,고기 요리,만원 미만,1,,37.5762048,126.9975954
32,효제추어탕,서울특별시 종로구 대학로 48-11,탕 / 찌개 / 전골,만원 미만,1,,37.5756636,127.0025273
33,김가네김밥,서울특별시 종로구 대명길 45,기타 한식,만원 미만,3,,37.5827562,126.9991844
34,혜화골목냉면,서울특별시 종로구 혜화로 2,국수 / 면 요리,만원 미만,2,,37.5860485,127.0008828
35,쌍다리돼지불백,서울특별시 종로구 동순라길 78-9,한정식 / 백반 / 정통 한식,만원 미만,1,,37.574189,126.9968368
36,틈새라면,서울특별시 종로구 창경궁로 242-1,기타 한식,만원 미만,6,,37.5830832,126.9991823
37,물결식당,서울특별시 종로구 성균관로 25-9,퓨전 한식,만원 미만,2,,37.5845947,126.9970006
38,다발김치찌개,서울특별시 종로구 성균관로 8 2F,탕 / 찌개 / 전골,만원 미만,2,,37.5836183,126.9983225
39,소녀방앗간,서울특별시 종로구 동숭4나길 1,한정식 / 백반 / 정통 한식,만원 미만,2,,37.58315959999999,127.0043837
40,채선당행복가마솥밥,서울특별시 종로구 동숭길 55 대학빌딩,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5807178,127.004166
41,동대문엽기떡볶이,서울특별시 종로구 대학로11길 32 1F,기타 한식,만원 미만,5,,37.5822213,126.9999693
42,미정국수0410,서울특별시 종로구 대학로 131 B1,국수 / 면 요리,만원 미만,6,,37.5828631,127.0014881
43,이모네집밥,서울특별시 종로구 낙산길 5,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5805209,127.0047494
44,제순식당,서울특별시 종로구 대명길 39-4,한정식 / 백반 / 정통 한식,만원 미만,2,,37.582744,126.9994449
45,한촌설렁탕,서울특별시 종로구 대학로11길 3,탕 / 찌개 / 전골,만원 미만,2,,37.5821995,127.0015513
46,두끼,서울특별시 종로구 대학로10길 5 3F,기타 한식,만원 미만,1,,37.5818197,127.0025595
47,성균관감자탕,서울특별시 종로구 창경궁로29길 37,탕 / 찌개 / 전골,만원 미만,1,,37.5841599,126.9971638
48,뽀글뚝배기 냠냠비빔밥,서울특별시 종로구 명륜길 17,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5881115,126.995743
49,삼포보리밥,서울특별시 종로구 혜화로 11,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5865158,127.000101
50,오가네,서울특별시 종로구 대학로7길 5,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5788387,127.0016551
51,커피내리는분식,서울특별시 종로구 이화장길 84 ,기타 한식,만원 미만,1,,37.5789593,127.0046276
52,이유식당,서울특별시 종로구 창경궁로26길 41-3 1F,한정식 / 백반 / 정통 한식,만원 미만,3,,37.582067,126.9997257
53,혜화달손만두,서울특별시 종로구 혜화로 4 1F,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5862156,127.0007209
54,수제비와 보리밥세상,서울특별시 종로구 대학로5길 12 쉐라톤빌라트 1F,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5783463,127.0014012
55,연건식당,서울특별시 종로구 대학로7길 10-3 ,한정식 / 백반 / 정통 한식,만원 미만,1,,37.579128,127.0014553
56,어촌,서울특별시 종로구 혜화로 10-3,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5865909,127.0004566
57,돈까스보라,서울특별시 종로구 대학로5길 5,기타 한식,만원 미만,1,,37.578155,127.0016778
58,걸작떡볶이치킨,서울특별시 종로구 대학로 129-2 2F,기타 한식,만원 미만,1,,37.5827715,127.0015301
59,송탄최네집,서울특별시 종로구 동숭길 136,탕 / 찌개 / 전골,만원 미만,3,,37.58362899999999,127.0027697
60,고봉민김밥인,서울특별시 종로구 대학로12길 21,기타 한식,만원 미만,2,,37.5827158,127.0032484
61,육쌈냉면,서울특별시 종로구 창경궁로34길 5,국수 / 면 요리,만원 미만,1,,37.5847281,127.0010454
62,노가네,서울특별시 종로구 명륜길 45-19,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5893166,126.9936796
63,그날우리는,서울특별시 종로구 대학로9길 29,기타 한식,만원 미만,2,,37.5817082,127.00024
64,초가삼간,서울특별시 종로구 대학로5가길 3,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5784266,127.0017262
65,신전떡볶이,서울특별시 종로구 성균관로 15-1,기타 한식,만원 미만,1,,37.5841831,126.99745
66,명신순대국,서울특별시 종로구 창경궁로29길 37-1,탕 / 찌개 / 전골,만원 미만,1,,37.58418930000001,126.9971238
67,제주흑돼지순대국밥,서울특별시 종로구 동숭길 113 2F,탕 / 찌개 / 전골,만원 미만,1,,37.582932,127.0035636
68,낙산애,서울특별시 종로구 동숭길 50,닭 / 오리 요리,만원 미만,1,,37.5805247,127.0045603
69,진보식당,서울특별시 종로구 혜화로9길 3,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5877166,126.9995335
70,젤로맛있는집,서울특별시 종로구 성균관로 90,기타 한식,만원 미만,1,,37.5897935,126.9985749
71,지지고,서울특별시 종로구 명륜3길 11-6,기타 한식,만원 미만,1,,37.5888321,126.994027
72,한입가득,서울특별시 종로구 명륜길 27,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5883811,126.9953408
73,작은마을생선구이,서울특별시 종로구 명륜길 58,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5894395,126.994243
74,풍농,서울특별시 종로구 이화장길 6,국수 / 면 요리,만원 미만,1,,37.5766825,127.0028329
75,국수나무,서울특별시 종로구 대학로 85,국수 / 면 요리,만원 미만,0,,37.578711,127.0018968
76,명륜건강원,서울특별시 종로구 혜화로3길 5 아남아파트 301동 103호,한정식 / 백반 / 정통 한식,만원-2만원,97,4.2,37.5855655,127.0002337
77,저팔계식당,서울특별시 종로구 명륜길 37,고기 요리,만원-2만원,12,4.1,37.5887566,126.9949916
78,고기공방,서울특별시 종로구 대명1길 16-17,고기 요리,만원-2만원,7,4.0,37.5827752,126.9999393
79,촌놈,서울특별시 종로구 대학로8가길 48,고기 요리,만원-2만원,8,3.8,37.5828996,127.0024036
80,마당너른집,서울특별시 종로구 낙산길 3-4,탕 / 찌개 / 전골,만원-2만원,15,3.8,37.5806268,127.0046971
81,포크랜드,서울특별시 종로구 창경궁로 258-10 호정빌딩,고기 요리,만원-2만원,11,3.7,37.5837831,127.0002446
82,조선식당,서울특별시 종로구 대학로 128,한정식 / 백반 / 정통 한식,만원-2만원,15,3.7,37.58266589999999,127.0021429
83,쪼리375,서울특별시 종로구 대학로11길 16 1F,닭 / 오리 요리,만원-2만원,11,3.7,37.5823433,127.0008689
84,혜화곱창,서울특별시 종로구 대명1길 20,고기 요리,만원-2만원,13,3.6,37.582654,127.0006304
85,부부식당,서울특별시 종로구 동숭길 43 2F,한정식 / 백반 / 정통 한식,만원-2만원,15,3.4,37.5801871,127.004275
86,혜화돌쇠아저씨,서울특별시 종로구 대학로 129-8,기타 한식,만원-2만원,39,3.4,37.5827716,127.0013274
87,대통령삼겹살,서울특별시 종로구 대학로14길 12-1,고기 요리,만원-2만원,9,3.4,37.5838058,127.0026926
88,대포찜닭,서울특별시 종로구 대학로9길 18 3F,닭 / 오리 요리,만원-2만원,22,3.3,37.5818196,127.0008454
89,도토리편백집,서울특별시 종로구 창경궁로34길 26,탕 / 찌개 / 전골,만원-2만원,10,3.2,37.5838695,127.0010591
90,원조꼬치오뎅,서울특별시 종로구 창경궁로 247-1,기타 한식,만원-2만원,9,3.2,37.5837347,126.9992958
91,신우양돈,서울특별시 종로구 대명길 19-8,고기 요리,만원-2만원,1,,37.5830014,127.0005873
92,벌교영양추어탕,서울특별시 종로구 명륜길 17,탕 / 찌개 / 전골,만원-2만원,5,,37.5881115,126.995743
93,삼형제쭈꾸미,서울특별시 종로구 동숭길 68 2F,해산물 요리,만원-2만원,10,,37.5812676,127.0042946
94,봉추찜닭,서울특별시 종로구 대학로11길 27 1F,닭 / 오리 요리,만원-2만원,5,,37.5820108,127.0001205
95,정통집,서울특별시 종로구 대명길 29-3 1F,한정식 / 백반 / 정통 한식,만원-2만원,4,,37.5829776,127.0001155
96,마로화적,서울특별시 종로구 성균관로16길 5,고기 요리,만원-2만원,4,,37.5896525,126.9985315
97,꺽정이네돈장작구이,서울특별시 종로구 대명1길 25,고기 요리,만원-2만원,1,,37.5824268,127.0008259
