,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,어머니대성집,서울특별시 동대문구 왕산로11길 4,탕 / 찌개 / 전골,만원 미만,108,4.4,37.5774367,127.0285492
2,안동집손칼국시,서울특별시 동대문구 고산자로36길 3 경동시장 B1,국수 / 면 요리,만원 미만,9,4.2,37.5792013,127.0391628
3,79번지국수집,서울특별시 동대문구 회기로13길 25,국수 / 면 요리,만원 미만,29,4.1,37.59263929999999,127.0509567
4,답십리별미,서울특별시 동대문구 답십리로48길 98,한정식 / 백반 / 정통 한식,만원 미만,10,4.1,37.5683251,127.0575286
5,춘천메밀막국수,서울특별시 동대문구 고산자로38길 25,국수 / 면 요리,만원 미만,7,4.1,37.5801269,127.0398608
6,고래돈가스,서울특별시 동대문구 안암로 154,기타 한식,만원 미만,24,4.1,37.5883631,127.0350877
7,성천막국수,서울특별시 동대문구 전농로 48,국수 / 면 요리,만원 미만,31,4.0,37.56902609999999,127.0573024
8,레알라면,서울특별시 동대문구 회기로25길 23-5,국수 / 면 요리,만원 미만,26,4.0,37.59108519999999,127.0553631
9,토성옥,서울특별시 동대문구 약령서길 28,탕 / 찌개 / 전골,만원 미만,5,4.0,37.5795271,127.0362433
10,뚝닭,서울특별시 동대문구 제기로5길 31,닭 / 오리 요리,만원 미만,5,4.0,37.5878503,127.0349641
11,혜성칼국수,서울특별시 동대문구 왕산로 247-1,국수 / 면 요리,만원 미만,31,3.9,37.5833859,127.0489751
12,고향집,서울특별시 동대문구 왕산로37길 7,탕 / 찌개 / 전골,만원 미만,12,3.9,37.5802522,127.0438625
13,여기가좋겠네,서울특별시 동대문구 회기로19길 18,닭 / 오리 요리,만원 미만,30,3.8,37.5922964,127.0530242
14,본가할머니보쌈,서울특별시 동대문구 휘경로 6-7,고기 요리,만원 미만,16,3.8,37.5957612,127.0607395
15,솔낭구,서울특별시 동대문구 회기로13길 11,한정식 / 백반 / 정통 한식,만원 미만,10,3.8,37.5920377,127.0507798
16,19뜯고맛보고,서울특별시 동대문구 전농로 221,고기 요리,만원 미만,9,3.8,37.583802,127.0531035
17,평양냉면,서울특별시 동대문구 홍릉로 14-3,국수 / 면 요리,만원 미만,29,3.7,37.5816311,127.0450144
18,할머니냉면집,서울특별시 동대문구 왕산로37길 51,국수 / 면 요리,만원 미만,21,3.7,37.5822259,127.043698
19,푸른하늘,서울특별시 동대문구 경희대로6길 3-4 1F,기타 한식,만원 미만,14,3.7,37.5935067,127.0530599
20,물고기,서울특별시 동대문구 이문로25길 36,기타 한식,만원 미만,32,3.6,37.5954892,127.0577013
21,장안정,서울특별시 동대문구 답십리로 314,탕 / 찌개 / 전골,만원 미만,19,3.6,37.571729,127.075158
22,39돈가스,서울특별시 동대문구 휘경로2길 5-2,기타 한식,만원 미만,11,3.6,37.5955963,127.0610813
23,고황24시 뼈다귀해장국감자탕,서울특별시 동대문구 경희대로1길 8-16,탕 / 찌개 / 전골,만원 미만,22,3.5,37.592301,127.0520356
24,광주식당,서울특별시 동대문구 홍릉로1길 21-6,한정식 / 백반 / 정통 한식,만원 미만,15,3.5,37.5805697,127.0436807
25,도란도란야채곱창,서울특별시 동대문구 휘경로2길 5-7,고기 요리,만원 미만,13,3.4,37.5955678,127.0614509
26,독,서울특별시 동대문구 왕산로 278-1,고기 요리,만원 미만,10,3.4,37.5852639,127.0514682
27,부산밀면냉면,서울특별시 동대문구 경희대로4길 73 1F,국수 / 면 요리,만원 미만,12,3.4,37.5913654,127.0562677
28,방앗간,서울특별시 동대문구 고산자로28길 73,한정식 / 백반 / 정통 한식,만원 미만,9,,37.574336,127.0423136
29,곰돌이돈까스,서울특별시 동대문구 한빛로1길 3,기타 한식,만원 미만,4,,37.57639030000001,127.0239291
30,자연밥상,서울특별시 동대문구 천장산로 42,기타 한식,만원 미만,12,,37.599583,127.0576395
31,장안면옥,서울특별시 동대문구 사가정로 258,국수 / 면 요리,만원 미만,4,,37.5790017,127.0735928
32,일광쪽갈비,서울특별시 동대문구 전농로 48,고기 요리,만원 미만,7,,37.56902609999999,127.0573024
33,장안설렁탕,서울특별시 동대문구 천호대로89길 3,탕 / 찌개 / 전골,만원 미만,1,,37.562078,127.0679449
34,모두랑,서울특별시 동대문구 회기로23가길 20,기타 한식,만원 미만,4,,37.5920541,127.0542819
35,해물알탕전문,서울특별시 동대문구 전농로14길 12,해산물 요리,만원 미만,4,,37.5762764,127.0580454
36,군만두의달인,서울특별시 동대문구 전농로2가길 13,기타 한식,만원 미만,4,,37.5674081,127.0572255
37,골목식당,서울특별시 동대문구 경동시장로2길 49-1,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5805697,127.0436807
38,경북손칼국수,서울특별시 동대문구 왕산로41길 4,국수 / 면 요리,만원 미만,2,,37.5813305,127.0461742
39,순대국집,서울특별시 동대문구 하정로4길 12,탕 / 찌개 / 전골,만원 미만,5,,37.575652,127.0271629
40,양지함박왕돈까스,서울특별시 동대문구 장한로 194,기타 한식,만원 미만,2,,37.5776753,127.0724398
41,락식락당,서울특별시 동대문구 경희대로4길 6 B1,퓨전 한식,만원 미만,7,,37.59242649999999,127.0528437
42,용용이네식당,서울특별시 동대문구 회기로21길 17 1F,한정식 / 백반 / 정통 한식,만원 미만,8,,37.5921812,127.0531559
43,막국수한,서울특별시 동대문구 답십리로 220,국수 / 면 요리,만원 미만,4,,37.5725656,127.0646841
44,오소록,서울특별시 동대문구 전농로3길 1-2,국수 / 면 요리,만원 미만,3,,37.5679393,127.0566052
45,압구정닭꼬치,서울특별시 동대문구 회기로 184,닭 / 오리 요리,만원 미만,6,,37.5897551,127.0562518
46,용,서울특별시 동대문구 회기로 156 1F,기타 한식,만원 미만,1,,37.59089609999999,127.0533534
47,크치치킨,서울특별시 동대문구 회기로 125 1F,닭 / 오리 요리,만원 미만,5,,37.591587,127.0505228
48,정석김밥,서울특별시 동대문구 장한로 115,기타 한식,만원 미만,2,,37.5708961,127.0705258
49,미락칼국수,서울특별시 동대문구 천호대로 241,국수 / 면 요리,만원 미만,1,,37.5697684,127.049643
50,명성순대국,서울특별시 동대문구 이문로 31-2,탕 / 찌개 / 전골,만원 미만,6,,37.5904634,127.0560255
51,청량리할머니냉면,서울특별시 동대문구 무학로34길 56,국수 / 면 요리,만원 미만,4,,37.5763205,127.0337363
52,거복이식당,서울특별시 동대문구 경희대로3길 6,고기 요리,만원 미만,2,,37.5927625,127.05216
53,남다른감자탕,서울특별시 동대문구 고산자로 406,탕 / 찌개 / 전골,만원 미만,1,,37.5757799,127.0385977
54,계림원,서울특별시 동대문구 회기로28길 9,닭 / 오리 요리,만원 미만,4,,37.5894272,127.0562616
55,원골전통순대국,서울특별시 동대문구 사가정로 232,탕 / 찌개 / 전골,만원 미만,2,,37.5784137,127.0707777
56,버드나무순대국,서울특별시 동대문구 휘경로2길 42,탕 / 찌개 / 전골,만원 미만,4,,37.5943439,127.0599477
57,엉터리갈비,서울특별시 동대문구 왕산로37길 33-4,고기 요리,만원 미만,1,,37.5814942,127.0439089
58,불타는닭갈비,서울특별시 동대문구 회기로21길 4,닭 / 오리 요리,만원 미만,4,,37.5915598,127.0530879
59,싸움의고수,서울특별시 동대문구 경희대로4길 8,고기 요리,만원 미만,4,,37.5923936,127.053134
60,비사벌전주콩나물국밥,서울특별시 동대문구 장한로 51 성안빌딩,탕 / 찌개 / 전골,만원 미만,2,,37.5656711,127.0671202
61,휘경곱창,서울특별시 동대문구 휘경로14길 15-1,고기 요리,만원 미만,3,,37.5944894,127.0632864
62,장안벌함흥냉면,서울특별시 동대문구 장한로 60 1F,국수 / 면 요리,만원 미만,2,,37.5662964,127.0682557
63,소허파전골,서울특별시 동대문구 왕산로23길 41,탕 / 찌개 / 전골,만원 미만,5,,37.5801328,127.0342882
64,불란서삼겹살,서울특별시 동대문구 경희대로4길 8,고기 요리,만원 미만,3,,37.5923936,127.053134
65,삼대나주곰탕,서울특별시 동대문구 회기로 190-1,탕 / 찌개 / 전골,만원 미만,1,,37.5897254,127.0569304
66,기와옥,서울특별시 동대문구 답십리로66길 5,국수 / 면 요리,만원 미만,1,,37.5721156,127.0684039
67,이가네바지락칼국수,서울특별시 동대문구 전농로 50-1,국수 / 면 요리,만원 미만,1,,37.5693842,127.0573443
68,도읍지,서울특별시 동대문구 회기로21길 38-1,한정식 / 백반 / 정통 한식,만원 미만,5,,37.5930293,127.0530738
69,행운돈까스,서울특별시 동대문구 장한로 173,기타 한식,만원 미만,4,,37.5758783,127.0717137
70,땡스컵밥,서울특별시 동대문구 경희대로4길 29,기타 한식,만원 미만,4,,37.5921301,127.0540941
71,팔당동동육개장,서울특별시 동대문구 장한로2길 36,탕 / 찌개 / 전골,만원 미만,1,,37.5617314,127.0671874
72,외대철판마을,서울특별시 동대문구 이문로28길 8,닭 / 오리 요리,만원 미만,5,,37.5957416,127.0601951
73,목화왕순대국,서울특별시 동대문구 전농로15길 22,탕 / 찌개 / 전골,만원 미만,2,,37.57799139999999,127.0562735
74,양평순대국,서울특별시 동대문구 고산자로38길 29,탕 / 찌개 / 전골,만원 미만,1,,37.5802111,127.0401269
75,마장동2c,서울특별시 동대문구 천호대로85길 27  1F,고기 요리,만원 미만,1,,37.56322050000001,127.066458
76,예향칼국수,서울특별시 동대문구 이문로9가길 35,국수 / 면 요리,만원 미만,5,,37.5981988,127.0560263
77,함경면옥,서울특별시 동대문구 왕산로 87,국수 / 면 요리,만원 미만,1,,37.5784853,127.0332509
78,엄마손돼지불백,서울특별시 동대문구 한천로18길 19,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5688363,127.0650499
79,서병장대김이병,서울특별시 동대문구 회기로21길 34,탕 / 찌개 / 전골,만원 미만,8,,37.5928673,127.0530985
80,따봉하우스,서울특별시 동대문구 경희대로4길 73,기타 한식,만원 미만,4,,37.5913654,127.0562677
