,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,아경면선,서울특별시 용산구 이촌로 248 한강맨션,국수 / 면 요리,만원 미만,20,3.9,37.5186517,126.9738602
2,더맛있는밥집,서울특별시 용산구 이촌로 278-1 B1,한정식 / 백반 / 정통 한식,만원 미만,16,3.7,37.5185013,126.9775261
3,스마일이촌떡볶이,서울특별시 용산구 이촌로65가길 72 동인상가 102호,기타 한식,만원 미만,16,3.4,37.5208118,126.9749493
4,봉자네,서울특별시 용산구 이촌로 182,기타 한식,만원 미만,5,,37.5209735,126.9673472
5,일미부대찌개스테이크,서울특별시 용산구 이촌로54길 13,탕 / 찌개 / 전골,만원 미만,4,,37.52068209999999,126.9677155
6,백령도바지락칼국수,서울특별시 용산구 이촌로 248,국수 / 면 요리,만원 미만,5,,37.51784809999999,126.9729615
7,솔낭구,서울특별시 용산구 이촌로77길 19,고기 요리,만원 미만,3,,37.52040119999999,126.974878
8,회사랑,서울특별시 용산구 이촌로77길 19 1F,해산물 요리,만원 미만,3,,37.52040119999999,126.974878
9,한강손만두,서울특별시 용산구 이촌로77길 19,한정식 / 백반 / 정통 한식,만원 미만,1,,37.52040119999999,126.974878
10,맛있는밥집,서울특별시 용산구 이촌로65가길 72,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5208118,126.9749493
11,소담,서울특별시 용산구 이촌로 200,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5209017,126.9693336
12,봉식이옛날왕만두,서울특별시 용산구 이촌로 260,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5185208,126.9760327
13,이촌참숯구이,서울특별시 용산구 이촌로77길 19 이촌종합상가,고기 요리,만원 미만,1,,37.52040119999999,126.974878
14,청담동마녀김밥,서울특별시 용산구 양녕로 445,기타 한식,만원 미만,2,,37.520805,126.9611825
15,가족김밥,서울특별시 용산구 이촌로 224,기타 한식,만원 미만,1,,37.5201398,126.9718634
