,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,옥정,서울특별시 마포구 신수로 106,국수 / 면 요리,만원 미만,19,4.3,37.5503317,126.9364508
2,양송이식당,서울특별시 마포구 토정로17안길 9 1F,퓨전 한식,만원 미만,16,4.2,37.5445765,126.936115
3,계고기집,서울특별시 마포구 백범로24길 1,닭 / 오리 요리,만원 미만,26,4.2,37.5459405,126.9455346
4,군자네,서울특별시 마포구 대흥로 53,한정식 / 백반 / 정통 한식,만원 미만,18,4.0,37.5454764,126.9394926
5,국물떡볶이,서울특별시 마포구 대흥로9안길 3,기타 한식,만원 미만,8,4.0,37.5449226,126.9378268
6,원조신촌설렁탕,서울특별시 마포구 마포대로14길 16,탕 / 찌개 / 전골,만원 미만,7,4.0,37.5482469,126.9562632
7,도하정,서울특별시 마포구 마포대로4길 38 1F,탕 / 찌개 / 전골,만원 미만,23,3.9,37.5379945,126.9465732
8,원조양평신내서울해장국,서울특별시 마포구 큰우물로 64 대림이편한세상3차 B상가 2F,탕 / 찌개 / 전골,만원 미만,9,3.9,37.5415043,126.9449838
9,옥면가,서울특별시 마포구 백범로26길 4-5 1F,국수 / 면 요리,만원 미만,6,3.9,37.5456463,126.9458941
10,양지설렁탕,서울특별시 마포구 새창로 6,탕 / 찌개 / 전골,만원 미만,13,3.8,37.5420448,126.9504383
11,마포원조떡볶이,서울특별시 마포구 도화2길 3,기타 한식,만원 미만,40,3.5,37.5402803,126.9487861
12,호남식당,서울특별시 마포구 마포대로6길 20-1,탕 / 찌개 / 전골,만원 미만,5,3.5,37.5451854,126.9534338
13,굴다리식당,서울특별시 마포구 새창로 8-1,탕 / 찌개 / 전골,만원 미만,44,3.4,37.5420696,126.9507921
14,코끼리분식,서울특별시 마포구 도화2길 3,기타 한식,만원 미만,31,3.4,37.5402803,126.9487861
15,마포청학동부침개,서울특별시 마포구 만리재로 23 1F,한정식 / 백반 / 정통 한식,만원 미만,23,3.3,37.5447971,126.9538455
16,동아냉면,서울특별시 마포구 백범로 31길 8 리더스뷰상가 2동  1F 101호,국수 / 면 요리,만원 미만,11,3.2,37.5451058,126.9492355
17,산까치냉면,서울특별시 마포구 도화길 35,국수 / 면 요리,만원 미만,5,,37.5411433,126.949574
18,리북방,서울특별시 마포구 마포대로1길 16  2F,한정식 / 백반 / 정통 한식,만원 미만,4,,37.53967919999999,126.9431187
19,작은식당한소끔,서울특별시 마포구 홍익로5안길 42 1F,고기 요리,만원 미만,3,,37.5530095,126.9205469
20,원조기사님분식,서울특별시 마포구 대흥로 98,기타 한식,만원 미만,4,,37.5484367,126.9426499
21,순이네바지락칼국수,서울특별시 마포구 대흥로 114-1,국수 / 면 요리,만원 미만,8,,37.5496328,126.9437058
22,힘내라옥탑방,서울특별시 마포구 토정로 216,기타 한식,만원 미만,4,,37.5448005,126.9347765
23,장터생선구이,서울특별시 마포구 마포대로6길 20-1,한정식 / 백반 / 정통 한식,만원 미만,4,,37.5451854,126.9534338
24,마포돼지불백,서울특별시 마포구 백범로 36,고기 요리,만원 미만,7,,37.5514596,126.9373221
25,마포닭곰탕,서울특별시 마포구 토정로25길 43,닭 / 오리 요리,만원 미만,7,,37.54493890000001,126.9400434
26,킴스맘,서울특별시 마포구 토정로 208,기타 한식,만원 미만,1,,37.5449607,126.9338576
27,그레이스국밥,서울특별시 마포구 마포대로12길 18,탕 / 찌개 / 전골,만원 미만,3,,37.548016,126.9547002
28,다락떡볶이,서울특별시 마포구 도화2길 8,기타 한식,만원 미만,8,,37.5400141,126.9487378
29,마포손칼국수,서울특별시 마포구 창전로 54,국수 / 면 요리,만원 미만,8,,37.54703960000001,126.9326794
30,지니돈까스,서울특별시 마포구 대흥로 52,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5450039,126.9395581
31,송백부대찌개,서울특별시 마포구 마포대로 196,탕 / 찌개 / 전골,만원 미만,2,,37.5513096,126.9561662
32,순진분식,서울특별시 마포구 양화로11길 14-5 1F,기타 한식,만원 미만,1,,37.552206,126.9157611
33,상암회관,서울특별시 마포구 월드컵북로54길 17,국수 / 면 요리,만원 미만,5,,37.5806359,126.88893
34,여우김밥,서울특별시 마포구 백범로 152 101동 1호,기타 한식,만원 미만,2,,37.5451763,126.9475472
35,뒷동네 feat 애호박,서울특별시 마포구 만리재로 19,탕 / 찌개 / 전골,만원 미만,3,,37.5446023,126.9531195
36,지지고,서울특별시 마포구 와우산로23길 9,기타 한식,만원 미만,3,,37.5533991,126.9243428
37,평창버섯매운칼국수,서울특별시 마포구 독막로 176-12,국수 / 면 요리,만원 미만,4,,37.5470622,126.9330899
38,웰빙김치찜,서울특별시 마포구 마포대로6길 20-1,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5451854,126.9534338
39,또보겠지떡볶이,서울특별시 마포구 잔다리로6길 34-5 2F,기타 한식,만원 미만,3,,37.5520542,126.9211243
40,청담동마녀김밥,서울특별시 마포구 백범로31길 7 상가동 B106호,기타 한식,만원 미만,3,,37.5451652,126.9490287
41,마포만두,서울특별시 마포구 대흥로 92 1F,한정식 / 백반 / 정통 한식,만원 미만,5,,37.5479743,126.9422321
42,개성손만두,서울특별시 마포구 대흥로 64,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5458085,126.9403536
43,상암구름산추어탕,서울특별시 마포구 성암로13길 38,탕 / 찌개 / 전골,만원 미만,2,,37.5763657,126.8971185
44,홍대씨부엉,서울특별시 마포구 와우산로21길 28-6,기타 한식,만원 미만,4,,37.5525448,126.922353
45,미가,서울특별시 마포구 숭문길 47,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5485262,126.9453058
46,바른치킨,서울특별시 마포구 백범로 152 공덕파크자이상가 102동 13호,닭 / 오리 요리,만원 미만,5,,37.5451763,126.9475472
47,이서방네분식,서울특별시 마포구 도화길 46 B1 109호,기타 한식,만원 미만,4,,37.5416235,126.9506796
48,시골순대,서울특별시 마포구 월드컵북로1길 50,탕 / 찌개 / 전골,만원 미만,3,,37.55402309999999,126.9188674
49,염리동닭강정,서울특별시 마포구 백범로26길 2,닭 / 오리 요리,만원 미만,2,,37.5457124,126.946124
50,신전떡볶이,서울특별시 마포구 월드컵북로38길 45 1F,기타 한식,만원 미만,2,,37.5721845,126.9045247
51,대만족,서울특별시 마포구 양화로6길 21,고기 요리,만원 미만,1,,37.5492244,126.915458
52,치즈밥있슈,서울특별시 마포구 숭문길 98 마포자이3차상가 115호,퓨전 한식,만원 미만,4,,37.5507279,126.9487016
53,오복떡볶이,서울특별시 마포구 독막로31길 18,기타 한식,만원 미만,5,,37.5477376,126.9395534
54,고주파,서울특별시 마포구 광성로6길 28,고기 요리,만원 미만,4,,37.5485827,126.938739
55,ING치킨,서울특별시 마포구 월드컵로 142,닭 / 오리 요리,만원 미만,3,,37.56057730000001,126.9063574
56,용마루굴다리껍데기,서울특별시 마포구 만리재옛길 64,고기 요리,만원 미만,1,,37.54909079999999,126.9580474
57,또보겠지떡볶이집,서울특별시 마포구 독막로3길 34  2F,기타 한식,만원 미만,2,,37.5496608,126.9174559
58,양지분식,서울특별시 마포구 대흥로 116,기타 한식,만원 미만,1,,37.5497345,126.9437995
59,연희옥,서울특별시 마포구 월드컵북로54길 25 ,탕 / 찌개 / 전골,만원 미만,1,,37.5806359,126.88893
60,온달만두분식,서울특별시 마포구 백범로 109,기타 한식,만원 미만,5,,37.5473233,126.9434929
61,진시황북어국,서울특별시 마포구 백범로 199,탕 / 찌개 / 전골,만원 미만,3,,37.5434128,126.9528962
62,도마다리감자탕,서울특별시 마포구 도화길 6-12,탕 / 찌개 / 전골,만원 미만,2,,37.5395899,126.9471437
63,떡볶이돈까스,서울특별시 마포구 대흥로20길 10,기타 한식,만원 미만,3,,37.5501077,126.9446237
64,한강서초순대국,서울특별시 마포구 숭문길 20,탕 / 찌개 / 전골,만원 미만,2,,37.5473442,126.9455194
