,가게이름,리뷰아이디,리뷰,맛평가
1,옥정,헤더유으,"난데없이 떡만두국이 먹고 싶어서 망플에서 검색을 하다가, ethanghymn님이 남기신 리뷰를 보고 여기다! 하고 방문하게 된 '옥정'. 점심 장사만 하시는데, 11:30부터 2:30까지만 오픈하시고 주문은 2시에 마감하신다. 두시 5분전에 옥정 뒷쪽에 있는 카페에서 확인차 지금 바로 방문할건데 주문이 가능하냐고 물어봤더니 된다고 하셨고, 미리 주문하면 만들어놓으시겠다고 하셨다.메뉴는 다섯가지인데, 떡국, 떡만두국, 칼만두국, 떡칼국수가 있다. 원래는 떡만두국이 먹고 싶었지만, 칼국수 면발도 궁금하기도 하고 해서- 혹시 칼만두국을 주문하는데 칼국수를 조금 덜 주시고 떡을 조금 더 주실 수 있냐고 물어봤더니 웃으시면서 흔쾌히 오케이 해 주셨다ㅎㅎ늦은 점심시간이었지만 자리가 딱 한 테이블이 남았었다. 다행이다, 생각하며 그 자리에 앉아 만두국을 기다렸다.드디어 나온 만두국은 일단 비주얼은 합격! 탱글한 만두피에 윤기가 촤르르 흐르는 것이 딱 봐도 맛있겠다 싶었다. 만두는 김치속이 들어가있는데, 담백하다. 정말 직접 손으로 만든 담백한 맛이 난다. 맛있다!육수도 맛있고, 칼국수도 후루룩 먹기에 딱 좋은 식감으로 삶아졌다. 쫄깃한 떡은 우리 할머니가 설날때마다 만드시는 떡 만큼은 아니지만 그래도 괜찮은 편이었다. 떡보다 칼국수가 더 맛있었음.할머님이 북에서 내려오신 분이라고 한다. 든든한 한끼였다 :)",맛있다
2,옥정,Kimkegaard,평균 이상 이지만 너무 기대하고 먹어서 그런지 괜찮았다. 만두는 맛있고 국물이 아쉽다.,괜찮다
3,옥정,터녕,고소하고 진한데 결코 짜지 않은 국물이 끝내줌바닥까지 긁어 먹었네요 ㅋㅋ칼국수만은 심심할 것 같아서 칼만둣국 시켰는데김치만듀 세개가 나오고 양이 꽤 됩니다개인적으로 만두는 얇은피를 좋아해서 칼국수가 더 쫄깃하고 맛있었어요!맛집 인정,맛있다
4,옥정,F=ma,너무 맛있어서 친구들이랑 욕정만두라고 부름...,맛있다
5,옥정,sjisdreaming,재택근무 겸 어머님과 함께 함께하는 동네점심 두번째 :) 어머님이 좋아하는 만두국과 칼국수 등을 파는 동네 맛집있다고해서 점심시간 피크되기 12시전에 호다닥갔다는 아니나 다를까 웨이팅이 한두팀있었다 .. 그래도 생각보다 빨리 빠져서 들어가서 떡만두국을 먹었는데 알맞은 떡크기에 떡 식감은 정말좋았고 국물은 깨끗하고 만두는 좋은재료인게 느껴질정도로 인공된맛이 하나도 없었다 내가 좋아하는 밥도 무한리필해서 주고 양도 든든하고 자리수빼고 부족한게 하나도 없었다 히히,맛있다
6,옥정,YSL,집근처 만둣국 맛집이라길래 점심때 와봣는데 이제 소문이 진짜 많이 났는지 12시 좀 전에 도착했는데도 꽉 차서 웨이팅 25분정도 한거같아요 ㅠ 여튼 요즘 1인분은 살짝 부족한 느낌이 있어서 특사이즈로 칼만둣국 시켰는데 큼지막한 만두가 5개 정도 들어 있었어요~~ 칼국수 국물과 면발은 맛있긴한데 의외로 평범한 맛이었어요. 근데 확실히 김치속이 들어간 만두가 맛있네요! 중간 중간 조금씩 있는 떡이 은근 좋네요,맛있다
7,옥정,머큐리 ,서강대 김치만두 <옥정>. 14시가 지나면 문을 닫는다! 평일 영업에 라스트 오더 2시. 만두 먹으러 모여 꼭꼭 채워진 사람들. 김치만두가 먹고싶어 방문한 옥정. 첫 방문은 정보가 없어 먹지 못하고 다음날 재방문해 칼만두/7000 주문. 친절히 내어주는 한 그릇은 특출나기보다는 조화롭고 기본에 충실한 맛이었다. 육수는 사골로 김가루와 참깨가 고소-한 대중적인 맛이다.,맛있다
8,옥정,ethanghymn,"비가 와선지 왠지 지난번에 맛보고 내가 찾던 우리엄마의 김치만두와 아주 흡사해서 깜짝 놀라고 반가웠던 여기 옥정의 만두국이 당겨 급들러봄.오픈시간을 살짝 지나 도착하니 첫 손님이었는데 원랜 만둣국을 시켰겠지만 칼국수도 좀 궁금했었어서 이번엔 칼만둣국으로 주문함.가져다 주신 물통이 귀여움.손님들이 점차 들어오기 시작할때쯤 내가 주문한 칼만둣국이 나오고 부족하거나 하면 말하라고 하심.공기밥이 무료인 건 아는데 칼국수도 무료로 리필이 되는건진 모르겠음.반찬은 지난번과 같이 오이절임, 백김치, 배추김치 3종류였고, 하나하나 맛을 보니 오이절임은 적당히만 짭짤해서 괜찮고 백김치는 아주 적당하게 익어 식감도 좋고 맛도 좋고 특히나 인위적이지 않은 시큼달달함이 절묘해 좋음.배추김치는 살짝 시큼한데 그래선지 우리나라 김치 느낌 뿜뿜인 건 좋은데 호불호가 있을 듯..같이 내어주신 앞접시에 김치만두를 더니 흔한 평양만두와 비교해선 보통 정도인 느낌이지만 흔한 평범한 만두와 비교하면 이렇게나 사이즈가 컷었었나 할 정도로 볼륨감이 좋음.반으로 자른 후 먹기 전에 먼저 냄새를 맡으니 적당한 김치만두속의 시큼함이 느껴져 좋고 맛을 보니 만두피는 약간 도톰해서 쫀득함과 은은하게 나쁘지 않은 정도의 밀가루 냄새가 나서 평소에는 김칫국물에 김치만두를 끓여 먹는 걸 좋아하는 우리엄마가 명절때만은 고깃국물에 떡만둣국을 끓여주셨었는데 우리엄마가 집에서 끓여주셨던 떡만둣국과 너무 흡사한 맛과 느낌이어서 역시나 반가움.국물 맛도 너무 깊은 맛이거나 고급지거나 한 게 아니고 역시나 엄마가 끓여주셨던 떡만둣국 국물의 맛과 흡사해 역시나 우리엄마가 끓여준 떡만둣국을 먹는 느낌임.부들한 칼국수는 좋아하는데 어떤 맛일까 궁금했는데 맛을 보니 공장면이어선지 손칼국수의 면 처럼 두툼쫀득한 타입은 아니고 비교적 얇은 편인데 그렇다고 얇고부들한 느낌은 아니어서 잘 삶아졌지만 뭔가 영혼이 없는 느낌이어서 만두를 먹고 좋아졌던 기분이 반감되는 느낌임.그렇다고 맛이 없거나 잘 못 끓인 건 아니어서 만약에 그냥 칼국수만 먹었다면 나름 잘 먹었을 느낌이지만 혼이 들어간 만두와 번갈아 먹으니 비교가 되어 덜 좋게 느껴짐.YennaPPa님도 언급하신 떡국 떡도 몇 개 들어있어 특별한 건 아니라도 보너스 같은 느낌임.다 먹고 일어나니 제법 배가 불러 보통 사이즈가 이런 정도면 메뉴에 있는 특 사이즈의 것들은 특별히 배가 고프지 않을때라면 다 먹기엔 약간 버거울 것 같은 느낌임.전체적으로 우리엄마가 늘 해주셨던 적당한 시큼함과 매콤함이 느껴지는 김치만두가 들어간 만둣국을 찾고 있었는데 몇몇 만두가게들에서 비슷한 느낌의 것들은 맛을 본 적이 있지만 그래도 뭔가 조금씩 달라서 아쉬웠었는데 이렇게나 비슷한 느낌의 김치만두는 여기 옥정 뿐이었어서 다시 한 번 들러서 맛봤는데 특별히 고급지거나 정갈하거나 한 게 아닌 늘 먹고 자라서 입맛에 익은 우리엄마의 만둣국이 생각날때면 계속 들를듯..",맛있다
9,옥정,마중산,"집앞에 좋은 만두국집이 생겼다.피 부드럽고 김치 섞인 소는 자극적이지 않다.국물 또한 담백하여 해장하기에도 좋았다.반찬은 씸플. 백김치가 시원하여 리필 요청했음.떡만두국 주문했는데 만두국보다 싼 걸로 봐서, 만두국은 만두알 수가 더 많은 모양. 추천!",맛있다
10,옥정,알음,"사진이 없는게 아쉽지만, 조미료로 인한 텁텁함이 없는 깔-끔한 맛 때문에 정말 좋아하는 만두집입니다. 가격도 정직하구요. 공기밥도 무료로 줍니다.주의할 점은 12시-12시 반에는 항상 웨이팅이 길다는 점, 그리고 저녁 장사는 안한다는 점입니다ㅎ",맛있다
11,옥정,HanDongheon,국물너무좋다수제만두많아서 좀 물리긴하지만로컬손맛 느림낌 굿,맛있다
12,옥정,Luscious.K,"#서강대 #신수동 #옥정""어머니가 만드신 것 같은 정성들여 만드는 이북식 김치만두국""1. 이북식 만두를 좋아하시는 분들은 다 아시겠지만 이북식 만두는 큼지막한 사이즈가 그 특징이다. 우리가 보통 평양냉면집에서 먹는 이북식 만두는 돼지고기, 두부, 숙주, 파를 베이스로 담백하게 만드는 평양식 만두가 대부분이고 김치가 들어가 간이 강한 만두가 황해도식 만두로 인식이 되어왔다. 아니, 내가 그렇게 이해하고 있었다.2. 그런데 이번에 방문한 서강대의 <옥정>은 내가 아는 상식의 범주에서는 큼지막한 사이즈의 이북만이두면서 김치속을 가진 황해도 스타일인데, 가게 전면에는 <평양만두>라고 광고한다. 아무래도 내가 지금까지 알던 상식이 좀 틀렸다보다 생각하고 문헌을 살펴보니 속재료로 지방 만두를 구분하긴 어렵고 사이즈가 가장 큰 구분자인 듯 하다. '허균'의 <도문대작>에 '대만두'라는 것이 나오는데 의주 사람들이 주로 만든 큼지막한 만두이고, 이북 만두는 북에서 남으로 내려올 수록 작아지는 경향이 있다. 그래서 서울의 만두는 이북의 만두에 비해 많이 작아지고 세련된 모양새를 하고 있다고들 한다.3. 이 식당의 만두가 평양식이냐, 황해도식이냐는 중요한게 아니다. 왜냐하면 이집은 <맛있는 집>이기 때문이다.4. 이집은 만두가 전문이다. 거기에 떡과 칼국수를 조합하여 메뉴가 구성이 된다. 만두국, 떡만두국, 칼만두국, 떡국, 칼국수, 떡칼국수 이렇게 여섯 가지. 국물은 사골 국물이다. 가격이 참 착한데, 기본 만두국이 8000원이고 만두 두알 더 들어가는 <특>은 9000원이다. 이북식 수제 만두국이 이 가격이라는 것은 '혜자만두국'이라고 불려도 손색이 없다.5. 칼국수의 퀄리티도 보고 싶어 특칼만두국을 주문했다. 일단 특 사이즈는 그릇부터 훨씬 크다. 거기에 가득 담겨져 있는 만두와 칼국수, 그리고 김과 깨소금 고명이 심장을 두근거리게 만든다. 원래 들어가는지 아니면 다른 분 메뉴와 같이 조리하면서 딸려 들어갔는지 모르겠지만 떡국떡 몇 조각 들어있어 뭔가 득템의 환호까지 부르는 비주얼이다.6. 국물은 시원하게 잘 뽑아낸 사골이다. 거기에 아주 살짝 MSG 터치가 들어갔는데 그리 거슬리지 않는다. (요즘엔 김가루에도 워낙 조미료가 많이 들어가니...). 만두피가 꽤 두툼해 빨간 속이 보이질 않는다. 그래서 이집 만두는 접시만두용이 아닌 만두국 전용 만두이다. 먼저 삶고 다시 국을 끓이는 과정도 버티려면 만두피가 어느 정도 두꺼워야만 하는데, 이집은 적당한 두께를 가지고 있으면서도 그리 퍽퍽한 느낌은 없다. 딱 만두를 받쳐주는 식감이다. 게다가 속은 김치와 두부가 주를 이루기 때문이 그 맛을 받아들이려면 어느 정도 강한 만두피가 적당할 듯 하다.7. 만두속의 맛은 인위적인 매움 없이 살짝 칼칼하면서 담백함을 동시에 가지고 있다. 조미료 좋아하시는 분들에겐 다소 밍밍한 김치만두일 수도 있겠다. 그런데 만두국에 들어가면 기가막히게 국물과 조화를 이루는... 다 계획이 있는 만두다.8. 칼국수는 기성품을 받아 판매하시는데 그 많은 손님을 받으시면서도 칼국수 삶기 정도가 완벽하다. 너무 퍼지지도 단단하지도 않은 쫄깃함이 살아있는 식감이다.어머니 솜씨가 보통이 아니시다.9. 이집은 반찬이 참 맛있다. 백김치, 배추김치, 오이저림을 주신다. 김치만두 전문점이니 당연히 배추김치가 맛있다. 조미료 없이 살짝 짠기가 있는 김치는 집에서 만든 그 김치 맛이다. 대신 김치만두라 배추김치에는 손이 가는 횟수가 적다. 대신 백김치가 아주 좋다. 보관과 발효가 잘 되서 군내 없이 시원한 백김치는 이집의 대표 반찬이라고 할 수 있겠다. 왠만한 호텔급 한식당 보다 낫다.9. 이집 만두국의 진수를 맛보려면 마지막 만두는 꼭 부셔서 국물과 쉐킷쉐킷 해서 드셔야 한다. 속재료의 진한 맛과 사골국물이 합쳐져 새로운 맛을 만든다. 물론 여기에 밥까지 말아 먹으면 초금상첨화가 되겠지.... ^^10. 이집 소개해주신 홀릭 ethanghymn님께 감사합니다 PS: 사장님께서 만두 만드시기가 벅차 점심 장사만 하신다. 그래서 더 귀한 정성 들어간 만두다!** 추천: 칼만두국",맛있다
