,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,신세계떡볶이,서울특별시 중구 명동9길 8-1,기타 한식,만원 미만,54,4.3,37.5642296,126.9852075
2,명동교자,서울특별시 중구 명동10길 10,국수 / 면 요리,만원 미만,113,4.2,37.5633916,126.9851068
3,뽀빠이호프치킨,서울특별시 용산구 후암로 48,닭 / 오리 요리,만원 미만,4,4.2,37.5501872,126.9775088
4,명동교자,서울특별시 중구 명동10길 29,국수 / 면 요리,만원 미만,267,4.0,37.5625339,126.9857421
5,목멱산방,서울특별시 중구 퇴계로20길 71,한정식 / 백반 / 정통 한식,만원 미만,57,3.9,37.55808529999999,126.9868776
6,명화당,서울특별시 중구 명동4길 30 2F,기타 한식,만원 미만,29,3.7,37.5623325,126.9838048
7,틈새라면,서울특별시 중구 명동10길 19-10,기타 한식,만원 미만,14,3.7,37.5629882,126.9859691
8,베테랑칼국수,서울특별시 중구 남대문로 81 롯데백화점 본점 B1,국수 / 면 요리,만원 미만,10,3.7,37.5647202,126.9817016
9,반반국수,서울특별시 중구 퇴계로30길 15-3,국수 / 면 요리,만원 미만,13,3.4,37.56033,126.9922688
10,원조남산왕돈까스,서울특별시 중구 소파로 107,기타 한식,만원 미만,16,3.3,37.5573335,126.9860967
11,한순자손칼국수,서울특별시 중구 남대문시장4길 39-1,국수 / 면 요리,만원 미만,9,3.2,37.5583697,126.9773302
12,함흥에겨울냉면,서울특별시 중구 동호로24길 21,국수 / 면 요리,만원 미만,11,3.1,37.5601587,127.0052241
13,101번지 남산돈가스,서울특별시 중구 소파로 101,기타 한식,만원 미만,10,2.8,37.5569004,126.98572
14,미나미야마,서울특별시 중구 소파로 105,기타 한식,만원 미만,8,,37.5572136,126.9858832
15,필동분식,서울특별시 중구 퇴계로27길 14,기타 한식,만원 미만,7,,37.5617643,126.9917209
16,콩불,서울특별시 중구 명동6길 15,고기 요리,만원 미만,4,,37.5625787,126.9844568
17,양푼이동태탕,서울특별시 용산구 후암로 18,해산물 요리,만원 미만,3,,37.5474685,126.9782068
18,진두부집,서울특별시 중구 동호로24길 39,한정식 / 백반 / 정통 한식,만원 미만,12,,37.5608928,127.0052913
19,강남면옥,서울특별시 중구 명동7길 8 5F,국수 / 면 요리,만원 미만,4,,37.5641319,126.9845364
20,소공바지락칼국수,서울특별시 중구 남대문로 64-1,국수 / 면 요리,만원 미만,3,,37.5628713,126.9822252
21,명동할머니국수,서울특별시 중구 명동9길 17-3,국수 / 면 요리,만원 미만,4,,37.5645851,126.9845337
22,충무로백암순대국,서울특별시 중구 퇴계로 141 세룡빌딩,탕 / 찌개 / 전골,만원 미만,5,,37.5623136,127.0044671
23,간판없는떡볶이집,서울특별시 용산구 후암로 78,기타 한식,만원 미만,3,,37.5528711,126.9767512
24,꽃사슴떡볶이,서울특별시 중구 동호로25길 3,기타 한식,만원 미만,5,,37.5588891,127.0026479
25,루비떡볶이,서울특별시 중구 소공로 63 신세계백화점 신관 B1,기타 한식,만원 미만,5,,37.56025260000001,126.9807639
26,남산토리,서울특별시 중구 퇴계로20길 20,기타 한식,만원 미만,2,,37.5592694,126.9857343
27,속초코다리냉면,서울특별시 중구 소공로 63 신세계백화점 본점 B1,국수 / 면 요리,만원 미만,6,,37.5609008,126.9809889
28,삼진어묵,서울특별시 중구 남대문로 81 롯데백화점 본점 B1,기타 한식,만원 미만,5,,37.5647202,126.9817016
29,낙원식당,서울특별시 중구 퇴계로12길 59,기타 한식,만원 미만,1,,37.5571594,126.981677
30,육대장,서울특별시 중구 명동8나길 45,탕 / 찌개 / 전골,만원 미만,3,,37.5610364,126.9823871
31,오매가매,서울특별시 중구 퇴계로 188 B1,퓨전 한식,만원 미만,3,,37.5607964,126.992541
32,곰국수손만두,서울특별시 중구 퇴계로36길 32,한정식 / 백반 / 정통 한식,만원 미만,4,,37.5603132,126.99505
33,경주장모님미역국,서울특별시 중구 퇴계로 72 B1,탕 / 찌개 / 전골,만원 미만,2,,37.5590809,126.9805937
34,후암동칼국수,서울특별시 용산구 후암로 31,국수 / 면 요리,만원 미만,3,,37.5486159,126.9775234
35,김치만선생,서울특별시 중구 필동로 30-1,탕 / 찌개 / 전골,만원 미만,2,,37.5589347,126.9960125
36,남산설렁탕,서울특별시 중구 소파로 91,탕 / 찌개 / 전골,만원 미만,1,,37.5566997,126.9849067
37,에그머니,서울특별시 중구 소파로 142,기타 한식,만원 미만,3,,37.5593871,126.9882216
38,간식마당,서울특별시 용산구 한강대로104길 77,기타 한식,만원 미만,1,,37.5501557,126.9763775
39,김가네,서울특별시 중구 명동10길 3-1,기타 한식,만원 미만,3,,37.5636356,126.9853978
40,뚱보식당,서울특별시 중구 퇴계로27길 14,고기 요리,만원 미만,2,,37.5617643,126.9917209
41,남도분식,서울특별시 중구 명동7길 21 1F 105호,기타 한식,만원 미만,3,,37.5646918,126.9838429
42,충무칼국수,서울특별시 중구 수표로 46-1,국수 / 면 요리,만원 미만,1,,37.5652216,126.9900387
43,골든키친,서울특별시 중구 삼일대로 343 대신파이낸스센터 B1,퓨전 한식,만원 미만,1,,37.5650766,126.9869552
44,남산순두부,서울특별시 중구 소파로 83,탕 / 찌개 / 전골,만원 미만,1,,37.5565908,126.9839744
45,할머니집,서울특별시 중구 명동9길 43,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5656614,126.9839542
46,승승장구,서울특별시 중구 퇴계로16길 27,해산물 요리,만원 미만,1,,37.5595258,126.9844314
47,김삼보 김치찌개,서울특별시 중구 명동8나길 47,탕 / 찌개 / 전골,만원 미만,1,,37.5610236,126.9822628
48,호호미역,서울특별시 중구 소공로 46 상가 1F 106호,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5593701,126.983201
49,권셰프식탁,서울특별시 중구 명동8나길 35,한정식 / 백반 / 정통 한식,만원 미만,1,,37.561091,126.9829784
50,신세대식품,서울특별시 중구 퇴계로 124-1 명동역지하쇼핑센터 A-1,기타 한식,만원 미만,1,,37.5608222,126.9853555
51,두끼,서울특별시 중구 명동길 14 눈스퀘어,기타 한식,만원 미만,1,,37.5633734,126.9828862
52,다미돈까스,서울특별시 중구 퇴계로24길 6-1,기타 한식,만원 미만,1,,37.5605783,126.9870634
53,먹보대장,서울특별시 중구 을지로 지하 58 을지로입구지하쇼핑센터 B1,기타 한식,만원 미만,4,,37.56607950000001,126.9839633
54,이삭토스트,서울특별시 중구 퇴계로 105,기타 한식,만원 미만,1,,37.5608265,126.9834404
55,원조남산돈까스1976,서울특별시 중구 소파로 103-1,기타 한식,만원 미만,1,,37.5571581,126.9858183
56,육쌈냉면,서울특별시 중구 명동4길 10 2F,국수 / 면 요리,만원 미만,1,,37.5631564,126.983523
57,마포설렁탕,서울특별시 중구 퇴계로14길 15,탕 / 찌개 / 전골,만원 미만,1,,37.5598066,126.9837711
58,미스터순두부,서울특별시 중구 퇴계로27길 61,탕 / 찌개 / 전골,만원 미만,1,,37.5638966,126.9910345
