,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,깡통만두,서울특별시 종로구 북촌로2길 5-6 1F,한정식 / 백반 / 정통 한식,만원 미만,164,4.3,37.57811299999999,126.9860787
2,안암,서울특별시 종로구 북촌로5길 10,탕 / 찌개 / 전골,만원 미만,18,4.1,37.5794043,126.984414
3,유진식당,서울특별시 종로구 종로17길 40,국수 / 면 요리,만원 미만,43,4.0,37.5719638,126.9883198
4,경춘자의라면땡기는날,서울특별시 종로구 율곡로3길 82,기타 한식,만원 미만,73,4.0,37.5792721,126.9822511
5,간판없는김치찌개집,서울특별시 종로구 인사동10길 23-14,탕 / 찌개 / 전골,만원 미만,8,4.0,37.5748033,126.9862629
6,북촌김치재,서울특별시 종로구 북촌로2길 8,탕 / 찌개 / 전골,만원 미만,9,4.0,37.5777903,126.9861714
7,이문설농탕,서울특별시 종로구 우정국로 38-13,탕 / 찌개 / 전골,만원 미만,47,3.9,37.5727213,126.9838844
8,인사동항아리수제비,서울특별시 종로구 인사동8길 14-1,국수 / 면 요리,만원 미만,28,3.8,37.5740967,126.9860381
9,온마을,서울특별시 종로구 삼청로 127,한정식 / 백반 / 정통 한식,만원 미만,10,3.8,37.58663720000001,126.9815224
10,밀양손만두,서울특별시 종로구 계동길 41,기타 한식,만원 미만,10,3.8,37.5791292,126.9865789
11,이밥,서울특별시 종로구 창덕궁1길 29,한정식 / 백반 / 정통 한식,만원 미만,6,3.8,37.5792298,126.9875909
12,닭칼,서울특별시 종로구 율곡로3길 64 2F,기타 한식,만원 미만,8,3.7,37.578416,126.9822288
13,조선김밥,서울특별시 종로구 율곡로1길 78,기타 한식,만원 미만,29,3.6,37.5787585,126.9816196
14,풍년쌀농산,서울특별시 종로구 북촌로5가길 32,기타 한식,만원 미만,76,3.5,37.58093059999999,126.9816839
15,개성만두 궁,서울특별시 종로구 인사동10길 11-3,한정식 / 백반 / 정통 한식,만원 미만,24,3.4,37.57423,126.9853967
16,르브리에,서울특별시 종로구 삼청로 75-8,기타 한식,만원 미만,11,3.4,37.5823329,126.9813048
17,먹쉬돈나,서울특별시 종로구 율곡로3길 74-7,기타 한식,만원 미만,20,3.3,37.5790267,126.9825273
18,툇마루집된장예술,서울특별시 종로구 인사동4길 5-26,한정식 / 백반 / 정통 한식,만원 미만,7,3.2,37.5733325,126.9864413
19,일미식당,서울특별시 종로구 삼일대로 428 낙원상가 B1,탕 / 찌개 / 전골,만원 미만,12,3.2,37.5726662,126.9878079
20,북촌손만두,서울특별시 종로구 인사동길 42-5,한정식 / 백반 / 정통 한식,만원 미만,14,3.0,37.5741276,126.9851162
21,별궁식당,서울특별시 종로구 윤보선길 19-16,한정식 / 백반 / 정통 한식,만원 미만,7,,37.5772257,126.9835888
22,떡싸롱,서울특별시 종로구 인사동3길 16,기타 한식,만원 미만,6,,37.5718575,126.9859179
23,삼숙이라면,서울특별시 종로구 종로11길 30,기타 한식,만원 미만,8,,37.5715762,126.9855787
24,문경올드,서울특별시 종로구 인사동7길 12,기타 한식,만원 미만,6,,37.5729745,126.9852473
25,황씨네대가추어탕,서울특별시 종로구 삼봉로 81 두산위브파빌리온 132호,탕 / 찌개 / 전골,만원 미만,4,,37.5723555,126.9818018
26,사동면옥,서울특별시 종로구 인사동8길 9,한정식 / 백반 / 정통 한식,만원 미만,5,,37.5740624,126.9857148
27,북촌도담,서울특별시 종로구 북촌로1길 9,탕 / 찌개 / 전골,만원 미만,7,,37.5773041,126.985261
28,모랑,서울특별시 종로구 율곡로4길 55 원당빌딩,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5732007,126.9812746
29,남도식객,서울특별시 종로구 인사동길 47-6,고기 요리,만원 미만,3,,37.5742043,126.9839797
30,만수의정원,서울특별시 종로구 북촌로5가길 35-2,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5810118,126.9813907
31,북촌손만두,서울특별시 종로구 북촌로4길 10,한정식 / 백반 / 정통 한식,만원 미만,9,,37.5791122,126.9857527
32,합천돼지국밥,서울특별시 종로구 삼일대로 418-3,탕 / 찌개 / 전골,만원 미만,1,,37.5719979,126.9879899
33,안동손칼국수,서울특별시 종로구 창덕궁1길 25,국수 / 면 요리,만원 미만,1,,37.5792327,126.9877233
34,달항아리,서울특별시 종로구 인사동길 49 4F 403호,기타 한식,만원 미만,1,,37.5745213,126.9838508
35,시래기담은,서울특별시 종로구 삼청로 65-2 ,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5815461,126.9809668
36,맛보래,서울특별시 종로구 인사동3길 9 1F,기타 한식,만원 미만,6,,37.5717593,126.9862328
37,청국장밥,서울특별시 종로구 삼청로2길 29-5,탕 / 찌개 / 전골,만원 미만,1,,37.5804966,126.9816163
38,마나님레시피,서울특별시 종로구 윤보선길 65,한정식 / 백반 / 정통 한식,만원 미만,4,,37.5788089,126.9830782
39,강남면옥,서울특별시 종로구 인사동길 18 1F,국수 / 면 요리,만원 미만,4,,37.5724215,126.9868566
40,화동옥,서울특별시 종로구 창덕궁1길 40,탕 / 찌개 / 전골,만원 미만,6,,37.5794191,126.9869792
41,북촌손만두,서울특별시 종로구 인사동3길 6 1F,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5719982,126.9864492
