,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,만나식당,서울특별시 마포구 월드컵로 142,한정식 / 백반 / 정통 한식,만원 미만,14,3.8,37.56057730000001,126.9063574
2,김둘레순대국,서울특별시 마포구 월드컵북로 402 KGIT센터 1F,탕 / 찌개 / 전골,만원 미만,2,,37.5801248,126.8889591
3,고퀄분식,서울특별시 마포구 성암로 267,기타 한식,만원 미만,2,,37.5740931,126.9035854
4,순진김밥,서울특별시 마포구 성미산로 39,기타 한식,만원 미만,3,,37.5590136,126.9123631
5,상냥한그놈의밥상,서울특별시 마포구 월드컵북로54길 17,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5806359,126.88893
6,굴마을,서울특별시 마포구 월드컵로 196,해산물 요리,만원 미만,1,,37.5647641,126.9027386
7,청년다방,서울특별시 마포구 성미산로 7,기타 한식,만원 미만,2,,37.5583289,126.9091429
8,홍춘천치즈닭갈비,서울특별시 마포구 월드컵로34길 7 상암스위트포레 206호,닭 / 오리 요리,만원 미만,1,,37.5649367,126.9031205
9,본래순대,서울특별시 마포구 월드컵북로54길 17 사보이시티DMC,탕 / 찌개 / 전골,만원 미만,2,,37.5813386,126.8885633
10,두부공작소,서울특별시 마포구 매봉산로 75,한정식 / 백반 / 정통 한식,만원 미만,1,,37.57500290000001,126.8907786
11,옥합콩국수,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 1085호,기타 한식,만원 미만,3,,37.579396,126.8897942
12,성산동칼국수집,서울특별시 마포구 모래내로 63,국수 / 면 요리,만원 미만,4,,37.5656137,126.9099195
13,팔미낙지한마리수제비,서울특별시 마포구 성미산로 80,해산물 요리,만원 미만,3,,37.5603999,126.9168319
14,어머니손맛밥상,서울특별시 마포구 성암로 45,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5694617,126.9112535
15,전주비빔밥기사식당,서울특별시 마포구 성암로 31,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5688539,126.9128608
16,해나옥,서울특별시 마포구 월드컵북로54길 25 푸르지오DMC시티 B1,탕 / 찌개 / 전골,만원 미만,1,,37.5806359,126.88893
17,컬투치킨,서울특별시 마포구 성암로3길 8,닭 / 오리 요리,만원 미만,2,,37.5692099,126.9112176
18,마왕떡볶이,서울특별시 마포구 월드컵북로 402 KGIT센터,기타 한식,만원 미만,1,,37.5801248,126.8889591
19,양평해장국,서울특별시 마포구 월드컵북로 352,탕 / 찌개 / 전골,만원 미만,1,,37.5769007,126.8931528
20,성산왕갈비,서울특별시 마포구 월드컵북로 233 성산시영아파트내 상가,고기 요리,만원-2만원,18,4.0,37.570074,126.903604
21,남춘천닭갈비,서울특별시 마포구 월드컵로 118,닭 / 오리 요리,만원-2만원,9,3.5,37.5588676,126.9078628
22,월화고기,서울특별시 마포구 매봉산로2안길 12-6 1F,고기 요리,만원-2만원,10,3.3,37.5780543,126.8944308
