,가게이름,리뷰아이디,리뷰,맛평가
1,만나식당,Aureus,만두전골을 먹었다 국수와 거대한만두가 들어가는데 국물이 특히 맛있었다 살짝 칼칼한게 계속 먹게 된다. 다른리뷰보니까 죽도 만들어 먹던데...몰라서 안먹었다. 후회된다.,맛있다
2,만나식당,박찬우,추운 겨울이면 생각나는 만두집이다. 칼칼한 국물과 입안 가득 베어물면 행복이 느껴지는 만두소의 담백함이 잘 어울리다. 마지막에 볶음밥까지 볶아먹으면 더 이상 바랄게 없다.,맛있다
3,만나식당,칭화대미남,생각보다는 ㅠㅠ,별로
4,만나식당,나영이,막 찾아올 만한 집은 아니고 딱 동네에 있으면 종종 갈 것 같은 느낌의 집. 이번에는 얼큰한 맛으로 주문했는데 처음 딱 국물을 먹었을 때 매운탕 느낌이 나더라구요. 고춧가루도 듬뿍 들어있고 미나리도 그렇고 조개 등 해산물도 들어있어서 더 그런 느낌 받았던 것 같기도 하네요. 만두전골에서 기대한 맛은 아니었는데 묘하게 맛있었어요! 대낮부터 소주 한 병 까게 만드는 국물. 개인적인 생각으로는 만두전골 자체의 매력을 느끼기 위해서는 순한 스타일로 주문하는게 나을 것 같아요.끓일수록 퍼지기 때문에 제일 먼저 먹어야 하는 만두는 이북식 스타일에 맞게 굉장히 슴슴한 게 특징. 피도 두껍고 커다란 스타일이라 개인적으로 아주 좋아하는 만두 스타일은 아니었는데 푸짐하니 먹을 만했어요. 면도 부들부들하면서 적당히 잘 탱글거리고 국물 맛을 잘 머금고 있어서 꽤 매력적이에요. 다 먹고 탄수화물 보충은 볶음밥이나 죽으로 할 수 있는데 지난 번과 마찬가지로 죽을 주문했어요. 양을 너무 많이 주시길래 놀랐는데 알고보니 주문이 잘못 들어가서 2개를 주셨더라구요! 아무튼 묘하게 맛있는 국물을 베이스로 해서 그런지 괜찮았어요. 기름의 고소한 감칠맛이 더해져서 매력있었어요!가게 분위기도 그렇고 딱 동네식당이라는 타이틀에 잘 어울리는 식당이에요. 특별한 맛은 아니지만 한 끼 든든하게 밥 먹을 수 있는 곳인 것 같아요!,맛있다
5,만나식당,머큐리 ,"만두전골이 유명한 <만나식당> . 혼자 방문해 만두국/8000  주문. 만두의 맛과 분위기를 떠나- 김치에 비린내가 나거나 비위생적으로 보이는 식당에 난 재방문의사가 없다. 고기국물에 슴슴한 덩어리 만두가 매력적이었지만,김치를 조심하세요 ㅠㅠ",별로
6,만나식당,임단추,사진은 만두전골 2인.이북식이라 간이 슴슴하니 감칠맛에 지친 분들께 추천.자리는 모두 좌식이니 참고할 것.,맛있다
7,만나식당,웅슐랭,"시원 칼칼~한 감칠맛의 만두전골청량고추의 칼칼함과바지락, 소고기, 만두, 배추등의 재료들이 만드는감칠맛나는 국물은 한식매니아라면 정신못차리게 한다.국물의 첫 인상은 밍숭맹숭해보이는 겉모습과는 다르게어 조미료? 하는 생각이 들정도로 야물딱지다.만두의 속은 두부 위주의 담백하고 뻑뻑한 느낌인데같이 나온 양념간장을 곁들여 먹으니 저절로 친할머님 생각이 났다.반찬은 단맛이 강한편이며 배추김치도 맛있지만 깍두기가 예술이다.가게는 마루식으로 가정집같이 수수한 인테리어다.마치 고향에 내려가다가 식사를 해결하기위해 들른 노포 느낌.쌀쌀한 날 근방에 들리게 된다면 한 번쯤 가보시길 추천한다.",맛있다
8,만나식당,별별,만두가 진짜 맛잇엇어요,맛있다
9,만나식당,나영이,"추운 날씨에 더 생각나는 소울푸드 만두전골! 이 근방 다니면서 뭔가 심상찮은 포스를 풍기는 집이라 항상 궁금하던 집이었는데 찬 바람에 급땡겨서 방문했어요. 이북식 만두전문점이라고 하네요!가정집의 작은 방 같은 분위기에 사람들이 꽉 차 있는 모습을 보고 딱 이 집이다! 생각 들었어요. 점심시간 끝날 때 즈음인데도 꽉 차 있었어요! 저는 국물파라 항상 국물맛을 보는데 버섯, 배추, 쑥, 호박 등 각종 야채를 베이스로 푹 우려내어 슴슴하면서 깊은 맛이 느껴져서 너무 좋았어요! 그리고 송송 썰린 고추가 약간의 칼칼함을 더해줘서 더할 나위 없는 국물이었습니다. 이북식 왕만두는 소가 정말 꽉 차 있어서 한 두개만 먹어도 포만감이 들 정도로 푸짐했어요! 약간 슴슴한 편이라 함께 나온 간장에 고추 하나 올려먹었을 때 더 맛있었어요!!그리고 함께 나오는 밑반찬이 정말 맛있어요! 고소한 콩나물부터 겉절이, 깍두기까지 간을 정말 잘 맞추시는 것 같아요! 자기 색이 강하지 않아 전골과 함께 하기 부담스럽지 않았어요.전골에 또 밥이 빠지면 아쉽죠.. 볶음밥 혹은 죽을 선택할 수 있는데 저는 국물파라 고민 없이 죽을 선택! 특별할 거 없지만 기본적으로 국물, 반찬이 다 하는 집이라 맛이 없을 수가 없죠!교통편이 약간 좋지 않은 편이라 딱 동네 분들 위주의 집인 것 같은데 찾아가서 먹을만 한 뜨뜻한 국물이 생각날 때 다시 찾아갈 것 같은 집이에요!!",맛있다
10,만나식당,김나물,이북식 손왕만두로 검색을 해도 안 나와서...아...만나식당군요♡만두전골하고 볶음밥을 먹었는데...만두가 정말 맛있었어요~~~!!!매운 맛과 순한 맛을 선택할 수 있는데 매운 맛은 정말 맵다고 해서 순한 맛으로 했어요.순한 맛으로 해도 청양고추가 많이 들어 있어서 칼칼한 맛!!! 나한테는 매웠어요^^;;평일 점심 12시 전에 가서 다행...ㅎ12시 넘으면 웨이팅 각오해야 해요~.,맛있다
