,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,맛있는집,서울특별시 서대문구 거북골로20길 55,기타 한식,만원 미만,21,4.2,37.5804053,126.9108304
2,아바이왕순대,서울특별시 서대문구 충정로6안길 52,탕 / 찌개 / 전골,만원 미만,9,4.1,37.5642088,126.96671
3,엄마식탁,서울특별시 서대문구 연희맛로 17-21,한정식 / 백반 / 정통 한식,만원 미만,9,4.1,37.5665983,126.9287997
4,홍대삭,서울특별시 서대문구 연희로 89,기타 한식,만원 미만,26,4.0,37.5662378,126.930179
5,신흥떡볶이,서울특별시 서대문구 수색로 28-5,기타 한식,만원 미만,13,4.0,37.5695793,126.9156157
6,연희단팥죽,서울특별시 서대문구 연희로11가길 8-5,기타 한식,만원 미만,11,4.0,37.567864,126.9288732
7,호천식당,서울특별시 서대문구 연희로14길 5,국수 / 면 요리,만원 미만,11,3.9,37.5674353,126.9317794
8,연희김밥,서울특별시 서대문구 연희로11가길 2,기타 한식,만원 미만,67,3.8,37.5679567,126.9293541
9,순이네고릴라,서울특별시 서대문구 거북골로 15-2,기타 한식,만원 미만,14,3.6,37.5804497,126.9255116
10,연희동칼국수,서울특별시 서대문구 연희맛로 37,국수 / 면 요리,만원 미만,62,3.5,37.5681791,126.9307331
11,연희별밥,서울특별시 서대문구 연희로15길 31,한정식 / 백반 / 정통 한식,만원 미만,18,3.5,37.5708358,126.9286946
12,석교식당,서울특별시 서대문구 통일로 183-1,탕 / 찌개 / 전골,만원 미만,10,3.5,37.5699044,126.9623104
13,모래내곱창,서울특별시 서대문구 증가로10길 26,고기 요리,만원 미만,6,3.5,37.5783584,126.9236329
14,한옥집,서울특별시 서대문구 통일로9길 12 1F,탕 / 찌개 / 전골,만원 미만,41,3.4,37.5672361,126.9643216
15,철길떡볶이,서울특별시 서대문구 충정로 35-6,기타 한식,만원 미만,30,3.4,37.5622649,126.9635902
16,아만도,서울특별시 서대문구 연희로10길 73,한정식 / 백반 / 정통 한식,만원 미만,22,3.4,37.5640791,126.9331845
17,백암왕순대,서울특별시 서대문구 증가로 13-6,탕 / 찌개 / 전골,만원 미만,12,3.3,37.569355,126.9310343
18,엄마손떡볶이,서울특별시 서대문구 증가로10길 37,기타 한식,만원 미만,6,3.3,37.5788937,126.9241324
19,어머니와아들,서울특별시 서대문구 홍은중앙로 100-1,닭 / 오리 요리,만원 미만,6,,37.5993605,126.9486213
20,딸부잣집백반,서울특별시 서대문구 포방터2길 5,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5988685,126.9494254
21,찜우동,서울특별시 서대문구 간호대로3길 60,기타 한식,만원 미만,6,,37.59419159999999,126.9475469
22,청안식탁,서울특별시 서대문구 충정로4길 21,닭 / 오리 요리,만원 미만,3,,37.5604228,126.9642665
23,인라면,서울특별시 서대문구 명지대2길 2,기타 한식,만원 미만,3,,37.5813475,126.9250571
24,원조떡볶이,서울특별시 서대문구 통일로 205-5,기타 한식,만원 미만,5,,37.5711738,126.9606593
25,도깨비칼국수,서울특별시 서대문구 영천시장길 40 1F,국수 / 면 요리,만원 미만,4,,37.5702692,126.9613771
26,모래내설농탕,서울특별시 서대문구 모래내로 271,탕 / 찌개 / 전골,만원 미만,4,,37.5771962,126.9281984
27,홍은손칼국수,서울특별시 서대문구 홍은중앙로 63-2,국수 / 면 요리,만원 미만,6,,37.5968571,126.9460587
28,밀양돼지국밥,서울특별시 서대문구 서소문로 55-9,탕 / 찌개 / 전골,만원 미만,4,,37.5620607,126.9671211
29,왕자 떡볶이,서울특별시 서대문구 포방터길 55 1F,기타 한식,만원 미만,2,,37.5990617,126.949066
30,장터순대국,서울특별시 서대문구 세검정로 46,탕 / 찌개 / 전골,만원 미만,3,,37.59200269999999,126.9462937
31,굴대박 초계국수,서울특별시 서대문구 독립문로 66-1,해산물 요리,만원 미만,5,,37.5672461,126.9638223
32,연희옥,서울특별시 서대문구 연희로 81-26,탕 / 찌개 / 전골,만원 미만,5,,37.5659332,126.9293797
33,돈까스가땡길때,서울특별시 서대문구 연희로8길 14 1F,기타 한식,만원 미만,5,,37.565223,126.9307549
34,전통만두,서울특별시 서대문구 연희로8길 5-3,기타 한식,만원 미만,5,,37.5657394,126.9304601
35,파파,서울특별시 서대문구 연희로10길 77,한정식 / 백반 / 정통 한식,만원 미만,4,,37.5639168,126.9333759
36,영천떡볶이,서울특별시 서대문구 영천시장길 22,기타 한식,만원 미만,4,,37.5709415,126.9605743
37,맛있는칼국수,서울특별시 서대문구 불광천길 150,국수 / 면 요리,만원 미만,2,,37.5818632,126.9088901
38,백년추어탕,서울특별시 서대문구 증가로 9,탕 / 찌개 / 전골,만원 미만,4,,37.5691941,126.9313785
39,퐁닭떡볶이,서울특별시 서대문구 명지대2길 14 1F 103호,기타 한식,만원 미만,2,,37.5817969,126.9252341
40,최가상회,서울특별시 서대문구 영천시장길 68 영천시장,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5695129,126.9624698
41,왕봉24시해장국,서울특별시 서대문구 인왕시장길 46,탕 / 찌개 / 전골,만원 미만,2,,37.591479,126.9442583
42,도르리쿡,서울특별시 서대문구 통일로9길 4 1F,기타 한식,만원 미만,1,,37.5673052,126.9647066
43,연희동수제비,서울특별시 서대문구 연희로 89-3 1F,국수 / 면 요리,만원 미만,4,,37.5661476,126.9298724
44,델리시오소브리또,서울특별시 서대문구 통일로 510 더샵 상가 116A호,기타 한식,만원 미만,3,,37.5705195,126.9615582
45,치즈밥있슈,서울특별시 서대문구 명지대길 62,퓨전 한식,만원 미만,7,,37.5827586,126.923582
46,지지고,서울특별시 서대문구 명지대2길 2,기타 한식,만원 미만,2,,37.5813475,126.9250571
47,모범떡볶이1976,서울특별시 서대문구 충정로9길 12 2F,기타 한식,만원 미만,6,,37.5644671,126.9647267
48,오리와메밀 푸른초장,서울특별시 서대문구 충정로 43-4,국수 / 면 요리,만원 미만,3,,37.5629648,126.964177
49,미가분식,서울특별시 서대문구 연희로10길 82,기타 한식,만원 미만,3,,37.5637067,126.9335521
50,장모님국수랑전,서울특별시 서대문구 가재울미래로 2 길 DMC파크뷰 자이 221동 101호,국수 / 면 요리,만원 미만,1,,37.5791158,126.9367789
51,기쁨이네,서울특별시 서대문구 가재울로6길 53-87,탕 / 찌개 / 전골,만원 미만,3,,37.5769623,126.923088
52,베가보쌈,서울특별시 서대문구 거북골로 33-4,고기 요리,만원 미만,2,,37.5792142,126.9240021
53,삼오쭈꾸미,서울특별시 서대문구 통일로 107-19,해산물 요리,만원 미만,4,,37.5641987,126.9671063
54,우리냉면,서울특별시 서대문구 통일로39가길 1,국수 / 면 요리,만원 미만,3,,37.5882764,126.9436151
55,전도사,서울특별시 서대문구 영천시장길 36,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5704311,126.961247
56,장도리곰탕,서울특별시 서대문구 연희로25길 27,탕 / 찌개 / 전골,만원 미만,2,,37.57204249999999,126.9342935
57,호산나의정부부대찌개,서울특별시 서대문구 충정로4길 8,탕 / 찌개 / 전골,만원 미만,4,,37.5609806,126.9638547
58,부산돼지국밥,서울특별시 서대문구 증가로31길 45,탕 / 찌개 / 전골,만원 미만,3,,37.5820145,126.9098537
59,미동면옥,서울특별시 서대문구 충정로7길 9 미동아파트,국수 / 면 요리,만원 미만,2,,37.5631739,126.9639988
60,명아돈,서울특별시 서대문구 거북골로 33-4,기타 한식,만원 미만,2,,37.5792142,126.9240021
61,우리식당,서울특별시 서대문구 증가로 248,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5831885,126.9123931
62,영월,서울특별시 서대문구 연희로 81-21 정암빌딩 2F,국수 / 면 요리,만원 미만,6,,37.5658118,126.9289466
63,봉구네가마솥순대국,서울특별시 서대문구 증가로10길 50,탕 / 찌개 / 전골,만원 미만,3,,37.57911910000001,126.9247461
64,향촌,서울특별시 서대문구 충정로6안길 6-4,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5624692,126.9677776
65,불란집,서울특별시 서대문구 통일로 445,기타 한식,만원 미만,4,,37.5883857,126.9442465
66,사랑채,서울특별시 서대문구 경기대로9길 5,기타 한식,만원 미만,2,,37.5644615,126.9634658
67,미소가,서울특별시 서대문구 충정로6길 59 4동,기타 한식,만원 미만,3,,37.5629206,126.9681811
68,수라면옥,서울특별시 서대문구 연희로25길 81,국수 / 면 요리,만원 미만,2,,37.5700313,126.9326887
