,가게이름,리뷰아이디,리뷰,맛평가
1,맛있는집,둘기,"맛있는집! 상호 보고 뭐 이렇게 지었어! 이랬는데 아마 진짜진짜 맛있는 떡볶이에 대한 자부심으로부터 시작된 것이 아니었을까 하는 느낌. 여기 닉값 제대로 합니다. 맛있어요!  떡볶이 접시를 보니 떡과 어묵, 추가한 달걀 두개가 전부. 주방을 보면 채소가 있긴 한데 많이 넣으시는 것 같진 않아요. 떡볶이의 매운맛과 단맛은 대부분 설탕과 고추장, 고춧가루, 조미료로만 내시는 듯 합니다. 양배추와 대파, 양파 잔뜩 넣어서 채소로 단맛을 내는 떡볶이를 선호하는 저도 정말 맛있게 먹었어요. 비율 최고네요.  이미 에피타이저로 샌드위치를 먹고 와서 (ㅋㅋ) 고민하다가 둘이서 1인분에 달걀 두개 추가해서 먹었어요. 나온 양 보고 1인분 시키기를 잘했어요. 엄청 푸짐합니다! 잘드시는 분들 둘이 오면 2인분에 달걀 두개 추가해서 드시는 것 같으니 참고하시길! 가격도 저렴해서 요즘같은 물가에 괜찮으려나? 싶었는데 건물주 분이셨군요....ㅎ 빨간색이 심상치 않다 싶었는데, 먹을수록 혀와 입술이 따끔따끔하고 물을 계속 들이키는데, 그러면서도 계속 집어먹게 돼요! 매운거 못 드시는 분들은 힘들수도 있겠네요! 저도 잘 못 먹는 편이지만 맛있는집 떡볶이는 딱 맛있게 매운 정도라 좋았습니다. 달걀추가 왜 있는지 알겠어요.. ☆달걀추가필수☆ 처음에 물통 왤케 큰가 했더니 둘이서 1인분 먹으면서 물통 비웠어요 ㅋㅋㅋㅋㅋㅋㅋㅋ 겁나시는 분은 우유 들고 가셔도 좋을 듯.  메뉴판을 보면 쫄면이나 잔치국수같은 메뉴가 있는데 한동안 크게 편찮으셔서 현재는 떡볶이만 하고 계시다고 해요. 대화를 나눠보니 정 많으신분 같아서 괜히 더 맘 아팠어요ㅠㅠ 맛있는 떡볶이에 사람냄새 나는 사장님이 있는 곳을 다들 알아보는건지 처음 갔을때만 해도 우리 말고는 손님 한분밖에 안 계셨는데 10분정도 지나니 바로 만석! 운이 좋았네요.  기회만 된다면 또 가고 싶은 곳입니다.",맛있다
2,맛있는집,김재형,"사실 11시에 오픈 하자마자 방문하려고 했는데 스탠바이키친 테라스 자리가 너무 포근해서 눌러앉았다가 12:20에 맛있는집에 도착했습니다일요일이고 날씨도 너무 좋아서 분명 줄이 어마어마하게 길거다라고 생각했는데 목적지에 다 와가는 상황에도 사람이 몰려있거나 줄 서있는 모습이 전혀 보이지가 않는 겁니다 아뿔싸 설마 오늘 비정기 휴무인가가게 바로 앞에 도착하니 창문이 열려있고 안에 손님도 계셔서 우와 진짜 다행이다 거기에 대기도 없네 대박인데 하면서 들어갔습니다할머님께서 열심히 떡볶이를 만들고 계셨습니다 자리를 잡고 앉았습니다메뉴판은 달력으로 가려놓으셨고 들치니 여러가지 메뉴가 있지만 지금은 안 하신다고 합니다 할머님께서 아무렇지 않은 듯 덤덤하게 암투병 끝에 수술을 하셨고 이후로는 체력이 많이 딸린다고 하시는데 떡볶이 만드시는 뒷모습이 괜히 찡했습니다떡볶이 2인분과 계란 두 개 부탁드렸는데 저희 뒤로 들어온 손님들이 1인분에 계란 두 개 주문하는 것을 보고 아 양이 많은가보다 뒤에 일정이 있으니 1인분에 계란 두 개로 변경했습니다아이스 박스에서 물을 꺼내서 쇠컵에 따르는데 제가 싫어하는 쇠컵이 아닙니다 물때가 없이 아주 깨끗합니다 포크와 숟가락을 꺼내는데 식기가 엄청나게 깔끔합니다 맛있는집 같은 외관의 느낌을 갖고있는 가게들은 대게 지레짐작을 하게 됩니다 나쁜 선입견인데 맞는 경우가 보통이기 때문입니다 그 선입견인즉슨 내부 또는 수저나 식기가 청결하지 않을 거라는 생각입니다 저는 식당에서 쓰는 쇠컵을 싫어합니다 식기세척기에 대충 돌려서 그대로 살균기에 넣어두는, 쇠맛과 물 비린내가 나는 그 쇠컵이 너무 싫습니다 맛있는집의 쇠컵과 수저 포크는 정말 놀라울 정도로 깨끗합니다 (아마 옥수수수염차를 담아두시는 패트병은 재사용을 하시는 것 같은데 이것은 위생적으로 좋지 않습니다)조리가 다 되면 순서대로 떡볶이를 주십니다 1인분 양이 꽤 됩니다 2인분 시켰으면 다음 일정에 지장이 생길 뻔 했습니다 떡볶이는 고춧가루의 사용이 아주 넉넉합니다 맵찔이에게는 꽤나 맵습니다 매운 가운데 단짠한 맛과 감칠맛도 잘 녹아들어 있습니다 맛있습니다 얼마전에 먹었던 공단떡볶이보다 맛이 전체적으로 강한 것 같습니다 매울 때에는 계란과 옥수수수염차가 제 역할을 아주 톡톡히 해줍니다밀떡파에게 딱 좋은 쫄깃 부드러움입니다 오뎅은 얇은데 그 밀도가 꽤나 쫀쫀합니다 맛있습니다 저는 계란을 두 개 시킬 걸 그랬습니다이런 표현이 맞을까 모르겠는데 떡볶이에서 신선함이 느껴집니다 궁중팬 가득 떡볶이를 만드시고 다 떨어지면 다시 조리하시는 방식입니다 할머님 컨디션에 따라 맛이 조금 차이가 날 수는 있어도 거의 편차가 없는 바로 만든 떡볶이를 먹을 수 있습니다뒤에 만나기로 한 일행이 여기 떡볶이를 너무 먹고싶어해서 1인분에 계란 두 개도 포장했습니다계산을 하는데 9,000원.. 떡볶이 1인분 3,500원 계란 하나 500원입니다 이쪽 동네에 살면 배달 떡볶이 시켜먹을 일도 없겠습니다왜 이런 집이 저희 동네에는 없는 걸까요다음 떡볶이는 문정동 골목떡볶이입니다 거기에서도 #항상함께해재방문 의사 : x",맛있다
3,맛있는집,망고치는치타,내 떡볶이 인생맛집....매운걸 못먹는데도 꾸역꾸역 먹게 만들고 생각나게 하는 맛... 하 또 먹고싶다,맛있다
4,맛있는집,ethanghymn,"여기 맛있는집의 떡볶이가 궁금해서 언제 한 번 들르나 했는데 양밍산에서 나와 오늘 코스의 마지막으로 들르기로 하고 향함.맛있는집에 거의 다 와가는 데 뭔가 전에 왔었던 동네 느낌이어서 보니 스시 소우카이가 있던 동네 근처였음.가게가 있는 골목으로 턴을 하니 아담한 가정집 반지하에 위치한 맛있는집 앞엔 웨이팅줄이 있고 줆 맨 뒤에 서서 기다림.기다리면서 가게 안을 슥 보는데 가게 안에서 나는 떡볶이 냄새가 짭짤달달해서 내가 좋아하는 국민학교 앞 떡볶이 냄새였고 할머님은 천천히 설겆이를 하고 계셨는데 어떤 시스템인가 보니 커다란 팬에 떡볶이를 조리하시고 떡볶이가 다 조리되면 그 팬에 든 떡볶이만큼을 먹고 가려고 기다리거나 포장하려고 기다리는 손님들에게 순서대로 내어주시고 다시 팬에 새로운 떡볶이를 조리하시는 동안 다음 순서의 손님들은 기다리고 설겆이를 하시는 무한 반복의 루틴이었음.2-30여분 정도 기다려 드디어 나도 들어가 앉을 수 있었고 메뉴가 달력으로 가려져 있어서 달력을 들추고 사진을 찍었는데 나중에 보니 이젠 메뉴가 3,500원 떡볶이와 500원 삶은 계란 뿐이어서 일부러 가려 놓으신 거였음.순서가 되서 떡볶이 1인분을 부탁드리니 계란은 추가 안 하는지 물으셔서 안 한다고 말씀드리니 제법 큰 접시에 넉넉히 담아 내어주시고 결제는 선불 현금 온리여서 미리 준비해 온 현금 3,500원을 건네드림.일단 맛을 보니 이미 냄새에서 느껴졌던 대로 짭짤달달하면서 기대보단 좀 더 칼칼했는데 국물 떡볶이면서 내가 좋아하는 타입의 맛이어서 나름 좋음.좋아하는 것보단 좀 더 칼칼해 물을 찾으니 씽크대 앞에 아이스박스가 여러개 있는데 그 중에 청록색 아이스박스에만 시원한 옥수수차가 든 페트병이 여러개 들어있어 한 개를 집어 자리로 돌아옴.오뎅은 어렸을 때 좋아했던 얇고 적당히 저렴한 타입의 것이었고 다만 먹다 보니 떡볶이 떡이 내가 선호하는 것보단 좀 더 탱글쫀득한 타입이어서 그 점이 좀 아쉬움.그래도 끝까지 다 먹고 할머님이 따로 테이블을 닦거나 하실 여유는 없는 느낌이어서 냅킨에 물을 적당히 묻혀 다른 손님이 남긴 떡볶이 국물 자국도 닦고 다 먹은 접시를 정리해서 씽크대에 넣고 할머님께 영업시간을 여쭈니 매일 11시 반쯤 여셔서 6시나 6시 반쯤 닫는데 딱히 정해져 있진 않다고 하심.잘 먹었다고 인사를 드리고 가겔 나옴.전체적으로 예전부터 궁금했던 떡볶이 가게여서 벼르다 들러봤는데 떡볶이 떡의 질감이 내가 좋아하는 것보단 더 탱글쫀득한 타입이어서 굳이 재방문할 것 같진 않지만 나름 인기있다는 떡볶이 가게들에서 손바닥만큼 주면서 가격도 비싸고 맛도 별로인 거에 비해 볼륨감도 좋고 가격도 좋고 국민학교 앞 떡볶이 맛의 국물 떡볶이인 게 좋아 맛있다로..",맛있다
5,맛있는집,Greentea,5/5가게 이름 그대로 너무너무 맛있는 집양도 정말 넉넉해서 죄송스러울 정도운이 좋아 냄비에 마지막 남은 1인분을 먹을 수 있었음사장님께서 자부심을 가지고 계신 것이 너무 좋았다멀지만 충분히 갈 가치가 있다고 느꼈던 곳,맛있다
6,맛있는집,식인달팽이,자극적이고 조미료 폭탄... 그래서 좋아진짜 맵고 짜고 달고의 좋은 예인듯생각보다 많이 맵긴함....포장손님 겁나많음 동네맛집근데 젖근성이 좀... 쨎든 추천~,맛있다
7,맛있는집,자몽,너무 맛있어요!동네에 있어서 어릴 때부터 자주 갔는데 항상 맛있습니다..자극적인 맛이지만 거부감 들지 않고 맛있는 것 같아요매운 떡볶이 먹고 싶을때 꼭 찾는 집입니다맵게 해달라고 하면 정말정말 매우니까 주의하세요 ㅎㅎ가격 대비 양도 많이 주시고 항상 푸짐하게 잘 먹습니다사장님 건강하게 오래 장사하셨으면 좋겠어요~#먹어서응원,맛있다
8,맛있는집,Luscious.K,"#북가좌동 #맛있는집""맛없으면 오지마세요!""1. 떡볶이를 대단히 좋아하는 분식메니아로서 얼마전 ColinB님의 <맛있는집> 리뷰는 참을 수 없는 식욕을 불러 일으켰다.게다가 오랫동안 나의 가고싶다 리스트에 올라와 있던 집이고 최근 생활의달인에서도 은둔식달에 잠깐 소개가 됐으니 어찌 궁금하지 않을까?2. 가게를 방문해보니 TV나 리뷰에서 보던 것 처럼 가정집 반지하에 있는 조그만 가게다.주방 앞의 창을 통해 골목을 지나가는 사람들이 잘 보이고, 사장님도 말을 건넨다.주민들은 창문으로 고개를 빼꼼 넣어 서로의 안부를 묻고 수다를 주고 받는다.연세 지긋하신 어르신이 떡볶이 집으로 들어오셔서 5,000원에 계산 네 개요... 하신다.일반적으로 생각하던 번잡한 분식집의 모습이 아니라 지역에 100% 녹아 마치 하나인 것 같은 모습의 가게다.3. 가게에 들어서니 어머니 사장님께서 커다란 웍에 한 가득 떡볶이를 만들고 계신다.이렇게 한 배치씩 만들어 파시는데, 정말 그득 만드셔도 포장손님이 워낙 많아 금방 동이 난다.한 배치 만드는데 약 20분이 소요가 되는지, 막 만들기 시작해서 포장손님이 들어오시면 20분 정도 기다리시란다.이러다보니 가장 맛있을 순간에 이집 떡볶이를 항상 먹을 수 밖에 없다.절대 무르거나 오래된 떡볶이를 먹을 일이 없다.4. 비주얼 참 심플하다.살짝 점도 있는 국물은 무지 고운 고추가루로 만들어서 투명하게 느껴진다. 실제로 이집은 맹물에 고추가루, 설탕, 떡, 오뎅, 대파로만 만드신다. 그런데 맛이 신비스러울 정도로 대박이다.5. 국물은 달달하지만 샤프하면서 깨끗한 매운맛이 상쾌하다.텁텁함 하나 느껴지지 않는 투명한 매운맛이라고나 할까?흔히 말하는 고추가루의 고소함도 없이 순수하고 청량한 매운맛의 결정체다.6. 그러면서 감칠맛도 적절하다.아마도 오뎅에서 나오는 맛일 것 같은데, 이집 오뎅이 굉장히 실하고 쫄깃한 것을 봐서는 어육함량이 높은 부산어묵일 가능성이 있다.방앗간 판떡이 아니라 시판 포장떡을 사용하심에도 떡의 질감이 완벽하리만큼 부드럽고 쫄깃하다. 밀떡의 진수.거기에 너무나 껍질을 잘 벗겨 상처 하나 없는 순백의 삶은 계란.정말 별거 없는 것 같은데, 아주 작은 우주를 이루는듯 서로서로 조화를 이루면서 기가막힌 맛을 낸다.살다가 <맛있는 매운맛>이라는 것을 여기서 처음 느껴봤다.7. 3,000원이라고 믿기지 않을 만큼 양도 넉넉하게 주시는데다 사용되는 재료도 최상급이니 어찌 맛이 없을 수 있을까그러다보니 어머님의 떡볶이 자부심은 대단하다.너무 맛있다고 말씀드리니, 이렇게 정성스럽게 만드는데도 잔소리 늘어놓는 사람이 있다고 한다.그런 사람들에겐""맛없으면 오지마세요""""집에서 직접 만들어 드세요"" 라고 말하신다고.... ㅎㅎ이 맛있는 떡볶이를 먹으면서 쿨한 어머님의 발언에 고개가 절로 끄덕여진다 ㅎ8. 옆테이블에 중년 남성 두 분과 젊은 여성 분 한 분이 오셔서 이 맛이 그리웠다고 하시며 정말 맛있게 드신다.목에 iHQ 출입증이 있는걸 보고 속으로 웃음이 나왔다.역시 <맛있는 녀석들> 만드는 회사의 분들은 맛있는 곳을 잘 아시네.... ^^<이집 정말 오래오래 계셔주셨으면 하는 마음이 간절한 곳이다>PS: 처음엔 그리 맵게 안느껴지지만 점점 매워진다. 우리나라 좋은 태양초와 청양고추의 매운맛이다.당연히 계란이 필수인데, 매운맛 잘 못드시는 분은 최소 계란 두 개가 필요하다.PS2: 시원한 냉옥수수차는 사막의 오아시스!#동네식당응원프로젝트 #먹어서응원",맛있다
9,맛있는집,Colin B,"“기복이 없는 최상의 밀떡”<‘맛있는집’의 떡볶이>애정해 마지않았던 홍대 ‘전투떡볶이’가 문을 닫고, 새로이 내 마음 속 탑 텐 안에 들어온 북가좌동의 ‘맛있는 집’. 할머니 사장님은 남가좌동에서 오래동안 장사를 하시다 현재는 본인 댁 반지하에서 가게를 운영 중이신데, 월세 부담이 없다는 홈그라운드의 이점을 고스란히 손님들에게 돌려 3천원이라는 저렴한 가격에 말도 안되는 맛과 양을 제공하고 있다.큰 양푼에 국물을 가득채우고 밀떡, 어묵, 대파를 넣고 끓여 떡이 가장 맛있게 익었을 때 손님 상에 올린다. 포장 등 손님이 끊기질 않아, 손님들은 떡이 익을 때까지 기다리는 일은 있을 지언정 퍼진 떡을 만날 일은 없다.국산 고춧가루만 사용한다는 국물은 매콤하고, 달달하고, 감칠맛이 나는 떡볶이의 필수 덕목들을 두루 갖추면서도 어느 하나에서도 선을 넘지 않는, 그야말로 명품 국물이다. 가벼운 질감으로 한도 끝도 없이 먹을 수 있을 것 같은 느낌을 준다. 그리고 그 느낌은 곧 현실이 된다. 따로 삶아 넣는 계란. 때묻지 않은 흰자는 입 안에 잠시의 평화를 가져오고, 노른자는 국물 속에서 바스라져 이내 천국의 맛으로 환생한다.instagram: colin_beak",맛있다
10,맛있는집,jjeong,떡볶이 맛집 ㅋㅋㅋㅋㅋ항상 줄이 길어서 기다려야 하지만기다리는 것만큼 맛으로 보답하는집!,맛있다
