,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,일흥콩나물국밥,서울특별시 성북구 고려대로5길 77,탕 / 찌개 / 전골,만원 미만,9,4.4,37.59040299999999,127.035926
2,고른햇살,서울특별시 성북구 개운사길 27,기타 한식,만원 미만,55,4.3,37.5874859,127.0290878
3,성북동누룽지백숙,서울특별시 성북구 성북로31길 9,국수 / 면 요리,만원 미만,40,4.3,37.5945466,126.990451
4,참나무닭나라,서울특별시 성북구 동소문로8길 12,닭 / 오리 요리,만원 미만,14,4.3,37.5892652,127.0096491
5,수아당,서울특별시 성북구 동소문로20가길 33 1F,기타 한식,만원 미만,19,4.2,37.5930311,127.0180081
6,팔백집,서울특별시 성북구 보문로30길 46,고기 요리,만원 미만,10,4.1,37.5894509,127.0198045
7,동우설렁탕,서울특별시 성북구 개운사길 45,탕 / 찌개 / 전골,만원 미만,15,4.1,37.588347,127.0290505
8,명문막국수,서울특별시 성북구 창경궁로 319,국수 / 면 요리,만원 미만,10,4.1,37.5882358,127.0047815
9,이공김밥,서울특별시 성북구 안암로 61-6,기타 한식,만원 미만,17,4.1,37.5823573,127.028449
10,국시집,서울특별시 성북구 창경궁로43길 9,국수 / 면 요리,만원 미만,27,4.0,37.5883894,127.0042903
11,봉화묵집,서울특별시 성북구 아리랑로19길 46-2,한정식 / 백반 / 정통 한식,만원 미만,20,4.0,37.6026763,127.010733
12,우리할매떡볶이,서울특별시 성북구 보문로30길 82,기타 한식,만원 미만,15,4.0,37.5910816,127.0199983
13,호랑이김밥,서울특별시 성북구 성북로 18,기타 한식,만원 미만,5,4.0,37.5897578,127.0049073
14,돈암순대,서울특별시 성북구 동소문로18길 12-3,탕 / 찌개 / 전골,만원 미만,14,3.9,37.59162060000001,127.0156917
15,제순식당,서울특별시 성북구 동소문로20다길 30-9,한정식 / 백반 / 정통 한식,만원 미만,25,3.7,37.5917772,127.0184831
16,성북동돼지갈비집,서울특별시 성북구 성북로 115,고기 요리,만원 미만,16,3.7,37.5932483,126.9960567
17,태조감자국,서울특별시 성북구 보문로34길 43 세학빌딩,탕 / 찌개 / 전골,만원 미만,20,3.7,37.5907826,127.017715
18,미스터국밥,서울특별시 성북구 고려대로 102,탕 / 찌개 / 전골,만원 미만,11,3.7,37.59040299999999,127.035926
19,오박사네왕돈가스,서울특별시 성북구 혜화로 80,기타 한식,만원 미만,20,3.6,37.5925549,126.9989682
20,구포국수,서울특별시 성북구 성북로 52-1,국수 / 면 요리,만원 미만,10,3.6,37.5924992,127.0027159
21,돈까스하우스,서울특별시 성북구 고려대로27길 15 2F,기타 한식,만원 미만,5,3.6,37.59040299999999,127.035926
22,석관시장떡볶이,서울특별시 성북구 돌곶이로18길 27-9,기타 한식,만원 미만,12,3.6,37.6098447,127.0604356
23,서울쌈냉면,서울특별시 성북구 개운사길 21-4,국수 / 면 요리,만원 미만,10,3.6,37.5874416,127.0288585
24,유자유김치떡볶이,서울특별시 성북구 인촌로24길 47,기타 한식,만원 미만,34,3.5,37.5840706,127.0295975
25,삼통치킨,서울특별시 성북구 인촌로24길 60,닭 / 오리 요리,만원 미만,25,3.5,37.5834169,127.0293206
26,치즈를사랑한찜닭,서울특별시 성북구 개운사길 21-3 2F,닭 / 오리 요리,만원 미만,8,3.5,37.5872626,127.0288936
27,금왕돈까스,서울특별시 성북구 성북로 138,기타 한식,만원 미만,15,3.4,37.5948081,126.9943757
28,쌍다리돼지불백,서울특별시 성북구 성북로23길 4,한정식 / 백반 / 정통 한식,만원 미만,15,3.3,37.5934747,126.9956687
29,추억의 옛날떡볶이,서울특별시 성북구 동소문로22길 39-5,기타 한식,만원 미만,20,3.3,37.5914138,127.0185581
30,온달왕돈까스,서울특별시 성북구 동소문로20가길 4,기타 한식,만원 미만,16,3.1,37.5921262,127.0168899
31,손가네,서울특별시 성북구 성북로15길 8,탕 / 찌개 / 전골,만원 미만,7,,37.5930531,127.0003453
32,고대맛집ㅋㅋ,서울특별시 성북구 안암로9가길 80-17,기타 한식,만원 미만,5,,37.5827683,127.0286792
