,가게이름,리뷰아이디,리뷰,맛평가
1,일흥콩나물국밥,주아팍,"청명(淸明)함이 담긴 국밥 한 그릇한때 보문역을 뻔질나게 드나들었음에도 왜 이곳의 존재를 몰랐을까. 끊임없는 극찬이 궁금해 성북구투어 중 조식으로 일흥콩나물국밥을 방문했다. 아주 조그만 동네 가게고 평소에도 콩나물국밥을 찾아먹진 않는 편이라 사실 큰 기대없이 방문했다. 또 콩나물국밥을 떠올렸을 때 흔히 떠올리는 맛과 질감으로 예상했는데, 결과적으로 일흥은 완전히 콩나물국밥의 신세계를 보여줬다. 뚝배기에 담겨나온 콩나물국밥은 아주 맑고 깨끗한 비쥬얼을 선보인다. 맛 역시 깨끗함의 극치. 국물을 한 숟갈 떠먹으면 아주 맛좋은 물을 마시듯이 혀와 목구멍을 맑게 흘러가서 ‘음식을 삼킨다’라는 표현이 어색할 정도다. 칼칼함이나 자극적인 맛 하나 없는데 국밥을 먹을수록 시-원하고 온몸이 풀리는 기분이 든다.그릇에 따로 수란을 내어주는 전주식과는 달리 이곳은 수란이 콩나물국밥에 담겨나온다. 수란을 그대로 떠 한입에 넣고 먹으면 입안 가득 고-소하면서도 따수운 노른자가 퍼진다. 하나도 비리지 않는 것이 계란 역시 매우 싱싱한 걸 쓰시는 듯 하다. 콩나물국밥 자체도 인상깊지만 반찬들도 빠짐없이 맛있다. 특히 토하젓이 나오는 점이 신기한데, 살짝 얹어먹으면 짭쪼름한 맛과 감칠맛이 더해진다. 아삭아삭한 깍두기 역시 아주 잘 익어 국밥과 잘 어울린다.  방문 당시 약간 피로한 상태였는데, 국밥을 먹으면서 반쯤 감겼던 몸과 정신이 깨는 기분이었다. 술 취한 다음날은 당연히 좋고, 자극적이지 않은 국물로 식사를 하고 싶을 때 방문하기 좋다. 국밥으로 뜨끈하게 몸을 데우고 바로 앞 성북천에서의 여유로운 산책도 추천드린다.",맛있다
2,일흥콩나물국밥,우이리,콩나물해장국 7000역시 국물이 깔끔합니다. 채수가 아닐까라는 생각이 들 정도네요. 사실 멸치와 뒤포리향이 납니다. ^^토하젓 안 넣고 먹어도 시원하니 좋네요.막수저에 드는 생각은 '전보다 조금 칼칼해진건가?'깍두기 아주 시원하니 맛있어요.,맛있다
3,일흥콩나물국밥,Luscious.K,"#삼선동 #일흥콩나물해장국""무형문화제로 보존했으면 하는 장인의 음식""조금은 썰렁한 가게에 들어서면 가게 안쪽 단촐한 주방에서 김을 모락모락 피우며 국밥을 말고 있는 주인장의 모습이 보인다.말수도 적고 걸음걸이도 느릿한 것이 바쁘게 돌아가는 도시의 모습과는 동떨어진 모습이다.오래 사용해 낡은 앞치마를 두른 주인장의 모습에는 빠르지는 않지만 기본을 지키는 <음식 만드는 사람>의 결의가 느껴지기까지 한다.시간이 느리게 가는 것 같은 느낌의 콩나물국밥집. 일흥의 첫 인상은  이랬다.지금까지 콩나물국밥은 전주라고 알고있었는데, 일흥은 전주식이 아닌 군산식 콩나물국밥을 내어주시는 곳이다.수란을 따로 내어주는 전주식과는 달리 군산식은 생달걀을 밥 위에 올리고 그 위에 펄펄 끓는 국물을 부어 수란 처럼 익혀내는 것이 특징이다.내어주신 국밥에 계란의 익힘 정도가 어찌나 완벽한지, 왠만한 쉐프의 수란 만드는 솜씨는 명함도 못내밀 정도의 멋진 솜씨다.국물은 명품이다.진한 멸치국물이 혀에 시원함과 감칠맛의 쾌감을 전해주는데, 이 시원함을 유지하기위해 다대기 대신 아주 고운 청양고추가루를 고명으로 올린다.그러다보니 텁텁한 맛 보다는 미세한 입자감의 칼칼함이 국물 전체적인 맛을 상승시킨다. 이 때 계란 노란자를 터트려 고루 섞어 먹으면 다른 곳과는 차별적인 일흥의 맛이 완성이 된다.참 맛있다.콩나물 국밥집의 기본이겠지만 콩나물도 두껍거나 억세지 않고 마치 어린 콩나물인냥 아삭하면서 부드럽다.이 모든 요소들이 단순히 먹거리를 만드는 손이 아닌 장인의 마음과 손길에서 탄생한 작품 같은 느낌인데, 이 장인은 여기서 만족하지 않고 자신의 작품을 더 돋보이게할 작은 장치 하나를 더했다.바로 <토하젓>이다.곁들임으로 곱게 갈은 토하젓을 내어주신다.조미료가 가득한 감칠맛 덩어리가 아니다. 강렬한 짠맛이 우세하지만 흙향은 적고 오히려 게의 풍미까지 느껴지니는 기가막힌 토하젓이다.국밥 한 숟가락에 토하젓 조금 올려 먹으면 맛의 어우러짐과 만족도는 극치에 달한다.이제는 연로하신 사장님은 1975년부터 운영을 하시던 군산 콩나물국밥 전문점인 일흥옥의 맏아들이자 일흥옥맛의 계승자이신데 원조인 일흥옥을 다른 분께 넘기시고 지금은 서울에서 소박하게 그 맛을 이어가고 계신다.카드도 받으시긴 하지만 현금으로 계산하고 싶어 5만원권을 드리니 잔돈이 없으시단다. 그 정도의 잔돈 회전도 안되는 소박한 가게라고 생각하니 맛으로 느꼈던 장인의 기술들이 마음 짠하기까지 했다.양해를 구하고 부지런히 길 건너편 카페에서 커피 한잔을 현금으로 사고 밥값 계산하면서 따듯한 커피 한 잔 전해드리니, 밥값 내려고 커피 샀냐고 타박 같은 고마움을 전해주셨다.나만의 욕심이겠지만 이집은 더 유명해지만 안되겠다.지금보다 손님이 더 많아지면 사장님 건강에 영향을 줄 것 같은 느낌이 든다.딱 지금 정도, 그리고 이 소박한 기술이 전승될 수 있을 정도가 적당할 것 같다.그래야 이 멋진 맛을 더 많은 사람들이 오랫동안 즐길 수 있을테니 말이다.#동네식당응원프로젝트",맛있다
4,일흥콩나물국밥,코랄,숨겨진 국밥 맛집 맞네!문 닫는 시간이 그때그때 다르고 저녁 꽤 이른 시간에 마감하신다고 들어서 기회를 보다가 드디어 가봤다.일단 단일 메뉴인 것부터 간지다. 모주도 잔술로 팔고 계셨는데 궁금하다.콩나물 해장국으로서 시원함이 느껴지지만 동시에 참기름의 고소한 맛이 확 올라오는 게 특징이다. 내가 국밥력과 표현력이 부족해 맛 표현을 어떻게 해야 하는지 모르겠는데 그때 다녀온 이후로 종종 생각나는 맛이다. 조만간 또 먹고 싶다. 재방문 의사 많음!!,맛있다
5,일흥콩나물국밥,Colin B,"“단언컨대, 서울 최고의 콩나물국밥”<‘일흥콩나물국밥’의 콩나물국밥과 모주>밀려있는 리뷰들 다 제쳐놓고 쓰는 이 글.우리나라의 콩나물국밥은 ‘전주식’과 ‘군산식’ 두 가지로 나눠볼 수 있다. 여러 해산물로 육수를 낸 콩나물국에 넉넉히 준비한 찬을 곁들이는 전주식에 비해, 군산식은 멸치로 우려낸 국물에 밥을 말고 젓갈, 깍두기를 곁들이는 소박한 탕반이다.성북구에 위치한 ‘일흥콩나물국밥’은 군산에서 50여년 간 성업 중인 일흥옥의 창업주 자제분이 운영하는 곳이다. 위치도 애매하고, 콩나물국밥이란 음식이 젊은 사람들에게 선호되는 메뉴도 아니다 보니 세간에 거의 알려지지 않은 식당이다.어느 정도 기대를 하고 방문한 식당이긴 했지만, 이 곳은 올해 내가 다녔던 많은 식당들 중에 최고였다.메뉴는 오로지 콩나물국밥과 모주 두 가지. 콩나물국밥 6천원, 모주 2천원 해서 ‘여기 있는 메뉴 다 주세요.’ 해도 8천원이다.직접 담궈서 그릇에 담아 주는 모주. 주말 아침 빈 속에 때려 박아 본다. 막걸리보다 조금 더 걸쭉한 목넘김, 입 안 가득 퍼지는 계피향과 달콤함. 크으~~~콩나물국밥은 멸치 육수에 콩나물, 파, 조미김, 다대기를 넣고 계란 하나를 풀어서 나온다. 노른자를 터뜨려 첫 술 뜨자마자 알았다. 여기는 진짜라는 걸. 일반적으로 접하는 것보다 얇아 아삭하면서도 질기지 않은 콩나물, 다대기가 더해져 얼큰하고 시원한 국물, 잘 토렴된 쌀밥. 거기에 직접 담군 토하젓을 살짝 올려서 먹으면 진짜 기가 막힌다.계산하면서 주방을 보니 음식에 들어가 있지 않은 덖은 청량고추가 있다. 이건 어디 쓰시는 거냐 여쭈었더니, 좀 더 얼큰하게 먹고 싶어하는 손님들을 위해 준비해둔 것이라고. 인당 8천원만 있으면 되니, 다들 제발 여기 가서 사장님 돈쭐 좀 내주세요…instagram: colin_beak",맛있다
6,일흥콩나물국밥,권오찬,"* 한줄평 : 서울에서 즐기는 <군산식> 콩나물 해장국1. 이건 우리가 전 세계에서 무조건 <일등>이라고 자신있게 내놓을 수 있는 것이 있으니 바로 <음주가무>이다. 요즘에야 시대가 변해 찾아보기 힘든 풍경이지만, 술을 마시면 노래가 빠질 수 없다며 소주병에 숟가락 꽂아 즉석 노래 대회를 진행한 것이 불과 십수년 전 회식 풍경이다.2. 이제 한국의 병맥주는 아예 소주에 말아먹을 걸 염두에 두고 만드는지 그냥 먹으면 밍밍하기만 한 맥주가 소주잔 2개를 겹쳐 만들어낸 황금 비율 제조 비법을 거치면 위스키 부럽지 않은 명주로 재탄생한다.3. 다른 나라에서는 찾아보기 힘든 한국의 독특한 술문화는 한반도의 탕반 문화와 결합하여 <해장국>이라는 독보적인 음식 장르를 탄생시켰다.4. 해장국 장르 중 가장 접하기 쉬운 음식이 바로 “구하기 쉽고, 끓이기 쉬운” 콩나물국이다.전주에는 유명한 음식이 2가지 있으니 바로 비빔밥과 콩나물국이다. 외지인들은 전주 비빔밥을 쳐주고, 토박이들은 오히려 콩나물국에 자부심을 갖고 있다. 5. 조선왕조의 본향인 전주에서 콩나물국을 단순하게 조리할리는 만무할터! 육수도 오징어와 조개 등 해산물을 이용하고, 반찬 역시 김과 젓갈, 장조림 등 가짓수가 적지 않고, 수란을 별도로 만드는 노고를 아끼지 않는다.6. 전주의 콩나물국밥이 양반가의 화려한 한상차림이라면 <군산식 콩나물 국밥>은 노동자의 소박한 밥상이다. 뚝배기에 밥을 넣고 멸치로 우려낸 국물을 <토렴>하고 그 위에 계란과 아삭한 콩나물을 얹는 식이다. 반찬 역시 깍두기와 고추, 새우젓 등 단촐하지만, 이 외 또 뭐가 필요있으랴라는 생각이 들만큼 완벽한 국밥이다.7. 누가 조리해도 평균적인 맛을 내는 음식 중 하나가 콩나물국이다. 반대로 콩나물국은 기대치를 넘어서는 맛을 만들어내기 어려운 음식이다. 그래서 그런지 시중 상업 식당에서 콩나물국을 메인 메뉴로 내놓는 집을 만나기는 쉽지 않다.깔끔하고 깨끗한 콩나물국을 선호한다면 계란 노른자는 터뜨리지 말고 수저로 떠 “삼켜 먹어보길” 권한다. 식도를 따라 내려가는 눅진한 노른자의 고소함이 속을 든든하게 해준다.# 추가잡설 군산에서 잠시 근무하던 시절이 있었는데, 감탄하며 경험했던 식당 중 하나가 바로 초원사진관 근처 <일흥옥>이다.이 식당도 지금은 간판 상호를 <일흥 콩나물국밥>으로 바꿨다지만 본래 상호는 일흥옥이라 알고 있다.계산을 하며 여쭤봤더니 군산 일흥옥을 30여년전 어머니와 운영하셨었고 가게를 넘기고 서울로 올라오셨다고 한다.군산 일흥옥은 1975년 개업한 콩나물국밥 단일메뉴 노포인데, 원천기술을 창업주에게 물려받은 자제분의 음식을 서울에서 맛보다니 감개 무량하다.",맛있다
7,일흥콩나물국밥,우이리,이런 곳이 아직도 모르는 곳에 있다니...정말 놀랍네요.늦은 점심이라 그런지 몰라도 정말 맛있게 먹었습니다.깔끔하고 시원한 국물이 일품이네요.깍두기가 무껍질을 안 벗기셔서 식감이 거시기하긴해도 국밥 국물이 용서하게 하네요.,맛있다
8,일흥콩나물국밥,마시쪙,이 집은 토렴을 한다.맛있다처음에 먹을땐 싱거울 수도 있으나깍두기가 자극적이므로 둘이 같이 먹으면 된당 ㅎ가격은 6000원이다나는 남길정도였는뎅...양이 모자라진 않았음..,맛있다
9,일흥콩나물국밥,심윤선,"이른 새벽부터 여는 식당.이 정도의 부지런함인데 당연히 믿고 먹을만한 곳.가성비를 따지자면 떨어지긴 하지만, 또 가고 싶은 곳!메인 메뉴는 해장국 하나, 가격은 5500원 인가 6000원이다.",맛있다
10,고른햇살,준영,"맞은 편 골목으로 확장 이전하면서 테이블마다 태블릿이 생겼어요! 그래서 주문과 결제를 앉은자리에서 착착 할 수 있답니다ㅎㅎ 근데 음식 가지러는 가야해서 어차피 일어나기는 해야함,, 밥을 먹고온 터라 김밥이랑 순대만 시켰어요. 김밥이야 늘 먹는 맛있는 맛이었는데 평소보다 참치가 쪼꼼 적어서 아쉬웠구요ㅎㅎ 순대는 내장도 넉넉하게 썰어주셔서 맛있게 먹었습니다!!",맛있다
