,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,스마일닭강정,서울특별시 도봉구 도봉로110아길 7 1F,닭 / 오리 요리,만원 미만,6,4.3,37.6458243,127.0375845
2,엘림들깨수제비칼국수,서울특별시 강북구 삼각산로 67,국수 / 면 요리,만원 미만,15,4.1,37.6399551,127.0117594
3,벼랑순대국,서울특별시 강북구 한천로 924,탕 / 찌개 / 전골,만원 미만,8,4.1,37.6342649,127.0372351
4,참만두,서울특별시 도봉구 노해로 383 KB국민은행 창동지점 앞,한정식 / 백반 / 정통 한식,만원 미만,10,4.0,37.6525534,127.0507378
5,여러분평양냉면,서울특별시 강북구 한천로 1074 1F 7호,국수 / 면 요리,만원 미만,13,3.9,37.6424071,127.0238104
6,북한산 인수재,서울특별시 강북구 수유동 산 17-1,고기 요리,만원 미만,5,3.9,37.6463274,127.0033258
7,최고집칼국수,서울특별시 도봉구 덕릉로 270,국수 / 면 요리,만원 미만,5,3.8,37.6411202,127.0409232
8,옛곰탕집,서울특별시 강북구 도봉로71가길 4,탕 / 찌개 / 전골,만원 미만,14,3.7,37.6314831,127.0227297
9,춘천막국수,서울특별시 강북구 삼양로141길 4-4,국수 / 면 요리,만원 미만,12,3.7,37.65047330000001,127.0127873
10,수유리우동집,서울특별시 강북구 덕릉로 98,기타 한식,만원 미만,5,3.6,37.6345609,127.0245724
11,수유손칼국수,서울특별시 강북구 도봉로101길 45,국수 / 면 요리,만원 미만,5,3.6,37.6439312,127.0283411
12,제일분식,서울특별시 강북구 숭인로 65-3,기타 한식,만원 미만,5,2.8,37.6126007,127.0289029
13,썬데이스낵,서울특별시 강북구 도봉로10길 54 남상빌딩 1F,기타 한식,만원 미만,4,,37.6149936,127.0309525
14,크래미김밥우동집,서울특별시 강북구 노해로 117,기타 한식,만원 미만,4,,37.645682,127.0241007
15,어랑,서울특별시 도봉구 도봉로170길 2,한정식 / 백반 / 정통 한식,만원 미만,2,,37.6803234,127.045755
16,재영통닭,서울특별시 강북구 도봉로87길 40,닭 / 오리 요리,만원 미만,3,,37.6391451,127.023665
17,한끼만두,서울특별시 강북구 도봉로71길 17,한정식 / 백반 / 정통 한식,만원 미만,3,,37.6311902,127.0230508
18,예와손만두,서울특별시 강북구 4.19로 40-8,한정식 / 백반 / 정통 한식,만원 미만,6,,37.6396099,127.0256575
19,시장떡복이,서울특별시 강북구 노해로17길 21 수유중앙시장 1F,기타 한식,만원 미만,3,,37.6403089,127.0213394
20,박리김밥,서울특별시 도봉구 덕릉로57길 22 ,기타 한식,만원 미만,2,,37.6395746,127.0374476
21,담소두부,서울특별시 강북구 삼각산로 57,한정식 / 백반 / 정통 한식,만원 미만,4,,37.6397222,127.0106351
22,도리연닭도리탕,서울특별시 강북구 도봉로87길 40 2F,닭 / 오리 요리,만원 미만,5,,37.6391451,127.023665
23,우리할매떡볶이,서울특별시 도봉구 도봉로152길 32 1F 102호,기타 한식,만원 미만,4,,37.6692879,127.0455608
24,맛나당왕만두,서울특별시 도봉구 덕릉로 235,국수 / 면 요리,만원 미만,2,,37.6388915,127.0380921
25,왔다함흥냉면,서울특별시 강북구 한천로131길 21,국수 / 면 요리,만원 미만,2,,37.6383047,127.0272983
26,청년다방,서울특별시 강북구 한천로139길 33,기타 한식,만원 미만,3,,37.6387923,127.0254564
27,행복들깨칼국수,서울특별시 강북구 삼양로173길 41-11,국수 / 면 요리,만원 미만,2,,37.662086,127.0100323
28,토방청국장,서울특별시 강북구 삼각산로 63,탕 / 찌개 / 전골,만원 미만,5,,37.63980189999999,127.011221
29,대중집,서울특별시 강북구 도봉로 259,탕 / 찌개 / 전골,만원 미만,3,,37.6313416,127.0235915
30,경우가,서울특별시 도봉구 덕릉로 282-1,탕 / 찌개 / 전골,만원 미만,1,,37.6420581,127.041582
31,미아골목냉면,서울특별시 강북구 도봉로13길 22,국수 / 면 요리,만원 미만,1,,37.6151141,127.0291783
32,수유골목냉면,서울특별시 강북구 솔매로45길 92,국수 / 면 요리,만원 미만,2,,37.6300296,127.0240221
33,청양육개장,서울특별시 강북구 도봉로53길 7 1F,탕 / 찌개 / 전골,만원 미만,3,,37.6265896,127.0253393
34,영즉석떡볶이,서울특별시 도봉구 도봉로109길 35-26,기타 한식,만원 미만,4,,37.6458525,127.0316725
35,봉평메밀촌,서울특별시 도봉구 방학로 31-16 신일빌딩,국수 / 면 요리,만원 미만,2,,37.6618167,127.0485818
36,두메골,서울특별시 강북구 삼양로 187,고기 요리,만원 미만,2,,37.620513,127.0205455
