,가게이름,리뷰아이디,리뷰,맛평가
1,스마일닭강정,봄잇,스마일닭강정 박스부터 예쁘다이번엔 고추마늘이랑 마늘 대로 2개 시켰다바싹바싹 마늘향도 팡팡 고추향도 팡팡아주 굿!!잡내도 안난다. 번창하세요!!,맛있다
2,스마일닭강정,samludens,별⭐⭐⭐⭐⭐골목식당에 나온 맛집들이 다 엄청난 맛집이라고 보긴 어렵지만이 곳 만큼은 인정하고 싶다.영업종료 시점 방문한 이 곳의 닭강정은 여전히 밝은 사장님과 귀여운 스마일이 맞이해 주었고골목식당 초창기에 많은 손님들이 한꺼번에 밀려 스마일 닭강정이 새드 닭강정이 되었던 이야기에 웃음지으며 대화도 해주시고마지막 땅콩 가루를 정말 푸짐하게 뿌려주는 이 곳 닭강정은포장시에 뚜껑을 닫지 않고 완벽하게 바삭함을 유지하게 해주었다ㅋ첫 한조각을 입에 넣었을때 양념이 발라져 있음에도 바삭함이 느껴지고 우와 하는 말이 절로 나왔다.다녀온지 3일이 지난 지금도 떠오르는 닭강정내일 가야지 이젠 닭강정은 여기다만석 닭강정보다 훨 낫다,맛있다
3,스마일닭강정,우이리,마늘간장(중) 7500주문하고 20분뒤에 찾으러 오라네요. 마늘향이 진하네요. 튀김옷이 딱딱한 편인데 먹기어렵지 않아요. 짭쪼름한데 생각보다는 달지않았어요. 덜달아서인지 제 아들넘은 별로라네요.,맛있다
4,스마일닭강정,dally116,골목식당 창동시장편에 나온 닭강정집. 요즘은 전화없이 가도 바로 픽업이 가능해서 집오는 길에 포장~ 고추마늘로 샀는데 끝맛만 맵고 달달구리해서 맛있었어요. 요즘 닭강정집이 워낙 많고 뭐가 다르겠냐 했는데 다르더라구요. '자극적이지 않고 짜지 않은데 맛있다'는게 제일 큰 차이점이예요. 게다가 2-3인 먹기 딱 좋은 양~근데 대가족인 분들을 위해서 특대 17000원에 1.5배정도 담아주는 메뉴도 있음 참 좋을 것 같네요! 친정에서 여섯식구 먹으려니 2박스 사야해서 불편하더라구요^^;; 총평: 내 아이에게 먹여도 안심될 것 같은 닭강정.,맛있다
5,스마일닭강정,준영,골목식당에 나왔던 닭강정집! 방송 직후에는 문 닫아서 계속 못먹었었는데 드디어 전화 예약하고 픽업했어요ㅎㅎ 요즘은 계속 8시까지 하시나봐요! 가족들이 매운걸 못먹어서 간장으로 했는데 짭쪼롬 달콤한게 너무 맛있었어요ㅎㅎ 닭강정하면 노맛 속초닭강정 밖에 생각이 안나서 비호감이었는데 바뀌었습니다ㅎㅎㅎ 나오자마자 하나만 몰래 쇽 먹었는데 진짜 육집 부드럽고 좋았어요.. 식어도 적당히 파삭하니 맛있더라구요.  근데 왜 제일 작은 컵이 제일 싸고 중자가 제일 비싼지 알 수 없는 노릇ㅋㅋㅋ 사장님들은 방송 나왔던 것처럼 친절하셨습니다!,맛있다
6,스마일닭강정,야구소년,야구시즌에 딱인 주전부리. 동네 닭깡정 중 유일하게 1일 1깡 가능한 맛. 간혹 20퍼센트의 확률로 잡내나는 피스도 있긴하지만. 방탄조끼를 입은 듯 얇고 빠삭한 튀김 옷과 꾸럭미가 더해진 달콤한 소스가 한층 맛을 살린다. 이정도면 화려한 조명이 나를 감싸네.공원에서 먹으려. 사장님이 꼬치 몇개 드릴까요 묻길래 3개 주세요 라고 답했는데. 막상 꼬치가 없는 건 함정. 무척 당황스러웠지만. 근처 편의점에서 젓가락을 급하게 공수. 하지만 젓가락 마저 부러져. 이번엔 화가 나 비효과 레인이펙트.,맛있다
7,엘림들깨수제비칼국수,SYKim,설명이 필요없는 식당이죠. 개인적으로 들깨요리가 꼭 먹고싶다 땡기지는 않는 편인데 가서 먹어보면 왜 이걸 안먹었지 싶은 만족감이 가득한 집. 추천해요,맛있다
8,엘림들깨수제비칼국수,야미야미,"들깨칼국수부터 비빔밥, 수육까지 맛볼 수 있는 푸짐한 가게!주문 메뉴: 들깨칼국수분위기: 요즘 분위기의 트렌드한 가게는 아니고 그냥 동네 칼국수집 같은 곳. 인기가 많아서 손님이 끊임없이 들어온다.양: 들깨칼국수만 시켰을 뿐인데 에피타이저로 간단한 보리비빔밥과 수육, 칼국수까지 푸짐하게 즐길 수 있다. 메인인 들깨칼국수 양도 푸짐하다.질: 보리비빔밥은 그냥 딱 아는 맛. 수육은 촉촉하고 부드럽다. 들깨칼국수는 들깨 맛이 제대로 나는 고소한 칼국수. 김치가 좀 짜다 생각했는데 칼국수랑 잘 어울리는 맛이다. 고소함 가득한 들깨칼국수 먹다가 좀 질릴까 싶을 때 김치가 개운하게 만들어준다. 전체적으로 밸런스가 좋은 가게.추천이유: 이 가격에 이렇게 여러 요리를 이정도 퀄리티로 다 맛볼 수 있다니!",맛있다
9,엘림들깨수제비칼국수,야구소년,첫 리뷰를 쓸때 6천원이였던 칼제비가 지금은 9천원으로 올랐다. 하지만 여전히 가성비는 훌륭하다. 보리밥 - 보쌈 - 칼제비로 이어지는 구성은 똑같고 맛도 변치 않았다. 부드럽고 고소한 칼제비와 아삭한 겉절이. 그리고 부드러운 보쌈까지. 서울 강북구의 대표 칼국수가 아닌가 싶다. 요즘엔 밀키트도 판매하던데 기회되면 도전해봐야지.,맛있다
10,엘림들깨수제비칼국수,레드블랙,"들깨칼국수 좋아하는 1인공구로 밀키트를 주문하여 집에서 손쉽게 조리!본점은 우리집에서 거리도 상당하니 이렇게 간편히 유명 들깨칼국수와 김치를 먹을 수 있음에 상당히 만족함.육수분말, 매우 새롭게 껍질을 벗겨 곱게 빻은 들깨가루, 매밀면으로 후루룩 식사 한끼 완료",맛있다
