,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,애성회관,서울특별시 중구 남대문로5길 23,탕 / 찌개 / 전골,만원 미만,25,4.5,37.5623993,126.978905
2,부민옥,서울특별시 중구 다동길 24-5,탕 / 찌개 / 전골,만원 미만,44,4.3,37.5673408,126.9807076
3,진주회관,서울특별시 중구 세종대로11길 26,국수 / 면 요리,만원 미만,40,4.2,37.5623429,126.9744756
4,통통김밥,서울특별시 중구 남대문시장2가길 6-13,기타 한식,만원 미만,6,4.1,37.559127,126.9769554
5,닭진미강원집,서울특별시 중구 남대문시장길 22-20,닭 / 오리 요리,만원 미만,25,4.0,37.5595558,126.9770503
6,광화문 몽로,서울특별시 중구 세종대로21길 40,닭 / 오리 요리,만원 미만,19,4.0,37.5682285,126.9758336
7,유림면,서울특별시 중구 서소문로 139-1,국수 / 면 요리,만원 미만,9,4.0,37.5642049,126.9760845
8,남대문야채호떡,서울특별시 중구 남대문로 12,기타 한식,만원 미만,30,4.0,37.5605184,126.9771865
9,농민백암순대,서울특별시 중구 남대문로1길 33,탕 / 찌개 / 전골,만원 미만,28,4.0,37.5625517,126.9771474
10,닭칼원조집,서울특별시 중구 청파로 435 1F,닭 / 오리 요리,만원 미만,10,4.0,37.5584798,126.9690527
11,현대칼국수,서울특별시 중구 세종대로 76 청남빌딩,국수 / 면 요리,만원 미만,10,4.0,37.5628327,126.976933
12,덕수정,서울특별시 중구 정동길 41,탕 / 찌개 / 전골,만원 미만,21,4.0,37.565833,126.9725487
13,가메골손왕만두,서울특별시 중구 남대문시장4길 42,한정식 / 백반 / 정통 한식,만원 미만,35,3.9,37.5583246,126.9771067
14,송옥,서울특별시 중구 남대문로1길 11,국수 / 면 요리,만원 미만,26,3.9,37.5615227,126.9773595
15,중림장설렁탕,서울특별시 중구 청파로 459-1,탕 / 찌개 / 전골,만원 미만,5,3.9,37.5602339,126.9676919
16,청송옥,서울특별시 중구 서소문로11길 14,한정식 / 백반 / 정통 한식,만원 미만,9,3.9,37.5634345,126.9730752
17,북창동순두부,서울특별시 중구 세종대로 78 디지틀조선일보빌딩 2F,탕 / 찌개 / 전골,만원 미만,7,3.8,37.5630937,126.9770007
18,이북만두,서울특별시 중구 무교로 17-13,한정식 / 백반 / 정통 한식,만원 미만,16,3.7,37.5672148,126.9785303
19,제주산방식당,서울특별시 중구 세종대로 39,국수 / 면 요리,만원 미만,7,3.5,37.5606707,126.9737639
20,소공동뚝배기집,서울특별시 중구 서소문로11길 18,한정식 / 백반 / 정통 한식,만원 미만,7,3.5,37.5636465,126.9730089
21,부원면옥,서울특별시 중구 남대문시장4길 41-6 부원상가 2F,국수 / 면 요리,만원 미만,25,3.2,37.55841849999999,126.9775865
22,진주집,서울특별시 중구 남대문시장길 22-2,탕 / 찌개 / 전골,만원 미만,15,3.2,37.5599696,126.9770797
23,오징어풍경,서울특별시 중구 다동길 5 광일빌딩 1F,한정식 / 백반 / 정통 한식,만원 미만,15,,37.5680789,126.9796787
24,전주유할머니비빔밥,서울특별시 중구 세종대로14길 27-2,기타 한식,만원 미만,4,,37.5629244,126.9783568
