,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,고삼이,서울특별시 서대문구 연세로7안길 38,한정식 / 백반 / 정통 한식,만원 미만,25,4.3,37.55828109999999,126.9346978
2,영미김밥,서울특별시 서대문구 신촌역로 21 1F,기타 한식,만원 미만,10,4.3,37.55860620000001,126.9424949
3,심플리키친,서울특별시 서대문구 이화여대5길 35 107호,기타 한식,만원 미만,29,4.3,37.5583317,126.9448095
4,북성해장국,서울특별시 서대문구 신촌로35길 7,탕 / 찌개 / 전골,만원 미만,11,4.3,37.5577733,126.955106
5,조선의육개장,서울특별시 서대문구 연세로5나길 20,탕 / 찌개 / 전골,만원 미만,82,4.0,37.5570056,126.9350431
6,오리지날분식,서울특별시 서대문구 이화여대길 88-9,기타 한식,만원 미만,5,4.0,37.559299,126.9435909
7,만냥하우스,서울특별시 서대문구 성산로 402-1,기타 한식,만원 미만,11,4.0,37.5612501,126.9323205
8,또보겠지떡볶이집,서울특별시 서대문구 연세로4길 19,기타 한식,만원 미만,35,3.9,37.5573377,126.9377977
9,연희김밥,서울특별시 서대문구 신촌로 61-1 화현빌딩,기타 한식,만원 미만,6,3.9,37.5566103,126.9332673
10,치즈를사랑한찜닭,서울특별시 서대문구 연세로 29,닭 / 오리 요리,만원 미만,23,3.8,37.5581742,126.9366314
11,청년국수,서울특별시 서대문구 연세로12길 23,국수 / 면 요리,만원 미만,25,3.7,37.5590407,126.9383032
12,소녀방앗간,서울특별시 서대문구 이화여대길 52-39,한정식 / 백반 / 정통 한식,만원 미만,29,3.7,37.55942720000001,126.9451329
13,유자유김치떡볶이,서울특별시 서대문구 연세로11길 22,기타 한식,만원 미만,10,3.7,37.5589859,126.9356204
14,크리스터치킨,서울특별시 서대문구 연세로11길 30,닭 / 오리 요리,만원 미만,13,3.7,37.5589763,126.9351599
15,빠빠빠치킨,서울특별시 서대문구 연세로11길 19,닭 / 오리 요리,만원 미만,15,3.7,37.5588317,126.9357007
16,신촌 닭한마리 유닭스토리,서울특별시 서대문구 연세로4길 7,닭 / 오리 요리,만원 미만,11,3.7,37.5570473,126.9373627
17,유채우요리사랑,서울특별시 서대문구 연세로 41,한정식 / 백반 / 정통 한식,만원 미만,8,3.7,37.5592006,126.9367515
18,새문순대국,서울특별시 마포구 대흥로 163-1,탕 / 찌개 / 전골,만원 미만,15,3.6,37.5536149,126.9456642
19,김광석신촌칼국수,서울특별시 서대문구 명물길 70 1F,탕 / 찌개 / 전골,만원 미만,5,3.6,37.5588248,126.9400516
20,어바웃샤브,서울특별시 서대문구 이화여대8길 2,탕 / 찌개 / 전골,만원 미만,11,3.6,37.558617,126.9459253
21,베지베어,서울특별시 서대문구 신촌역로 25-2 박스퀘어 2F 49호,퓨전 한식,만원 미만,6,3.6,37.5587897,126.9422603
22,신촌수제비,서울특별시 서대문구 신촌로 87-8,국수 / 면 요리,만원 미만,17,3.5,37.555843,126.9363069
23,도토리칼국수,서울특별시 서대문구 명물길 27-19,국수 / 면 요리,만원 미만,18,3.5,37.55875109999999,126.9381591
24,맨도롱식당,서울특별시 서대문구 연세로5가길 8-3,국수 / 면 요리,만원 미만,15,3.5,37.5573596,126.9361257
25,설레임삼겹살,서울특별시 서대문구 연세로5가길 31 낙원빌딩 1F,고기 요리,만원 미만,13,3.5,37.5571547,126.9348882
26,형제식당,서울특별시 마포구 신촌로16길 4,기타 한식,만원 미만,8,3.5,37.55546630000001,126.9348035
27,엠브로돈까스,서울특별시 서대문구 명물길 26 1F,기타 한식,만원 미만,14,3.4,37.557839,126.9382343
28,뜸들이다,서울특별시 마포구 백범로 20,기타 한식,만원 미만,5,3.4,37.552912,126.9370151
29,딸기골분식,서울특별시 서대문구 연대동문길 29,기타 한식,만원 미만,8,3.4,37.5638792,126.9438228
30,화가와요리사,서울특별시 서대문구 성산로 539,기타 한식,만원 미만,14,3.4,37.5644061,126.9450118
31,보승회관,서울특별시 서대문구 연세로5길 26,탕 / 찌개 / 전골,만원 미만,8,3.4,37.5565413,126.9354096
32,돈까스대왕전,서울특별시 서대문구 신촌로 155 해암빌딩 2F,기타 한식,만원 미만,6,3.4,37.556952,126.9432232
33,디델리,서울특별시 서대문구 이화여대7길 16 2F,기타 한식,만원 미만,13,3.3,37.55875810000001,126.9446749
34,독립문설렁탕,서울특별시 서대문구 명물1길 2,탕 / 찌개 / 전골,만원 미만,7,3.3,37.55791300000001,126.937347
35,싸움의고수,서울특별시 서대문구 명물길 20 1F,고기 요리,만원 미만,5,3.1,37.5576262,126.937917
36,꼬꼬아찌숯불치킨,서울특별시 서대문구 연세로9길 16,닭 / 오리 요리,만원 미만,14,2.8,37.5585925,126.9358569
37,신계치,서울특별시 서대문구 명물길 47,기타 한식,만원 미만,12,2.7,37.5588136,126.9388033
38,마포만두,서울특별시 서대문구 신촌로 87-4,한정식 / 백반 / 정통 한식,만원 미만,11,2.7,37.555711,126.9362589
39,더진국,서울특별시 서대문구 연세로5가길 4,국수 / 면 요리,만원 미만,10,2.7,37.5571151,126.9363895
40,다발김치찌개,서울특별시 서대문구 연세로11길 8 B1,한정식 / 백반 / 정통 한식,만원 미만,4,,37.5590051,126.9364532
41,김종구부산어묵,서울특별시 서대문구 신촌로 187,기타 한식,만원 미만,4,,37.5569937,126.9466748
42,참참참,서울특별시 서대문구 이화여대길 52-31 1F,한정식 / 백반 / 정통 한식,만원 미만,9,,37.5594145,126.9447234
43,따봉이네,서울특별시 서대문구 신촌로 117,기타 한식,만원 미만,8,,37.5559901,126.938943
44,우리집식당,서울특별시 서대문구 이화여대길 72-6 2F,탕 / 찌개 / 전골,만원 미만,5,,37.5593986,126.9445572
45,예즈지,서울특별시 서대문구 연세로7길 13,닭 / 오리 요리,만원 미만,5,,37.5575666,126.9360028
46,두끼,서울특별시 서대문구 이화여대길 89 2F,기타 한식,만원 미만,3,,37.5589593,126.9433897
47,불밥,서울특별시 서대문구 이화여대8길 11,고기 요리,만원 미만,9,,37.5588149,126.9463945
48,풍국면,서울특별시 서대문구 신촌로 83 현대백화점 신촌점 10F,국수 / 면 요리,만원 미만,5,,37.5560608,126.9357968
49,더도이축산직영점,서울특별시 서대문구 연세로7길 24 1F,고기 요리,만원 미만,4,,37.5577741,126.9354249
50,김삼보김치찌개,서울특별시 서대문구 명물길 62,탕 / 찌개 / 전골,만원 미만,4,,37.5587125,126.9396842
51,청년다방,서울특별시 서대문구 신촌로 139,기타 한식,만원 미만,8,,37.55669900000001,126.941321
52,한솔냉면,서울특별시 서대문구 신촌로 83 현대백화점 신촌점 B1,국수 / 면 요리,만원 미만,6,,37.5560608,126.9357968
53,개미집,서울특별시 서대문구 연세로11길 15 1F,해산물 요리,만원 미만,4,,37.5587783,126.9358814
54,백암순대국,서울특별시 서대문구 연세로11길 13,탕 / 찌개 / 전골,만원 미만,7,,37.5587903,126.9360126
55,대명꼬기,서울특별시 서대문구 명물길 27-15,고기 요리,만원 미만,6,,37.558677,126.9380356
56,훼드라,서울특별시 서대문구 연세로5길 32,한정식 / 백반 / 정통 한식,만원 미만,4,,37.5563281,126.9353504
57,신촌설렁탕,서울특별시 서대문구 연세로2길 9,탕 / 찌개 / 전골,만원 미만,1,,37.5560346,126.9375729
58,콩불,서울특별시 서대문구 연세로 35,고기 요리,만원 미만,1,,37.5586875,126.9366988
59,호남기사식당,서울특별시 서대문구 북아현로 70,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5633498,126.9548991
60,누들김밥,서울특별시 서대문구 이화여대8길 2,기타 한식,만원 미만,8,,37.558617,126.9459253
61,장군닭갈비,서울특별시 서대문구 연세로9길 7 2F,닭 / 오리 요리,만원 미만,9,,37.5584165,126.9364242
62,어머니가구워주신생선구이,서울특별시 서대문구 명물길 42,한정식 / 백반 / 정통 한식,만원 미만,3,,37.558416,126.9389765
63,놀부부대찌개&철판구이,서울특별시 서대문구 연세로 23,탕 / 찌개 / 전골,만원 미만,3,,37.5577123,126.9366662
64,닭발먹은새우,서울특별시 서대문구 연세로5가길 8-3,닭 / 오리 요리,만원 미만,3,,37.5573596,126.9361257
65,바지락수제비칼국수,서울특별시 서대문구 신촌로 87-20,국수 / 면 요리,만원 미만,2,,37.5564288,126.9364287
66,원조감자탕,서울특별시 서대문구 연세로5다길 8,탕 / 찌개 / 전골,만원 미만,3,,37.5564114,126.9350968
67,니뽕내뽕,서울특별시 서대문구 명물길 26 1F,퓨전 한식,만원 미만,7,,37.557839,126.9382343
68,장군삼겹살,서울특별시 서대문구 연세로9길 22,고기 요리,만원 미만,1,,37.5585689,126.9356343
69,착한순우리,서울특별시 마포구 숭문길 216,한정식 / 백반 / 정통 한식,만원 미만,2,,37.555984,126.9466086
70,미정국수0410,서울특별시 서대문구 연세로7안길 2 1F,국수 / 면 요리,만원 미만,5,,37.5577105,126.9364659
71,고향,서울특별시 서대문구 연세로7안길 52,고기 요리,만원 미만,7,,37.5585053,126.9340778
72,테라스,서울특별시 서대문구 북아현로 2,기타 한식,만원 미만,5,,37.5576874,126.9563975
73,논지당,서울특별시 서대문구 연세로 42-22,한정식 / 백반 / 정통 한식,만원 미만,9,,37.5592082,126.9382884
74,신참떡볶이,서울특별시 서대문구 이화여대7길 15,기타 한식,만원 미만,4,,37.5586079,126.9447042
75,아리랑컵밥,서울특별시 서대문구 이화여대길 33 B2,기타 한식,만원 미만,7,,37.5584214,126.94561
76,아웃닭,서울특별시 서대문구 이화여대5길 16,닭 / 오리 요리,만원 미만,8,,37.5583996,126.9447807
77,모돌이순대국,서울특별시 서대문구 북아현로2안길 8,탕 / 찌개 / 전골,만원 미만,3,,37.5580991,126.9567992
78,미스터빠삭,서울특별시 마포구 백범로 17 1F,퓨전 한식,만원 미만,5,,37.5531083,126.9373994
79,수라,서울특별시 서대문구 이화여대2가길 20,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5582458,126.9462237
80,산타비,서울특별시 서대문구 이화여대7길 10,기타 한식,만원 미만,4,,37.55877780000001,126.9451613
81,동네아저씨,서울특별시 서대문구 연세로7길 27,닭 / 오리 요리,만원 미만,6,,37.5575198,126.9352112
82,육판,서울특별시 서대문구 연세로7길 25 1F,고기 요리,만원 미만,2,,37.5574363,126.9353391
83,중독,서울특별시 서대문구 이화여대길 88-14,기타 한식,만원 미만,4,,37.5593793,126.9441093
