,가게이름,리뷰아이디,리뷰,맛평가
1,고삼이,미식미식,"생선 주제에 신촌에서 입지를 확실히 다지고 있는 맛집! 웨이팅까지는 없지만 갈때마다 사람들이 적당히 꽉참⠀⠀⠀#고등어구이 정말 맛있는 고등어구이 주문들어가면 밖에서 바로 구워다 주는데 비린내도 안나고 기름기도 적당히 샤르르 배어 있어서 꼬소함. 한마리 통으로 구워줘서 다 먹고나면 엄청 배부름⠀⠀⠀#오징어볶음 ""고삼이는 오징어볶음이 진짜다""라는 연대생의 말씀을 믿고 시켰는데 진짜였음. 홀리쉿 오징어볶음에서 이런 맛이 나다니! 오징어 질감도 힘있고 탄탄한데 양념이 도랐음. 불맛+흑설탕맛(?) 미식가가 아니라서 뭔맛인지 정확하게 표현을 못하겠는데 정말 특이하게 맛있음. ㄹㅇ 밥도둑 단짠단짠함.",맛있다
2,고삼이,득민,"6월 20일 방문, 오후 7시 반 쯤 갔는데 사람이 꽤 있었던 걸로 기억이 난다. 두 명이서 고등어구이(10.0)와 김치찌개(7.0)를 주문했다.고등어구이는 꽤 촉촉하게 잘 구워져있었고 맛있었다. 김치찌개는 다른 김치찌개 파는 곳과 다른 스타일이었다. 좀 더 집에서 김치찌개 만든 느낌? 어떻게 표현해야할 지 모르겠다. 양은 적당했던 것 같다.재방문의사는 거의 없음",괜찮다
3,고삼이,YSL,점심시간 테이블이 꽉 차있음이 인기도를 보여준다. 다른곳 오징어볶음은 불맛소스만 뿌리는데 여기는 진짜 완전 직화로 낸 불맛이다 ㅎㅎ 생선구이 종류들도 맛있었음. 이날읔 고등어구이 먹었는데 가격대비 한끼 맛있게 먹었다 종종 오는곳,맛있다
4,고삼이,winnie_^3^,"나 여기 진짜진짜 조와해,,, 고등어 구이 집에서 못먹는거 아시죠? 집에 냄새 다 베고,, 그럴때마다 찾는 곳이 이 곳!집에 냄새 다 베는 것도 싫지만 무엇보다 이 맛이 안납니다!살이 부드럽게 파사삭 갈라지고 밥위에 같이 올려먹으면 짭짤하게 간도 잘베어서 너무 맛있어요!그리고 여기 오징어 볶음,, 진짜 어디서도 먹어보지 못한 숯불향 강하게 나는 국물없는 오징어 볶음입니다. 꼭 드세요! 여기 연대생들이 자주 가는 단골 맛집이에요!",맛있다
5,고삼이,박박사,오징어볶음최고!!!,맛있다
6,고삼이,혜린,신촌에서 유명한 밥집으로 기대하고 갔는데역시 고등어를 먹었어야 했나봐요갑자기 오징어볶음이 먹고싶어서 먹었는데 제가 간을 심심하게 먹는편이라 그런지몰라도 진짜 너무 너무 짰어요 거의 다 닦고 먹고 ㅜ 특히 양파가 제대로 안볶아져서 너무 매웠습니다 그냥 생양파에 짠양념 묻어있는 느낌..고등어 시킬껄 후회했습니다 고등어 맛집인데 오징어를시킨 제 잘못이죠#먹어서응원,별로
7,고삼이,박박사,항상 맛있게먹어여 가성비 쵝오!!,맛있다
8,고삼이,오늘,고등어구이와 오징어볶음 조합 짱!고등어구이는 크기도 크고 맛있었어요! 저는 겉바속촉을 좋아하는데 바삭한 부분이 거의 없어 아쉽긴 했어요. 오징어볶음은 먹자마자 눈이 번쩍 떠졌어요. 짜고 달고 엄청난 불맛에 자극적인데 너무 맛있는맛..ㅋㅋㅋ 비주얼이 매워보여서 걱정했는데 전혀 안매웠어요.완전 밥도둑이에요!!기본찬도 잘나와서 좋아요.재방문의사 있음 ㅎㅎ,맛있다
9,고삼이,열구링,오래 된 사진으로 장식된 인테리어는 덤. 정감이 느껴진다.느끼하지 않을 정도로 기름진 고등어구이와 불맛나는 (전문가 사이에서는 지X바치킨 소스맛) 오징어 볶음은 꼭 먹어봐야…,맛있다
10,고삼이,호박고구미,"집밥보다 더 맛있는 맛을 자랑하는 고삼이. ‘나만 알고 싶은 맛집’의 분위기를 풍기나 이미 연대생들 사이에서 최고의 한식집이다. 고등어구이  태어나서 이렇게 맛있는 생선구이는 처음이다. 처음에는 생선구이를 좋아하지 않아서 걱정했지만 연대생 친구가 당당하게 소개시켜줬던 이유가 있었다. 간이 매우 잘 되어있고 겉바속촉. 들어오면서 입구에서 구우는 모습이 보이는데 절대로 집에서 낼 수 있는 맛이아니다. 오징어볶음 -  불맛소스는 하나도 안들어가 있지만 오로지 팬으로 달궈서 만들어낸 오징어볶음은 진한 불향이랑 빨간 양념으로 압도적인 존재감을 드러낸다. 양념이 살짝 달게 느껴질 수 도 있지만 신기하게도 고삼이는 생선구이도 오징어볶음도 비린내가 하나도 안나서 호불호가 없을 맛이다. 진한 붉은 색깔에 비해 매운 편이 아니라 밥 한공기만 있으면 매운걸 못 드시는 분들도 충분히 즐길 수 있을거 같다. 된장찌개   버섯과 두부가 넘치도록 들어가 있는 된장찌개는 살짝 칼칼한 맛이 있다. 고등어구이나 오징어볶음에 비해 조금 더 평범한 맛이나 셋의 조화가 아주 훌륭하다. 밥에다가 국을 선호하는 분들께는 강추!고삼이에서는 고등어구이, 오징어볶음, 된장찌개가 국룰. 양이 많은 편이 아닌데 혼자서 다 먹고 공기밥 3번 추가해서 먹을정도로 맛있다. 한국인은 역시 밥심인걸 제대로 알려주는 고삼이.",맛있다
