,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,코리아식당,서울특별시 마포구 연희로 35,한정식 / 백반 / 정통 한식,만원 미만,24,3.7,37.5619063,126.9269777
2,월강부산돼지국밥,서울특별시 마포구 동교로 241-1,탕 / 찌개 / 전골,만원 미만,10,3.6,37.5615567,126.9241044
3,교동집,서울특별시 마포구 동교로 208,해산물 요리,만원 미만,18,3.5,37.558496,126.9236266
4,또보겠지떡볶이집,서울특별시 마포구 양화로19길 22-25,기타 한식,만원 미만,10,3.4,37.5589347,126.9244013
5,감나무집기사식당,서울특별시 마포구 연남로 25,한정식 / 백반 / 정통 한식,만원 미만,28,3.4,37.5618562,126.9218703
6,마포곱창타운,서울특별시 마포구 동교로27길 20,고기 요리,만원 미만,5,3.3,37.5590328,126.9225086
7,윤수김밥,서울특별시 마포구 동교로 221,기타 한식,만원 미만,7,3.2,37.5597364,126.9235896
8,꽃살집,서울특별시 마포구 동교로 212-2 1F,퓨전 한식,만원 미만,5,,37.5590727,126.9239251
9,감미분식,서울특별시 마포구 동교로38안길 7  B1,기타 한식,만원 미만,3,,37.5621482,126.9246494
10,밥스바비,서울특별시 마포구 동교로 225,기타 한식,만원 미만,8,,37.5601955,126.9237346
11,산동꾸냥수제만두,서울특별시 마포구 연남로 12,한정식 / 백반 / 정통 한식,만원 미만,4,,37.5607913,126.9232643
12,창화당,서울특별시 마포구 양화로23길 22-6,기타 한식,만원 미만,4,,37.5594487,126.9253413
13,포포야어묵,서울특별시 마포구 동교로27길 82,기타 한식,만원 미만,5,,37.5612035,126.9202532
14,홍쌤떡볶이,서울특별시 마포구 연남로5길 36,기타 한식,만원 미만,4,,37.5614349,126.9200439
15,미소국수,서울특별시 마포구 동교로27길 41,국수 / 면 요리,만원 미만,4,,37.5596438,126.9214427
16,아담한식탁,서울특별시 마포구 동교로27길 78 1F,퓨전 한식,만원 미만,6,,37.56103280000001,126.9204141
17,올바른김밥,서울특별시 마포구 성미산로 198 동진시장,기타 한식,만원 미만,4,,37.5622222,126.9266667
18,불떡클럽,서울특별시 마포구 양화로23길 30 2F,기타 한식,만원 미만,4,,37.5596777,126.9249611
19,구름공장,서울특별시 마포구 연남로 42 코오롱하늘채아파트,기타 한식,만원 미만,3,,37.5645062,126.9203641
20,소풍김밥,서울특별시 마포구 동교로 251,기타 한식,만원 미만,1,,37.5623618,126.9241585
21,홍대미나리식당,서울특별시 마포구 연희로1길 59 1F,한정식 / 백반 / 정통 한식,만원 미만,4,,37.5614246,126.9264187
22,만나떡볶이,서울특별시 마포구 양화로23길 24,기타 한식,만원 미만,3,,37.5594763,126.9251077
23,오이소,서울특별시 마포구 성미산로17길 104 3호,탕 / 찌개 / 전골,만원 미만,3,,37.5661692,126.9172238
24,오순도순떡볶이,서울특별시 마포구 동교로 280,기타 한식,만원 미만,1,,37.5640903,126.9265672
25,삶천식당,서울특별시 마포구 동교로50길 17 B1,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5634334,126.9269581
26,진구오뎅,서울특별시 마포구 동교로 212-5 B02,기타 한식,만원 미만,2,,37.5592897,126.9239106
27,따순밥꼬순전,서울특별시 마포구 동교로27길 77,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5609713,126.9201887
28,길라면,서울특별시 마포구 동교로 252,기타 한식,만원 미만,1,,37.5623238,126.9245382
29,돈까스애국수,서울특별시 마포구 연남로 4-1 1F,기타 한식,만원 미만,1,,37.5603431,126.9236261
30,한,서울특별시 마포구 동교로27길 41,탕 / 찌개 / 전골,만원 미만,3,,37.5596438,126.9214427
31,김밥세상,서울특별시 마포구 연희로 35,기타 한식,만원 미만,1,,37.5619063,126.9269777
32,201호,서울특별시 마포구 연희로1길 19,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5598285,126.9253901
33,자매떡볶이,서울특별시 마포구 동교로38길 33-18 B102호,기타 한식,만원 미만,2,,37.5619311,126.9263333
34,중동닭발떡볶이,서울특별시 마포구 동교로 220-5,닭 / 오리 요리,만원 미만,2,,37.5596253,126.9241526
35,오물오물,서울특별시 마포구 동교로 240 B1,퓨전 한식,만원 미만,3,,37.5612651,126.924438
36,학교앞1교시,서울특별시 마포구 동교로 230,기타 한식,만원 미만,3,,37.5603858,126.9244495
37,떡심,서울특별시 마포구 동교로38길 12,기타 한식,만원 미만,1,,37.56184349999999,126.9249288
38,연희동할머니네,서울특별시 마포구 성미산로 100,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5613856,126.9184917
39,홍익분식,서울특별시 마포구 성미산로 99,기타 한식,만원 미만,1,,37.5615741,126.918223
40,미락식당,서울특별시 마포구 동교로 280,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5640903,126.9265672
41,작은마을밥상,서울특별시 마포구 연남로 72-1,한정식 / 백반 / 정통 한식,만원 미만,2,,37.56543569999999,126.919479
42,욕심쟁이두마리파닭,서울특별시 마포구 성미산로17길 92,닭 / 오리 요리,만원 미만,1,,37.5655097,126.9173194
43,우주옥,서울특별시 마포구 동교로50길 11 B02호,국수 / 면 요리,만원-2만원,27,4.5,37.5635893,126.9267634
