,가게이름,리뷰아이디,리뷰,맛평가
1,코리아식당,핑크구아바,여전히 알찬 부대찌개~,괜찮다
2,코리아식당,핑크구아바,부대찌개는 맛없을수가 없죠,괜찮다
3,코리아식당,핑크구아바,모든 메뉴 무난하고 괜찮네요,괜찮다
4,코리아식당,핑크구아바,돼지고기김치찌개 별로주방상태 별로,별로
5,코리아식당,핑크구아바,부대찌개에 각종 사리들이 다양하게 들어있어서 입에 착 붙는 맛이예요,맛있다
6,코리아식당,은두,항상 지나가는 길인데 가게가 어둑어둑해서 이 집이 그 집일줄은 몰랐다. 곱창찌개를 먹었다. 밑반찬이 여섯 가지 나오는데 다 맛이 괜찮다. 원래 오이소박이를 안 좋아하는데 이 집 껀 왜 그렇게 맛있는지 모르겠다. 김치도 맛있고 청포묵도 괜찮았다. 막상 메인인 곱창찌개는 국물도 너무 없고 느끼해서 아쉬웠다. 곱창 누린내를 잘 못 느끼는 편인데 여긴 냄새가 좀 남아있는 것 같았다. 반찬이 허접했으면 그냥 다 남기고 나왔을텐데 어쨌든 반찬으로 밥 한 공기 비웠다.,괜찮다
7,코리아식당,핑크구아바,평타는 하는 한식집입니다부대찌개 건더기도 알차고 곱창찌개도 괜찮아요!,괜찮다
8,코리아식당,핑크구아바,좀 더 김치찌개스러운 매콤함을 기대했지만 된장베이스의 곱창찌개도 괜찮네요!,맛있다
9,코리아식당,핑크구아바,먹고싶은게 딱히 생각안날때 집밥같은 한식 먹기 좋은 곳이예요어두운조명이라 술집같지만 점심먹기 좋습니다,괜찮다
10,코리아식당,늘푸른 전나무,좋아하는 밥집입니다. 한식이 먹고 싶은때 가기 좋은 집이에요 반찬도 맛있고 우선은 어떤걸 시켜도 평타이상입니다. 제가 좋아하는 메뉴는 콩비지 뚝불 순두부입니다. 시그니쳐인 곱창찌개는 요근래 몇 번 다 냄새가 좀있어서 다른 메뉴를 시킵니다. 어느걸 시켜도 큰뚝배기에 넉넉히 주셔서 좋아요 집밥이 그리우신분들께 강추입니다,맛있다
11,코리아식당,핑크구아바,차돌된장찌개 주문했는데 그냥 그랬어요,괜찮다
12,코리아식당,Sung,곱창찌개랑 갈비찜 먹었어요. 깔끔하고 맛있네요!,맛있다
13,코리아식당,쵸☆럭키DAZE,연남동 파스타 와인 리조또니 뭐니에 질린 한식러버들을 위한 캐 맛집 고려 식당 쵸☆☆☆☆☆☆☆럭키 맛집야레야레 이거 정말 맛나잖아~,맛있다
14,코리아식당,냠냐암,가격이 다소 있으나집밥같이 구수하고 맛있게 먹었습니다.막걸리 또한 술술 넘어갔어요또 한번 가고 싶은 집이네요~,맛있다
15,코리아식당,0°C,"9년만에 만난 소중한 누나와의 데이트! 전날 술을 먹었다기에 근처 해장할 곳이 있을까 찾아보고 간 집.  곱창찌개?? 에 대한 호평이 많길래 찾아갔다. 밝은 대낮에도 가게 안에는 어두운 조명이라 좋았다. 혼술 혼밥 하는 사람들도 많은 집인듯. 막상 음식을 먹어보니 맛 자체는 평범.  갈비는 살짝 질기고, 양념도 그냥 뭐 집에서 한 느낌. 곱창찌개도 흐음...그냥 곱창넣고 끓인 약한 된장찌개맛. 건더기가 많긴하지만 뭐..",괜찮다
16,코리아식당,마중산,"식사와 막걸리 곁들이기 좋은 식당.4명이 코리아한상 주문하니 고추장삼겹살+곱창전골+메밀김치부침개가 푸짐히 나온다.막걸리 리스트가 좋던데, 지평부터 개도까지 준비돼있었다.식사 맛있었고, 내부가 조금 좁은 느낌이 있긴 했지만 편안한 분위기였고, 막걸리 리스트까지 좋으니 칭찬하지 않을 수 없는 집이었음 ㅎ 추천!",맛있다
17,코리아식당,betterthanme,"곱창찌개를 안 시켜서 그런지 조금 실망이었다..일단 한돈돼지갈비구이는 고기가 너무 질겼고차돌청국장은 너무 연했으며낙지덮밥은 상추 등 같이 비빌 신선한 야채는 없어서 산뜻하고 건강한 맛이 부족한 듯 했다.곱창을 좋아하지 않는 친구가 같이 가서 시키지 못했는데, 다음에는 먹어보아야지..",괜찮다
18,코리아식당,HanDongheon,미국가는 재윤이 위한 코리아식당미국서 먹는 한식같음,맛있다
19,코리아식당,증드,곱창찌개 9000원 존맛!!!!!!국물도 진하고 곱창도 엄청 넉넉하게 들어가있어서 정말 너무 맛있었다.....생각하는데 또 침 고임밑반찬도 5개 나오는데 잘게 썰은 감자가 인상깊었다. 두부랑 나물이랑 김치 파래무침 있는데 리필도 계속 해주시고 밑반찬만으로도 한끼 해결 가능할듯.,맛있다
20,코리아식당,어젠,"여긴 정말 맛있고 정말 좋다분위기와 맛, 가격까지 놓치지 않는다막걸리 종류도 다양하고 식사류도 다양하다너무 영하지도 올드하지도 않은 지나치지 않은 맛집멀리 사는 친구도 가끔 이 곳 얘길 할 정도",맛있다
21,코리아식당,KimJae Ok,곱창찌개 맛있음!막거리 한잔하기도 좋고 식사하기도 좋은 곳!,맛있다
22,코리아식당,유누,기대보다는 별로였지만 곱창찌개 괜찮았다. 냄새가 좀만 덜 났음 좋았을텐데... 다음엔 다른 메뉴 도전해야지.,괜찮다
23,코리아식당,nothing,반찬 5가지를 내주셨는데 전부 맛이 좋았습니다 배가 너무 고파서 김치찌개랑 청국장이 나오기도 전에 반찬 하나를 다 집어먹었는데 그거 보시더니 바로 반찬 새로 내주시더라구요 생각보다 박하지 않아서 그것도 좋았습니다 김치찌개에 들어간 돼지고기 중 일부가 살짝 질겨서 조금 아쉽긴 했는데 그래도 전반적으로 맛있게 잘먹었습니다 요 근방에서 한 끼 먹기 이만한 곳이 없을 듯 합니다 막걸리 마시러도 한번 가보고 싶네요 처음 다녀오고나서 추천으로 해뒀는데 여러번 다녀보니 반찬을 제외한 식사 메뉴가 항상 아쉽네요,괜찮다
24,코리아식당,Tiffajy,"반찬 깔끔하니 맛있구, 밥먹기도 술먹기도 좋은 곳. 유자 병막걸리가 여자 취향 저격!!",괜찮다
25,월강부산돼지국밥,rosalia,가까이 있으면 자주 갈 것 같은데 찾아서 올 만한 맛은 아니었다,괜찮다
26,월강부산돼지국밥,식인달팽이,하나부터 아홉까지 맛이 없다.고기는 맛잇었는데 내장국밥을 시켜버림....여긴 국밥집이 아니라 수육집이 맞는듯...비추...,별로
27,월강부산돼지국밥,혜긍,"돼지국밥 (10,000)인위적인 뽀얀색없이 찌인하게 우려낸 돼지국물!잡내없이 고소하다! 양은 얼마나많은지 ""좀줄이고 8000원받지...""싶지만 이맛을내려면 이정도의 고기는 때려부어야할듯하다!최초상차림빼고는 모두 셀프로가져오면된다.그래서 부추 신나게넣음. 김치도 입에잘들어가서 잘먹었다. (그치만  깍두기가더맛있음.)나는 먹다가 막판에 다데기넣어서 이중으로즐기는데 다데기가 좀 짜더라. 마지막강력하게먹고 하루종일배불렀다..겨울인데 뜨끈뜨끈한 국밥한그릇..다만 평일점심에대기가있어서 밖에서 조금 추위에 떨어야한다.하지만그게 더~~ 맛있는국밥한그릇을위한 빌드업이랄까..",맛있다
28,월강부산돼지국밥,UDOEE,[★★★★]식단 하다가 기력 딸리면 오는 곳..연남동 찐맛집.. 혼밥 하러 자주 오는 곳.. 부산 돼지 국밥보다 여기가 더 맛있지 않을까..6시 넘어서 오면 밥이 없어서 금방 가게 문을 닫는 집.,맛있다
