,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,김경자원조손칼국수보쌈,서울특별시 성동구 금호산2길 20-1,국수 / 면 요리,만원 미만,4,4.3,37.5487542,127.0218202
2,악어떡볶이,서울특별시 성동구 마조로 33,기타 한식,만원 미만,55,4.1,37.56060040000001,127.0410712
3,만나떡볶이,서울특별시 성동구 왕십리로24길 27,기타 한식,만원 미만,8,4.1,37.5647988,127.0342688
4,만두전빵,서울특별시 성동구 행당로15길 2,기타 한식,만원 미만,20,4.1,37.5582577,127.0319096
5,소문난성수감자탕,서울특별시 성동구 연무장길 45,탕 / 찌개 / 전골,만원 미만,53,4.0,37.5428492,127.0544003
6,한양대신닭발,서울특별시 성동구 마조로 34,닭 / 오리 요리,만원 미만,9,4.0,37.5605948,127.0414901
7,도담치킨,서울특별시 성동구 마조로1가길 14,닭 / 오리 요리,만원 미만,5,4.0,37.5602607,127.0400693
8,색다른면,서울특별시 성동구 뚝섬로9길 16 101호,국수 / 면 요리,만원 미만,13,3.9,37.5396306,127.0564144
9,비사벌전주콩나물국밥,서울특별시 성동구 왕십리로6길 1-2,탕 / 찌개 / 전골,만원 미만,22,3.8,37.54623830000001,127.0450202
10,콩빠두,서울특별시 성동구 한림말1길 8,한정식 / 백반 / 정통 한식,만원 미만,14,3.8,37.5419541,127.0165205
11,방춘리,서울특별시 성동구 연무장7가길 5  1F,한정식 / 백반 / 정통 한식,만원 미만,4,3.7,37.5431124,127.0550838
12,난포,서울특별시 성동구 서울숲4길 18-8,한정식 / 백반 / 정통 한식,만원 미만,10,3.6,37.5469818,127.0427078
13,행운돈가스,서울특별시 성동구 마조로1길 2,기타 한식,만원 미만,20,3.6,37.5583378,127.0402796
14,산골막국수,서울특별시 성동구 왕십리로 347 1F,국수 / 면 요리,만원 미만,6,3.6,37.5633015,127.0312252
15,짱고기,서울특별시 성동구 마조로 15-6 1F,고기 요리,만원 미만,20,3.6,37.5592048,127.0404168
16,간판없는갈비탕집,서울특별시 성동구 청계천로10가길 10-7,탕 / 찌개 / 전골,만원 미만,4,3.6,37.5697114,127.0334119
17,삼맛호오떡,서울특별시 성동구 무학봉16길 26,기타 한식,만원 미만,13,3.5,37.5597222,127.0331595
18,골목냉면,서울특별시 성동구 독서당로 295-7,국수 / 면 요리,만원 미만,10,3.5,37.5484996,127.0219763
19,윤경양식당,서울특별시 성동구 서울숲2길 40 2F,기타 한식,만원 미만,15,3.4,37.5463357,127.0430329
20,소녀방앗간,서울특별시 성동구 왕십리로5길 9-16,한정식 / 백반 / 정통 한식,만원 미만,24,3.4,37.5465263,127.0440954
21,힘냉면록,서울특별시 성동구 상원1길 41 1F,국수 / 면 요리,만원 미만,6,3.4,37.5470529,127.0468171
22,제주국수,서울특별시 성동구 성수이로 118,국수 / 면 요리,만원 미만,9,3.4,37.5451437,127.0578284
23,알촌,서울특별시 성동구 마조로3길 6,한정식 / 백반 / 정통 한식,만원 미만,12,3.3,37.5585529,127.0401467
24,두끼,서울특별시 성동구 마조로 30,기타 한식,만원 미만,7,3.3,37.5603083,127.0414983
25,사철냉면,서울특별시 성동구 마조로 17,국수 / 면 요리,만원 미만,12,3.3,37.5594683,127.0404632
26,계월곰탕,서울특별시 성동구 성덕정3길 8,닭 / 오리 요리,만원 미만,3,,37.5395267,127.0476224
27,밀본,서울특별시 성동구 아차산로 67-16 예당빌딩 1F,국수 / 면 요리,만원 미만,5,,37.5461868,127.05183
28,스마일즉석떡볶이,서울특별시 성동구 마조로 39,기타 한식,만원 미만,8,,37.5612392,127.0412815
29,일품백송칼국수,서울특별시 성동구 고산자로12길 1-1,국수 / 면 요리,만원 미만,6,,37.5602142,127.0350298
30,장맛손칼국수,서울특별시 성동구 광나루로 290,국수 / 면 요리,만원 미만,2,,37.5476734,127.0619702
31,진국설렁탕,서울특별시 성동구 고산자로 293,탕 / 찌개 / 전골,만원 미만,4,,37.5658501,127.0360064
32,국수일가,서울특별시 성동구 왕십리로30길 4,국수 / 면 요리,만원 미만,2,,37.5646446,127.0309611
33,원기옥,서울특별시 성동구 아차산로17길 48 성수SK1CENTER 109호,한정식 / 백반 / 정통 한식,만원-2만원,11,4.3,37.544787,127.0644521
34,마장황소곱창,서울특별시 성동구 고산자로 288,고기 요리,만원-2만원,8,4.3,37.56530050000001,127.0366722
35,댓길,서울특별시 성동구 서울숲길 51-1 1F,고기 요리,만원-2만원,4,4.3,37.5481399,127.0432883
36,금호모소리,서울특별시 성동구 장터길 32 1F,고기 요리,만원-2만원,5,4.3,37.5481659,127.0194469
37,쵸리상경,서울특별시 성동구 서울숲4길 18-8 2F,퓨전 한식,만원-2만원,20,4.2,37.5469818,127.0427078
38,꼬랑치킨,서울특별시 성동구 행당로17길 11,닭 / 오리 요리,만원-2만원,5,4.2,37.5593814,127.0333507
39,서울왕족발보쌈,서울특별시 성동구 마조로3가길 27,고기 요리,만원-2만원,9,4.2,37.55973340000001,127.0400455
40,고공,서울특별시 성동구 왕십리로8길 10,고기 요리,만원-2만원,8,4.2,37.5462566,127.0458382
41,땅코참숯구이,서울특별시 성동구 행당로17길 26,고기 요리,만원-2만원,5,4.1,37.5606697,127.0331008
42,성수족발,서울특별시 성동구 아차산로7길 7 동진빌딩 1F,고기 요리,만원-2만원,10,4.1,37.5459875,127.0541717
43,애리꼼닭발,서울특별시 성동구 왕십리로22길 3,닭 / 오리 요리,만원-2만원,28,4.1,37.5625881,127.0342215
44,꿉당,서울특별시 성동구 성수이로20길 10 경협회관 104호,고기 요리,만원-2만원,20,4.1,37.5432058,127.0578791
45,푸줏간생고기점,서울특별시 성동구 행당로17길 24,고기 요리,만원-2만원,15,4.0,37.5603528,127.0332498
46,버섯집,서울특별시 성동구 왕십리로5길 9-10,탕 / 찌개 / 전골,만원-2만원,25,4.0,37.5466489,127.0440995
47,백정돈공장,서울특별시 성동구 연무장길 38-2,고기 요리,만원-2만원,16,4.0,37.5427799,127.0537324
48,옥수해물찜칼국수,서울특별시 성동구 독서당로40길 37 옥수어울림,국수 / 면 요리,만원-2만원,7,4.0,37.5421774,127.0181052
49,성수아구찜,서울특별시 성동구 왕십리로4길 10,해산물 요리,만원-2만원,5,4.0,37.5455368,127.0458609
50,청죽골식당,서울특별시 성동구 서울숲4길 28-3 1F,고기 요리,만원-2만원,15,3.9,37.5468142,127.0440442
51,훼미리손칼국수,서울특별시 성동구 왕십리로 134,국수 / 면 요리,만원-2만원,10,3.9,37.5494775,127.0446801
52,일미락,서울특별시 성동구 상원6나길 22-20,고기 요리,만원-2만원,4,3.9,37.5476308,127.0495337
53,청춘극장,서울특별시 성동구 행당로 112-5,고기 요리,만원-2만원,11,3.9,37.5576956,127.031265
54,다시올치킨,서울특별시 성동구 사근동8길 8,닭 / 오리 요리,만원-2만원,10,3.9,37.5603993,127.0467184
55,도누리왕십리곱창,서울특별시 성동구 마장로 244,고기 요리,만원-2만원,9,3.8,37.56581,127.0368389
56,서울숲누룽지통닭구이,서울특별시 성동구 왕십리로5길 10,닭 / 오리 요리,만원-2만원,20,3.8,37.5469252,127.0443992
57,왕십리정부네곱창,서울특별시 성동구 고산자로 287,고기 요리,만원-2만원,10,3.8,37.5652826,127.0361382
58,잠수교집,서울특별시 성동구 아차산로 137 1F,고기 요리,만원-2만원,8,3.8,37.5437718,127.0593542
59,정선부뚜막,서울특별시 성동구 서울숲6길 14,한정식 / 백반 / 정통 한식,만원-2만원,16,3.8,37.5474533,127.0430741
60,성일정육점,서울특별시 성동구 아차산로3길 9,고기 요리,만원-2만원,5,3.8,37.54825599999999,127.0469489
61,장어구이,서울특별시 성동구 마조로 17,해산물 요리,만원-2만원,10,3.7,37.5594683,127.0404632
62,은성보쌈,서울특별시 성동구 독서당로 297-6,고기 요리,만원-2만원,12,3.7,37.5484075,127.0222819
63,할머니의레시피,서울특별시 성동구 서울숲2길 44-12,한정식 / 백반 / 정통 한식,만원-2만원,15,3.6,37.5461058,127.0431207
64,제일,서울특별시 성동구 왕십리로10길 9-9 1F,고기 요리,만원-2만원,6,3.6,37.5470601,127.0455914
65,최영희언양불고기,서울특별시 성동구 무학봉28길 21,고기 요리,만원-2만원,13,3.6,37.561562,127.0341272
66,몽련,서울특별시 성동구 왕십리로10길 3 1F,고기 요리,만원-2만원,5,3.6,37.5471203,127.0450078
67,곱창하우스,서울특별시 성동구 마조로7길 12,고기 요리,만원-2만원,10,3.5,37.5608391,127.0400676
68,대성갈비,서울특별시 성동구 서울숲4길 27,고기 요리,만원-2만원,5,3.4,37.5470143,127.0440495
69,곱창이야기,서울특별시 성동구 마조로5길 3-3,고기 요리,만원-2만원,13,3.4,37.5597104,127.0406593
70,윤경,서울특별시 성동구 아차산로 3 101호,기타 한식,만원-2만원,22,3.3,37.5483324,127.0453726
71,맛나곱창,서울특별시 성동구 고산자로 281-1,고기 요리,만원-2만원,25,3.3,37.5649394,127.0360408
72,만학,서울특별시 성동구 서울숲4길 26-24 1F,한정식 / 백반 / 정통 한식,만원-2만원,3,3.3,37.54657419999999,127.0433275
73,꼬꼬아찌숯불치킨,서울특별시 성동구 마조로1가길 7,닭 / 오리 요리,만원-2만원,6,3.2,37.560451,127.039759
74,오프트,서울특별시 성동구 왕십리로10길 20 1F,기타 한식,만원-2만원,9,3.2,37.5464091,127.0467597
75,오후,서울특별시 성동구 서울숲2길 44-7,퓨전 한식,만원-2만원,8,3.1,37.5461321,127.043366
76,무식당,서울특별시 성동구 왕십리로10길 5-9,고기 요리,만원-2만원,2,,37.5472086,127.0452319
77,열혈쭈꾸미,서울특별시 성동구 서울숲6길 22-1,해산물 요리,만원-2만원,6,,37.547171,127.0440385
78,제주똘또지,서울특별시 성동구 용답중앙길 78,고기 요리,만원-2만원,3,,37.56285140000001,127.0538272
79,곱,서울특별시 성동구 마조로7길 7,고기 요리,만원-2만원,7,,37.560646,127.0404707
80,고기다,서울특별시 성동구 성수일로12길 20,고기 요리,만원-2만원,3,,37.5482173,127.0533479
81,외가집,서울특별시 성동구 연무장길 17,고기 요리,만원-2만원,5,,37.543705,127.0514507
82,왕십리육감식당,서울특별시 성동구 무학봉28길 1,고기 요리,만원-2만원,2,,37.5624928,127.0323676
