,가게이름,리뷰아이디,리뷰,맛평가
1,김경자원조손칼국수보쌈,써니♡,시장 스탈의 손칼국수를 서울 중심에서도!나는 시장에서 쭈욱 앉아서 빠르게 겉절이와 먹는 칼국수를 좋아한다. 지방에서는 많이 먹었는데 서울에서는 그게 그리워서 은마 상가 지하에 유명한 산*수제비를 먹었는데 맛은 있으나 내가 원한 스타일은 아니었다.이 곳은 짝궁이 소개해줘서 방문하였다. 몰랐는데 가끔 시청하는 허영만의 식객도 촬영한 곳이란다. 손칼국수는 5000원! 치솟는 서울 물가에서도 가격도 착하다. 국물 크아...이거다 시장에서 명절에 엄마 따라 다니면서 식재료 들러리하다가 잠시 쉬면서 포장마차에서 앉아서 먹던 맛! 그런데 의외로 보쌈도 많이 시켜 먹는 것을 보고 보쌈도 주문! 고기가 나왔는데 김이 솔솔나면서 무생채랑 싸먹으니 야들야들한 고기 맛이 일품이다.정신없고 허름한 시장 내 식당이어서 더 정감간다. 재방문 고고!,맛있다
2,김경자원조손칼국수보쌈,소미,금남시장 안에 있는 김경자원조 손칼국수 보쌈월 - 토 11:00 - 21:00 일요일 휴무금남시장에서 유명한 칼국수 보쌈집입니다. 쿠팡이츠 주문가능합니다. 저는 가서 먹어보고 배달로도 즐겨먹는데 맛 차이가 별로없어요. 오히려 집에서 주문해서 먹는게 더 맛있을때도 있습니다. 보쌈 주문하면 김치 많이주셔서 나중에 밥먹을때 따로 먹고있고요. 파김치도 존맛탱 ㅠㅠ 칼국수도 맛있어요 꼭 드셔보세요,맛있다
3,김경자원조손칼국수보쌈,따따따따,"허영만의 백반기행에서 보고 가고싶다 눌러놨던 곳입니다. 백반기행에 나올 때에는 여름이라서 콩국수 메뉴가 나왔었는데.. 원래는 칼국수와 보쌈이 주메뉴입니다.우선 칼국수는 양이 진짜 많습니다. 두명이 가서 칼국수 하나 보쌈 하나 주문했는데, 칼국수는 두 그릇으로 나눠주시더라고요. 그런데도 양이 진짜 많았어요. 칼국수 국물이 제가 딱 좋아하는 수제비나 칼국수의 그 국물이었습니다. 전분이 많이 풀리지 않고, 시원한 느낌이 나는 국물. 진짜 맛있어요~ 면발도 진짜 쫄깃쫄깃합니다~보쌈도 중짜를 시켰는데도 남을 정도로 양이 많고, 잡냄새 없이 맛있습니다. 함께 나오는 김치도 맛있습니다.(칼국수용 김치와 보쌈용 김치가 따로 나옵니다.) 가게 입구에는 각종 반찬들을 판매하고 있어요. 그래서 지나가다 보면 반찬가게라고 오해할 수도 있습니다. 코로나만 아니면 친구들과 소주 한잔하기 좋을 것 같습니다~",맛있다
4,김경자원조손칼국수보쌈,kangster,금호동 맛집 제마음속 단연 1등 칼국수 칼제비 보쌈 넘 맛있어요. 칼국수 호로록 탁탁 !!! 자주 가서 먹었는데 ㅠ 이사온 뒤로는 자주 못가네요 ㅠ 아쉽쓰 ㅠ,맛있다
5,악어떡볶이,떠뽀끼쥬떼연,여길 이제야 왔다니!! 매콤깔끔한 쌀떡의 정석!! 여기 근처에 있는 곳에서 대학교를 다녔었는데.. 지하철 2 정거장인데.. 바로 옆 양꼬치 집을 갔었는데 여길 안왔다니 그동안 서울 살면서 큰 실수를 했었네요 ㅋㅋㅋㅋㅋ 정말 간만에 1그람의 후회나 아쉬움 없이 만족스러운 떡볶이였다. 진짜 순수하게 악어떡볶이 가려고 왕십리 자주갈예정… 일단 떡볶이 매운맛 4천원. 부산사람이면 안반가울 수가 없는 물떡 + 어묵 3천원. 김밥 3천원. 깔끔하게 1만원. 가격 맘에 들고요. 키오스크로 주문. 딱 나오자마자 떡볶이 양념 한모금 떡이 진짜 한입에 먹기 쉽게 조그맣게 짤려 있다. 하나 먹었는데 진짜 깔끔하게 매콤하고 너무너무너무너무너무 감칠맛있게 맛있는 매운 떡볶이다. 무엇보다 떡이 진짜 말캉 쫄깃한게…. 너무너무 맛있는 식감의 쌀떡이다ㅜㅜ 쌀떡이 그리웠어…. 3인분도 먹겟어요…. 사이즈가 너무 좋다. 물떡의 떡도 불거나 불쾌한 식감이 하나 없다 간장 찍어 먹으니 너무 맛있고 부산 안가도 되겠어요. 김밥은 평범하지만 찍어먹기 좋고. 하… 진짜 오랜만에 너무 만족스러운 떡볶이 성지순례. 쌀떡 먹고싶을땐 여기입니다.  아진짜 아 맞다 쌀떡이 이렇게 맛있었지????? 이런 생각이 들게 하는 떡볶이집. 떡볶이보다 사이드가 더 맛있거나 위주가 되는 집이 많은데 진짜 메인인 떡볶이가 주인공인 집. 그리고 먹고 나면 입에 불편한 느낌이 전혀없고 진짜 깔끔하다. 완전 만족스러운 맛집. 담엔 순대랑 쫄면도 다 먹을겁니다….,맛있다
6,악어떡볶이,아가집사,혜화 나누미 떡볶이 맛이랑 비슷한것같다. 호불호 없을꺼같은 맛? 근데 이 곳은 튀김이 너무 맛있어서 떡볶이는 무조건 튀김범벅으로 시켜야할거같아요,괜찮다
7,악어떡볶이,조선의장희빈,"왕십리에서 SNS까지 장악 #악어떡볶이- 1만원이상 현금결제시 쿨피스 제공- 추천 메뉴는 튀김범벅- 다양한 메뉴가 많고 맛도 수준급 왕십리에 사는 사람이면 한번씩 다 먹었다는 악어떡볶이. TV프로에서 유명세를 떨치면서 하루하루 승승장구 중 이예요. ☑️튀김범벅 /8,000제일 많이 주문하는건 튀김범벅으로 한입 크기의 떡과 오뎅, 잘라진 튀김(김말이, 야채, 오징어 등)가 나옵니다. 어디서 먹을봤을 법한 떡볶이 소스가 중독적이예요. 이 곳의 떡은 쌀떡인데 떡 안까지 간이 베어있어서 끝까지 맛있게 먹을 수 있어요. 같이 주는 튀김옷이 있는 오뎅국물은 조화가 아주 좋습니다. 다른 메뉴들도 분식의 주력 메뉴 답게 대체로 맛있다고 해요. 먹는 동안은 대형 체인 떡볶이는 생각도 안나고 더 맛있게 먹었어요. 요즘은 분식집이 잘 안보여서 섭섭한데 이런 분식집은 왜 우리 동네에 없는 거죠?!!!",맛있다
8,악어떡볶이,안쿠니,때는 유퀴즈에 방영되고 몇일이 안된 날이였죠.생각없이 와이프와 방문했는데..헐..  줄이 어마어마 하더군요.춘운 날이 였는데 슬리퍼신고가는 바람에 춥게 기다리다가 들어가서 주문을 했는데요오돌오돌떨어서 그런지 오뎅국물은 더 뜨뜻하니 맛나고떡볶이도 참 맛나더라고요.좋았습니다.,맛있다
9,악어떡볶이,미콩,"정말이지 가볍게 때우기엔 악떡만한 곳이 없다. 근데 또 맛없는 걸 먹으면서 끼니를 때우고 싶지 않을 때 악떡이 제격이다. 본래 라면은 남이 끓여준 라면이 제일이라 하지만 이렇게 꼬들꼬들한 분식 라면은 또 오랜만이라 더 맛있었던 것 같다. 오뎅과 물떡도 주문했는데 살짝 바람이 쌀쌀한 날이어서 그랬는지 오뎅이 꿀떡꿀떡, 물떡은 쫀득쫀득 아주 최상의 조합이 아닐 수 없었다. 오뎅 국물의 조미료맛은 자극적이면서도,, 계속해서 후루룩을 부르는, 그리고 마지막으로 비운 그릇을 머리위에 털게 하는(?) 그런 마성의 것이었다.",맛있다
10,악어떡볶이,기미상궁,"""무려 왕십리 떡볶이 1대장""소인, 학창 시절부터 왕십리에 떡볶이집은 두 집으로 통하였는데 하나는 프랜차이즈로 유명한 죠스떡볶이 그리고 다른 하나는 이 집 '악어떡볶이' 이옵니다. 악어 떡볶이는 방송 출연으로 전국구 떡볶이집으로 도약을 해버렸으니.. 내 손을 떠난 집이라는 느낌이랄까악떡은 세 가지로 맵기가 나뉘는 것이 특징이옵니다.  소인은 모둠튀김과 떡볶이 매운맛으로 포장해서 집에서 야무지게 먹었사옵니다.맵기는 땀을 삐질삐질 흘리며 먹을정도로 꽤나 매운맛에 오랜만에 아주 혼쭐난 느낌이더이다.튀김도 퀄리티가 훌륭하고 무엇보다 그냥 요즘 넘쳐나는 감칠맛 범벅의 떡볶이와는 차별화되는 이 집만의 맛이 결국 빛을 본 것이 아닌가 감히 평해봅니다.",맛있다
