,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,한입소반,서울특별시 용산구 청파로45길 3,기타 한식,만원 미만,30,4.3,37.5440624,126.9703082
2,산동만두,서울특별시 용산구 후암로28길 10,한정식 / 백반 / 정통 한식,만원 미만,14,4.2,37.549795,126.9778016
3,창성옥,서울특별시 용산구 새창로 124-10,탕 / 찌개 / 전골,만원 미만,29,4.2,37.5363473,126.960395
4,백경식당,서울특별시 용산구 한강대로54길 20,탕 / 찌개 / 전골,만원 미만,3,4.2,37.5324606,126.9726854
5,문배동육칼,서울특별시 용산구 백범로90길 50,국수 / 면 요리,만원 미만,29,4.1,37.5365856,126.9703092
6,부송국수,서울특별시 용산구 원효로25길 1,국수 / 면 요리,만원 미만,15,4.1,37.5327993,126.9535502
7,와우신내떡,서울특별시 용산구 청파로45길 12-1,기타 한식,만원 미만,10,4.0,37.5443853,126.9699304
8,미미옥,서울특별시 용산구 한강대로15길 27,퓨전 한식,만원 미만,5,4.0,37.5261933,126.9629355
9,한성옥,서울특별시 용산구 백범로 283,탕 / 찌개 / 전골,만원 미만,9,4.0,37.5396294,126.9608563
10,오복함흥냉면,서울특별시 용산구 한강대로84길 4,국수 / 면 요리,만원 미만,9,3.9,37.5434286,126.972854
11,돈까스잔치,서울특별시 용산구 서빙고로 297,기타 한식,만원 미만,19,3.9,37.5212231,126.9964015
12,한강로칼국수,서울특별시 용산구 두텁바위로 4-1,국수 / 면 요리,만원 미만,9,3.9,37.5450048,126.9725789
13,정성손칼국수,서울특별시 용산구 한강대로48길 18,국수 / 면 요리,만원 미만,10,3.9,37.5313181,126.9713434
14,이여곰탕,서울특별시 용산구 한강대로 136,탕 / 찌개 / 전골,만원 미만,23,3.8,37.5313781,126.9703718
15,도동집,서울특별시 용산구 후암로 80 1F,고기 요리,만원 미만,40,3.7,37.5530498,126.9766774
16,옛집,서울특별시 용산구 한강대로62길 26,국수 / 면 요리,만원 미만,12,3.7,37.5339258,126.9733227
17,달볶이,서울특별시 용산구 청파로47길 88,기타 한식,만원 미만,10,3.7,37.545155,126.965632
18,서울쌈냉면,서울특별시 용산구 청파로47길 47-5,국수 / 면 요리,만원 미만,12,3.7,37.5443542,126.9677106
19,현선이네,서울특별시 용산구 한강대로39길 2-13,기타 한식,만원 미만,65,3.6,37.5311111,126.9692056
20,덕자네방앗간,서울특별시 용산구 한강대로 100 아모레퍼시픽 B1,기타 한식,만원 미만,21,3.6,37.5285969,126.9684034
21,용문해장국,서울특별시 용산구 효창원로 110,탕 / 찌개 / 전골,만원 미만,10,3.6,37.537931,126.9608607
22,선다래 (휴업중),서울특별시 용산구 청파로47길 89 1F,기타 한식,만원 미만,15,3.6,37.5449436,126.9655614
23,제주옥,서울특별시 용산구 한강대로38가길 7-20 1F,한정식 / 백반 / 정통 한식,만원 미만,15,3.6,37.5297922,126.9699433
24,꿈꾸는메밀,서울특별시 용산구 한강대로23길 55 용산역,국수 / 면 요리,만원 미만,19,3.5,37.5288539,126.9640447
25,까치네분식,서울특별시 용산구 청파로45길 18,기타 한식,만원 미만,9,3.4,37.5444325,126.9696615
26,현선이네,서울특별시 용산구 한강대로39길 2-5,기타 한식,만원 미만,15,3.2,37.530868,126.96902
27,장독대김치찜,서울특별시 용산구 한강대로21나길 7 용산역,한정식 / 백반 / 정통 한식,만원 미만,11,3.2,37.5288539,126.9640447
28,남도분식,서울특별시 용산구 한강대로21나길 7 용산아이파크몰 7F,기타 한식,만원 미만,10,2.7,37.5288539,126.9640447
29,옛촌칡냉면,서울특별시 용산구 서빙고로 36 1F,국수 / 면 요리,만원 미만,3,,37.5241943,126.9683323
30,황해집,서울특별시 용산구 한강대로88길 11-5,탕 / 찌개 / 전골,만원 미만,3,,37.5446564,126.9729232
31,소소라면,서울특별시 용산구 한강대로 268-1,기타 한식,만원 미만,5,,37.5422139,126.9730506
32,대가 왕만두냉면 곱돌구이,서울특별시 용산구 한강대로39길 4,한정식 / 백반 / 정통 한식,만원 미만,1,,37.530764,126.9688698
33,빨봉분식,서울특별시 용산구 청파로47길 71 2F,기타 한식,만원 미만,7,,37.5448008,126.9664415
34,까치네,서울특별시 용산구 한강대로84길 11-16,탕 / 찌개 / 전골,만원 미만,5,,37.544332,126.9732218
35,곽대리꼼대리닭대리,서울특별시 용산구 새창로35길 8,해산물 요리,만원 미만,2,,37.53622319999999,126.9616436
36,두끼,서울특별시 용산구 청파로47길 42-1 2F,기타 한식,만원 미만,5,,37.5447747,126.9679933
