,가게이름,리뷰아이디,리뷰,맛평가
1,한입소반,보리,"숙대 근처에 위치한 '한입소반'- 묵은지참치김밥엄청 기대했던 묵참김밥!! 크기는 정말 압도적이네요 :)양도 많고 맛도 있었지만 약간 취향이 갈릴듯해요!묵은지가 생각보다 굉장히 프레시한 맛..? 살찔것같은 걱정이 안들만큼 신선한 맛이었어요 ㅋㅋ 그래도 먹을수록 맛있었어요! 다만 참치는 좀 퍽퍽해서 아쉬웠습니다 ㅜㅜ 마요네즈 듬뿍파는 약간 아쉬울수도 있는,,",괜찮다
2,한입소반,르웬,"맛있다! 맛있는데!! 김밥덕후로서 평소 유명하지 않은 곳에서도 김밥을 팔면 꼭 시켜서 먹어보는데 말로만 듣던 한입소반을 미루다미루다 드디어 방문해보았다!아무래도 이 가게에 가려는 목적없이는 자주 방문하지않는 곳에 위치하다보니 길도 좁고 한적한길이 이어지다가 갑자기 시끌벅적한 가게가 나타나면! 바로 거기다!종류는 이영자님이 극찬하셨다는 묵은지참치김밥과 제육김밥, 시래기김밥, 충무김밥 등 다양한데 묵은지와 제육이 도전해봤다. 크기가 엄청 큰데 비해 밥양은 적어서 부담이 없어 무척 좋았고, 안에 내용물이 기존의 김밥들에 들어가는 달걀, 당근, 우엉, 깻잎은 특이하지않았는데 부추, 파는 처음봐서 특이하고 또 맛있었다. 두 개 다 맛있었는데 이렇게 극찬할만큼의 맛인가?는 의문이었다. 오히려 청담마녀김밥의 묵은지김밥을 처음 먹었을때 감탄했던 기억이 더 컸고, 요즘은 거의 보기힘든 찰스숯불김밥이 더 맛있었던 기억이다. 베스트!는 아니지만 충분히 맛있는 김밥맛집 인정!",괜찮다
3,한입소반,yoom,역시는 역시!김밥가격들이 거의 밥값과 비슷한 요즘다른곳과 다르게 김밥에 틈이 없이재료들로 가득들어 있어요거짓말 살짝 보태서 한상차림 먹는 기분~한입소반의 시그니처인 묵은지 참치김밥다른 김밥들도 먹어는 봤는데제 입맛에는 묵참김밥이 젤 맛있어요매장에서 따로 먹고갈순 없고 포장만 가능!예전보다는 가게도 넓고 깔끔해져서손님들도 금방금방 빠집니다한입 가득~ 알찬 김밥을 드시고 싶다면 강추해요,맛있다
4,한입소반,정다운,알찬 김밥 맛나요 잘돼서 너뮤 좋아요,맛있다
5,한입소반,Ray,"드디어 그 유명한 묵은지참치김밥을 먹어봤어요! 일반 참치김밥하고는 맛이 완전히 다른데, 특히 묵은지가 시원하고 아삭아삭해서 좋았어요! 밥양이 적은데도 한 조각이 입안 가득 찰 정도로 실해서 꽁다리는 아예 먹을 엄두도 못 내고 양보ㅋㅋ 중앙의 묵은지참치를 동그랗게 둘러싼 계란과 채소들의 색감과 모양이 예쁘기까지 해서 여러모로 대만족이었어요ㅎㅎ 1줄에 4500원인데 둘이 나눠 먹으니 간단한 요깃거리로 충분했고요. 혼자 먹으면 웬만한 식사 못지않게 든든할 것 같아 가성비도 훌륭해요!",맛있다
6,한입소반,메롱,묵참김밥 내 인생김밥 넘버원!!!완벽하다는 말밖에...할말이없음 최고최고,맛있다
7,한입소반,EJ,묵은지와 참치의 조합은 정말 환상!참치도 이렇게나 후하게 넣어주다니.. 보통은 김밥이 맛있지만 김밥이지라고 생각했는데 여긴 줄서서 먹을만하고 가격이 아깝지 않다. 재료가 이렇게 많이 들어있는데 간도 딱 맞음. 입안 가득 행-복이런 김밥집 있는 동네 부럽다..,맛있다
8,한입소반,컹컹,젤 맛있는 김밥 묵참의 원조,맛있다
9,한입소반,플렉서,김밥이 뭐 별건가했는데 쫌 하는집같다 김밥 깔끔하게 싸주고 맛도 어라? 좀 하네 생각이 든다공장식 시스템식 김밥집인것같다함,괜찮다
10,한입소반,GABY,"건강과 맛을 모두 챙긴 김밥-오전에 숙대입구 근처에 갔다가 점심 먹을 시간이 애매해서 그냥 간단하게 먹어야겠다고 생각하던 중 마침 근처에 전참시 이영자 김밥으로 유명한 김밥집이 있다고 해서 포장해서 먹어봤다.은박지가 아닌 플라스틱 용기에 깔끔하게 포장해주는 게 좋았다. 보기 좋은 떡이 먹기도 좋다더니 맛도 상당했다.시그니처 김밥인 묵은지참치김밥은 묵은지가 참치의 향을 잡아주면서 아삭한 식감까지 더해주는 게 맛있었고, 직화제육김밥은 청양고추의 청량한 매운맛과 제육의 불맛이 동시에 나는 게 기가 막혔다. 학학 거리면서 먹을만큼 매웠는데 그래도 맛있어서 끝까지 다 먹었다.김밥이 4,500원이라 좀 비싼 거 같았는데 퀄리티를 보니 제값주고 먹은 느낌이었다.",맛있다
