,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,금원함흥냉면,서울특별시 은평구 역말로 53 1F,국수 / 면 요리,만원 미만,7,4.2,37.6060399,126.9163595
2,삼오순대국,서울특별시 은평구 불광로1길 2,탕 / 찌개 / 전골,만원 미만,21,4.0,37.6102205,126.9280757
3,진김밥,서울특별시 은평구 연서로 130-1,기타 한식,만원 미만,8,3.9,37.6104051,126.9172125
4,허니돈,서울특별시 은평구 불광로 20 NC백화점 B1,기타 한식,만원 미만,12,3.8,37.6097118,126.9288519
5,마마수제만두,서울특별시 은평구 증산로 397,한정식 / 백반 / 정통 한식,만원 미만,26,3.7,37.591764,126.9135093
6,요요미,서울특별시 은평구 은평로11길 3-1,기타 한식,만원 미만,10,3.6,37.6011446,126.9233454
7,떡산,서울특별시 은평구 연서로 247-1,기타 한식,만원 미만,6,3.6,37.6195049,126.9223716
8,갈현동떡볶이,서울특별시 은평구 연서로29길 24 정운빌딩,기타 한식,만원 미만,7,3.5,37.619564,126.9177038
9,갈현시장할머니떡볶이,서울특별시 은평구 통일로87길 8-1,기타 한식,만원 미만,15,3.4,37.6234426,126.9187509
10,충무칼국수,서울특별시 은평구 은평로 193-1,국수 / 면 요리,만원 미만,10,,37.6019275,126.9288776
11,튀김소리,서울특별시 은평구 역말로 37,기타 한식,만원 미만,7,,37.6059892,126.9142685
12,달가득치킨,서울특별시 은평구 연서로28길 10,닭 / 오리 요리,만원 미만,5,,37.6177612,126.9209684
13,강릉장칼국수&만두,서울특별시 은평구 북한산로 2 금호어울림10단지 1028동 102호,국수 / 면 요리,만원 미만,3,,37.6432624,126.9220976
14,밥맛나는세상,서울특별시 은평구 서오릉로 196 1F 109호,기타 한식,만원 미만,1,,37.613782,126.9119986
15,갈현차돌,서울특별시 은평구 통일로87길 14 1F,고기 요리,만원 미만,1,,37.62350929999999,126.9181632
16,신선설농탕,서울특별시 은평구 통일로 871,탕 / 찌개 / 전골,만원 미만,4,,37.6205481,126.9196855
17,응암동돈까스,서울특별시 은평구 응암로 338,기타 한식,만원 미만,6,,37.6011656,126.9225875
18,진국수,서울특별시 은평구 연서로 247,국수 / 면 요리,만원 미만,4,,37.61966779999999,126.9221552
19,손수메밀,서울특별시 은평구 연서로 5-2,국수 / 면 요리,만원 미만,4,,37.5997491,126.915495
20,코스모스분식,서울특별시 은평구 연서로15길 2,기타 한식,만원 미만,5,,37.6105018,126.9165587
21,가야밀냉면해물칼국수,서울특별시 은평구 대서문길 36,국수 / 면 요리,만원 미만,2,,37.6553816,126.9482092
22,우주미,서울특별시 은평구 은평로 185,탕 / 찌개 / 전골,만원 미만,4,,37.6019856,126.9282279
23,영심이네보신탕,서울특별시 은평구 진흥로15길 7,탕 / 찌개 / 전골,만원 미만,1,,37.6100105,126.9318515
24,청년다방,서울특별시 은평구 통일로 715-14,기타 한식,만원 미만,2,,37.6099537,126.9293617
25,차돌식당,서울특별시 은평구 연서로 253-11,탕 / 찌개 / 전골,만원 미만,3,,37.620194,126.9229405
26,아웃닭,서울특별시 은평구 연서로29길 20-7 1F,닭 / 오리 요리,만원 미만,6,,37.6196497,126.9183981
27,면채반,서울특별시 은평구 통일로 1050 롯데몰 은평 4F,한정식 / 백반 / 정통 한식,만원 미만,4,,37.6375688,126.9181915
28,별미국수,서울특별시 은평구 증산로21길 16,국수 / 면 요리,만원 미만,3,,37.5960667,126.9130504
29,나노기분식,서울특별시 은평구 통일로 630-1 녹번래미안 상가 1F,기타 한식,만원 미만,2,,37.6069471,126.9348467
30,허니돈,서울특별시 은평구 통일로 1050 롯데몰 4F,기타 한식,만원 미만,3,,37.6383999,126.9175649
31,아주불곱창,서울특별시 은평구 은평로 101,고기 요리,만원 미만,3,,37.5999286,126.9190517
32,여리네닭갈비,서울특별시 은평구 통일로68길 12-19,닭 / 오리 요리,만원 미만,2,,37.6118238,126.9304052
33,얌샘김밥,서울특별시 은평구 연서로 220,기타 한식,만원 미만,1,,37.6180217,126.9201819
34,모두와돈까스,서울특별시 은평구 은평로 197-1,기타 한식,만원 미만,2,,37.601831,126.9295585
35,양구순두부,서울특별시 은평구 통일로83길 5-21,탕 / 찌개 / 전골,만원 미만,1,,37.6203859,126.9187046
36,오늘은보글부대,서울특별시 은평구 불광천길 430 1F,탕 / 찌개 / 전골,만원 미만,2,,37.5930796,126.9152815
37,오뎅식당,서울특별시 은평구 통일로 1050 롯데몰 은평 4F,탕 / 찌개 / 전골,만원 미만,3,,37.6375688,126.9181915
38,수내닭꼬치,서울특별시 은평구 연서로29길 22,기타 한식,만원 미만,2,,37.6194621,126.918087
39,달떡볶이,서울특별시 은평구 은평로 235-1,기타 한식,만원 미만,2,,37.6011381,126.9339454
40,도래울부대찌개감자탕,서울특별시 은평구 불광로 21 2F,탕 / 찌개 / 전골,만원 미만,1,,37.610351,126.928459
41,제주은희네해장국,서울특별시 은평구 통일로 1030 헤스티아1차 110호,탕 / 찌개 / 전골,만원 미만,2,,37.6340941,126.9176302
42,삼시국수,서울특별시 은평구 증산로21길 2,국수 / 면 요리,만원 미만,2,,37.5958383,126.9144749
43,아리랑개성손만두,서울특별시 은평구 진흥로 170,한정식 / 백반 / 정통 한식,만원 미만,2,,37.6083237,126.9281641
44,명당만두,서울특별시 은평구 응암로12길 10,기타 한식,만원 미만,2,,37.5877623,126.9177965
45,응암김밥,서울특별시 은평구 응암로25길 3 1F,기타 한식,만원 미만,1,,37.5949645,126.9178337
46,불광돌쇠닭강정,서울특별시 은평구 불광로 21 1F,닭 / 오리 요리,만원 미만,3,,37.610351,126.928459
47,시장냉면,서울특별시 은평구 응암로22길 5-21,국수 / 면 요리,만원 미만,3,,37.5943209,126.9187886
48,엄지척강정,서울특별시 은평구 갈현로11길 10,닭 / 오리 요리,만원 미만,2,,37.6054412,126.9093635
49,개성찹쌀순대해장국,서울특별시 은평구 응암로 207 1F,탕 / 찌개 / 전골,만원 미만,2,,37.5905227,126.9170715
50,봉평옹심이메밀칼국수,서울특별시 은평구 은평로3길 9,국수 / 면 요리,만원 미만,2,,37.5997839,126.9147709
51,옥이네김밥,서울특별시 은평구 연서로 247 연서시장 건물 내부 1F,기타 한식,만원 미만,3,,37.61966779999999,126.9221552
52,봉평옹심이메밀칼국수,서울특별시 은평구 연서로 247,국수 / 면 요리,만원 미만,1,,37.61966779999999,126.9221552
53,불티나손만두,서울특별시 은평구 은평로 64,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5986907,126.9148354
54,다슬기요리전문점,서울특별시 은평구 연서로29길 8-11,탕 / 찌개 / 전골,만원 미만,4,,37.6192366,126.9195323
55,북촌손만두,서울특별시 은평구 통일로 1050 롯데몰 은평 4F,한정식 / 백반 / 정통 한식,만원 미만,3,,37.6375688,126.9181915
