,가게이름,리뷰아이디,리뷰,맛평가
1,금원함흥냉면,도니,동네에 이런 함흥냉면집이 생겼다니!배달을 안하신다는 말에 호기심이 생겨 회냉면과 평양식만두를 먹고왔다냉면 양도 꽤 되고 조미료를 따로 안하고 먹었는데 맛있게 잘 먹었다 만두는 두부와 부추 함량이 많아 담백하게 먹기 좋음!따뜻한 육수와 무절임을 처음에 주시는데 육수가 맛있었다8000원의 행복이랄까? 무엇보다 착한 가격때문에 또 방문할듯!!,맛있다
2,금원함흥냉면,김병수 Arthur's bloom,사장님 혼자 하시는데 면도 직접 뽑고 비벼서 나오는데 맛나요,맛있다
3,금원함흥냉면,고니,완냉완만깔끔한맛과 시설,맛있다
4,금원함흥냉면,ethanghymn,"이 가게는 전에 맛되디님의 리뷰에선가 보고 가고싶다에 세이브해뒀던 것 같은데 해피버거데이에서 맛있게 프라이드 치킨을 맛보고 나와 충무칼국수에 보쌈을 사러 가는 길에 들러봄.5시 조금 전쯤인 애매한 시간이어선지 손님은 나 혼자였고 훈남 타입의 사장님이 맞이해 주시고 가게 한쪽에 있는 보온컨테이너에서 따뜻한 육수를 작은 주전자에 따라 가져다 주심.메뉴는 이미 정하고 와서 회냉면 한 그릇을 부탁드리고 가게를 둘러보니 아담하면서 깔끔하게 유지된 느낌이고 가게 출입문에는 겨울 두 달 정도 휴무라고 안내되어 있어 가게가 휴무에 들어가기 전에 들러서 다행이다 함.온육수를 맛을 보니 함흥냉면 가게에서 맛보는 맛과 같은 타입이지만 비교적 덜 자극적이면서 짜지 않고 싱거운 타입에 가까움.십여 분쯤 걸려 드디어 내가 주문한 회냉면이 무절임과 같이 나옴.겨자나 식초, 설탕 같은 걸 아무것도 넣지 않고 가위로 면을 자른 후 잘 뒤적여 한 젓가락 맛을 보니 이미 어느 정도 달달한 맛이 있어 추가로 조미료를 더 넣진 않음.간재미 회무침은 특별히 인상적이진 않지만 적당히 짭짤시큼하고 면은 전형적인 함흥냉면의 면발이어서 요즘 비빔평양냉면을 주로 먹었어선지 오랜만에 예전 친구를 만난 느낌임.볼륨감도 적당히 좋아 딱히 사리를 추가할 필요는 못 느낄 정도임.금방 적당히 맛있게 한 그릇을 뚝딱 비우고 계산 후 가겔 나옴.전체적으로 적당히 좋은 함흥냉면을 좋은 가격에 내놓는 가게인 것 같아 충무칼국수에 보쌈을 사러 가는 길에 들러봤는데 특별히 좋아 멀리서 일부러 들를 정도는 아니지만 가격도 좋고 맛도 적당히 좋아 근처에 온 길에 함흥냉면이 당기면 들러볼 만하다고 느껴졌고 응원의 맘을 담아 맛있다로..",맛있다
5,금원함흥냉면,머큐리 ,간재미회와 면이 맛있는 역촌동 <금원냉면>. 면을 위해 포장과 배달을 안 할 정도로 고집있고 위생적인 데다 음식의 맛 또한 있다 재방문할 집,맛있다
6,금원함흥냉면,맛되디,"<평범한 듯 맛있는 듯><오랜만에 비냉을 먹자>구산역 근방에 젊은 쉐프가 오픈한 함흥냉면 전문점. 대표 메뉴는 회냉면과 회무침이다.---------------------------------------------------------------------------------주로 평냉이건, 고깃집 냉면이건 물냉을 먹지만 본인, 비냉도 좋아한다. 중독적인 달착지근한 감칠맛과 매콤함. 잡아 당기며 씹어 끊는 맛이 있는 면까지. 물냉에 없는 매력이 이렇게 많은데 어떻게 싫어할 수 있겠나.그중에서도 보들쫄깃한 간재미회가 올라가는 함흥냉면은 특히 좋아하는 비빔냉면. 전신이라 할 수 있는 음식은 함흥에서 감자 전분으로 만든 질긴 면에 터프하게 양념장 약간, 회 약간 올려 먹던 음식인 회국수로, 6.25 피난기에 남한 땅에 도착해 몇 가지 변화를 겪은 끝에 함흥냉면이라는 이름을 얻었다. 50년대 후반에 이르러서는, 함흥냉면집들이 모인 골목이 형성될 정도로 인기도 얻었고. 현재 국내에서 맛볼 수 있는 함흥냉면들은 크게 두 가지로 나눌 수 있다. 1세대 함흥냉면과 2세대 이하 함흥냉면. 1세대 함흥냉면은 이름 그대로 함흥냉면이 남한에 함흥냉면이라는 이름으로 정착했던 시절 함흥냉면의 모습을 간직하고 있는 냉면으로 간장 육수가 적당히 들어가 국물이 자박하고, 양념장이 적은 특징을 보인다. 2세대 이하 함흥냉면은 우리가 비빔냉면 하면 떠올리는 모습을 한 함흥냉면. 국물이 적거나 없고, 양념이 많아 맵고 참기름 맛도 강한 편이다.오늘 리뷰의 주인공, 금원냉면은 굳이 말하자면 2세대 이하 함흥냉면집. 그런데 양념 맛은 또 1세대 함흥냉면의 맛에 가까웠다. 세대 구분이 무의미한 젊은 함흥냉면집이라고 보면 될 듯.금원냉면-맞으면 뚫려 죽을 것 같은 비가 내린 얼마 전... 바로 집에 가긴 싫어 갈 만한 곳을 뒤지다가 본 리뷰의 냉면 사진이 그럴싸해 다녀온 곳으로! 함흥냉면 전문점으로는 보기 드물게 국내산 전분을 사용해 직접 제면하고, 만두도 주문 즉시 만드는 곳이다. 진영면옥과 마찬가지로 젊은 나이의 쉐프님께서 올해 4월 함흥냉면의 재도약을 목표로 오픈하셨다고.공간-갈 일이 거의 없는 역촌동에 위치한 자그마한 공간. 널찍한 오픈 키친이 있는 걸 제외하면 적당히 깔끔하고 서너 개의 테이블이 있는 평범한 공간이다. 별다른 인테리어 요소가 없음에도, 수북히 쌓인 전분 포대의 존재로 함흥냉면 전문점의 아이덴티티는 넘치도록 충만한 게 특징이라면 특징. 사람들이 들이닥치기 전 먹고 나온 내겐 큰 문제가 아니었지만 시국이 시국임에도 칸막이 하나 없는 건 좀 아쉽다.맛본 음식-회냉면(8000)평양식 왕만두(7000)온육수_평냉집의 면수처럼 함흥냉면집에서 안 나오면 섭한 것이 이 온육수다. 친숙한 비주얼의 주전자에 담겨 등장한 금원냉면의 온육수는 비교적 맑고 구수한 온육수. 홀짝홀짝 마시는 맛이 나쁘지 않은 온육수다. 본격적인 식사에 앞서 비에 지친 몸을 뜨듯하게 달궈 준, 고마운 녀석.회냉면_실한 사이즈의 면 타래, 달걀, 오이채, 배채, 오이 무침, 양념장, 그리고 가장 중요한 회가 꽤 넉넉히 들어간 함흥냉면. 주문할 때 양 좀 많이 주십사 부탁드렸더니 한 눈에 봐도 푸짐한 양의 한 그릇이 나왔다. 국물도 없고, 양념장도 제법 뻑뻑해 받아든 순간엔 살짝 당황하게 하는 녀석이 슥슥 비비면 또 잘 비벼져 금방 면이 양념을 고루 걸친 상태가 된다. 맛도 훌륭한 편. 일단 맵기만 한 함흥냉면, 참기름 맛이 겉도는 함흥냉면이 아니다. 단 맛이 적당히 감도는, 옅은 매콤함과 감칠맛의 조화가 훌륭한 함흥냉면이다. 이 맛을 제대로 즐길 수 있도록 돕는 게 면. 잡아 당기는 것, 잘근잘근 씹는 것만으로는 끊어지지 않고 두 가지를 동시에 해야 끊기는 질기디 질긴 찐 함흥냉면 면이라, 매콤달큰한 맛을 즐기는 매 순간을 한층 특별하게 만들어 준다. 게임도 적당히 어려워야 재미있는 것처럼ㅎㅎ충분한 양의 간재미회도 준수하게 맛있다. 똠얌꿍 먹다가 잘못 씹은 레몬그라스마냥 꼬들한 걸 넘어 질깃하고 이상한 냄새까지 나, 사람이 먹을 게 못 되는 저급 함흥냉면집의 회와는 확실히 다른 느낌으로, 숙성회의 풍미는 살짝 아쉽지만 보들보들하면서도 쫄깃해 씹는 맛은 정말 좋다. 튼튼한 면을 적당히 집어 쭉 잡아 당기면, 굳이 골라 넣지 않아도 몇 점이 면 가락을 타고 딸려 오는데 요걸 면과 같이 씹는 맛은 특히 최고다.마무리는 계란으로 해야 한다. 남겨둔 노른자에 남은 양념과 회를 얹어 한국식 타파스처럼 만들어 먹으면 그렇게 맛있을 수가 없다. 아마도 비냉의 계란을 가장 맛있게 먹는 방법 아닐까.맛있게 먹었다. 대단히 특별하게 맛있는 함흥냉면은 아니어도 깊이가 다른 평범함으로 무장한 한 그릇인 건 확실하다.평양식 왕만두_이름과 따로 논다. 쥬시하고 두부 맛이 강한 평양식 왕만두와는 아예 다르다. 애호박이 듬뿍 들어간, 은은한 단 맛이 매력적인 왕만두다. 오히려 칼국수집 왕만두에 가까운 만두라 해야 하나.그래도 갓 만든 만두는 갓 만든 만두. 피 두께도 적당하고 듬뿍 들어찬 소도 나름 촉촉해 맛이 나쁘진 않다. 흔한 칼국수집 만두와 달리 마늘 맛이나 생강 맛이 강하지 않다는 것도 맘에 드는 부분. 과연 god 만든 만두다.그냥 먹어도 맛있지만, 비냉과 함께 먹을 때 진가를 드러내는 만두니까 물냉보다는 비냉이나 회냉면과 같이 먹길 권한다.서비스-접객도 나쁘지 않은 곳. 다만 쉐프님에 비해 여자 종업원분은 살짝 까칠하시다. 감안하고 방문할 것!총평-개인적으로 입맛에 맞는 함흥냉면을 내는 곳이지 객관적으로 멀리서 찾아갈 만한 곳은 아니다. 평범함의 범주에서 썩 괜찮은 수준의 함흥냉면을 내는 집.매콤한 비냉을 좋아하는 분들께는 추천하지 않는다. 디저트가 아닌 음식에서 단 맛이 나는 걸 싫어하는 분들께도 추천하지 않는다. 전반적으로 음식이 약간 달다.PS)1세대 함흥냉면의 대표 주자로는 흥남집, 신창면옥이 있다.PS2)사실 북한 함경도 주민들이 즐겨 먹던 면 요리는 함흥냉면의 조상이라 볼 수 있는 회국수보다는 농마국수와 치마리국수다. 뭐 이 두 가지도 지금의 북한에서는 극소수 상류층들 아니면 관광객들이나 먹을 수 있는 음식.PS3)기본적으로 북한에서 전분으로 만든 질긴 면을 가위로 잘라 먹는 게 금기시되는 행위라지만, 함흥냉면을 꼭 이로 끊어 먹을 필요는 없다고 생각한다. 가위로 잘라 먹고 싶은 사람은 잘라 먹고, 이로 끊어 먹고 싶은 사람은 끊어 먹으면 되는 거지.",맛있다
7,금원함흥냉면,기르,동네에 생긴 비냉파,맛있다
8,삼오순대국,백반남자 ,든든한 순대국밥이였음.고기와 순대는 정말 좋았음.다음에는 얼큰한맛으로 도전해야지,맛있다
9,삼오순대국,맛집교과서 먹선생,"삼오순대국은평구에서 여기 모르면 간첩이다. 스윙스님도 인정한 순대국이다. 오후 2시에 식사하러 가도 만석인 놀라운 곳.-서울 은평구 불광동 #삼오순대국 (가게 상세정보는 글 하단 참조.)-대낮에 할머니 할아버지들이 소주까고있으면 90%이상 맛집인증이라는 식객들의 격언이 있다. 이는 대대로 전해져 내려오며 항상 맞는말이기도 하다.-결론부터 말하자면 이 곳이 그러하다. 특이하게도 할아버지가 아니라 할머니. 샤넬 트위드자켓을 입고계신 우아한 할머님 두분께서 소주를 마시며 홍홍홍 미소지으시던게 인상적.-#순대국일년동안의 부산생활로 돼지국밥에 사랑에 빠진 먹선생. 앵간하면 순대국은 무시하고 지나가는 편인데, 간만에 칼칼한 이곳의 얼큰순대국이 땡겨서 방문.-10년이 넘게 지나도 한결같다. 맛있다. 특히 부속고기가 맛있다. 순대보다 오히려 더 폼이 좋다. 매장내 초등학생들부터 어르신들까지 다들 집중해서 그릇에 코박고 먹는다.-순대국에 세가지 옵션이있다.보통 - (고기 + 순대2개)반반 - (고기 + 순대7개)순대만 - 순대13개취향것 선택해서 먹으면 된다.-먹선생 추천픽은 얼큰순대국 ‘보통’ (9,000원)-서울 은평구 불광로1길 2⏰매일 05:30 - 21:0002-387-2605",맛있다
10,삼오순대국,비바,동네 맛집이라고 추천 받아서 방문했습니다워낙 초딩입맛이다 보니 보통은 순대만으로 주문해서 먹는데요여기는 부속고기가 정말 맛있네요순대는 두알만 들어있던데 아쉽지 않았습니다,맛있다
