,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,한방통닭,서울특별시 용산구 대사관로34길 38,닭 / 오리 요리,만원 미만,57,4.4,37.5315144,127.0055198
2,명동교자,서울특별시 용산구 녹사평대로 136,국수 / 면 요리,만원 미만,21,4.3,37.5308339,126.9909427
3,유진막국수,서울특별시 용산구 장문로 18,국수 / 면 요리,만원 미만,17,4.0,37.52840339999999,126.9923715
4,반당,서울특별시 용산구 이태원로54길 42,기타 한식,만원 미만,20,3.9,37.5365151,127.0014445
5,옛날국시,서울특별시 용산구 녹사평대로32길 20-1,기타 한식,만원 미만,15,3.8,37.5334061,126.9899599
6,야고만두,서울특별시 용산구 우사단로 42,기타 한식,만원 미만,11,3.7,37.53385919999999,126.9957525
7,나리의집,서울특별시 용산구 이태원로 245,고기 요리,만원 미만,40,3.6,37.5368776,127.0000977
8,동아냉면,서울특별시 용산구 대사관로 45-1,국수 / 면 요리,만원 미만,31,3.6,37.5336758,127.0032497
9,동아냉면,서울특별시 용산구 우사단로 5,국수 / 면 요리,만원 미만,16,3.5,37.5308615,126.9966152
10,오토,서울특별시 용산구 우사단로10다길 1,기타 한식,만원 미만,12,3.2,37.5317144,127.0009202
11,느네집,서울특별시 용산구 보광로60길 20,기타 한식,만원 미만,8,,37.5338753,126.9952046
12,향기고을,서울특별시 용산구 한남대로18길 18,탕 / 찌개 / 전골,만원 미만,10,,37.5343064,127.0083736
13,만두맨,서울특별시 용산구 대사관로31길 19-10 B1,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5343542,127.0053712
14,엉터리통닭,서울특별시 용산구 회나무로 38-1,닭 / 오리 요리,만원 미만,8,,37.5395986,126.9907567
15,우리둥지,서울특별시 용산구 이태원로42길 19,기타 한식,만원 미만,5,,37.5357515,126.9997959
16,숙이네닭발,서울특별시 용산구 우사단로10길 47 1F,닭 / 오리 요리,만원 미만,4,,37.532792,126.9981496
17,이화국시,서울특별시 용산구 녹사평대로40길 55,국수 / 면 요리,만원 미만,1,,37.5344124,126.9887831
18,통큰칼국수,서울특별시 용산구 장문로 112,국수 / 면 요리,만원 미만,3,,37.5263619,127.0019476
19,귀일교자,서울특별시 용산구 회나무로 24-1,한정식 / 백반 / 정통 한식,만원 미만,7,,37.5392006,126.9894144
20,소담부대찌개,서울특별시 용산구 장문로 84,탕 / 찌개 / 전골,만원 미만,2,,37.5259352,126.9989077
21,순수식판,서울특별시 용산구 이태원로54가길 8,한정식 / 백반 / 정통 한식,만원 미만,4,,37.5373394,127.0017447
22,구이마당,서울특별시 용산구 대사관로 58 1F,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5332256,127.004567
23,곽경찬의시골밥상,서울특별시 용산구 이태원로45길 4,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5361682,126.9993242
24,초원식당,서울특별시 용산구 보광로60길 17,국수 / 면 요리,만원 미만,1,,37.5340868,126.9951803
25,고릴라석쇠구이,서울특별시 용산구 이태원로14길 29,고기 요리,만원 미만,2,,37.5332143,126.9911301
26,쭈꾸미손사장,서울특별시 용산구 대사관로 78,해산물 요리,만원 미만,2,,37.533038,127.0066853
27,반가칼국수,서울특별시 용산구 이태원로 238-1,국수 / 면 요리,만원 미만,3,,37.5359248,126.999943
28,그로우에그,서울특별시 용산구 이태원로26길 16,기타 한식,만원 미만,1,,37.5336651,126.9932738
29,이태원매운우동,서울특별시 용산구 보광로59길 5 ,기타 한식,만원 미만,1,,37.5338391,126.9937105
30,북촌손만두,서울특별시 용산구 대사관로 76 거북빌딩 1F,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5329964,127.0064573
31,이태원분식,서울특별시 용산구 회나무로 23,기타 한식,만원 미만,2,,37.5393363,126.9891681
32,깍두기식당,서울특별시 용산구 녹사평대로52길 19 ,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5389836,126.9882812
33,후랜드천,서울특별시 용산구 장문로 88,기타 한식,만원 미만,1,,37.5259577,126.9993339
34,원조보리밥수제비,서울특별시 용산구 이태원로14길 24,한정식 / 백반 / 정통 한식,만원 미만,4,,37.5332327,126.9907576
35,주머니살롱,서울특별시 용산구 대사관로 56 1F,퓨전 한식,만원 미만,1,,37.5332529,127.0041741
36,김밥천국,서울특별시 용산구 대사관로 65,기타 한식,만원 미만,3,,37.5334086,127.0054381
37,민들레,서울특별시 용산구 보광로 86,탕 / 찌개 / 전골,만원 미만,2,,37.5308226,126.9961632
38,다미만두,서울특별시 용산구 녹사평대로 222-1,기타 한식,만원 미만,1,,37.5375045,126.9869559
39,한남북엇국,서울특별시 용산구 한남대로 91 나인원한남 고메이494 마켓존 푸드코트 B2,탕 / 찌개 / 전골,만원 미만,2,,37.5363276,127.0034928
40,시루향기,서울특별시 용산구 대사관로24길 12,탕 / 찌개 / 전골,만원 미만,2,,37.5328361,127.0046458
41,부자식당,서울특별시 용산구 대사관로24길 14,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5328066,127.004774
