,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,대련집,서울특별시 종로구 종로16길 37,국수 / 면 요리,만원 미만,22,4.3,37.5684035,126.9890267
2,호남집,서울특별시 종로구 종로40가길 5,한정식 / 백반 / 정통 한식,만원 미만,6,4.3,37.5702203,127.0063649
3,옐로베리,서울특별시 종로구 우정국로2길 40,기타 한식,만원 미만,4,4.3,37.5694937,126.9843885
4,체부동잔치집,서울특별시 종로구 자하문로1길 16,국수 / 면 요리,만원 미만,120,4.2,37.5764739,126.9714867
5,뚝배기집,서울특별시 종로구 종로16길 12,한정식 / 백반 / 정통 한식,만원 미만,89,4.2,37.5695341,126.9884726
6,순희네빈대떡,서울특별시 종로구 종로32길 5,한정식 / 백반 / 정통 한식,만원 미만,165,4.1,37.5705817,127.000708
7,한일식당,서울특별시 종로구 수표로20길 16-17,한정식 / 백반 / 정통 한식,만원 미만,18,4.1,37.5698568,126.9911251
8,종로할머니칼국수,서울특별시 종로구 돈화문로11다길 14-2,국수 / 면 요리,만원 미만,12,4.1,37.5728184,126.9907998
9,라면점빵,서울특별시 종로구 자하문로1길 39 1F,기타 한식,만원 미만,7,4.1,37.5765539,126.970118
10,잘빠진메밀,서울특별시 종로구 율곡로8길 73,국수 / 면 요리,만원 미만,29,4.0,37.573992,126.9914768
11,엄용백돼지국밥,서울특별시 종로구 인사동3길 20,탕 / 찌개 / 전골,만원 미만,33,4.0,37.5718312,126.9857915
12,밥플러스,서울특별시 종로구 옥인길 9,한정식 / 백반 / 정통 한식,만원 미만,19,4.0,37.5804214,126.9679781
13,원조누드치즈김밥,서울특별시 종로구 창경궁로 88 광장시장 41호,기타 한식,만원 미만,29,4.0,37.5700398,126.9996036
14,종로설렁탕,서울특별시 종로구 종로 110-1,탕 / 찌개 / 전골,만원 미만,14,4.0,37.5699622,126.9898626
15,완백부대찌개,서울특별시 종로구 종로 33 그랑서울 1F,탕 / 찌개 / 전골,만원 미만,12,3.9,37.5706922,126.9815134
16,세검정돈까스,서울특별시 종로구 자하문로 240,기타 한식,만원 미만,7,3.9,37.5955289,126.9640587
17,일오팔닭국수,서울특별시 종로구 종로 214,국수 / 면 요리,만원 미만,9,3.9,37.570667,127.0015321
18,고향칼국수,서울특별시 종로구 종로32길 22,국수 / 면 요리,만원 미만,5,3.9,37.5698943,127.0010466
19,진옥화할매원조닭한마리,서울특별시 종로구 종로40가길 18,닭 / 오리 요리,만원 미만,56,3.8,37.5703353,127.0056842
20,잘빠진메밀,서울특별시 종로구 자하문로 41-1,국수 / 면 요리,만원 미만,21,3.8,37.5797283,126.9710536
21,할매집,서울특별시 종로구 사직로12길 1-5,고기 요리,만원 미만,21,3.8,37.5756335,126.9714088
22,수정식당,서울특별시 종로구 종로16길 18,한정식 / 백반 / 정통 한식,만원 미만,19,3.8,37.569187,126.9884547
23,종로제면소,서울특별시 종로구 돈화문로11다길 10 2F,국수 / 면 요리,만원 미만,15,3.8,37.5727509,126.9905902
24,목원의서촌가락,서울특별시 종로구 자하문로7길 59,국수 / 면 요리,만원 미만,12,3.8,37.5798408,126.969184
25,공평동꼼장어,서울특별시 종로구 우정국로 29,해산물 요리,만원 미만,21,3.7,37.5716752,126.9828367
26,서울식품,서울특별시 종로구 수표로18가길 25,한정식 / 백반 / 정통 한식,만원 미만,18,3.7,37.568825,126.9911141
27,깃대봉냉면,서울특별시 종로구 지봉로12길 3,국수 / 면 요리,만원 미만,13,3.7,37.5771422,127.0157295
28,국시랑만두,서울특별시 종로구 자하문로 276 부원빌딩,탕 / 찌개 / 전골,만원 미만,6,3.7,37.59822510000001,126.962359
29,사이치킨,서울특별시 종로구 백석동길 1,닭 / 오리 요리,만원 미만,12,3.6,37.5926796,126.9656778
30,종로분식,서울특별시 종로구 종로 30,기타 한식,만원 미만,19,3.6,37.5699086,126.9806907
31,낙산냉면,서울특별시 종로구 지봉로5길 8,국수 / 면 요리,만원 미만,16,3.6,37.574444,127.0152454
32,고기튀김전문집,서울특별시 종로구 지봉로4가길 11,기타 한식,만원 미만,12,3.6,37.5705768,127.0166491
33,교남김밥,서울특별시 종로구 경교장길 35 경희궁자이 3단지 1F 3116호,기타 한식,만원 미만,42,3.5,37.5687597,126.9661671
34,남도분식,서울특별시 종로구 옥인2길 2,기타 한식,만원 미만,33,3.5,37.5809032,126.9669254
