,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,사랑방칼국수,서울특별시 중구 퇴계로27길 46,국수 / 면 요리,만원 미만,144,4.4,37.5632323,126.9913231
2,무교동북어국집,서울특별시 중구 을지로1길 38,탕 / 찌개 / 전골,만원 미만,83,4.4,37.5677037,126.9798457
3,강산옥,서울특별시 중구 청계천로 196-1,한정식 / 백반 / 정통 한식,만원 미만,13,4.3,37.5688748,126.9993916
4,고씨네고추장찌개,서울특별시 중구 수표로 26 1F,한정식 / 백반 / 정통 한식,만원 미만,5,4.3,37.5634604,126.990393
5,황성집,서울특별시 중구 청파로 447-15,탕 / 찌개 / 전골,만원 미만,10,4.3,37.5592327,126.9682908
6,황평집,서울특별시 중구 마른내로 74,닭 / 오리 요리,만원 미만,72,4.2,37.5640209,126.9961072
7,장수보쌈,서울특별시 중구 동호로 378,고기 요리,만원 미만,42,4.2,37.5680156,127.0024187
8,할아버지손칼국수,서울특별시 중구 마장로9길 43-3,국수 / 면 요리,만원 미만,22,4.2,37.5699687,127.019049
9,The92산들바다,서울특별시 중구 퇴계로 398 1F,기타 한식,만원 미만,19,4.2,37.5649867,127.0157797
10,국수가좋아,서울특별시 중구 퇴계로 423,국수 / 면 요리,만원 미만,40,4.1,37.5659562,127.0186987
11,진미네,서울특별시 중구 마른내로6길 34 인현시장,한정식 / 백반 / 정통 한식,만원 미만,10,4.1,37.5631237,126.9951313
12,산수갑산,서울특별시 중구 을지로20길 24,탕 / 찌개 / 전골,만원 미만,112,4.0,37.5653809,126.9953023
13,느티나무설렁탕,서울특별시 중구 퇴계로71길 38,탕 / 찌개 / 전골,만원 미만,16,4.0,37.5664554,127.0128716
14,코너집,서울특별시 중구 퇴계로 336 성진오피스텔 1F,한정식 / 백반 / 정통 한식,만원 미만,10,4.0,37.5641765,127.0088698
15,청와옥,서울특별시 중구 을지로 110 1F,탕 / 찌개 / 전골,만원 미만,14,4.0,37.5659865,126.9901359
16,장수보리밥,서울특별시 중구 퇴계로85길 12,한정식 / 백반 / 정통 한식,만원 미만,9,4.0,37.5662408,127.0197771
17,옥경이네건생선,서울특별시 중구 퇴계로85길 11,한정식 / 백반 / 정통 한식,만원 미만,9,3.8,37.5662584,127.0195097
18,동대문매운김밥,서울특별시 중구 다산로 255,기타 한식,만원 미만,10,3.8,37.5657959,127.0158947
19,영남순대국,서울특별시 중구 다산로42길 19,탕 / 찌개 / 전골,만원 미만,7,3.8,37.564753,127.0173629
20,진미떡볶이,서울특별시 중구 다산로36길 36,기타 한식,만원 미만,30,3.6,37.5618793,127.0168981
21,명동충무김밥,서울특별시 중구 명동10길 16,기타 한식,만원 미만,13,3.6,37.5630986,126.9851843
22,미미국수,서울특별시 중구 다산로44길 40-3,국수 / 면 요리,만원 미만,35,3.5,37.5648913,127.0191484
23,아이러브신당동,서울특별시 중구 퇴계로76길 50,기타 한식,만원 미만,27,3.5,37.5631408,127.0147468
24,JVL부대찌개,서울특별시 중구 장충단로13길 20 현대시티아울렛 동대문점 B2,탕 / 찌개 / 전골,만원 미만,13,3.5,37.5686986,127.0076666
25,을지칼국수,서울특별시 중구 충무로 54-3,국수 / 면 요리,만원 미만,7,3.5,37.565924,126.9930526
26,신당동막내아들네,서울특별시 중구 다산로 221,기타 한식,만원 미만,24,3.4,37.5628886,127.0150749
27,두끼 ,서울특별시 중구 장충단로13길 20 현대시티아울렛 9F,기타 한식,만원 미만,9,3.4,37.5686986,127.0076666
28,우정,서울특별시 중구 퇴계로76길 55,닭 / 오리 요리,만원 미만,16,3.4,37.5627511,127.0149047
29,전주순대국,서울특별시 중구 동호로12길 115,탕 / 찌개 / 전골,만원 미만,9,3.4,37.5602638,127.0124768
30,공일부엌,서울특별시 중구 만리재로 209 1F,한정식 / 백반 / 정통 한식,만원 미만,6,3.3,37.5560739,126.9682167
31,원조짜장떡볶이,서울특별시 중구 동호로12길 96,기타 한식,만원 미만,15,3.2,37.5593327,127.0123363
32,대림국수,서울특별시 중구 을지로 157 대림상가 라366호,국수 / 면 요리,만원 미만,7,3.2,37.5669489,126.9954313
33,마복림원조할머니집떡볶이,서울특별시 중구 다산로35길 5,기타 한식,만원 미만,56,3.1,37.5631824,127.0150869
34,동대문엽기떡볶이,서울특별시 중구 퇴계로75길 15 1F,기타 한식,만원 미만,11,3.1,37.5660587,127.0155381
35,북촌손만두,서울특별시 중구 장충단로 249-10,한정식 / 백반 / 정통 한식,만원 미만,7,3.0,37.5672503,127.0077299
36,만나손칼국수,서울특별시 중구 동호로31길 29,국수 / 면 요리,만원 미만,6,,37.5631416,127.0011153
37,방산분식,서울특별시 중구 을지로35길 50,기타 한식,만원 미만,5,,37.568862,127.0016128
38,개미집,서울특별시 중구 을지로35길 48,탕 / 찌개 / 전골,만원 미만,4,,37.5688079,127.0016101
39,전통맛집,서울특별시 중구 창경궁로7길 10,탕 / 찌개 / 전골,만원 미만,4,,37.5675436,126.9974478
40,춘천막국수,서울특별시 중구 다산로10길 6,국수 / 면 요리,만원 미만,6,,37.553358,127.0102999
41,대원식당,서울특별시 중구 창경궁로5길 34-26,한정식 / 백반 / 정통 한식,만원 미만,5,,37.567654,126.9961196
42,만경식당,서울특별시 중구 퇴계로73길 13 1-2F,한정식 / 백반 / 정통 한식,만원 미만,6,,37.5657399,127.0139417
