,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,용마해장국,서울특별시 중랑구 용마공원로5길 8,탕 / 찌개 / 전골,만원 미만,11,4.3,37.59441270000001,127.1015177
2,면동떡볶이,서울특별시 중랑구 면목로57길 33 1F,기타 한식,만원 미만,9,4.1,37.5846681,127.0865127
3,울타리철판곱창전문,서울특별시 중랑구 중랑역로 14-1,고기 요리,만원 미만,11,4.0,37.5954797,127.076557
4,함평국밥,서울특별시 중랑구 봉우재로33길 73,고기 요리,만원 미만,6,4.0,37.5954283,127.0892009
5,홍이네떡볶이,서울특별시 중랑구 망우로73길 26,기타 한식,만원 미만,9,3.5,37.6016711,127.1033625
6,맑은샘,서울특별시 중랑구 용마산로99길 13,기타 한식,만원 미만,5,,37.5919111,127.097229
7,만두만,서울특별시 중랑구 면목로44길 57,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5809783,127.0917692
8,가나점보돈까스,서울특별시 중랑구 용마산로94가길 24,기타 한식,만원 미만,6,,37.5881351,127.0967912
9,사가정손두부,서울특별시 중랑구 면목로44길 62,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5808643,127.0919404
10,성창식당,서울특별시 중랑구 면목로 421,한정식 / 백반 / 정통 한식,만원 미만,2,,37.589608,127.0870355
11,참맛깔곱창,서울특별시 중랑구 면목로74길 7,닭 / 오리 요리,만원 미만,3,,37.5893299,127.0890652
12,거여돈가스,서울특별시 중랑구 송림길 5,기타 한식,만원 미만,5,,37.5993172,127.0951657
13,시월애도토리,서울특별시 중랑구 동일로109길 90 대명빌딩,한정식 / 백반 / 정통 한식,만원 미만,1,,37.590978,127.0752371
14,진국설렁탕,서울특별시 중랑구 용마산로115길 102,탕 / 찌개 / 전골,만원 미만,4,,37.5981902,127.094732
15,유정순대,서울특별시 중랑구 면목로37길 42,탕 / 찌개 / 전골,만원 미만,1,,37.579756,127.0842348
16,키미노돼지국밥,서울특별시 중랑구 중랑천로10길 92 1F,탕 / 찌개 / 전골,만원 미만,2,,37.5926809,127.078032
17,만두박사,서울특별시 중랑구 공릉로 66-1,한정식 / 백반 / 정통 한식,만원 미만,2,,37.6162891,127.0796639
18,한동길뼈다귀감자탕,서울특별시 중랑구 신내로 225,탕 / 찌개 / 전골,만원 미만,5,,37.6168565,127.0913817
19,먹골골목냉면,서울특별시 중랑구 공릉로 56-8,국수 / 면 요리,만원 미만,1,,37.6153085,127.0791753
20,명동칼국수샤브샤브,서울특별시 중랑구 동일로 932 이마트 B1,국수 / 면 요리,만원 미만,1,,37.6136975,127.077514
21,묵동할머니떡볶이,서울특별시 중랑구 공릉로12가길 14,기타 한식,만원 미만,4,,37.6164857,127.0804997
22,오대전통가마솥순대국,서울특별시 중랑구 봉우재로 131,탕 / 찌개 / 전골,만원 미만,3,,37.5930732,127.0874722
23,니뽕내뽕,서울특별시 중랑구 망우로 353,퓨전 한식,만원 미만,2,,37.5977195,127.0932913
24,노고단칼국수,서울특별시 중랑구 봉화산로56길 1,국수 / 면 요리,만원 미만,2,,37.6079228,127.1000913
25,만석바지락칼국수,서울특별시 중랑구 동일로109길 39 1F,국수 / 면 요리,만원 미만,2,,37.5915057,127.0778845
26,유씨네가직접만든찹쌀순대,서울특별시 중랑구 사가정로49길 46,탕 / 찌개 / 전골,만원 미만,1,,37.5829185,127.0868874
27,임현숙의이화김치찌개,서울특별시 중랑구 중랑천로 188,탕 / 찌개 / 전골,만원 미만,4,,37.6012991,127.074441
28,망우정식,서울특별시 중랑구 용마산로115길 8,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5991584,127.099856
29,명동칼국수,서울특별시 중랑구 망우로 353 홈플러스 B1,탕 / 찌개 / 전골,만원 미만,1,,37.5977195,127.0932913
30,빙수야,서울특별시 중랑구 용마산로116길 21,기타 한식,만원 미만,2,,37.5994737,127.10162
31,삼대냉면,서울특별시 중랑구 용마산로115길 45,국수 / 면 요리,만원 미만,1,,37.5984758,127.0977816
32,숙희네소머리국밥,서울특별시 중랑구 면목로33길 14,탕 / 찌개 / 전골,만원 미만,1,,37.5767593,127.0850742
33,잉꼬네떡볶이,서울특별시 중랑구 용마산로120길 43,기타 한식,만원 미만,1,,37.6015748,127.103033
34,왕돈까스&왕냉면,서울특별시 중랑구 겸재로 185 ,기타 한식,만원 미만,1,,37.588644,127.0880912
35,박가네뼈다귀감자탕,서울특별시 중랑구 망우로 193,탕 / 찌개 / 전골,만원 미만,2,,37.5937725,127.0740608
36,서천칼국수,서울특별시 중랑구 겸재로64길 77,국수 / 면 요리,만원 미만,1,,37.5870669,127.0948475
37,콩닢,서울특별시 중랑구 동일로 799-6,탕 / 찌개 / 전골,만원 미만,2,,37.6019364,127.0789687
38,봉봉토스트,서울특별시 중랑구 신내로 65-1,기타 한식,만원 미만,2,,37.60492000000001,127.0951918
39,왕십리 곱창집,서울특별시 중랑구 망우로62길 52-4 우림시장,고기 요리,만원 미만,1,,37.5967341,127.0982568
40,전주식당,서울특별시 중랑구 면목로44길 35 ,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5810306,127.0904881
41,크리스탈,서울특별시 중랑구 봉우재로70길 93,기타 한식,만원 미만,4,,37.5914161,127.0971829
42,경상도떡볶이,서울특별시 중랑구 망우로71길 36-17,기타 한식,만원 미만,3,,37.6020705,127.1030474
43,홍두깨손칼국수,서울특별시 중랑구 상봉로11길 31 서울마트,국수 / 면 요리,만원 미만,2,,37.5898421,127.091794
44,소문난순대국,서울특별시 중랑구 용마산로115길 54 우림시장,탕 / 찌개 / 전골,만원 미만,1,,37.59861739999999,127.0973349
45,육쌈냉면,서울특별시 중랑구 사가정로 395,국수 / 면 요리,만원 미만,1,,37.5807949,127.0886659
46,상봉두루치기,서울특별시 중랑구 망우로48길 15 1F,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5961544,127.0881298
47,지지고,서울특별시 중랑구 용마산로90길 18,기타 한식,만원 미만,2,,37.587544,127.0969036
48,미친닭강정김밥,서울특별시 중랑구 신내로1길 20,닭 / 오리 요리,만원 미만,1,,37.5996906,127.0959279
49,부뚜막순대국,서울특별시 중랑구 용마산로115길 46,탕 / 찌개 / 전골,만원 미만,1,,37.5986978,127.0977099
50,미도락칼국수왕만두,서울특별시 중랑구 공릉로2길 17,국수 / 면 요리,만원 미만,1,,37.6121402,127.0789108
51,본가삼대냉면,서울특별시 중랑구 망우로66길 75,국수 / 면 요리,만원 미만,1,,37.5962206,127.0995607
52,콩두,서울특별시 중랑구 면목로92길 42,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5956893,127.0881083
53,채담,서울특별시 중랑구 면목로48길 30,기타 한식,만원 미만,1,,37.5820104,127.0902939
54,금천숯불갈비,서울특별시 중랑구 공릉로 80,고기 요리,만원 미만,1,,37.6175414,127.0793041
55,옛날할머니분식,서울특별시 중랑구 중랑역로 13길,기타 한식,만원 미만,2,,37.596368,127.0747203
56,김밥터,서울특별시 중랑구 면목로48길 18 ,기타 한식,만원 미만,1,,37.5820763,127.0896081
57,대가순대국,서울특별시 중랑구 사가정로52길 1-4,탕 / 찌개 / 전골,만원 미만,1,,37.5803704,127.0878265
58,만복국수집,서울특별시 중랑구 신내로 211 금강리빙스텔,국수 / 면 요리,만원 미만,1,,37.616619,127.092472
59,어선생,서울특별시 중랑구 용마산로115길 73,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5981366,127.0961981
60,포마토김밥,서울특별시 중랑구 면목로48길 8,기타 한식,만원 미만,1,,37.5821254,127.0890901
61,신의주찹쌀순대,서울특별시 중랑구 용마산로115길 127 한일써너스빌리젠시1단지,탕 / 찌개 / 전골,만원 미만,1,,37.5974228,127.0936248
62,최고집메밀촌,서울특별시 중랑구 동일로123길 5,국수 / 면 요리,만원 미만,1,,37.5975613,127.0797032
63,라면과 함께라면,서울특별시 중랑구 용마산로90길 18 2F,기타 한식,만원 미만,1,,37.587544,127.0969036
64,손맛,서울특별시 중랑구 면목로44바길 17,국수 / 면 요리,만원 미만,1,,37.5818133,127.0925505
65,오만가지국수,서울특별시 중랑구 중랑역로 39,국수 / 면 요리,만원 미만,1,,37.5975075,127.0761605
66,동부면옥,서울특별시 중랑구 동일로109길 81,국수 / 면 요리,만원 미만,1,,37.5908591,127.0757467
67,미락분식,서울특별시 중랑구 용마산로94길 4,기타 한식,만원 미만,1,,37.58913709999999,127.0970384
68,콩심,서울특별시 중랑구 사가정로 386,탕 / 찌개 / 전골,만원 미만,1,,37.5804238,127.0873967
69,사가정멸치국수,서울특별시 중랑구 면목로48길 33,국수 / 면 요리,만원 미만,1,,37.5822746,127.0905545
70,조약돌,서울특별시 중랑구 면목로37길 13,고기 요리,만원 미만,1,,37.578922,127.0855674
71,최가네우동,서울특별시 중랑구 봉우재로57길 62,기타 한식,만원 미만,1,,37.5973601,127.0948146
72,압구정닭꼬치,서울특별시 중랑구 면목로48길 28 ,기타 한식,만원 미만,1,,37.582023,127.0901805
73,궁촌순대국,서울특별시 중랑구 신내로7나길 19,탕 / 찌개 / 전골,만원 미만,1,,37.601597,127.0950713
74,집밥최선생,서울특별시 중랑구 겸재로 203,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5891591,127.0901639
75,가미분식,서울특별시 중랑구 봉화산로 194,기타 한식,만원 미만,1,,37.6064082,127.0946811
76,고향김밥,서울특별시 중랑구 겸재로 226-3 1F,기타 한식,만원 미만,1,,37.5893745,127.0929739
77,계순통닭,서울특별시 중랑구 용마산로115길 127,닭 / 오리 요리,만원 미만,1,,37.5973272,127.093464
78,예소랑,서울특별시 중랑구 신내로1길 20,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5996906,127.0959279
79,강영숙봉평메밀촌,서울특별시 중랑구 봉화산로56길 46,국수 / 면 요리,만원 미만,1,,37.6064241,127.0982814
80,동대문엽기떡볶이,서울특별시 중랑구 용마산로86길 9-27 신성미소지움아파트상가 101동 106호,기타 한식,만원 미만,1,,37.587177,127.0960543
81,우림흥부네,서울특별시 중랑구 망우로62길 7,탕 / 찌개 / 전골,만원 미만,1,,37.5986427,127.0975679
82,순대돌이옛날순대국,서울특별시 중랑구 봉우재로33길 63,탕 / 찌개 / 전골,만원 미만,1,,37.5950668,127.088707
83,신야채곱창,서울특별시 중랑구 망우로73길 34,고기 요리,만원 미만,1,,37.6020048,127.1034117
84,소문난 순대국집,서울특별시 중랑구 용마산로111길 27,탕 / 찌개 / 전골,만원 미만,1,,37.5974789,127.0980858
85,홍승완골목국수,서울특별시 중랑구 중랑천로12길 60-4,국수 / 면 요리,만원 미만,1,,37.5928694,127.0762179
86,33떡볶이,서울특별시 중랑구 봉우재로43길 35 1F,기타 한식,만원 미만,1,,37.5948488,127.089294
87,내가잘가는석쇠불고기,서울특별시 중랑구 중랑역로 18-1,고기 요리,만원 미만,1,,37.5957839,127.0764072
88,정래선생왕돈까스,서울특별시 중랑구 용마산로113길 28,기타 한식,만원 미만,1,,37.598145,127.0980008
89,손가네쌈밥,서울특별시 중랑구 겸재로 157-1,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5879728,127.0851963
90,할매순대국,서울특별시 중랑구 동일로 778,탕 / 찌개 / 전골,만원 미만,1,,37.5997094,127.0802804
91,치앤강,서울특별시 중랑구 망우로 290-2,닭 / 오리 요리,만원 미만,1,,37.5959474,127.0850205
92,감성국밥,서울특별시 중랑구 중랑역로 113 1F,탕 / 찌개 / 전골,만원 미만,1,,37.6036452,127.0771764
93,숯불닭갈비에 반하닭,서울특별시 중랑구 면목로 352 1F,닭 / 오리 요리,만원-2만원,9,,37.5831897,127.0886458
94,한도니,서울특별시 중랑구 봉화산로54길 32,고기 요리,만원-2만원,3,,37.6062634,127.0977737
95,흥부골숯불돼지왕갈비,서울특별시 중랑구 면목로 341 1F,고기 요리,만원-2만원,3,,37.5822302,127.0881876
96,빛나는바다,서울특별시 중랑구 중랑역로 249,해산물 요리,만원-2만원,1,,37.615597,127.0759651
97,찜집,서울특별시 중랑구 면목로 287,해산물 요리,만원-2만원,7,,37.5784175,127.0859268
98,농부보쌈,서울특별시 중랑구 용마산로 389,고기 요리,만원-2만원,5,,37.5864395,127.0949264
99,이주소곱창,서울특별시 중랑구 봉우재로33길 34,고기 요리,만원-2만원,7,,37.5939286,127.0879792
100,육부단,서울특별시 중랑구 신내로 225 1F,고기 요리,만원-2만원,2,,37.6168565,127.0913817
101,서박사네곱창,서울특별시 중랑구 망우로62길 15,고기 요리,만원-2만원,3,,37.5983319,127.0976996
102,대박왕곱창,서울특별시 중랑구 답십리로 367,고기 요리,만원-2만원,3,,37.5716581,127.0813103
103,돈대감,서울특별시 중랑구 송림길 1,고기 요리,만원-2만원,4,,37.5989617,127.0951032
104,꿀삼겹,서울특별시 중랑구 면목로91길 45,고기 요리,만원-2만원,5,,37.5937298,127.0834895
105,쭈꾸미킹2 0,서울특별시 중랑구 송림길 13,해산물 요리,만원-2만원,7,,37.599908,127.0953714
106,동강오리,서울특별시 중랑구 용마산로115길 10,닭 / 오리 요리,만원-2만원,5,,37.5991205,127.0997273
107,벌교꼬막포차,서울특별시 중랑구 봉우재로33길 41,해산물 요리,만원-2만원,3,,37.5943523,127.0878925
108,토평한우소곱창,서울특별시 중랑구 신내로 211 금강리빙스텔 133호,고기 요리,만원-2만원,1,,37.616619,127.092472
109,왕십리불곱창,서울특별시 중랑구 상봉로 102,고기 요리,만원-2만원,2,,37.5949841,127.0932988
110,만희네참숯불닭갈비,서울특별시 중랑구 사가정로 371,닭 / 오리 요리,만원-2만원,1,,37.581163,127.0858117
111,이강분무교동낙지나라,서울특별시 중랑구 면목로 320,해산물 요리,만원-2만원,2,,37.5803336,127.0885549
112,일차돌,서울특별시 중랑구 동일로 946,고기 요리,만원-2만원,1,,37.6149886,127.0769762
113,산채가,서울특별시 중랑구 동일로157길 30,한정식 / 백반 / 정통 한식,만원-2만원,1,,37.6097971,127.0759689
114,용호횟집,서울특별시 중랑구 중랑역로 44-1,해산물 요리,만원-2만원,1,,37.5976314,127.0767875
115,봉일천돼지부속,서울특별시 중랑구 봉우재로33길 23,고기 요리,만원-2만원,3,,37.5937596,127.0873256
116,시래궁,서울특별시 중랑구 봉우재로 113,한정식 / 백반 / 정통 한식,만원-2만원,1,,37.5926835,127.0855564
117,제주돈선생,서울특별시 중랑구 중랑천로12길 61,고기 요리,만원-2만원,1,,37.5931299,127.0762339
118,연탄돼지갈비,서울특별시 중랑구 봉우재로 159,고기 요리,만원-2만원,1,,37.5937208,127.0905873
119,섭이네고기집,서울특별시 중랑구 동일로109길 66,고기 요리,만원-2만원,1,,37.5913094,127.0765225
120,까망통돼지,서울특별시 중랑구 면목로 488 1F,고기 요리,만원-2만원,2,,37.5953532,127.086013
121,아라수산,서울특별시 중랑구 신내로 211,해산물 요리,만원-2만원,2,,37.6163947,127.0926039
122,착한낙지,서울특별시 중랑구 용마산로125길 108-19,해산물 요리,만원-2만원,1,,37.604266,127.1014638
123,조경문치킨,서울특별시 중랑구 중랑역로 173,닭 / 오리 요리,만원-2만원,2,,37.6087824,127.0761864
124,용마갈비,서울특별시 중랑구 용마산로 498,고기 요리,만원-2만원,1,,37.5953163,127.1003247
125,원할머니보쌈족발,서울특별시 중랑구 면목로 354,고기 요리,만원-2만원,1,,37.5836347,127.0885056
126,골탕,서울특별시 중랑구 봉우재로33길 32,해산물 요리,만원-2만원,1,,37.593816,127.0878651
127,주안상회,서울특별시 중랑구 봉화산로52길 11 ,고기 요리,만원-2만원,1,,37.6070704,127.0971455
128,한방숯불바베큐,서울특별시 중랑구 봉우재로 100,닭 / 오리 요리,만원-2만원,2,,37.5920488,127.0843413
129,강금옥쭈꾸미,서울특별시 중랑구 봉우재로33길 37,해산물 요리,만원-2만원,2,,37.5942222,127.0878431
130,육감만족,서울특별시 중랑구 망우로 426,고기 요리,만원-2만원,2,,37.5993775,127.0994015
131,오늘닭갈비어때,서울특별시 중랑구 신내로 59 1F,닭 / 오리 요리,만원-2만원,1,,37.6043291,127.0952081
132,하남돼지집,서울특별시 중랑구 면목로 355,고기 요리,만원-2만원,2,,37.5836843,127.0880487
133,양지촌,서울특별시 중랑구 망우로 184,고기 요리,만원-2만원,2,,37.5928182,127.0732472
134,샤브숲,서울특별시 중랑구 사가정로51길 21,탕 / 찌개 / 전골,만원-2만원,1,,37.5818519,127.0878514
135,청년고기장수,서울특별시 중랑구 망우로 285 2F,고기 요리,만원-2만원,1,,37.5962004,127.0840616
136,강촌숯불닭갈비,서울특별시 중랑구 상봉로 99 백운아파트 1F,닭 / 오리 요리,만원-2만원,1,,37.5947279,127.0928186
137,곽만근갈비탕,서울특별시 중랑구 봉우재로 117,탕 / 찌개 / 전골,만원-2만원,1,,37.5927242,127.0859183
138,춘천골닭갈비막국수,서울특별시 중랑구 용마산로115길 30 광명빌딩 1F,닭 / 오리 요리,만원-2만원,3,,37.5988941,127.0986235
139,왕십리곱창,서울특별시 중랑구 사가정로51길 21,고기 요리,만원-2만원,1,,37.5818519,127.0878514
140,장어굽는 총각들,서울특별시 중랑구 면목로44길 12,해산물 요리,만원-2만원,1,,37.5811597,127.0892366
141,숙성회담,서울특별시 중랑구 동일로126길 106,해산물 요리,만원-2만원,1,,37.599081,127.08379
142,육장갈비,서울특별시 중랑구 상봉로 10,고기 요리,만원-2만원,1,,37.5869394,127.0947845
143,연안식당,서울특별시 중랑구 망우로 353 홈플러스 상봉점 1F,해산물 요리,만원-2만원,1,,37.5977195,127.0932913
144,우림닭한마리,서울특별시 중랑구 망우로66길 5 태웅빌딩,닭 / 오리 요리,만원-2만원,2,,37.5992901,127.0997513
145,능이마을,서울특별시 중랑구 용마산로115길 42,닭 / 오리 요리,만원-2만원,1,,37.5988083,127.0980256
146,궁중닭갈비,서울특별시 중랑구 면목로92길 11,닭 / 오리 요리,만원-2만원,1,,37.594997,127.0865484
147,망우돌곱창,서울특별시 중랑구 용마산로115길 59,고기 요리,만원-2만원,1,,37.5982696,127.097099
148,소한마리정육식당,서울특별시 중랑구 용마산로115길 76,고기 요리,만원-2만원,1,,37.5983802,127.0961238
149,진아구,서울특별시 중랑구 사가정로 361 1F,해산물 요리,만원-2만원,1,,37.5811656,127.084752
150,성진삼계탕,서울특별시 중랑구 중랑천로12길 7-3,탕 / 찌개 / 전골,만원-2만원,1,,37.5924914,127.0732841
151,얼큰이샤브샤브,서울특별시 중랑구 봉화산로 73 1F,탕 / 찌개 / 전골,만원-2만원,1,,37.6018126,127.0825047
152,여봉닭발,서울특별시 중랑구 망우로30길 40 ,닭 / 오리 요리,만원-2만원,1,,37.5916288,127.0749672
153,갈비가,서울특별시 중랑구 겸재로 230,고기 요리,만원-2만원,1,,37.5893979,127.0932137
154,춘천마당닭갈비,서울특별시 중랑구 중랑천로12길 82,닭 / 오리 요리,만원-2만원,2,,37.5932823,127.0774029
155,신마루매운갈비찜,서울특별시 중랑구 사가정로42길 19,고기 요리,만원-2만원,1,,37.5802012,127.0839022
156,아지트,서울특별시 중랑구 용마산로115길 109 한일서너스빌리젠시 2단지 1F,퓨전 한식,만원-2만원,1,,37.5975871,127.0943385
157,빨간마초닭발,서울특별시 중랑구 공릉로4길 4 104호,닭 / 오리 요리,만원-2만원,1,,37.6129264,127.078166
158,원조춘천닭갈비,서울특별시 중랑구 중랑역로 79 세화빌딩,국수 / 면 요리,만원-2만원,1,,37.60050469999999,127.0777366
159,곱선생,서울특별시 중랑구 중랑천로12길 60,고기 요리,만원-2만원,1,,37.5929593,127.076185
160,박서방춘천닭갈비,서울특별시 중랑구 용마산로115길 84,닭 / 오리 요리,만원-2만원,1,,37.5982443,127.0956758
161,기와옥,서울특별시 중랑구 용마산로129길 22 광남아파트,한정식 / 백반 / 정통 한식,만원-2만원,1,,37.6074764,127.0998454
162,태능가든,서울특별시 중랑구 신내로14길 13,고기 요리,만원-2만원,1,,37.6057899,127.0960704
163,오늘손칼국수&찜,서울특별시 중랑구 봉화산로52길 58,해산물 요리,만원-2만원,1,,37.6054006,127.0962891
164,주빌리뱅이치킨,서울특별시 중랑구 송림길 4,해산물 요리,만원-2만원,1,,37.5992127,127.095646
165,김미자당진아구동태찜탕,서울특별시 중랑구 용마산로 523 봄빛빌딩,해산물 요리,만원-2만원,1,,37.5976443,127.1000401
166,백미부대찌개,서울특별시 중랑구 용마산로115길 59,탕 / 찌개 / 전골,만원-2만원,1,,37.5982696,127.097099
167,화락고기집,서울특별시 중랑구 용마산로115길 22,고기 요리,만원-2만원,1,,37.5989563,127.0989955
168,에브리락돈,서울특별시 중랑구 봉우재로57길 60,고기 요리,만원-2만원,1,,37.5972565,127.0948169
169,다함닭갈비,서울특별시 중랑구 공릉로 32 공감대아파트 B06호,닭 / 오리 요리,만원-2만원,1,,37.6133946,127.0783472
170,벌교꼬막집,서울특별시 중랑구 중랑천로 53,해산물 요리,만원-2만원,1,,37.5899421,127.0731402
171,모던통닭,서울특별시 중랑구 겸재로 200,닭 / 오리 요리,만원-2만원,1,,37.5886424,127.0898701
172,본죽,서울특별시 중랑구 망우로32길 20,기타 한식,만원-2만원,1,,37.5929469,127.0764456
173,명동곱창,서울특별시 중랑구 중랑역로 53,고기 요리,만원-2만원,1,,37.5985409,127.0771862
174,공릉닭한마리,서울특별시 중랑구 봉화산로 236 덕성빌딩 1F,닭 / 오리 요리,만원-2만원,1,,37.6078613,127.0988958
175,청년고기장수,서울특별시 중랑구 용마산로 489 101호,고기 요리,만원-2만원,1,,37.5947766,127.0993822
176,동국족발,서울특별시 중랑구 망우로60길 6 LG전자스토어,고기 요리,만원-2만원,1,,37.5983233,127.0950486
177,왕십리곱창,서울특별시 중랑구 용마산로 519,고기 요리,만원-2만원,1,,37.5972631,127.1000351
178,본죽,서울특별시 중랑구 망우로 346 한일써너스빌 101동 113호,기타 한식,만원-2만원,1,,37.5969776,127.0912909
179,떡볶이점빵아지트,서울특별시 중랑구 면목로 260 1F,기타 한식,만원-2만원,1,,37.5758888,127.0859883
180,정든치킨,서울특별시 중랑구 사가정로53길 8,닭 / 오리 요리,만원-2만원,1,,37.5810289,127.0892122
181,용마쉼터,서울특별시 중랑구 용마산로112나길 69 용마랜드,닭 / 오리 요리,2만원-3만원,3,,37.5958179,127.1032459
