,가게이름,리뷰아이디,리뷰,맛평가
1,용마해장국,장,해장하러 갔다가 오늘도 조질뻔 했습니다.,맛있다
2,용마해장국,연이,"점심대는 항상 웨이팅이고,백종원 다녀간 후로 더욱이 사람이많음내부에 테이블은 별로없고 좁은 가게임따뜻한 날에는 밖에도 테이블을 깔아주심해장국안에 우거지+콩나물,뼈다귀,선지가 다 들어가있고맑은 해장국인데도 맛있음취향대로 고추기름 넣고 먹으면됨반찬도 고추짱아찌인가 같이 먹으면 맛있어요ㅎㅎ+주차공간따로없음..",맛있다
3,용마해장국,chanwook_ie,"거주지에서 상당히 멀기도 하고 접근성도 떨어져 계속 방문하지 못했던 곳이다. 방송에 여러 번 소개되어 멀리서도 찾아오지만 동네 단골손님들도 많다.해장국은 맑고 투명한 국물에 콩나물, 우거지, 소 목뼈, 선지가 들어있다. 국물 맛이 콩나물국밥과 비슷하면서도 소고기 육향이 슬며시 느껴진다.반찬으로 나오는 고추 장아찌가 정말 맛있는데 이것만 있어도 밥 한 그릇은 먹을 수 있다. 소 목뼈는 네 점이나 들어있는데 7천 원이라는 가격이 놀랍다.소 목뼈를 다 먹으면 본격적으로 국에 밥을 말아 고추기름을 넣고 2차전을 준비하면 된다. 고추기름을 넣으면 칼칼한 맛이 더해져 색다른 맛이 난다.",맛있다
4,용마해장국,김재형,"망우동에 일이 있어서 방문했습니다 이제는 낯선 곳을 가게 되면 무조건 망플부터 킵니다늦은 점심시간에 방문했는데 대기가 있습니다 혼자라 그래도 빠르게 들어갔습니다 동네분들이 70%정도 드시고 계십니다여기는 주차가 따로 안 되서 가게 지나서 쭉 올라가면 주차장이 있습니다 용마해장국 왔다고 하면 시간 관계없이 2,000원 받으시는 것 같습니다(아마)가게에는 야장 두 테이블 있고 내부는 좁습니다 4인 테이블이 네 개인데 여럿이, 또는 혼자 앉을 수 있게 투명 칸막이로 반으로 갈라놨습니다단일메뉴라 얌전히 기다리고 있으면 반찬도 세팅해주시고 해장국도 금방 내어주십니다펄펄 끓는 뚝배기에는 뼈가 보이고 마늘이 올라가 있습니다 (사진을 잘 못 찍었습니다)섞지않고 그대로 국물 맛을 보면 하 맑다.. 테이블에 고추기름, 후추, 소금이 있지만 이 해장국을 더 이상 건들고 싶지가 않습니다마늘을 섞어서 또 한 술 떠보면 아주 잘 끓인 콩나물국 느낌도 납니다 그만큼 깨끗합니다뼈부터 건져 먹어봅니다 특이하게 소목뼈가 들어가있습니다 부드럽지는 않지만 뼈에 붙은 고기의 거친 식감과 꼬소함이 정말 좋습니다 삭삭 발라먹는 맛이 있습니다 얼마나 회전율이 좋으면 선지가 미처 다 굳지도 못한 정도로 부드럽습니다 좋습니다콩나물과 우거지도 아삭아삭 참 좋습니다반찬도 아주 간결하게 필요한 것만 나오는데 깍두기는 잘 익었고 맛있습니다 매콤 시큼합니다 김치는 조금 달고 고추장아찌도 살짝 달달한데 맛 좋습니다 해장국과 잘 어울립니다잘 먹다가 머큐리님 리뷰가 생각나서 고추장아찌를 넣어보았습니다 살짝 칼칼함이 가미되면서 새콤한 느낌이 납니다 이것도 아주 매력있습니다빨간 국물이 해장에는 사실 안 좋다고 하는데 여기 용마해장국은 고기의 맛도 놓치지않고 위도 지키면서 해장에 아주 탁월할 것 같습니다 감히 평가를 하자면 해장국 계의 앙드레김 선생님 같습니다 맑고 깨끗하며 엘레강스합니다너무 기분좋은 식사를 했습니다 집에서 먼 것이 아쉬울 뿐이고 근처 사시는 분들 부럽습니다 근처에 들릴 일 있으면 반드시 방문할 것 같습니다추신 화장실이 좁고 화변기라 여성분들은 조금 불편하실 것 같습니다 추신2 해장국 7,000원 소주 3,000원 여기도 10,000원의 행복이 가능한 곳입니다재방문 의사 : △",맛있다
5,용마해장국,우이리,이런 해장국 아주 칭찬해.해장국 7000 (사진은 2인분 투고)선지해장국치고 아주 맑은 국물이네요. 사진에는 안보이지만 밑에 콩나물이 어마무시합니다. 국물이 시원하고 깔끔합니다. 선지도 신선해서 한잔 생각나네요.,맛있다
6,용마해장국,신승수,굿,맛있다
7,용마해장국,머큐리 ,"맑고 개운한 국물, 찾았다 내사랑,  망우동 <용마해장국> 해장국/7000 선지에 소 목뼈에 우거지까지 든 맑고 개운한 국물. 갈비탕같이 맑은 국물인데 간마늘을 나중에 올려 쓴맛 적게하고 콩나물로 개운함을 더했다. 곁들이는 빠알간 고추장아찌는 밥 한 공기 뚝딱할만큼 살짝 달큰하니 맛있는데 탕국에 양념 살짝 풀면 그것도 별미",맛있다
8,용마해장국,awesome life,"지인과 찾아간 용마해장국.주문한 음식(메뉴하나 해장국)이 나올때 펄~펄~ 끓으면서 나오는 뚝배기 자태, 추운날엔 정말 시각과 심장을 뛰게합니다.육수는 맑은 육수로 시원하니 좋고 간마늘 한수저 올려주니 국물맛이 더욱 감칠맛 납니다.해장국 잴 밑에 깔려있는 선지는 촉촉하니 부드럽고. 중간층에 있는 콩나물 또한 부드럽고 먹기 좋습니다.다른 해장국집과 달리 이 가게는 소목뼈를 쓰는데 소목뼈 또한 잘 삶아서 그런지 잡내도없고 좋은데 다른 사골과는 또 다른 맛이 나고 뼈부위 특성상 약간은 퍽퍽한 느낌이 약간 있네요.전체적으로 해장국은 맛있고 직접담구는 깍두기와 겉절이, 고추장고추지 또한 일품입니다.갠적으로 좋아하는 양파와 고추 집된장이 있었으면 ~~ ㅋㅋ 맛있어요!",맛있다
9,용마해장국,Colin B,"“깨끗하게 맑게 자신있게 해장국”#빨간 해장국 vs. 맑은 해장국해장국만큼 경계가 모호한 음식도 없는 것 같다. 풀 해, 숙취 정의 “해정국”이 어원인만큼, 술 마신 다음 날 숙취를 해소할 수 있는 국물 요리들 - 설렁탕, 곰탕, 순대국 등등 - 모두 넓은 의미의 해장국으로 볼 수 있다. 좁은 의미의 해장국으로 보면, 수도권에서 가장 많이 알려진 건 ‘서울식 해장국’과 ‘양평 해장국’으로 나눠볼 수 있다. 양평 해장국은 사골 육수에 양(소의 위) 등 내장을 넣고 맵칼하게 끓여내는 스타일이다. 속을 풀어주기 보다는 마비시키는 개념에 가깝다. 반면 서울식 해장국은 소뼈를 우린 국물에 소고기, 선지, 우거지를 넣고 맑게 끓여낸다. 개인적으로 훨씬 선호하는 스타일은 이 쪽이다.#용마해장국서울식 해장국하면 큰 형님 ‘청진옥’과 용문동 해장국 삼총사가 먼저 떠오르지만, 빼놓으면 절대 안되는 곳들이 있다. 동대문의 ‘어머니대성집’과 ‘진짜해장국’, 신사동의 ‘강남따로국밥’, 망원동의 ‘일등식당’, 강동구의 ‘영화정해장국’, 북아현동의 ‘북성해장국’. 그리고 많은 서울 토박이들에게도 생소한 동네인 망우동에도 매일 같이 사람들을 줄 세우는 해장국집이 있으니 바로 ‘용마해장국’이다.이 집의 해장국은 정말 유니크하다. 맑은 해장국이라 해도 다대기를 넣어 조금은 빨갛거나, 된장을 넣어 거무죽죽하거나 한데 여긴 곰탕처럼 국물이 맑다. 잡내를 잡는 요소라고는 파와 간 마늘 정도인데, 선지가 잔뜩 들어가는 해장국에 이 무슨 자신감인가 싶다.국물에 마늘을 풀고, 선지를 잘게 뽀갠 뒤 한 숟갈 떠본다. 과연 자신감만큼 잡티 하나 없는 깨끗한 맛이다. 소뼈에 붙은 고기, 선지, 콩나물을 함께 떠서 크게 한 입 먹으면 입안에 퍼지는 풍성함이 참 좋다. 밑반찬은 단촐하지만, 빠지는 게 없다. 오독오독한 깍두기, 독특한 향이 나는 김치, 따로 판매하기까지 하는 달큰한 고추장아찌까지. 이 한산한 동네에 이 집만 바글바글한 이유가 명확하게 있다.instagram: colin_beak",맛있다
10,용마해장국,추억의도나쓰,"이 동네 터줏대감 느낌의 해장국집이에요. 맛있어서 방송에도 여러번 나왔더라구요. 저는 포장을 해서 깜빡하고 음식 사진을 못찍었지만 선지, 고기, 콩나물 등으로 요리된 맑은 해장국으로 속을 잔잔하게 해장하기에 딱일 것 같아요. 선짓국은 왠만해서 맛있기가 힘들던데 여기는 거부감 하나 없이 먹었네요. 가게 안은 좀 좁고 허름하지만 노포의 느낌적인 느낌이 좋더라구요. 문 앞에 낮잠자고 있는 고양이도 너무 귀여워요. ㅎㅎ",맛있다
