,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,일등식당,서울특별시 마포구 방울내로 82,탕 / 찌개 / 전골,만원 미만,30,4.3,37.5605178,126.9043096
2,합정순대국,서울특별시 마포구 양화로6길 14,탕 / 찌개 / 전골,만원 미만,15,4.3,37.5491587,126.9148738
3,고미태,서울특별시 마포구 월드컵로 41 1F,국수 / 면 요리,만원 미만,13,4.2,37.553038,126.9117823
4,호계식,서울특별시 마포구 동교로 40,닭 / 오리 요리,만원 미만,49,4.0,37.5524687,126.9067226
5,지리산어탕국수,서울특별시 마포구 양화로3길 39 1F,해산물 요리,만원 미만,29,4.0,37.5505965,126.9111252
6,김씨육면,서울특별시 마포구 독막로3길 28-7 1F,국수 / 면 요리,만원 미만,17,4.0,37.549471,126.9174858
7,한강껍데기,서울특별시 마포구 망원로 48-1,고기 요리,만원 미만,24,4.0,37.5566396,126.9022635
8,육장,서울특별시 마포구 월드컵로19길 74,탕 / 찌개 / 전골,만원 미만,17,4.0,37.5543086,126.9069221
9,아이노테이블,서울특별시 마포구 성지1길 39,한정식 / 백반 / 정통 한식,만원 미만,11,4.0,37.5479321,126.9156272
10,시골순대,서울특별시 마포구 양화로1길 21,탕 / 찌개 / 전골,만원 미만,20,3.9,37.5494407,126.9103713
11,원당국수잘하는집,서울특별시 마포구 동교로 22,국수 / 면 요리,만원 미만,18,3.9,37.5518664,126.9048347
12,마포즉석모밀촌,서울특별시 마포구 동교로 20,국수 / 면 요리,만원 미만,14,3.9,37.5517508,126.9046111
13,만복기사식당,서울특별시 마포구 희우정로 121,한정식 / 백반 / 정통 한식,만원 미만,20,3.9,37.5552577,126.8998754
14,맛있는집,서울특별시 마포구 망원로8길 30,기타 한식,만원 미만,9,3.9,37.5561433,126.9060589
15,순대일번지,서울특별시 마포구 월드컵로 117,탕 / 찌개 / 전골,만원 미만,28,3.8,37.5586284,126.9074328
16,바삭마차,서울특별시 마포구 월드컵로13길 64,기타 한식,만원 미만,25,3.8,37.5552855,126.9065479
17,정광수의돈까스가게,서울특별시 마포구 월드컵로 154-1,기타 한식,만원 미만,12,3.8,37.5615827,126.9054633
18,큐스닭강정,서울특별시 마포구 망원로8길 27,닭 / 오리 요리,만원 미만,28,3.6,37.5562557,126.9062372
19,난,서울특별시 마포구 토정로3길 22,기타 한식,만원 미만,11,3.6,37.5464725,126.9145574
20,Barbuto 밥해주는남자,서울특별시 마포구 독막로4길 54 B1,기타 한식,만원 미만,16,3.5,37.5458553,126.9159357
21,망원동돼지국밥,서울특별시 마포구 동교로9길 71,탕 / 찌개 / 전골,만원 미만,11,3.5,37.5566067,126.9085262
22,홍두깨손칼국수,서울특별시 마포구 망원로8길 29,국수 / 면 요리,만원 미만,9,3.5,37.5561388,126.9062616
23,맛양값,서울특별시 마포구 동교로9길 44,한정식 / 백반 / 정통 한식,만원 미만,20,3.4,37.5557889,126.9095341
24,원기정,서울특별시 마포구 포은로8길 11 1F,퓨전 한식,만원 미만,15,3.2,37.5564752,126.9054169
25,남산찌개,서울특별시 마포구 독막로3길 8,탕 / 찌개 / 전골,만원 미만,16,3.1,37.5487009,126.9166312
26,달고나,서울특별시 마포구 망원로3길 30 1F,국수 / 면 요리,만원 미만,5,,37.5579723,126.9011031
27,밀면집,서울특별시 마포구 포은로 90,국수 / 면 요리,만원 미만,11,,37.5550289,126.9053079
28,꽃추장,서울특별시 마포구 망원로 48 1F,기타 한식,만원 미만,5,,37.5566396,126.9022635
29,구내식당,서울특별시 마포구 월드컵로19길 74,한정식 / 백반 / 정통 한식,만원 미만,7,,37.5543086,126.9069221
30,고향집,서울특별시 마포구 포은로8길 28 1F,국수 / 면 요리,만원 미만,8,,37.5564823,126.9062848
31,달짜,서울특별시 마포구 망원로7길 44,국수 / 면 요리,만원 미만,3,,37.5593835,126.904805
32,샐러마리,서울특별시 마포구 희우정로 93 1F,기타 한식,만원 미만,3,,37.55362,126.9022388
33,콩청대,서울특별시 마포구 포은로 29-1,한정식 / 백반 / 정통 한식,만원 미만,4,,37.5503534,126.9078298
34,깡치네,서울특별시 마포구 망원로 15,국수 / 면 요리,만원 미만,3,,37.5562301,126.8985392
35,양평해장국,서울특별시 마포구 포은로 94,탕 / 찌개 / 전골,만원 미만,3,,37.5553683,126.9051727
36,우뚝이,서울특별시 마포구 독막로2길 23 1F 우측호,탕 / 찌개 / 전골,만원 미만,6,,37.5474104,126.9146423
37,보물섬김밥,서울특별시 마포구 월드컵로13길 50,기타 한식,만원 미만,7,,37.5554196,126.907405
38,비사벌전주콩나물국밥,서울특별시 마포구 독막로 35,탕 / 찌개 / 전골,만원 미만,4,,37.5482705,126.9174545
39,육전면사무소,서울특별시 마포구 월드컵로1길 14 딜라이트스퀘어 1지구 B115-2,국수 / 면 요리,만원 미만,3,,37.5495927,126.9121968
40,교동닭강정,서울특별시 마포구 망원로8길 14,닭 / 오리 요리,만원 미만,2,,37.5567854,126.9058322
41,육전국밥,서울특별시 마포구 양화로 36,탕 / 찌개 / 전골,만원 미만,5,,37.5484719,126.9132859
42,진토리닭곰탕,서울특별시 마포구 희우정로 130,닭 / 오리 요리,만원 미만,4,,37.5558876,126.8994881
43,바삭돈까스,서울특별시 마포구 망원로11길 20,기타 한식,만원 미만,1,,37.5585769,126.9070284
44,북촌손만두,서울특별시 마포구 양화로6길 14 1F,국수 / 면 요리,만원 미만,0,,37.5491587,126.9148738
