,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,옥동식,서울특별시 마포구 양화로7길 44-10,탕 / 찌개 / 전골,만원 미만,40,4.3,37.5526197,126.9144921
2,평안도상원냉면,서울특별시 마포구 양화로 156 B1,국수 / 면 요리,만원 미만,5,4.2,37.5560805,126.9234452
3,닭꼬얌,서울특별시 마포구 와우산로18길 29,한정식 / 백반 / 정통 한식,만원 미만,44,4.1,37.5514252,126.9237725
4,명품잔치국수,서울특별시 마포구 동교로 103,국수 / 면 요리,만원 미만,4,4.1,37.5546717,126.9134539
5,또보겠지떡볶이집,서울특별시 마포구 양화로6길 45,기타 한식,만원 미만,15,4.0,37.5489085,126.9167662
6,당인동국수공장,서울특별시 마포구 와우산로3길 48-3,국수 / 면 요리,만원 미만,10,4.0,37.5457459,126.9202159
7,삭,서울특별시 마포구 독막로 79,기타 한식,만원 미만,30,4.0,37.5479125,126.9222455
8,대청마루김치찌개전문,서울특별시 마포구 동교로 147,탕 / 찌개 / 전골,만원 미만,5,4.0,37.5555126,126.9182959
9,다락투,서울특별시 마포구 와우산로21길 4-3,탕 / 찌개 / 전골,만원 미만,27,3.9,37.5526863,126.9235427
10,또보겠지떡볶이집,서울특별시 마포구 와우산로29길 14-8,기타 한식,만원 미만,10,3.8,37.5550433,126.9291813
11,홍대마늘떡볶이,서울특별시 마포구 홍익로5안길 24,기타 한식,만원 미만,90,3.7,37.5536482,126.9214283
12,서교밥집,서울특별시 마포구 잔다리로 78,기타 한식,만원 미만,10,3.7,37.5544827,126.9164162
13,그동네떡볶이,서울특별시 마포구 와우산로27길 14,기타 한식,만원 미만,29,3.6,37.5540951,126.9275606
14,그남자의볶음밥,서울특별시 마포구 잔다리로6길 34-12 2F,퓨전 한식,만원 미만,14,3.6,37.5518275,126.9208638
15,연우김밥,서울특별시 마포구 와우산로 31,기타 한식,만원 미만,5,3.6,37.547265,126.922781
16,그녀의밥상,서울특별시 마포구 와우산로21길 36-4 B1,한정식 / 백반 / 정통 한식,만원 미만,10,3.5,37.5525162,126.9219834
17,홍대조폭떡볶이,서울특별시 마포구 홍익로6길 38,기타 한식,만원 미만,5,3.4,37.5558201,126.9237376
18,평이담백뼈칼국수,서울특별시 마포구 양화로7길 84,국수 / 면 요리,만원 미만,5,3.4,37.5542872,126.9138737
19,미나리식당,서울특별시 마포구 잔다리로6길 34-5,고기 요리,만원 미만,18,3.4,37.5520542,126.9211243
20,마포만두,서울특별시 마포구 양화로7길 5,기타 한식,만원 미만,26,3.4,37.5509966,126.9151403
21,도마,서울특별시 마포구 양화로16길 33,고기 요리,만원 미만,9,3.4,37.5530461,126.9214019
22,제주은희네해장국,서울특별시 마포구 월드컵북로 43 1F,탕 / 찌개 / 전골,만원 미만,7,3.4,37.5579812,126.9177701
23,이대조뼈다귀,서울특별시 마포구 동교로 196 1F,탕 / 찌개 / 전골,만원 미만,9,3.4,37.557434,126.9229628
24,방스만두,서울특별시 마포구 양화로 45,기타 한식,만원 미만,8,3.4,37.5489656,126.9134767
25,돈수백,서울특별시 마포구 홍익로6길 56,탕 / 찌개 / 전골,만원 미만,24,3.3,37.5563216,126.9244898
26,청년다방,서울특별시 마포구 양화로18안길 20 1F,기타 한식,만원 미만,11,3.3,37.5567108,126.9256715
27,보승회관,서울특별시 마포구 어울마당로 131,탕 / 찌개 / 전골,만원 미만,5,3.3,37.5561331,126.9243691
28,홍대조폭떡볶이,서울특별시 마포구 어울마당로 60,기타 한식,만원 미만,45,3.2,37.5503687,126.9213545
29,메이드바이오즈,서울특별시 마포구 와우산로21길 14,퓨전 한식,만원 미만,8,3.2,37.5524438,126.9231365
30,김사또,서울특별시 마포구 와우산로 39 1F,기타 한식,만원 미만,11,3.1,37.5480147,126.922777
31,콩불,서울특별시 마포구 어울마당로 120,고기 요리,만원 미만,11,2.7,37.5551666,126.9235116
32,철판볶음밥전문점,서울특별시 마포구 홍익로6길 8,퓨전 한식,만원 미만,7,2.7,37.5548733,126.9224746
33,밥맛나는세상,서울특별시 마포구 월드컵북로2길 37 105호,기타 한식,만원 미만,6,,37.5568631,126.92261
34,자성당,서울특별시 마포구 잔다리로7안길 3,국수 / 면 요리,만원 미만,5,,37.5528857,126.917261
35,몽유,서울특별시 마포구 와우산로38길 4 1F,국수 / 면 요리,만원 미만,5,,37.5554756,126.9309474
36,통영박이충무김밥,서울특별시 마포구 양화로6길 21,기타 한식,만원 미만,3,,37.5492244,126.915458
37,곤밥,서울특별시 마포구 토정로 105,해산물 요리,만원 미만,5,,37.5451685,126.9226041
38,미식당,서울특별시 마포구 와우산로13길 25,한정식 / 백반 / 정통 한식,만원 미만,4,,37.5490989,126.9220156
39,국일순대국,서울특별시 마포구 월드컵북로5길 22,탕 / 찌개 / 전골,만원 미만,3,,37.5570405,126.9174815
