,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,원조할아버지손두부,서울특별시 광진구 자양로 324,한정식 / 백반 / 정통 한식,만원 미만,72,4.5,37.5540192,127.0941326
2,서북면옥,서울특별시 광진구 자양로 199-1,국수 / 면 요리,만원 미만,94,4.2,37.5453552,127.0853009
3,궤도에오르다,서울특별시 광진구 광나루로 416 건희빌딩 1F,기타 한식,만원 미만,40,4.0,37.5464057,127.0755739
4,콩이네,서울특별시 광진구 긴고랑로9길 28 중곡제일시장 103호,기타 한식,만원 미만,13,4.0,37.5646059,127.0814603
5,건대우동집,서울특별시 광진구 아차산로 201 동성빌딩 1F,기타 한식,만원 미만,9,4.0,37.5417616,127.0658783
6,은혜떡볶이,서울특별시 광진구 광나루로 384 2F,기타 한식,만원 미만,31,3.9,37.5475035,127.0723928
7,순금이떡볶이,서울특별시 광진구 자양로43길 43,기타 한식,만원 미만,29,3.9,37.55245439999999,127.090187
8,또래끼리,서울특별시 광진구 군자로 103,한정식 / 백반 / 정통 한식,만원 미만,10,3.9,37.5523652,127.0713185
9,골목에골목,서울특별시 광진구 아차산로33길 51-4 2F,기타 한식,만원 미만,47,3.8,37.5426764,127.0706488
10,돕감자탕전문점,서울특별시 광진구 아차산로31길 9,탕 / 찌개 / 전골,만원 미만,46,3.8,37.5414436,127.0692519
11,능동국시,서울특별시 광진구 능동로35길 23,국수 / 면 요리,만원 미만,5,3.8,37.5569209,127.0776386
12,신토불이떡볶이,서울특별시 광진구 자양로43길 42,기타 한식,만원 미만,129,3.7,37.5525068,127.090441
13,산골닭갈비,서울특별시 광진구 구의강변로7길 5,닭 / 오리 요리,만원 미만,21,3.7,37.5381474,127.0932089
14,어멍네고기국수,서울특별시 광진구 능동로13길 77,국수 / 면 요리,만원 미만,12,3.7,37.54497569999999,127.0688006
15,조씨네고기국수,서울특별시 광진구 군자로3길 23,국수 / 면 요리,만원 미만,37,3.6,37.5442162,127.070185
16,아찌떡볶이,서울특별시 광진구 아차산로29길 53,기타 한식,만원 미만,24,3.6,37.5431898,127.0691329
17,사대분식,서울특별시 광진구 능동로 197,기타 한식,만원 미만,10,3.6,37.5481268,127.0744289
18,송림식당,서울특별시 광진구 자양번영로 79 송림주차타워,한정식 / 백반 / 정통 한식,만원 미만,5,3.4,37.5366898,127.0764847
19,고흥순대국머리고기,서울특별시 광진구 아차산로34길 16,탕 / 찌개 / 전골,만원 미만,20,3.4,37.539025,127.069332
20,함흥본가면옥,서울특별시 광진구 광나루로 456,국수 / 면 요리,만원 미만,12,3.3,37.545067,127.0797571
21,남원골추어탕,서울특별시 광진구 아차산로 413-5,탕 / 찌개 / 전골,만원 미만,2,,37.5380314,127.0883165
22,유일설렁탕,서울특별시 광진구 용마산로 154,탕 / 찌개 / 전골,만원 미만,2,,37.5673562,127.0864933
23,망향비빔국수,서울특별시 광진구 천호대로 694,국수 / 면 요리,만원 미만,7,,37.5492754,127.0912249
24,민속손국시,서울특별시 광진구 아차산로 458,국수 / 면 요리,만원 미만,10,,37.5392943,127.0931849
25,콩불,서울특별시 광진구 능동로 135-2,고기 요리,만원 미만,4,,37.5429999,127.0716825
26,겨울나그네,서울특별시 광진구 군자로 8-4,기타 한식,만원 미만,6,,37.54408189999999,127.0721206
27,스위트앤카츠,서울특별시 광진구 광나루로17길 14,기타 한식,만원 미만,4,,37.5481968,127.0727837
28,신선설농탕,서울특별시 광진구 천호대로 813,탕 / 찌개 / 전골,만원 미만,3,,37.54553,127.1041134
29,속초가,서울특별시 광진구 용마산로1길 65 1F,해산물 요리,만원 미만,4,,37.5557252,127.0849319
30,올래상회,서울특별시 광진구 능동로38길 28,국수 / 면 요리,만원 미만,4,,37.5571904,127.0812412
31,광나루순대,서울특별시 광진구 아차산로 624 새시대약국,탕 / 찌개 / 전골,만원 미만,3,,37.5481419,127.1075214
32,콩예원,서울특별시 광진구 아차산로78길 75,한정식 / 백반 / 정통 한식,만원 미만,3,,37.551573,127.1109741
33,꼼수없는착한만두,서울특별시 광진구 아차산로 626,기타 한식,만원 미만,3,,37.5483553,127.1076331
34,정면,서울특별시 광진구 능동로13길 88 1F,국수 / 면 요리,만원 미만,7,,37.5455153,127.0686638
35,신전떡볶이,서울특별시 광진구 능동로13길 100,기타 한식,만원 미만,1,,37.5458206,127.0683114
36,쉬즈베이글,서울특별시 광진구 아차산로 290 1F 2호,기타 한식,만원 미만,1,,37.5383305,127.0751022
37,옛집,서울특별시 광진구 아차산로76가길 18,탕 / 찌개 / 전골,만원 미만,10,,37.5470714,127.1068019
38,고흥순대국머리고기,서울특별시 광진구 아차산로34길 16,탕 / 찌개 / 전골,만원 미만,20,3.4,37.539025,127.069332
39,함흥본가면옥,서울특별시 광진구 광나루로 456,국수 / 면 요리,만원 미만,5,3.3,37.545067,127.0797571
40,남원골추어탕,서울특별시 광진구 아차산로 413-5,탕 / 찌개 / 전골,만원 미만,2,,37.5380314,127.0883165
41,유일설렁탕,서울특별시 광진구 용마산로 154,탕 / 찌개 / 전골,만원 미만,2,,37.5673562,127.0864933
42,망향비빔국수,서울특별시 광진구 천호대로 694,국수 / 면 요리,만원 미만,7,,37.5492754,127.0912249
43,콩불,서울특별시 광진구 능동로 135-2,고기 요리,만원 미만,4,,37.5429999,127.0716825
44,겨울나그네,서울특별시 광진구 군자로 8-4,기타 한식,만원 미만,6,,37.54408189999999,127.0721206
45,스위트앤카츠,서울특별시 광진구 광나루로17길 14,기타 한식,만원 미만,4,,37.5481968,127.0727837
46,신선설농탕,서울특별시 광진구 천호대로 813,탕 / 찌개 / 전골,만원 미만,3,,37.54553,127.1041134
47,속초가,서울특별시 광진구 용마산로1길 65 1F,해산물 요리,만원 미만,4,,37.5557252,127.0849319
48,할머니순대국,서울특별시 광진구 아차산로 293 선진빌딩,탕 / 찌개 / 전골,만원 미만,5,,37.5386303,127.0756484
49,올래상회,서울특별시 광진구 능동로38길 28,국수 / 면 요리,만원 미만,4,,37.5571904,127.0812412
50,광나루순대,서울특별시 광진구 아차산로 624 새시대약국,탕 / 찌개 / 전골,만원 미만,3,,37.5481419,127.1075214
51,콩예원,서울특별시 광진구 아차산로78길 75,한정식 / 백반 / 정통 한식,만원 미만,3,,37.551573,127.1109741
52,꼼수없는착한만두,서울특별시 광진구 아차산로 626,기타 한식,만원 미만,3,,37.5483553,127.1076331
53,정면,서울특별시 광진구 능동로13길 88 1F,국수 / 면 요리,만원 미만,7,,37.5455153,127.0686638
54,신전떡볶이,서울특별시 광진구 능동로13길 100,기타 한식,만원 미만,1,,37.5458206,127.0683114
55,쉬즈베이글,서울특별시 광진구 아차산로 290 1F 2호,기타 한식,만원 미만,1,,37.5383305,127.0751022
56,옛집,서울특별시 광진구 아차산로76가길 18,탕 / 찌개 / 전골,만원 미만,10,,37.5470714,127.1068019
57,고향집,서울특별시 광진구 아차산로49길 30,해산물 요리,만원-2만원,3,,37.5381994,127.0844106
58,대관령감자탕,서울특별시 광진구 아차산로76길 6,탕 / 찌개 / 전골,만원-2만원,2,,37.547764,127.1073606
59,가마로,서울특별시 광진구 동일로22길 100,고기 요리,만원-2만원,12,,37.5408273,127.069487
60,열불날개,서울특별시 광진구 동일로24길 63,닭 / 오리 요리,만원-2만원,8,,37.5430488,127.0686198
61,야돈,서울특별시 광진구 아차산로33길 25,고기 요리,만원-2만원,1,,37.54142890000001,127.0702513
62,하남돼지집,서울특별시 광진구 동일로22길 30,고기 요리,만원-2만원,7,,37.5420237,127.0659201
63,바나바나,서울특별시 광진구 동일로20길 72 1F,기타 한식,만원-2만원,7,,37.5401091,127.0674252
64,양촌리생삼겹살,서울특별시 광진구 아차산로 482,고기 요리,만원-2만원,5,,37.5404794,127.0954517
65,안주나라,서울특별시 광진구 동일로18길 23,해산물 요리,만원-2만원,2,,37.5397367,127.0643169
66,등촌샤브칼국수,서울특별시 광진구 용마산로 128,탕 / 찌개 / 전골,만원-2만원,5,,37.5649383,127.086902
67,삼통치킨,서울특별시 광진구 아차산로 589,닭 / 오리 요리,만원-2만원,2,,37.5459411,127.1047253
68,고기원칙,서울특별시 광진구 아차산로 384,고기 요리,만원-2만원,1,,37.5366315,127.085447
69,진육식당,서울특별시 광진구 능동로 18,고기 요리,만원-2만원,9,,37.5325759,127.0679308
70,불난닭발,서울특별시 광진구 자양로18길 6,닭 / 오리 요리,만원-2만원,9,,37.5372825,127.0839941
71,소일창,서울특별시 광진구 자양로45길 34 1F,고기 요리,만원-2만원,1,,37.5527369,127.0910629
72,울트라곱창,서울특별시 광진구 동일로24길 95-1,고기 요리,만원-2만원,6,,37.5424521,127.07032
73,충만치킨,서울특별시 광진구 동일로20길 98,닭 / 오리 요리,만원-2만원,4,,37.5397672,127.0687443
74,횃불,서울특별시 광진구 아차산로55길 20 1F,고기 요리,만원-2만원,3,,37.5382111,127.0866283
