group,count
group_93,857
group_0,4
group_1,48
group_2,129
group_3,104
group_4,241
group_5,59
group_6,41
group_7,36
group_8,9
group_9,32
group_10,15
group_11,55
group_12,16
group_13,18
group_14,39
group_15,30
group_16,20
group_17,3
group_18,54
group_19,4
group_20,8
group_21,51
group_22,67
group_23,40
group_24,51
group_25,157
group_26,50
group_27,38
group_28,91
group_29,3
group_30,16
group_31,33
group_32,6
group_33,3
group_34,10
group_35,13
group_36,32
group_37,34
group_38,16
group_39,62
group_40,18
group_41,83
group_42,34
group_43,72
group_44,36
group_45,21
group_46,41
group_47,31
group_48,30
group_49,13
group_50,53
group_51,18
group_52,126
group_53,61
group_54,21
group_55,24
group_56,34
group_57,32
group_58,231
group_59,35
group_60,67
group_61,50
group_62,40
group_63,89
group_64,19
group_65,2
group_66,33
group_67,281
group_68,5
group_69,2
group_70,83
group_71,120
group_72,3
group_73,1
group_74,2
group_75,15
group_76,17
group_77,1
group_78,28
group_79,83
group_80,12
group_81,66
group_82,20
group_83,34
group_84,56
group_85,1
group_86,1
group_87,1
group_88,30
group_89,3
group_90,4
group_91,8
group_92,1
group_94,44
group_95,1
group_96,11
group_97,1
group_98,65
group_99,1
group_100,19
group_101,26
group_102,20
group_103,8
group_104,18
group_105,6
group_106,1
group_107,4
group_108,1
group_109,36
group_110,21
group_111,77
group_112,162
group_113,2
group_114,274
group_115,25
group_116,58
group_117,3
group_118,17
group_119,51
