p_id,group_93,group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15,group_16,group_17,group_18,group_19,group_20,group_21,group_22,group_23,group_24,group_25,group_26,group_27,group_28,group_29,group_30,group_31,group_32,group_33,group_34,group_35,group_36,group_37,group_38,group_39,group_40,group_41,group_42,group_43,group_44,group_45,group_46,group_47,group_48,group_49,group_50,group_51,group_52,group_53,group_54,group_55,group_56,group_57,group_58,group_59,group_60,group_61,group_62,group_63,group_64,group_65,group_66,group_67,group_68,group_69,group_70,group_71,group_72,group_73,group_74,group_75,group_76,group_77,group_78,group_79,group_80,group_81,group_82,group_83,group_84,group_85,group_86,group_87,group_88,group_89,group_90,group_91,group_92,group_94,group_95,group_96,group_97,group_98,group_99,group_100,group_101,group_102,group_103,group_104,group_105,group_106,group_107,group_108,group_109,group_110,group_111,group_112,group_113,group_114,group_115,group_116,group_117,group_118,group_119
553,143,0,2,75,19,29,7,18,9,0,11,1,15,7,2,5,5,3,1,6,5,1,6,29,21,4,35,23,17,1,0,9,19,0,1,12,12,8,19,4,10,8,45,9,25,7,30,14,9,5,0,11,10,17,9,0,6,4,16,511,5,26,69,3,23,0,5,7,38,0,0,23,25,0,0,0,2,13,0,17,9,10,15,1,9,43,0,0,0,4,3,2,0,0,17,0,5,0,8,0,7,5,5,4,4,0,1,0,1,19,2,11,21,0,35,10,16,5,3,9
383,103,0,13,11,25,11,79,11,9,1,3,1,20,4,5,3,1,5,0,9,0,0,7,31,2,4,20,21,11,3,0,1,38,0,3,12,6,7,7,1,11,10,32,11,9,7,8,17,5,13,0,20,9,8,17,3,1,4,3,271,8,32,96,5,14,3,1,6,13,0,0,31,26,2,0,0,2,15,0,12,20,65,101,0,8,33,0,0,0,5,0,1,0,0,14,3,3,0,13,0,3,9,6,3,2,0,0,1,1,4,7,7,17,0,22,6,17,3,0,4
78,23,0,5,3,4,5,33,1,2,1,6,0,6,2,2,4,0,2,0,1,0,0,3,2,1,3,11,4,1,12,0,0,5,0,0,2,3,0,2,1,0,1,9,7,1,5,1,4,1,0,0,2,3,9,4,0,0,1,2,18,0,6,49,1,8,1,1,1,9,0,0,5,3,1,0,0,0,2,0,3,1,1,2,0,2,7,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,4,0,0,1,0,1,0,1,0,2,5,1,0,9,1,5,1,0,0
715,30,0,2,5,3,7,66,3,3,1,14,0,6,2,0,3,3,3,0,0,1,0,1,7,5,2,6,3,1,2,0,3,1,0,3,1,4,5,0,0,12,0,13,7,9,1,2,4,2,0,1,4,2,2,12,0,3,0,4,43,8,8,30,4,5,3,10,1,4,0,0,5,7,0,0,0,2,3,0,3,2,1,1,1,1,6,0,0,0,4,0,0,0,0,6,1,0,0,14,0,1,6,2,0,6,1,0,0,0,2,3,3,11,0,11,3,2,1,2,2
45,5,0,0,3,0,2,0,0,0,0,2,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,44,0,1,4,0,1,0,0,0,5,0,0,1,1,1,0,0,0,1,0,0,2,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
569,22,0,3,2,2,7,10,10,5,0,1,0,2,2,0,4,0,0,0,3,0,0,2,4,0,1,3,6,4,1,0,0,0,0,0,0,1,2,0,0,3,1,10,0,6,1,0,1,0,0,1,1,1,2,1,0,0,2,0,82,3,2,14,0,4,3,1,0,3,0,0,0,6,0,0,0,0,4,0,6,8,3,1,0,1,12,0,0,0,0,0,1,0,0,1,0,1,0,4,0,1,0,0,0,1,0,1,0,0,2,0,3,4,0,6,1,1,3,1,3
415,30,0,0,5,3,10,40,4,0,0,2,1,5,2,0,0,1,1,0,2,0,0,1,7,0,0,4,4,3,1,0,0,13,0,0,0,4,1,3,0,2,1,9,5,2,3,0,2,2,0,0,4,3,2,5,0,0,2,2,74,1,4,41,2,3,0,1,2,4,0,1,2,3,0,0,0,0,4,0,2,1,0,3,0,0,10,0,0,0,1,0,0,0,0,2,0,1,0,4,0,0,2,2,1,0,0,0,0,0,1,3,8,8,0,34,2,1,0,0,1
173,10,0,3,1,3,0,2,3,1,1,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,2,6,0,1,0,2,0,1,1,0,1,2,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,2,0,3,0,0,0,0,1,1,0,0,0,2,0,0,1
69,57,0,7,8,3,13,264,7,5,1,4,3,5,3,0,5,0,3,0,3,0,1,6,11,1,3,7,8,6,2,0,1,4,0,5,0,5,3,3,1,4,1,21,2,8,4,0,1,2,11,0,0,1,9,4,0,0,4,2,152,3,6,75,1,9,0,7,6,12,1,0,5,3,2,0,1,0,1,0,0,5,3,2,1,1,31,0,0,0,2,0,0,0,0,6,0,1,0,1,0,1,7,1,1,2,0,0,0,3,1,8,6,14,0,20,0,0,0,0,3
161,21,0,2,6,4,9,7,2,2,0,1,0,2,1,1,1,0,2,0,1,0,1,1,2,0,1,4,2,2,5,1,0,1,0,1,3,0,0,2,0,4,1,9,17,2,3,1,2,6,2,0,2,2,1,5,0,1,0,1,44,2,3,60,0,12,1,0,5,6,0,0,4,3,0,0,0,0,2,0,3,2,1,3,0,4,10,0,0,0,1,0,0,0,0,5,1,0,0,9,0,0,1,0,0,1,0,0,0,0,0,2,3,0,0,4,0,4,1,0,2
