u_id,p_id,rating
0,542,3
0,287,3
0,163,0
0,775,3
0,310,0
0,739,5
0,161,3
0,296,3
0,452,3
0,121,3
0,240,0
0,608,0
0,95,3
0,162,0
0,609,5
0,485,0
0,409,5
0,348,3
0,279,5
0,78,3
0,245,3
0,162,0
0,412,3
0,341,5
0,203,5
0,341,5
0,728,3
1,512,5
1,512,5
2,633,3
3,228,0
3,298,3
4,700,3
4,498,0
5,726,0
5,465,5
5,755,3
5,146,3
5,538,3
6,443,0
7,116,5
7,294,3
7,139,0
8,69,5
9,844,5
9,824,3
9,824,3
10,610,5
11,715,5
12,15,0
12,78,3
12,667,3
12,667,3
12,69,3
12,324,3
12,553,3
12,428,0
12,184,0
12,184,0
12,312,0
13,675,3
14,546,0
15,272,5
16,7,5
17,804,5
18,161,5
18,843,5
19,412,5
19,707,5
20,399,0
20,399,0
21,489,0
22,138,3
23,235,5
23,121,3
23,45,5
23,570,0
23,672,0
23,607,3
23,357,5
23,491,3
24,169,5
25,119,5
26,562,5
27,383,5
28,401,5
28,109,3
28,109,3
28,465,3
28,833,5
29,809,5
29,661,5
30,461,5
30,801,5
31,542,3
32,109,5
32,781,3
32,305,5
32,380,5
32,109,5
33,806,3
33,343,3
33,656,3
33,640,3
34,154,5
34,297,5
35,441,5
35,441,5
35,804,5
35,412,5
35,400,5
36,597,0
37,240,5
38,226,5
39,574,0
40,22,3
40,22,3
40,394,3
41,143,3
42,228,3
43,346,5
44,75,5
45,443,5
46,143,5
47,412,0
47,377,3
48,399,3
48,249,5
48,249,5
48,422,5
48,399,3
48,329,3
48,455,5
48,437,3
48,415,5
49,720,5
50,338,5
51,6,5
52,692,5
53,486,3
54,700,5
55,567,0
56,191,0
57,707,5
57,399,5
57,443,3
57,192,5
57,204,5
57,739,3
57,553,5
57,286,3
57,439,5
57,192,5
57,428,5
57,717,5
57,399,5
57,826,3
57,400,5
57,383,5
57,408,5
57,183,5
58,215,3
59,615,5
60,427,5
60,287,5
61,784,3
61,408,5
62,816,0
63,64,3
64,383,5
65,771,5
65,25,5
65,412,5
65,754,5
65,108,5
65,108,5
66,342,3
66,342,3
67,816,3
67,790,3
67,95,5
67,338,3
67,389,5
67,808,3
67,483,5
67,409,3
67,333,3
67,64,3
67,696,3
67,656,3
68,245,5
68,245,0
68,174,5
68,333,3
68,243,5
68,443,5
68,505,5
68,176,5
69,161,3
69,180,3
69,739,5
69,354,3
69,800,3
69,152,5
69,526,5
70,759,5
71,784,3
72,103,3
72,176,3
72,785,5
72,177,3
72,177,0
72,202,5
72,809,5
72,495,5
73,542,5
74,704,5
75,399,5
75,791,0
75,399,5
75,816,0
76,354,5
76,203,5
76,610,5
76,9,5
76,668,5
77,542,3
77,256,5
77,256,5
78,542,5
79,311,5
80,784,5
81,383,5
81,258,5
81,784,5
81,784,5
81,530,5
82,55,5
83,174,5
84,69,3
85,117,3
85,135,5
86,7,3
87,12,5
87,140,5
87,771,5
87,572,5
88,176,3
88,344,3
88,789,3
88,78,5
88,152,0
89,245,0
90,294,0
91,226,5
91,542,5
91,124,5
92,443,5
92,443,3
92,69,5
92,415,3
93,98,3
93,383,5
93,98,3
93,364,3
93,661,5
94,161,5
95,443,0
96,560,5
96,298,0
96,456,3
96,815,3
97,408,3
98,383,5
99,298,5
99,298,5
100,493,5
100,663,5
100,415,5
100,255,3
101,95,5
101,824,5
101,194,0
101,152,5
101,176,5
101,256,5
101,87,3
101,546,5
101,177,5
101,824,5
101,90,5
101,298,3
101,256,5
101,99,5
101,708,3
101,743,3
102,443,3
102,448,5
103,15,5
104,250,3
105,408,3
106,472,0
107,316,5
108,245,5
108,804,5
109,281,0
110,443,0
111,824,3
111,559,3
111,553,3
111,443,0
111,707,5
111,406,5
111,383,5
111,512,5
111,152,5
111,478,5
111,824,3
111,708,5
111,559,3
111,512,5
111,661,5
112,299,3
112,533,3
112,815,0
112,427,0
113,784,3
113,275,3
113,800,5
114,256,5
114,542,5
114,256,5
115,512,0
115,512,0
116,505,5
117,815,0
118,338,3
118,804,0
118,331,5
118,498,3
118,816,0
118,737,5
118,778,5
118,51,5
119,443,3
120,476,5
121,109,5
121,109,5
121,256,0
121,95,5
121,256,0
121,681,3
121,412,5
121,78,5
121,528,5
121,67,5
122,456,5
123,7,5
124,553,5
125,784,5
125,415,5
125,245,5
126,191,3
126,245,5
126,383,3
126,584,0
126,784,3
126,138,5
126,103,0
126,135,5
127,542,5
127,245,5
128,496,5
128,461,5
128,78,5
128,546,3
128,472,5
128,294,3
129,583,5
130,69,5
130,49,5
130,178,3
130,459,5
130,459,5
130,399,5
130,399,5
130,121,3
130,95,5
130,49,5
130,804,5
130,496,5
130,656,3
130,459,5
131,504,5
132,85,5
133,161,3
134,784,5
135,75,5
136,192,5
136,582,5
136,283,5
136,780,5
136,748,5
136,553,5
136,313,5
136,490,5
136,818,0
136,804,5
137,617,5
138,496,5
138,587,5
138,194,5
139,173,5
140,151,5
141,443,5
141,465,5
141,324,5
142,553,5
142,142,5
142,383,5
142,222,5
142,808,5
142,784,5
142,87,5
142,266,5
142,369,5
142,69,5
142,701,5
142,542,5
143,786,5
143,383,0
143,786,5
143,103,5
144,456,3
145,138,5
146,142,5
147,542,3
148,748,5
148,331,5
149,245,5
150,486,5
150,383,5
150,542,3
150,427,5
150,369,3
151,569,3
152,443,5
152,824,5
152,228,3
152,310,3
152,22,5
152,667,5
152,613,3
152,542,5
152,304,3
152,550,5
152,69,3
152,106,5
152,22,5
152,35,5
152,95,5
152,664,3
152,501,3
152,266,5
152,667,5
152,816,5
152,7,3
152,49,5
152,152,3
152,833,5
152,430,3
152,159,5
152,560,5
152,119,5
152,207,3
152,630,5
152,78,5
152,99,3
152,824,5
152,576,5
152,511,5
152,49,5
153,257,5
154,66,5
154,633,5
154,816,0
154,66,5
155,833,0
156,243,5
156,687,3
157,119,5
158,383,5
159,816,0
160,476,5
161,423,3
162,383,3
163,427,5
164,483,5
164,15,5
165,443,5
166,816,0
166,665,3
166,123,3
167,7,3
168,496,5
169,398,5
169,637,5
169,161,0
170,701,5
170,246,3
171,383,5
172,427,3
172,297,5
172,43,3
173,327,5
173,95,5
173,69,3
174,344,5
175,72,5
176,588,3
177,542,0
178,383,5
178,51,3
178,183,5
178,183,5
178,569,5
178,784,3
178,443,0
178,69,3
179,334,5
179,470,5
179,213,5
179,671,5
180,771,5
181,485,5
182,82,0
182,258,3
182,443,5
182,825,5
183,145,5
183,364,5
183,406,5
184,257,5
185,668,5
186,619,3
187,59,0
188,428,5
189,485,5
190,15,5
190,225,3
190,553,5
190,427,0
190,245,5
191,64,5
192,412,5
193,505,3
193,81,5
194,91,5
195,124,3
196,199,5
197,383,5
198,56,0
199,245,5
199,668,3
199,542,3
200,318,5
201,243,5
201,243,5
201,243,5
201,408,0
201,409,3
201,243,5
201,257,0
201,313,0
202,701,5
203,56,5
203,489,3
204,784,5
204,816,3
205,443,5
205,668,5
205,542,5
206,542,3
207,542,3
207,245,3
207,542,3
208,490,5
208,24,3
208,203,5
208,656,3
209,109,3
209,109,3
209,443,3
210,542,0
210,121,3
210,161,5
210,78,5
211,79,5
212,784,0
213,265,5
214,819,5
215,15,3
215,287,5
215,357,3
215,95,3
215,149,3
215,799,3
215,843,3
215,744,3
215,564,3
215,366,3
215,331,3
215,174,5
215,542,3
215,665,0
215,737,3
215,409,5
215,695,3
215,142,3
216,228,5
216,338,5
216,338,5
217,245,5
217,553,5
217,804,5
217,368,5
218,369,3
219,176,5
220,443,0
221,82,5
221,258,5
221,258,5
222,553,5
223,349,5
224,542,3
225,117,5
226,542,3
226,784,5
226,109,5
226,109,5
226,844,3
226,668,5
227,804,3
227,624,3
228,161,5
229,223,5
229,223,5
230,512,5
230,512,5
231,542,5
231,383,5
232,49,3
232,49,3
232,816,3
232,804,5
233,609,5
234,66,3
234,486,5
234,245,5
234,161,5
234,542,5
234,66,3
234,245,5
235,333,5
236,383,5
237,784,5
238,412,5
239,439,3
240,784,3
240,804,5
241,49,5
241,49,5
241,824,5
241,153,3
241,824,5
241,226,3
242,806,5
242,490,5
243,780,5
243,542,5
244,153,3
245,778,5
245,665,3
246,737,3
246,524,5
246,737,3
247,204,5
247,245,5
247,609,3
248,428,0
249,203,5
250,609,5
250,542,5
251,784,3
252,482,0
253,426,5
253,588,0
253,443,0
253,681,3
253,214,3
253,132,5
253,665,3
253,553,5
253,376,3
253,426,5
253,100,3
253,775,0
253,574,5
253,784,3
253,258,3
254,553,3
255,55,5
256,270,5
256,677,5
256,245,5
256,804,5
257,844,5
258,136,5
258,517,0
259,443,0
260,804,3
261,287,0
262,701,5
263,816,5
264,412,5
265,667,5
265,667,5
266,542,5
267,408,5
268,750,3
268,34,5
268,333,0
269,43,3
269,344,3
269,250,0
269,266,5
269,274,5
269,261,5
270,823,5
270,823,5
270,823,5
271,333,3
272,245,3
273,250,3
274,816,0
275,313,5
275,730,5
275,399,5
275,166,5
275,21,3
275,76,3
275,245,3
275,73,3
275,804,5
275,818,0
275,667,5
275,342,5
275,174,5
275,806,0
275,608,3
275,517,3
275,289,3
275,445,3
275,780,5
275,55,5
275,225,3
275,358,5
275,383,3
275,569,3
275,553,5
275,701,3
275,176,5
275,415,5
275,399,5
275,342,5
275,187,3
275,667,5
276,443,0
277,157,5
278,28,5
278,309,5
278,443,5
278,299,5
278,427,5
278,137,3
278,252,5
278,252,5
279,223,0
279,79,0
279,593,5
279,184,5
279,184,5
279,223,0
279,814,0
279,304,0
280,656,5
280,331,5
280,656,5
280,47,0
280,124,3
280,654,3
280,379,5
281,401,5
281,801,5
281,15,5
281,245,5
281,408,5
281,553,5
281,552,5
281,654,5
281,443,5
281,95,5
281,335,5
281,415,3
281,472,5
282,662,5
283,496,5
284,312,5
285,245,5
286,701,3
286,161,5
286,152,0
286,15,5
286,101,0
286,687,3
286,219,0
286,39,3
286,619,3
286,634,3
286,784,3
