group,count
group_21,1110
group_0,78
group_1,20
group_2,158
group_3,189
group_4,48
group_5,32
group_6,63
group_7,34
group_8,1
group_9,57
group_10,45
group_11,11
group_12,86
group_13,27
group_14,72
group_15,34
group_16,278
group_17,239
group_18,8
group_19,49
group_20,86
group_22,142
group_23,4
group_24,32
group_25,77
group_26,55
group_27,4
group_28,39
group_29,56
group_30,34
group_31,4
group_32,13
group_33,79
group_34,26
group_35,6
group_36,75
group_37,43
group_38,161
group_39,118
group_40,63
group_41,28
group_42,51
group_43,9
group_44,28
group_45,14
group_46,8
group_47,89
group_48,78
group_49,43
group_50,9
group_51,290
group_52,28
group_53,1
group_54,66
group_55,30
group_56,50
group_57,28
group_58,89
group_59,57
group_60,52
group_61,37
group_62,276
group_63,67
group_64,163
group_65,9
group_66,2
group_67,38
group_68,21
group_69,3
group_70,10
group_71,101
group_72,11
group_73,192
group_74,137
group_75,14
group_76,41
group_77,19
group_78,3
group_79,58
group_80,2
group_81,15
group_82,34
group_83,59
group_84,28
group_85,32
group_86,70
group_87,32
group_88,8
group_89,49
group_90,48
group_91,3
group_92,408
group_93,2
group_94,56
group_95,243
group_96,3
group_97,8
group_98,8
group_99,58
group_100,69
group_101,81
group_102,49
group_103,40
group_104,3
group_105,1
group_106,13
group_107,33
group_108,95
group_109,22
group_110,3
group_111,6
group_112,71
group_113,21
group_114,94
group_115,53
group_116,26
group_117,3
group_118,4
group_119,8
