,group_21,group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15,group_16,group_17,group_18,group_19,group_20,group_22,group_23,group_24,group_25,group_26,group_27,group_28,group_29,group_30,group_31,group_32,group_33,group_34,group_35,group_36,group_37,group_38,group_39,group_40,group_41,group_42,group_43,group_44,group_45,group_46,group_47,group_48,group_49,group_50,group_51,group_52,group_53,group_54,group_55,group_56,group_57,group_58,group_59,group_60,group_61,group_62,group_63,group_64,group_65,group_66,group_67,group_68,group_69,group_70,group_71,group_72,group_73,group_74,group_75,group_76,group_77,group_78,group_79,group_80,group_81,group_82,group_83,group_84,group_85,group_86,group_87,group_88,group_89,group_90,group_91,group_92,group_93,group_94,group_95,group_96,group_97,group_98,group_99,group_100,group_101,group_102,group_103,group_104,group_105,group_106,group_107,group_108,group_109,group_110,group_111,group_112,group_113,group_114,group_115,group_116,group_117,group_118,group_119
0,160,22,11,22,19,3,5,13,7,0,8,5,2,23,8,8,10,25,20,1,5,10,20,1,4,28,3,4,39,11,3,0,1,35,197,0,50,12,30,58,21,3,5,4,5,0,9,52,13,5,8,225,9,0,41,19,2,0,17,22,18,6,58,7,92,0,0,5,10,1,40,56,12,34,51,0,10,4,0,70,0,7,7,9,0,10,62,26,5,8,2,4,260,0,8,33,3,8,5,48,16,9,17,7,1,1,2,11,10,3,3,0,19,31,29,7,2,5,2,2
1,19,2,1,4,1,0,0,0,0,0,0,0,0,6,1,0,1,2,4,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,33,0,3,5,3,3,8,0,1,2,1,0,0,10,15,0,2,9,2,0,0,3,1,0,4,1,0,2,1,0,10,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,2,0,1,0,5,9,1,0,0,0,0,14,0,0,5,0,2,0,0,1,0,2,2,0,0,0,0,1,0,0,0,2,1,2,4,0,0,0,0
2,0,7,5,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,1,0,4,2,0,2,0,2,2,0,1,1,0,0,2,22,0,2,3,5,6,6,0,2,0,0,0,0,1,2,1,0,2,1,0,2,1,0,0,4,0,3,1,4,1,4,0,0,1,3,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,1,0,5,0,0,1,0,1,2,0,3,2,0,3,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,0
3,45,9,4,9,10,0,0,3,5,0,4,3,0,6,0,0,2,14,4,0,0,17,4,0,1,4,1,0,2,6,1,0,2,6,129,0,12,4,17,12,28,0,2,8,2,0,1,17,15,0,0,62,6,0,9,1,1,0,1,5,3,4,18,1,32,0,0,0,1,0,1,4,4,9,9,0,1,0,0,14,0,2,0,1,0,1,25,5,0,0,0,0,48,0,1,7,0,2,1,1,13,6,5,1,0,0,0,4,5,1,0,1,1,12,7,3,0,0,0,0
4,43,4,2,51,6,0,0,1,0,5,3,13,2,14,2,0,5,9,3,0,0,7,4,1,1,16,1,0,3,3,2,0,1,10,69,6,16,5,3,25,2,1,5,0,1,0,4,15,3,1,3,42,3,0,6,6,1,0,0,5,5,4,8,1,13,0,0,1,2,0,7,9,0,3,8,0,1,0,0,29,0,1,0,1,0,5,6,2,1,4,1,1,10,0,3,8,0,1,4,5,1,2,2,3,1,0,0,2,4,1,0,0,4,0,15,0,2,2,0,1
5,27,4,4,16,4,5,0,3,2,0,2,2,0,8,2,1,0,4,2,0,0,1,6,0,6,31,1,0,6,1,1,0,1,8,79,0,13,2,25,11,14,0,2,1,1,1,0,9,3,3,0,21,0,0,5,2,1,0,0,4,3,1,7,0,15,0,0,1,2,0,6,5,0,5,7,0,0,0,0,2,0,2,1,4,1,4,1,2,0,1,5,0,12,0,3,7,0,3,0,2,8,2,1,2,0,0,0,2,3,0,1,0,1,5,9,7,0,0,0,0
6,36,48,24,6,11,3,0,2,1,0,1,5,0,16,1,5,1,13,6,0,1,4,8,0,0,6,2,2,2,9,5,0,1,6,61,0,18,1,15,28,22,3,3,0,3,0,0,12,17,1,1,57,4,0,10,2,2,0,9,5,8,7,15,18,27,0,0,2,1,0,0,9,1,5,30,0,1,0,0,36,0,1,0,4,0,4,43,2,0,3,2,1,16,0,2,6,0,2,6,8,5,3,2,6,0,0,0,8,3,0,0,0,7,7,3,3,2,0,0,0
7,25,9,11,5,22,0,0,1,1,0,3,2,0,5,1,0,0,4,1,0,0,5,3,0,1,5,1,0,3,2,2,0,0,8,32,0,3,2,5,8,29,1,6,0,1,0,0,14,4,0,0,49,4,0,2,2,4,0,2,5,10,3,12,1,24,0,0,1,1,0,0,5,0,10,9,0,2,0,0,16,0,2,0,3,1,2,4,6,0,3,0,1,18,0,3,5,0,2,3,0,6,2,1,2,0,0,1,3,3,1,0,0,0,4,6,2,0,0,0,0
8,23,13,8,1,6,4,0,1,1,0,4,0,0,6,0,0,2,1,4,1,0,4,2,0,0,2,0,0,0,3,2,0,1,1,45,0,4,0,5,9,6,0,1,1,0,0,1,9,0,2,0,75,3,0,5,1,2,1,8,2,1,3,3,1,3,0,0,0,0,0,0,10,0,5,9,0,3,0,0,10,0,1,1,1,1,7,5,2,0,0,0,0,7,1,0,2,0,0,1,2,1,0,2,2,0,0,1,1,1,2,0,1,2,0,14,1,0,0,0,0
9,34,18,5,13,12,6,0,12,2,0,4,5,0,22,1,5,1,9,13,0,1,66,4,0,3,28,0,1,8,2,2,0,2,13,127,0,18,2,15,15,44,5,0,1,2,0,2,24,19,1,0,91,2,0,12,1,1,1,1,14,17,5,24,3,76,0,0,1,3,0,1,21,5,10,10,0,1,0,0,6,0,0,5,5,0,4,14,5,0,0,1,0,29,0,0,9,2,3,3,8,15,6,5,1,0,1,0,3,6,0,2,0,3,6,5,3,1,0,0,0
