u_id,p_id,rating
0,701,5
0,594,3
0,17,5
0,182,5
0,443,5
0,55,3
0,560,3
0,452,5
0,115,3
0,520,3
0,117,5
1,425,5
2,344,3
2,236,3
2,234,3
2,234,5
2,629,5
2,613,3
2,22,3
2,629,5
2,656,5
2,700,3
2,563,3
2,319,5
2,758,3
2,147,5
2,385,3
2,810,5
2,118,3
2,715,3
2,178,5
2,639,3
2,529,3
3,185,3
4,646,5
5,443,5
5,425,3
5,283,5
5,836,3
5,788,0
5,385,0
5,557,3
5,656,3
5,549,3
5,81,3
5,284,0
5,573,0
5,356,3
5,720,0
5,836,3
5,635,3
5,768,0
5,635,3
5,635,3
5,145,3
5,860,3
5,356,3
5,27,3
5,357,5
5,847,5
5,319,3
5,166,3
5,657,3
5,269,5
5,385,3
5,425,5
5,85,5
5,279,0
5,532,3
5,50,3
5,269,3
5,127,3
6,561,3
6,422,5
6,557,3
6,279,3
6,232,3
6,376,3
6,82,5
6,164,3
6,58,5
6,476,5
6,536,3
6,385,3
6,584,0
6,402,3
6,422,5
6,348,3
6,278,5
6,340,5
6,234,5
6,779,3
6,844,5
6,443,5
6,693,3
6,345,3
6,656,3
7,85,5
8,657,5
9,831,0
10,383,5
10,865,3
10,845,5
11,425,5
11,45,5
11,543,5
11,603,5
12,779,5
12,357,5
12,758,3
12,561,5
12,230,5
12,140,5
12,765,3
12,62,5
12,130,3
12,422,5
12,308,3
12,310,5
12,562,5
12,762,5
12,629,5
12,629,5
13,422,3
14,205,3
15,629,5
15,350,5
16,826,5
16,385,3
17,579,5
18,310,0
19,826,5
20,183,5
21,532,5
22,762,3
22,279,3
22,435,0
22,629,3
23,173,5
24,608,3
25,866,0
26,712,5
27,384,5
28,147,5
28,279,5
28,254,5
28,845,3
28,16,5
28,768,3
28,234,5
28,557,3
28,169,3
28,44,5
29,575,5
30,422,5
30,784,5
30,37,5
31,145,5
32,356,5
33,447,5
34,557,5
34,147,5
34,422,5
34,92,5
34,79,5
34,147,3
34,92,5
34,430,5
34,357,5
34,575,5
34,44,3
34,629,5
34,31,0
34,543,5
34,81,5
34,629,5
35,860,5
35,357,5
35,646,5
