group,count
group_73,1291
group_0,1
group_1,382
group_2,45
group_3,37
group_4,36
group_5,54
group_6,26
group_7,101
group_8,132
group_9,294
group_10,15
group_11,57
group_12,47
group_13,32
group_14,83
group_15,14
group_16,64
group_17,25
group_18,108
group_19,5
group_20,5
group_21,32
group_22,85
group_23,20
group_24,64
group_25,44
group_26,48
group_27,25
group_28,77
group_29,37
group_30,32
group_31,42
group_32,32
group_33,3
group_34,248
group_35,22
group_36,68
group_37,29
group_38,28
group_39,38
group_40,89
group_41,436
group_42,2
group_43,20
group_44,3
group_45,2
group_46,58
group_47,39
group_48,5
group_49,39
group_50,402
group_51,4
group_52,124
group_53,1
group_54,4
group_55,1
group_56,37
group_57,30
group_58,42
group_59,1
group_60,44
group_61,110
group_62,68
group_63,69
group_64,38
group_65,51
group_66,59
group_67,18
group_68,12
group_69,81
group_70,49
group_71,77
group_72,37
group_74,57
group_75,2
group_76,66
group_77,39
group_78,30
group_79,32
group_80,18
group_81,29
group_82,67
group_83,26
group_84,33
group_85,43
group_86,13
group_87,54
group_88,17
group_89,36
group_90,2
group_91,67
group_92,46
group_93,49
group_94,45
group_95,1
group_96,122
group_97,39
group_98,307
group_99,1
group_100,173
group_101,2
group_102,38
group_103,72
group_104,15
group_105,31
group_106,94
group_107,57
group_108,22
group_109,51
group_110,89
group_111,76
group_112,281
group_113,58
group_114,38
group_115,103
group_116,93
group_117,29
group_118,1
group_119,9
