u_id,p_id,rating
0,491,5
0,689,5
0,491,0
0,306,3
0,633,0
0,689,5
0,472,3
0,603,3
0,347,3
0,435,3
0,82,3
0,382,0
0,648,0
0,435,5
0,375,5
0,114,5
0,435,3
0,243,3
0,713,3
0,264,5
0,603,3
0,551,3
0,683,3
0,315,3
0,591,0
0,435,3
1,315,3
1,598,3
2,124,5
3,323,0
4,250,3
4,28,3
4,250,3
4,347,3
4,639,5
4,316,5
4,402,5
4,402,5
4,402,5
4,402,3
4,639,5
4,659,5
4,24,3
4,583,3
4,616,3
4,583,3
4,118,3
4,89,3
4,250,3
4,155,3
4,609,5
4,363,5
4,118,3
4,105,3
4,617,3
4,617,5
4,617,3
4,55,5
4,137,3
4,315,5
4,174,3
4,437,3
4,95,3
4,571,3
4,332,3
4,327,3
4,64,5
4,501,5
4,299,3
4,727,5
4,431,3
4,609,5
4,124,5
4,28,3
4,241,3
4,363,5
4,332,3
4,199,5
4,713,5
4,611,5
4,238,5
4,306,3
4,510,5
4,160,3
4,472,5
4,572,3
4,132,5
4,510,5
4,36,3
4,533,5
4,472,5
4,344,5
4,125,5
4,676,3
4,466,3
4,124,5
4,137,3
4,198,0
4,124,5
4,533,3
4,71,5
4,249,3
4,353,0
4,308,5
4,680,5
4,580,5
4,680,3
4,550,3
4,98,5
4,634,3
4,406,5
4,756,5
4,224,5
4,510,5
4,137,3
4,756,3
4,626,5
4,243,5
4,621,3
4,132,5
4,589,3
4,638,5
4,442,5
4,488,3
5,108,0
6,124,5
7,341,5
7,24,5
7,306,5
7,315,5
7,315,5
8,125,5
8,619,0
9,626,5
10,315,5
10,119,5
10,395,3
11,46,3
11,461,3
11,495,3
11,228,0
11,486,3
11,114,3
11,752,3
11,184,3
11,690,3
11,35,3
11,664,3
11,486,5
11,497,3
11,245,5
11,315,3
11,114,3
11,461,5
11,713,5
11,624,3
11,101,3
11,657,3
11,564,3
11,451,5
11,611,5
11,439,5
11,543,3
11,421,3
11,169,5
11,713,5
11,16,3
11,655,3
11,228,3
11,497,3
11,501,3
11,399,3
11,262,3
11,237,3
11,598,3
11,230,3
11,469,0
11,362,3
11,22,3
11,366,3
11,438,3
11,182,5
11,182,3
11,491,3
11,398,3
11,184,3
11,184,3
11,184,5
11,753,3
11,652,3
11,80,3
11,264,3
11,71,5
11,735,0
11,89,3
11,626,5
11,626,3
11,576,3
11,65,3
11,58,3
11,82,5
11,1,3
11,385,0
11,322,0
11,518,0
11,81,3
11,65,5
11,11,5
11,65,3
11,593,3
11,95,0
11,18,0
11,254,3
11,95,0
11,95,5
11,704,3
11,505,5
11,505,3
11,553,3
11,382,5
11,65,3
11,65,3
11,729,3
12,253,3
12,701,5
12,292,3
12,124,5
12,491,5
12,108,5
12,598,3
12,446,0
12,36,3
12,187,3
12,491,5
12,463,3
12,22,5
12,325,5
12,487,5
12,208,3
12,264,3
12,71,3
12,366,5
12,333,3
12,533,3
12,333,5
12,207,5
12,510,5
12,87,0
12,720,3
12,609,3
12,87,5
12,753,3
12,687,3
12,528,3
12,650,3
12,316,0
12,441,0
12,147,3
12,239,0
12,182,3
12,245,5
12,661,3
12,181,3
12,338,3
12,1,5
13,212,0
14,645,5
14,243,5
15,491,5
15,375,3
15,574,5
15,368,3
15,181,0
15,766,5
15,769,0
15,388,5
15,250,0
16,175,0
16,510,3
16,504,3
16,745,3
16,229,0
16,174,0
16,737,0
16,655,5
17,270,3
17,181,5
18,82,5
19,522,5
19,253,5
19,533,3
19,593,3
19,166,3
19,523,3
19,71,3
19,331,5
20,129,0
21,475,3
22,220,3
22,518,3
22,331,5
23,314,3
23,175,5
23,89,3
23,609,3
23,316,3
23,124,5
23,472,0
23,25,0
24,689,5
25,676,0
25,108,5
26,559,5
27,595,3
28,68,3
29,469,3
30,264,5
30,315,5
30,185,5
30,676,5
31,54,5
32,533,5
32,108,3
33,611,5
33,228,3
33,339,3
34,421,5
35,733,5
36,57,5
36,626,5
37,0,5
38,667,3
39,375,5
40,362,5
41,315,3
41,573,3
41,704,3
41,685,5
41,363,5
42,533,5
43,630,5
43,108,5
43,510,5
43,106,5
43,463,5
44,1,5
45,243,0
46,270,3
46,322,0
46,316,5
46,245,5
46,729,5
46,71,3
46,572,3
46,619,3
47,108,3
48,299,3
48,603,0
49,557,0
50,276,5
50,609,5
50,341,5
50,65,5
50,525,0
50,598,5
50,271,3
51,309,0
51,82,3
51,533,5
51,500,3
51,323,5
51,18,5
51,315,3
51,439,5
51,469,3
52,630,5
52,451,0
53,228,5
54,264,0
55,611,3
55,164,5
55,154,3
55,366,3
56,659,3
57,463,5
58,306,5
58,288,3
58,619,5
58,504,3
59,364,0
60,472,5
60,295,5
61,315,5
61,663,5
61,704,5
61,685,5
61,593,5
61,629,5
61,316,5
62,186,3
62,501,5
62,213,5
62,315,5
62,167,5
62,609,5
62,770,5
62,254,3
62,126,5
62,271,3
62,533,5
63,297,5
64,129,3
65,382,0
66,222,3
66,381,5
67,270,3
67,315,3
68,237,5
68,11,5
69,325,3
69,309,5
70,611,0
71,452,3
71,181,5
71,510,5
71,320,5
71,641,5
71,701,3
71,108,5
71,17,5
71,443,5
71,108,5
71,6,5
71,314,3
71,292,5
71,99,5
71,619,5
71,253,0
71,253,5
71,139,5
71,245,5
71,78,3
71,573,5
71,306,3
71,533,5
71,315,5
71,269,3
71,211,5
71,315,0
71,438,3
71,124,5
71,592,5
71,208,5
71,533,5
71,108,5
71,404,5
71,557,3
71,184,5
71,184,5
71,611,5
71,104,3
71,36,5
71,109,5
71,655,5
71,619,5
71,99,3
71,754,3
71,124,5
71,245,5
71,24,3
71,382,3
71,736,5
71,421,5
71,593,5
71,629,5
71,316,5
71,291,5
71,71,3
71,609,3
72,22,5
72,22,3
72,65,5
73,533,5
73,124,5
74,22,3
74,218,0
74,332,0
75,412,0
75,305,0
76,389,3
76,320,5
76,439,5
77,501,5
78,315,5
79,382,3
80,22,5
81,265,5
82,611,5
83,515,0
83,662,5
83,264,5
83,330,5
