,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,김북순큰남비집,서울특별시 강남구 압구정로2길 15 신사아이빌 1F,한정식 / 백반 / 정통 한식,만원 미만,25,4.0,37.5206993,127.019975
2,두부공작소,서울특별시 강남구 강남대로160길 21,한정식 / 백반 / 정통 한식,만원 미만,16,3.8,37.5197664,127.020477
3,딸부자네불백,서울특별시 강남구 강남대로158길 21,고기 요리,만원 미만,15,3.8,37.5192314,127.0205123
4,빌라드스파이시,서울특별시 강남구 도산대로13길 14-3,기타 한식,만원 미만,38,3.6,37.5190268,127.0235489
5,목포집,서울특별시 강남구 강남대로152길 13,닭 / 오리 요리,만원 미만,11,3.6,37.5173418,127.0204895
6,스쿨푸드,서울특별시 강남구 도산대로 139,기타 한식,만원 미만,11,3.5,37.5182127,127.0237111
7,송옥,서울특별시 강남구 강남대로154길 43 2F,국수 / 면 요리,만원 미만,11,3.1,37.5186252,127.0223845
8,시골밥상,서울특별시 강남구 논현로175길 68,한정식 / 백반 / 정통 한식,만원 미만,9,,37.5240393,127.0234316
9,만복국수집,서울특별시 강남구 압구정로2길 60 1F,국수 / 면 요리,만원 미만,2,,37.5179117,127.0213044
10,삼백집,서울특별시 강남구 도산대로17길 6,탕 / 찌개 / 전골,만원 미만,5,,37.5191088,127.0250739
11,밀떡팩토리,서울특별시 강남구 도산대로11길 21,기타 한식,만원 미만,4,,37.5188018,127.0221559
12,소공동뚝배기집,서울특별시 강남구 도산대로25길 47,기타 한식,만원 미만,3,,37.5225061,127.0256598
13,딸부자네불백,서울특별시 강남구 압구정로10길 37,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5211054,127.0222243
14,한분식,서울특별시 강남구 도산대로13길 14-4 102호,기타 한식,만원 미만,1,,37.5188361,127.0235899
15,원두막,서울특별시 강남구 강남대로152길 67,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5189645,127.0245102
16,탄야,서울특별시 강남구 강남대로152길 42,고기 요리,만원 미만,1,,37.5179623,127.0227427
17,원조옛날순대전문점,서울특별시 강남구 압구정로2길 49,탕 / 찌개 / 전골,만원 미만,1,,37.5186441,127.0211863
18,우리식당,서울특별시 강남구 논현로175길 101,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5226481,127.021152
19,강승월한식당,서울특별시 강남구 논현로175길 61 2F,한정식 / 백반 / 정통 한식,만원 미만,2,,37.52411379999999,127.0240596
20,함흥당,서울특별시 강남구 도산대로27길 36 1F,국수 / 면 요리,만원 미만,2,,37.5221765,127.0276473
21,산골,서울특별시 강남구 강남대로158길 13,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5190306,127.0199844
22,김밥천국,서울특별시 강남구 압구정로2길 58,기타 한식,만원 미만,1,,37.5181323,127.0211839
23,우리김밥,서울특별시 강남구 압구정로18길 14,기타 한식,만원 미만,1,,37.5239142,127.0245396
24,창화당,서울특별시 강남구 도산대로1길 16,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5176409,127.0200523
25,복자네,서울특별시 강남구 도산대로1길 62,탕 / 찌개 / 전골,만원 미만,2,,37.5207424,127.0194099
26,전주맛자랑,서울특별시 강남구 논현로151길 26,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5198828,127.0260571
27,담소소사골순대육개장,서울특별시 강남구 압구정로2길 46,탕 / 찌개 / 전골,만원 미만,1,,37.518739,127.0206714
28,오토김밥,서울특별시 강남구 압구정로 108  110호,기타 한식,만원 미만,1,,37.5228498,127.0205872
29,고래감자탕,서울특별시 강남구 압구정로2길 46 17-18호,한정식 / 백반 / 정통 한식,만원 미만,2,,37.518739,127.0206714
30,장원식당,서울특별시 강남구 강남대로152길 67,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5189645,127.0245102
31,돈불리제담,서울특별시 강남구 압구정로2길 46 강남상가 1F,고기 요리,만원-2만원,16,4.5,37.518739,127.0206714
32,목포집,서울특별시 강남구 강남대로152길 24,탕 / 찌개 / 전골,만원-2만원,114,4.2,37.5174493,127.0213987
33,신사모소리,서울특별시 강남구 도산대로1길 24,고기 요리,만원-2만원,17,4.1,37.5182242,127.0199825
34,샤블리,서울특별시 강남구 강남대로152길 35 2F,탕 / 찌개 / 전골,만원-2만원,15,3.9,37.5180487,127.0221861
