,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,새들러하우스,서울특별시 강남구 도산대로17길 10 B1,카페 / 디저트,만원 미만,104,4.4,37.5193417,127.024908
2,테일러커피,서울특별시 강남구 강남대로160길 31 1F,카페 / 디저트,만원 미만,10,4.3,37.5201201,127.0211953
3,컨플릭트 스토어,서울특별시 강남구 논현로159길 46-5,카페 / 디저트,만원 미만,5,4.3,37.5223137,127.0243003
4,마일스톤커피,서울특별시 강남구 논현로159길 49,카페 / 디저트,만원 미만,69,4.2,37.5218057,127.0243227
5,우유니아이스크림,서울특별시 강남구 압구정로8길 5 1F,카페 / 디저트,만원 미만,146,4.1,37.5229876,127.0213388
6,마카롱쿠튀르,서울특별시 강남구 논현로175길 109,카페 / 디저트,만원 미만,28,4.1,37.5222786,127.0205958
7,카카오빈,서울특별시 강남구 도산대로17길 43 1F,카페 / 디저트,만원 미만,19,4.1,37.5212328,127.02357
8,청수당갤러리,서울특별시 강남구 도산대로15길 32-4 1F,카페 / 디저트,만원 미만,40,4.0,37.5205992,127.0238803
9,노이에아트멍,서울특별시 강남구 도산대로23길 19,카페 / 디저트,만원 미만,23,4.0,37.5202186,127.0259147
10,이치서울,서울특별시 강남구 강남대로158길 21 2F,카페 / 디저트,만원 미만,21,4.0,37.5192314,127.0205123
11,이웃집통통이,서울특별시 강남구 논현로157길 29 101호,카페 / 디저트,만원 미만,7,4.0,37.5218987,127.0258634
12,레이브릭스,서울특별시 강남구 논현로153길 46,카페 / 디저트,만원 미만,79,3.9,37.5204794,127.024426
13,샌드커피논탄토,서울특별시 강남구 도산대로17길 35,카페 / 디저트,만원 미만,45,3.9,37.5208649,127.0238723
14,그레이 그리스트밀,서울특별시 강남구 압구정로2길 15,카페 / 디저트,만원 미만,29,3.9,37.5206993,127.019975
15,당옥,서울특별시 강남구 강남대로162길 22,카페 / 디저트,만원 미만,22,3.9,37.520066,127.0204278
16,나따오비까,서울특별시 강남구 압구정로2길 37 1F,카페 / 디저트,만원 미만,37,3.9,37.519349,127.0206691
17,웻커피,서울특별시 강남구 강남대로162길 18 1F,카페 / 디저트,만원 미만,21,3.9,37.519888,127.0200399
18,벤스쿠키,서울특별시 강남구 도산대로11길 33 1F,카페 / 디저트,만원 미만,22,3.9,37.5196015,127.0222168
19,랜디스도넛,서울특별시 강남구 도산대로15길 16,카페 / 디저트,만원 미만,17,3.9,37.5193161,127.0239954
20,빵어니스타,서울특별시 강남구 도산대로25길 43 1F,카페 / 디저트,만원 미만,13,3.9,37.5222902,127.0258154
21,오버더카운터,서울특별시 강남구 도산대로15길 9,카페 / 디저트,만원 미만,8,3.9,37.5188412,127.0237697
22,올데이사운드바,서울특별시 강남구 도산대로11길 34 1F,카페 / 디저트,만원 미만,4,3.9,37.51969589999999,127.0225244
23,카페그라쎄,서울특별시 강남구 도산대로17길 19,카페 / 디저트,만원 미만,21,3.8,37.5198285,127.0243914
24,이코복스커피,서울특별시 강남구 압구정로10길 37,카페 / 디저트,만원 미만,28,3.8,37.5211054,127.0222243
25,윌비,서울특별시 강남구 강남대로158길 26 M스페이스빌딩 1F 101호,카페 / 디저트,만원 미만,10,3.8,37.5191456,127.0209116
26,immute,서울특별시 강남구 논현로157길 36 1F,카페 / 디저트,만원 미만,10,3.8,37.5219502,127.0251161
27,듀자미,서울특별시 강남구 도산대로11길 28,카페 / 디저트,만원 미만,88,3.7,37.5193063,127.0225815
28,더앨리,서울특별시 강남구 압구정로12길 16,카페 / 디저트,만원 미만,73,3.7,37.5228819,127.0224036
29,하이 헤이 헬로우,서울특별시 강남구 도산대로15길 18,카페 / 디저트,만원 미만,27,3.7,37.5194529,127.0239687
30,식물학,서울특별시 강남구 강남대로154길 33 1F,카페 / 디저트,만원 미만,31,3.6,37.5183829,127.0216263
31,마망갸또,서울특별시 강남구 압구정로10길 30-12 마먕가또하우스,카페 / 디저트,만원 미만,41,3.6,37.5222286,127.0215263
32,아트씨,서울특별시 강남구 압구정로12길 34-5,카페 / 디저트,만원 미만,20,3.6,37.5214242,127.0223106
33,마치마치,서울특별시 강남구 도산대로11길 25,카페 / 디저트,만원 미만,11,3.6,37.5191057,127.0222979
34,C27,서울특별시 강남구 도산대로15길 39,카페 / 디저트,만원 미만,15,3.5,37.5206956,127.0232308
35,겟썸커피,서울특별시 강남구 논현로159길 46-6,카페 / 디저트,만원 미만,36,3.5,37.5223952,127.0244497
36,고디바,서울특별시 강남구 압구정로12길 45,카페 / 디저트,만원 미만,29,3.5,37.5209767,127.0230054
37,아러바우트,서울특별시 강남구 도산대로15길 36,카페 / 디저트,만원 미만,11,3.5,37.5206407,127.0235618
38,바오밥나무커피,서울특별시 강남구 도산대로17길 10 2F,카페 / 디저트,만원 미만,8,3.5,37.5193417,127.024908
39,아우어베이커리,서울특별시 강남구 강남대로162길 39,카페 / 디저트,만원 미만,31,3.4,37.5209207,127.0214676
40,카페뮬라,서울특별시 강남구 압구정로4길 13-12,카페 / 디저트,만원 미만,27,3.4,37.521923,127.0212939
41,카페키츠네,서울특별시 강남구 도산대로13길 23,카페 / 디저트,만원 미만,29,3.4,37.5196129,127.0227279
42,르사이트,서울특별시 강남구 도산대로11길 22,카페 / 디저트,만원 미만,14,3.4,37.5188383,127.0226543
43,빈스빈스,서울특별시 강남구 압구정로12길 50 태명빌딩 2F,카페 / 디저트,만원 미만,9,3.4,37.5206467,127.0227563
44,비비드,서울특별시 강남구 도산대로17길 44 104호,카페 / 디저트,만원 미만,6,3.4,37.5214242,127.0238401
45,콘센트커피바,서울특별시 강남구 압구정로2길 53,카페 / 디저트,만원 미만,11,3.3,37.5184597,127.0213278
46,도레도레,서울특별시 강남구 도산대로15길 40,카페 / 디저트,만원 미만,60,3.2,37.5208603,127.0234187
47,소진담,서울특별시 강남구 논현로161길 51,카페 / 디저트,만원 미만,26,3.2,37.5224355,127.0242036
