,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,원조할아버지손두부,서울특별시 광진구 자양로 324,한정식 / 백반 / 정통 한식,만원 미만,72,4.5
1,이화만두,서울특별시 광진구 능동로 278-1,한정식 / 백반 / 정통 한식,만원 미만,6,4.3
2,서북면옥,서울특별시 광진구 자양로 199-1,국수 / 면 요리,만원 미만,40,4.2
3,궤도에오르다,서울특별시 광진구 광나루로 416 건희빌딩 1F,기타 한식,만원 미만,40,4.0
4,콩이네,서울특별시 광진구 긴고랑로9길 28 중곡제일시장 103호,기타 한식,만원 미만,13,4.0
5,건대우동집,서울특별시 광진구 아차산로 201 동성빌딩 1F,기타 한식,만원 미만,9,4.0
6,은혜떡볶이,서울특별시 광진구 광나루로 384 2F,기타 한식,만원 미만,33,3.9
7,순금이떡볶이,서울특별시 광진구 자양로43길 43,기타 한식,만원 미만,29,3.9
8,또래끼리,서울특별시 광진구 군자로 103,한정식 / 백반 / 정통 한식,만원 미만,10,3.9
9,골목에골목,서울특별시 광진구 아차산로33길 51-4 2F,기타 한식,만원 미만,48,3.8
10,돕감자탕전문점,서울특별시 광진구 아차산로31길 9,탕 / 찌개 / 전골,만원 미만,46,3.8
11,능동국시,서울특별시 광진구 능동로35길 23,국수 / 면 요리,만원 미만,5,3.8
12,신토불이떡볶이,서울특별시 광진구 자양로43길 42,기타 한식,만원 미만,65,3.7
13,산골닭갈비,서울특별시 광진구 구의강변로7길 5,닭 / 오리 요리,만원 미만,22,3.7
14,어멍네고기국수,서울특별시 광진구 능동로13길 77,국수 / 면 요리,만원 미만,12,3.7
15,조씨네고기국수,서울특별시 광진구 군자로3길 23,국수 / 면 요리,만원 미만,37,3.6
16,아찌떡볶이,서울특별시 광진구 아차산로29길 53,기타 한식,만원 미만,24,3.6
17,사대분식,서울특별시 광진구 능동로 197,기타 한식,만원 미만,10,3.6
18,아차산손두부,서울특별시 광진구 영화사로 68,한정식 / 백반 / 정통 한식,만원 미만,5,3.5
19,송림식당,서울특별시 광진구 자양번영로 79 송림주차타워,한정식 / 백반 / 정통 한식,만원 미만,27,3.4
20,고흥순대국머리고기,서울특별시 광진구 아차산로34길 16,탕 / 찌개 / 전골,만원 미만,20,3.4
21,함흥본가면옥,서울특별시 광진구 광나루로 456,국수 / 면 요리,만원 미만,12,3.3
22,남원골추어탕,서울특별시 광진구 아차산로 413-5,탕 / 찌개 / 전골,만원 미만,2,
23,유일설렁탕,서울특별시 광진구 용마산로 154,탕 / 찌개 / 전골,만원 미만,4,
24,망향비빔국수,서울특별시 광진구 천호대로 694,국수 / 면 요리,만원 미만,8,
25,민속손국시,서울특별시 광진구 아차산로 458,국수 / 면 요리,만원 미만,10,
26,콩불,서울특별시 광진구 능동로 135-2,고기 요리,만원 미만,5,
27,겨울나그네,서울특별시 광진구 군자로 8-4,기타 한식,만원 미만,6,
28,스위트앤카츠,서울특별시 광진구 광나루로17길 14,기타 한식,만원 미만,4,
29,신선설농탕,서울특별시 광진구 천호대로 813,탕 / 찌개 / 전골,만원 미만,4,
30,속초가,서울특별시 광진구 용마산로1길 65 1F,해산물 요리,만원 미만,4,
31,할머니순대국,서울특별시 광진구 아차산로 293 선진빌딩,탕 / 찌개 / 전골,만원 미만,8,
32,올래상회,서울특별시 광진구 능동로38길 28,국수 / 면 요리,만원 미만,4,
33,광나루순대,서울특별시 광진구 아차산로 624 새시대약국,탕 / 찌개 / 전골,만원 미만,4,
34,콩예원,서울특별시 광진구 아차산로78길 75,한정식 / 백반 / 정통 한식,만원 미만,3,
35,꼼수없는착한만두,서울특별시 광진구 아차산로 626,기타 한식,만원 미만,3,
36,정면,서울특별시 광진구 능동로13길 88 1F,국수 / 면 요리,만원 미만,7,
37,신전떡볶이,서울특별시 광진구 능동로13길 100,기타 한식,만원 미만,1,
38,쉬즈베이글,서울특별시 광진구 아차산로 290 1F 2호,기타 한식,만원 미만,1,
39,옛집,서울특별시 광진구 아차산로76가길 18,탕 / 찌개 / 전골,만원 미만,10,
40,24시 강변나주곰탕,서울특별시 광진구 구의강변로 90,탕 / 찌개 / 전골,만원 미만,3,
41,뉴욕떡볶이,서울특별시 광진구 군자로 105-2,기타 한식,만원 미만,4,
42,꼽사리떡볶이,서울특별시 광진구 아차산로29길 71,기타 한식,만원 미만,2,
43,스쿨푸드,서울특별시 광진구 아차산로 272 스타시티 3F,기타 한식,만원 미만,1,
44,더스파이시,서울특별시 광진구 동일로22길 95,기타 한식,만원 미만,1,
45,김부삼,서울특별시 광진구 아차산로33길 40-1,고기 요리,만원 미만,3,
46,성수완당,서울특별시 광진구 동일로20길 32,기타 한식,만원 미만,5,
47,대원칼국수,서울특별시 광진구 자양로18길 56 거송빌딩,국수 / 면 요리,만원 미만,4,
48,마약떡볶이,서울특별시 광진구 능동로 141 1F,기타 한식,만원 미만,4,
49,참나무로바베큐,서울특별시 광진구 긴고랑로 51,닭 / 오리 요리,만원 미만,2,
50,도토리음식전문점,서울특별시 광진구 천호대로143길 7,한정식 / 백반 / 정통 한식,만원 미만,2,
51,듬뿍칼국수,서울특별시 광진구 아차산로 463,국수 / 면 요리,만원 미만,1,
52,최옥남국수집,서울특별시 광진구 광나루로12길 19 1F,국수 / 면 요리,만원 미만,1,
53,평화김해뒷고기,서울특별시 광진구 아차산로31길 9-1 1F,고기 요리,만원 미만,2,
54,우리쌀우리김밥,서울특별시 광진구 아차산로36길 39 자양7차우성아파트,기타 한식,만원 미만,3,
55,삼백집,서울특별시 광진구 아차산로 350,탕 / 찌개 / 전골,만원 미만,2,
56,우동연가,서울특별시 광진구 능동로19길 27,국수 / 면 요리,만원 미만,5,
57,신전떡볶이,서울특별시 광진구 용마산로 118,기타 한식,만원 미만,1,
58,용범이네인계동껍데기,서울특별시 광진구 아차산로29길 12,고기 요리,만원 미만,3,
59,알촌,서울특별시 광진구 능동로16길 48,한정식 / 백반 / 정통 한식,만원 미만,7,
60,청년다방,서울특별시 광진구 구의강변로 88-1,기타 한식,만원 미만,6,
61,수돈재,서울특별시 광진구 군자로 76,탕 / 찌개 / 전골,만원 미만,3,
62,샘터골,서울특별시 광진구 능동로16길 55,닭 / 오리 요리,만원 미만,4,
63,김가네김밥,서울특별시 광진구 능동로 95,기타 한식,만원 미만,2,
64,임면옥,서울특별시 광진구 능동로 338,국수 / 면 요리,만원 미만,3,
65,소사면옥,서울특별시 광진구 능동로 270,국수 / 면 요리,만원 미만,2,
66,테일러김밥,서울특별시 광진구 능동로47길 30,기타 한식,만원 미만,2,
67,위락밥집,서울특별시 광진구 능동로16길 50,한정식 / 백반 / 정통 한식,만원 미만,1,
68,찡떡,서울특별시 광진구 군자로 43,기타 한식,만원 미만,4,
69,우리식당,서울특별시 광진구 광나루로26길 16,한정식 / 백반 / 정통 한식,만원 미만,1,
70,우성식당,서울특별시 광진구 자양번영로 60-1 1F,한정식 / 백반 / 정통 한식,만원 미만,4,
71,제일곱창,서울특별시 광진구 아차산로29길 57,고기 요리,만원 미만,1,
72,철새식당,서울특별시 광진구 뚝섬로23길 44,한정식 / 백반 / 정통 한식,만원 미만,1,
73,크레파스분식,서울특별시 광진구 자양로28길 22,기타 한식,만원 미만,3,
74,담소사골순대,서울특별시 광진구 천호대로 799,탕 / 찌개 / 전골,만원 미만,4,
75,밀숲,서울특별시 광진구 아차산로34길 5-5,국수 / 면 요리,만원 미만,2,
76,낙곱집,서울특별시 광진구 자양로5길 13,탕 / 찌개 / 전골,만원 미만,6,
77,킹콩부대찌개,서울특별시 광진구 아차산로 563,탕 / 찌개 / 전골,만원 미만,3,
78,모두랑,서울특별시 광진구 자양로28길 24,기타 한식,만원 미만,3,
79,뽀빠이기사식당,서울특별시 광진구 긴고랑로 17-1,기타 한식,만원 미만,3,
80,사계절김밥,서울특별시 광진구 긴고랑로 115,기타 한식,만원 미만,1,
81,송만두,서울특별시 광진구 광장로5길 6,한정식 / 백반 / 정통 한식,만원 미만,1,
82,먹거리집,서울특별시 광진구 자양로18길 95,탕 / 찌개 / 전골,만원 미만,1,
83,춘천골,서울특별시 광진구 광나루로 377,닭 / 오리 요리,만원 미만,3,
84,메밀의정석,서울특별시 광진구 능동로4길 27,국수 / 면 요리,만원 미만,4,
