group,count
group_40,507
group_0,35
group_1,39
group_2,44
group_3,97
group_4,3
group_5,61
group_6,5
group_7,56
group_8,1
group_9,39
group_10,1
group_11,11
group_12,53
group_13,68
group_14,1
group_15,5
group_16,36
group_17,39
group_18,10
group_19,2
group_20,19
group_21,16
group_22,5
group_23,4
group_24,3
group_25,2
group_26,14
group_27,3
group_28,16
group_29,25
group_30,54
group_31,30
group_32,27
group_33,1
group_34,20
group_35,3
group_36,10
group_37,16
group_38,6
group_39,1
group_41,2
group_42,24
group_43,56
group_44,1
group_45,1
group_46,223
group_47,14
group_48,38
group_49,43
group_50,1
group_51,100
group_52,1
group_53,21
group_54,1
group_55,73
group_56,7
group_57,181
group_58,5
group_59,2
group_60,64
group_61,1
group_62,1
group_63,1
group_64,7
group_65,50
group_66,10
group_67,24
group_68,1
group_69,19
group_70,32
group_71,1
group_72,4
group_73,34
group_74,2
group_75,1
group_76,33
group_77,1
group_78,1
group_79,4
group_80,7
group_81,16
group_82,110
group_83,86
group_84,1
group_85,44
group_86,1
group_87,25
group_88,50
group_89,23
group_90,3
group_91,10
group_92,11
group_93,1
group_94,40
group_95,1
group_96,25
group_97,5
group_98,35
group_99,66
group_100,2
group_101,1
group_102,12
group_103,51
group_104,30
group_105,24
group_106,1
group_107,2
group_108,1
group_109,15
group_110,23
group_111,19
group_112,1
group_113,12
group_114,3
group_115,1
group_116,11
group_117,11
group_118,2
group_119,1
