u_id,p_id,rating
0,15,3
1,63,3
1,63,3
1,57,5
1,63,3
1,57,0
1,57,3
1,57,3
2,119,3
3,149,5
4,7,0
5,41,5
6,2,5
7,63,5
7,57,3
7,63,3
8,54,5
9,96,5
9,146,5
10,63,5
11,56,5
12,145,3
13,36,5
14,57,3
15,63,3
15,46,3
15,37,5
15,37,5
15,66,5
15,61,5
16,126,5
17,111,5
18,119,5
19,27,5
20,144,3
20,15,5
20,115,3
21,20,5
21,21,5
22,19,5
22,79,5
23,57,5
24,21,3
24,29,5
24,143,5
24,22,0
24,22,3
24,146,5
25,57,5
25,57,5
26,63,3
27,63,5
27,122,5
28,3,5
29,63,5
30,27,0
31,20,5
32,2,3
33,5,5
34,19,0
34,21,3
35,66,5
36,36,5
37,96,5
38,19,0
39,19,5
40,74,5
40,66,5
41,27,0
41,19,5
41,15,5
41,21,5
41,22,5
41,133,3
42,7,5
43,71,0
44,19,5
44,63,5
44,19,5
45,19,5
46,19,5
46,96,5
47,48,5
48,80,5
48,101,3
48,12,5
48,15,5
49,2,5
50,63,0
51,71,5
52,63,3
52,15,5
53,132,5
53,114,5
54,91,5
55,27,5
56,18,5
56,39,5
56,120,5
57,18,5
58,48,5
59,19,5
59,57,5
60,19,3
60,15,5
60,39,5
60,2,3
60,44,3
61,106,3
62,57,0
63,7,5
64,97,3
65,2,3
66,120,5
67,45,5
67,15,5
68,19,5
69,99,5
69,69,5
70,63,3
71,7,5
71,19,5
72,28,5
73,11,0
74,132,3
75,120,5
76,11,5
77,14,5
78,63,3
78,48,3
78,54,3
78,63,3
78,63,3
78,63,0
78,132,5
78,63,5
78,114,3
78,63,5
78,63,3
78,7,3
78,15,3
78,63,5
78,18,3
78,20,5
78,63,3
78,63,3
78,97,0
79,63,3
80,21,5
81,19,5
82,51,5
83,63,5
83,63,5
84,149,3
85,19,5
86,42,5
87,63,3
88,36,3
89,145,5
90,97,3
91,63,3
92,63,0
93,101,3
93,97,3
94,57,3
94,57,3
94,63,3
95,149,5
96,120,5
97,57,3
98,39,5
99,19,5
100,21,5
100,25,3
100,120,3
100,20,5
100,145,0
101,27,3
101,27,3
102,44,0
102,14,0
103,10,0
103,48,5
103,95,3
104,7,5
104,95,5
104,15,5
104,50,5
104,71,5
105,19,0
106,19,0
106,7,5
106,120,3
106,106,3
106,16,0
106,35,0
107,114,5
108,1,3
109,19,5
109,19,0
110,19,5
111,63,5
111,63,5
112,27,3
113,15,5
114,125,3
115,40,5
116,97,3
117,78,3
117,15,3
118,44,0
119,120,5
120,44,5
121,19,5
122,63,0
122,31,5
122,63,0
122,96,0
122,11,5
122,63,3
122,53,5
122,120,5
122,63,3
122,39,3
122,63,3
122,63,0
122,11,5
122,62,5
123,15,5
123,97,3
124,18,5
125,21,5
126,7,5
127,121,3
128,19,5
129,19,5
130,57,3
131,117,5
132,19,5
133,19,5
134,149,5
135,83,5
136,20,5
137,101,5
138,3,5
138,2,5
138,62,3
138,76,3
139,114,5
140,19,3
141,19,5
142,42,5
142,46,0
143,136,5
144,120,5
145,79,5
146,122,3
147,122,0
148,132,3
148,63,3
148,132,3
148,57,5
148,63,3
148,63,3
148,63,5
148,63,5
148,132,3
148,132,5
148,63,3
148,63,3
148,132,3
148,19,3
148,57,3
148,63,3
148,63,3
149,41,5
150,67,5
151,106,0
152,86,5
152,52,5
152,147,5
153,38,3
154,95,5
155,7,5
156,107,5
157,27,3
158,15,5
158,45,5
159,15,5
160,94,5
160,33,5
161,27,0
162,114,3
163,91,5
164,19,5
165,45,3
165,19,3
165,32,3
165,56,5
165,131,5
166,39,5
167,15,5
167,120,5
167,36,3
167,90,5
167,144,5
167,36,5
168,139,3
169,120,5
169,17,5
170,21,3
170,115,3
170,96,5
170,64,5
170,141,5
171,66,5
171,42,5
172,15,5
173,19,5
174,43,5
175,106,0
176,1,3
177,74,5
177,49,5
178,61,5
178,19,3
179,15,3
180,19,5
181,27,3
182,114,3
183,39,5
183,45,3
183,35,3
183,39,5
183,63,3
184,81,5
185,44,0
186,114,0
187,120,5
188,63,5
189,97,3
190,150,5
191,27,5
192,63,3
192,63,3
193,120,3
194,27,3
194,97,5
195,63,5
196,27,5
197,19,5
198,7,5
199,27,5
200,145,5
200,63,5
201,32,3
201,45,5
201,68,3
201,148,5
202,57,5
203,1,5
204,19,5
205,63,5
205,114,3
205,21,5
206,21,5
207,28,5
208,121,5
209,112,5
210,55,5
211,15,5
212,143,0
213,101,5
214,63,3
214,63,3
214,63,3
215,7,3
216,7,5
217,66,5
218,140,3
219,19,0
219,63,5
220,57,5
221,2,3
222,68,5
223,56,5
223,56,5
223,39,5
224,114,5
225,39,5
225,19,5
226,20,5
227,15,5
228,77,5
229,10,5
230,20,3
231,74,0
231,139,5
232,39,5
233,21,5
234,63,3
235,142,5
236,114,3
237,70,5
238,27,5
239,124,3
240,57,5
241,19,5
242,139,5
242,46,3
242,146,3
242,146,5
242,21,5
242,98,3
242,19,5
242,71,3
242,109,3
242,5,5
242,91,3
242,39,3
243,63,5
244,39,5
245,2,0
246,21,5
247,18,3
247,114,5
