group,count
group_64,786
group_0,45
group_1,80
group_2,13
group_3,32
group_4,33
group_5,17
group_6,36
group_7,78
group_8,1
group_9,4
group_10,1
group_11,24
group_12,94
group_13,43
group_14,16
group_15,34
group_16,4
group_17,20
group_18,28
group_19,32
group_20,55
group_21,297
group_22,28
group_23,17
group_24,8
group_25,25
group_26,6
group_27,2
group_28,37
group_29,17
group_30,74
group_31,14
group_32,141
group_33,21
group_34,86
group_35,26
group_36,57
group_37,26
group_38,36
group_39,78
group_40,3
group_41,4
group_42,139
group_43,34
group_44,78
group_45,39
group_46,39
group_47,2
group_48,4
group_49,9
group_50,39
group_51,46
group_52,511
group_53,26
group_54,23
group_55,27
group_56,11
group_57,16
group_58,41
group_59,20
group_60,3
group_61,34
group_62,17
group_63,29
group_65,39
group_66,37
group_67,30
group_68,38
group_69,36
group_70,54
group_71,13
group_72,33
group_73,71
group_74,38
group_75,55
group_76,15
group_77,50
group_78,52
group_79,2
group_80,222
group_81,35
group_82,44
group_83,5
group_84,67
group_85,39
group_86,57
group_87,270
group_88,30
group_89,143
group_90,2
group_91,11
group_92,30
group_93,3
group_94,68
group_95,24
group_96,29
group_97,1
group_98,52
group_99,54
group_100,20
group_101,104
group_102,4
group_103,27
group_104,1
group_105,60
group_106,2
group_107,1
group_108,161
group_109,22
group_110,3
group_111,1
group_112,71
group_113,204
group_114,51
group_115,33
group_116,4
group_117,47
group_118,33
group_119,21
