u_id,p_id,rating
0,498,0
0,332,5
0,139,0
0,254,0
0,199,3
0,284,3
0,139,0
0,368,3
0,235,3
0,278,5
0,278,5
0,452,3
0,168,5
0,440,3
0,227,5
0,578,3
0,138,3
0,194,0
0,244,3
0,499,5
0,334,3
0,586,5
0,101,3
0,140,0
0,611,3
0,393,0
0,63,3
0,368,5
1,469,0
1,416,5
1,191,3
1,416,5
2,520,3
3,400,5
3,127,5
4,470,3
5,564,3
5,654,3
5,246,3
5,557,3
5,284,5
5,191,3
5,10,3
5,541,3
5,140,3
5,541,0
5,376,3
5,420,5
5,602,5
5,400,3
5,376,3
5,400,5
5,60,0
5,510,3
5,460,0
5,387,3
5,182,0
5,61,0
6,40,5
6,602,5
6,404,0
6,353,0
7,526,0
7,596,3
7,437,3
7,576,0
7,378,5
7,124,3
8,276,5
9,359,0
10,235,5
11,489,5
12,119,0
12,96,5
12,242,3
13,564,3
13,564,5
14,55,5
15,654,3
15,654,3
15,602,5
16,500,5
17,568,5
18,400,5
18,549,3
18,267,3
18,55,3
18,155,0
18,256,0
18,549,3
18,155,0
18,63,3
18,349,0
18,448,3
19,276,5
19,279,3
20,159,3
20,555,3
20,129,5
21,443,0
22,279,3
23,191,5
24,580,5
24,580,5
25,48,3
25,602,5
26,637,5
27,138,5
27,672,5
27,289,3
28,562,5
28,334,5
29,322,0
29,322,0
30,397,0
31,279,5
31,118,3
31,658,0
31,399,5
31,101,3
31,310,5
31,170,0
31,368,3
31,189,5
31,279,5
31,279,5
31,147,3
31,238,0
31,658,5
31,452,5
32,497,3
32,189,5
32,465,0
32,101,3
32,552,0
32,34,5
32,399,3
33,400,5
34,400,5
34,146,5
34,626,5
35,99,5
36,171,5
37,457,5
38,309,5
39,89,3
39,462,0
39,658,3
39,89,3
39,368,3
39,662,5
39,378,3
39,257,5
39,86,5
39,276,5
39,324,5
39,368,3
39,198,3
40,626,0
41,637,0
42,452,0
42,624,5
42,634,5
42,279,3
42,279,3
42,127,5
42,375,5
42,526,3
42,284,5
42,284,5
42,201,5
43,440,3
44,89,5
44,89,5
44,249,5
44,616,3
45,70,5
45,586,5
46,527,3
46,540,3
46,626,5
46,280,3
46,229,5
47,131,5
47,478,5
47,245,5
47,45,3
47,69,0
48,279,5
49,357,5
49,323,5
49,637,5
49,334,5
49,357,5
50,488,0
51,602,5
51,194,5
52,86,5
53,468,0
54,318,3
54,11,3
54,11,3
55,121,3
56,368,3
57,182,3
58,283,5
59,60,5
60,359,5
61,121,5
62,358,5
62,235,3
63,279,5
64,626,5
64,279,5
64,40,5
64,306,5
65,580,5
65,632,0
66,334,0
66,304,3
67,602,3
67,611,3
67,337,5
67,322,3
67,279,3
67,353,3
67,322,3
68,275,5
69,147,5
70,235,5
71,3,5
72,159,0
72,324,5
73,394,3
74,400,5
75,462,0
76,159,0
77,26,5
77,154,5
77,160,5
77,349,5
77,359,3
77,26,5
77,656,3
77,309,5
77,323,5
77,448,5
77,234,3
77,160,5
77,322,5
77,562,5
77,586,3
77,331,5
77,322,5
77,570,5
77,355,5
78,173,3
79,504,5
80,159,0
81,169,3
82,235,5
82,348,5
83,619,3
83,331,5
84,646,0
85,289,0
86,400,0
87,51,3
88,309,5
89,279,5
90,654,5
91,334,5
91,608,5
91,88,5
91,14,5
91,88,5
91,595,5
92,147,3
92,59,0
92,452,3
93,279,3
93,279,3
94,275,3
94,315,5
94,332,3
94,462,5
94,667,5
94,51,3
94,271,3
94,646,3
94,391,5
94,101,3
94,640,3
94,237,3
94,540,3
94,194,3
94,260,3
94,536,3
94,602,5
94,387,3
94,626,3
95,310,5
96,276,5
97,271,3
97,289,5
97,602,5
97,199,5
97,410,5
97,197,5
97,359,5
97,199,0
97,191,5
98,287,3
98,633,3
98,586,5
98,138,3
99,599,5
100,619,3
101,400,0
102,276,5
103,415,5
104,400,0
104,37,3
104,402,5
104,83,3
105,294,3
105,194,5
105,400,5
105,400,5
105,101,3
105,171,5
105,191,5
105,237,3
106,614,5
106,279,5
106,626,5
106,324,5
106,376,5
106,626,5
106,489,5
107,376,3
108,440,5
109,646,0
109,322,5
109,624,0
109,322,5
110,168,5
110,287,5
110,550,5
110,500,5
111,208,5
111,440,3
111,208,5
112,566,3
112,10,0
112,440,5
112,147,3
112,620,0
112,658,0
112,237,3
112,602,5
112,586,3
113,536,5
114,86,5
114,255,5
115,619,5
116,538,0
117,619,5
117,279,5
117,430,5
117,210,5
117,279,5
117,191,5
117,619,5
117,309,5
117,279,5
118,43,5
119,279,5
120,536,5
121,55,3
122,260,5
122,586,5
122,420,3
123,115,5
123,97,3
124,566,0
125,301,5
126,145,3
127,120,5
127,608,5
127,466,5
128,70,5
128,400,5
129,281,3
129,623,3
129,509,5
129,63,5
129,658,5
130,199,0
131,242,0
131,86,5
131,497,3
131,294,3
132,191,3
132,306,5
133,279,5
134,171,5
135,279,5
135,104,5
135,440,5
136,400,5
136,469,3
137,191,5
138,86,5
138,104,3
139,654,5
140,359,3
140,359,5
140,469,3
140,400,5
140,626,5
140,337,3
140,55,5
141,602,5
142,292,3
142,309,5
142,79,3
142,79,3
143,420,0
144,129,5
144,171,5
144,171,5
144,171,5
144,138,5
144,171,5
145,359,0
146,237,3
146,654,3
146,371,3
146,399,3
146,455,5
146,246,0
146,376,5
146,645,3
147,331,3
148,309,5
149,526,0
149,658,3
149,191,3
149,191,0
150,246,5
150,40,3
150,246,5
151,207,3
151,602,5
151,337,5
151,546,5
152,72,5
152,45,5
152,208,5
152,70,3
152,246,3
152,208,5
152,654,5
152,654,5
152,563,3
152,443,5
152,80,5
153,359,3
153,364,5
154,654,5
155,415,5
156,203,3
157,171,5
158,60,3
159,331,3
159,626,3
159,654,3
159,37,0
160,37,5
160,86,5
161,191,3
162,260,5
163,191,5
163,199,5
163,279,3
163,96,3
163,626,5
163,191,5
163,7,0
163,400,3
163,191,3
163,626,5
163,626,5
163,602,5
163,637,5
163,626,5
164,229,0
165,359,0
166,454,3
166,309,5
166,454,3
166,563,5
166,654,3
166,387,5
166,654,3
166,329,5
166,562,5
166,416,5
166,359,0
166,448,3
166,416,5
167,645,0
167,433,3
167,276,3
167,348,0
167,247,3
168,633,5
168,400,5
168,619,3
168,224,3
169,208,5
169,440,5
169,208,5
170,416,0
170,416,0
171,294,3
172,191,0
172,400,5
172,369,5
172,276,5
173,410,5
174,645,0
175,26,5
175,26,5
176,229,5
177,613,5
177,404,3
177,191,5
177,637,0
177,646,0
177,584,5
177,275,3
177,39,5
178,580,3
179,359,3
179,194,5
180,386,5
181,400,5
182,279,3
183,387,3
184,101,3
185,63,5
185,89,5
185,208,0
185,334,5
185,208,0
185,89,5
186,489,5
186,371,5
187,101,0
187,279,5
187,191,5
187,509,5
188,602,5
189,448,5
189,171,5
190,284,5
190,199,5
190,337,5
190,619,5
191,115,5
191,159,3
191,60,3
191,476,0
191,619,3
191,83,0
191,118,5
191,199,5
191,309,3
191,580,3
192,400,5
192,199,5
192,440,5
192,279,3
192,70,5
193,63,5
193,443,3
