,가게이름,리뷰아이디,리뷰,맛평가
1,맛이차이나,김성우,"상수 [맛이차이나]<전국구 팔보채와 아쉬운 그 친구들..>⠀다시 방문한 상수의 [맛이차이나]. 간단히 설명하자면, 신라호텔 중식당 [팔선]에서 경력을 쌓으신 젊은 셰프님의 업장으로 합리적인 가격대에 호텔 수준의 중식요리를 만나볼 수 있는 식당이다. [진진]과 더불어 상수, 합정일대에서 손 꼽는 중식당이라고 생각하는데 [진진]은 화상 중식에 가깝다면 [맛이차이나]는 좀 더 일반적인 한국식 중국음식에 가깝다고 할 수 있다.⠀이번에는 토요일 저녁에 방문했는데 내부가 손님으로 거의 꽉 차있었다. 지난번 리뷰를 쓰며, ‘팔보채’와 ‘공부탕면’에 대한 호평을 많이 봤기 때문에, 그 두 메뉴와 ‘게살 볶음밥’을 함께 주문했다. 먼저 나온 ‘팔보채’는 양은 많지 않지만 알찬 구성이었다. 전복, 해삼, 새우, 문어 등 그 외에도 다양한 버섯, 채소들이 들어간다. 신선한 해산물들을 적당한 정도로 익혀내서 부드러운 식감이 정말 좋았고, 간이 전체적으로 삼삼해서 부담스럽지 않게 계속 먹을 수 있었다. 저번에 짬뽕 먹었을 때도 느낀건데 [맛이차이나]는 해산물을 정말 잘쓰는 집인듯하다. 다음으로 나온 ‘게살 볶음밥’과 ‘공부탕면’은 사실 아쉬움이 가득하다. 일단 두 메뉴 모두 간이 너무 약했다. 담백하다고 표현하기에는 무리가 있을 정도로 심심한 느낌이 들었다.⠀이 날 갑자기 몰린 손님들 때문인지 가게가 전체적으로 조금 산만한 느낌이었는데, 그런 상황이 맛에 어느 정도 영향을 주지 않았을까. 홀에 있는 종업원들이 모두 어린 대학생 정도로 보였는데 거친 응대 또한 조금은 아쉽게 느껴졌다.",괜찮다
2,원조할아버지손두부,달려요달려,예전 초당할머니 순두부는 살짝 변해서여길 못따라옴흰순두부는 맛과 향이 살짝 비릴수 있는데 이집은 전혀 그런거 없이 고소하다.,맛있다
3,원조할아버지손두부,ultraus,"아차산 등산 후 내려오는 길에 필수코스처럼 되어버린 두부집. 늘 대기가 조금씩 있는데 회전이 워낙 빨라 십분 이상 대기한 적이 별로 없는 것 같다. 포장도 가능해서 줄이 길면 그냥 포장해도 된다(포장시 두부에서 물이 빠져 좀 단단해지는 감은 있다) 모두부, 순두부, 콩국수가 있다. 콩국수는 걸쭉한 콩국물이 찐이고 순두부와 모두부 모두 갓 만든 듯한 고소함과 탱글한 질감을 보여준다. 곁들여 나오는 젓갈이 또 별미다. 막걸리 한잔 안할 수가 없는 곳.",맛있다
4,원조할아버지손두부,세상의 모든 음식을 정복하겠어,"<다른메뉴 없고 손두부만 파는 집>이 집의 매력포인트 중 하나는 막걸리가 정말 싸다는 것이다. 모든 막걸리 2,500원두부는 부드럽고 탱글탱글 존맛탱반찬도 없고 찐 두부만 합리적인 가격에 내놓는다",맛있다
5,원조할아버지손두부,조선의장희빈,"등산 후 맛보는 기가막힌 #원조할아버지손두부- 직접 만든 유기농 100% 손두부- 저렴한 가격 고퀄리티 맛 ❤️- 웨이팅 있음, 자리순환 빠름 오랜만에 아차산을 등산했어요! 서울 시내 풍경을 눈에 담고 하산 후 그 유명한 할아버지 두부집으로 왔습니다 ! 모두부 /6,000따뜻한 한모가 잘려서 나옵니다. 같이 나오는 새우젓갈과 고추는 두부와 먹기 아주 맛있어요. 젓갈은 비린 향 없이 고추가루양념으로 되어 있는데 호불호 없이 무난하게 사람들이 좋아 할 수 있는 사이드 같아요. 저는 순두부, 모두부 중에 씹는 맛이 느껴지는 모두부를 더 맛있게 먹은거 같아요. 순두부도 맛있었는데 많이 먹지는 못했어요순두부 /4,0001인분 양으로 나오는데 양이 많습니다. 요거트 같아요. 한 입 떠먹어보면 타 순두부와는 다른게 느껴져요. 두유의 그 진하고 깊은 맛도 느껴집니다. 간장에도 먹거나 그냥 술 안주 같이 먹기 딱이예요.  개인적으로 지평막걸리를 좋아하는데 요구르트 처럼 톡 쏘면서 달짝지근한게 두부랑도 조화가 좋았습니다.  콩국수도 주문하고 싶었는데 2인이 먹기에 양이 많아서 다음 기회를 노려보려구요.",맛있다
6,원조할아버지손두부,미콩,드디어 먹어본 아차산 순두부!! 같이 가 준 친구들이 이미 전에도 맛본 경험이 있어서 나는 룰루랄라 등산 후 따라 들어오기만 해도 됐어서 너무 편하고 고마웠당ㅎㅎㅎ 두부는 정말 깔끔하고 순수한 맛이었는데 그냥 모두부가 이렇게 맛있을 일인가 싶었다 ㅎㅎ 순두부도 넘 고소하고 ㅠㅠ 막걸리랑 두부가 이렇게 잘 어울리는 줄 알았더라면... 왜때문인지는 모르겠는데 모두부는 백설기 먹고 있는 듯한 느낌도 들었당 두부 먹으러 또 등산 올 의사 완전 100퍼센트 있음!!,맛있다
7,원조할아버지손두부,선수저후촬영,처음에는 그냥 두부이고 엄청 고소하진 않다고 생각했는데 먹을 수록 맛있고 돌아서니 생각나는 순두부였네요. 곁들여 주시는 멸치젓갈이 짜고 살짝 달달한데 독특하고 좋았습니다. 모두부는 너무 단단하지 않고 부드럽게 먹었습니다.,맛있다
8,원조할아버지손두부,라물장,"또 왔어요 할아버지~♤ 모두부 (6,000₩, 포장 4,000₩)♤ 순두부 (4,000₩)♤ 공기밥 (1,000₩)♤ 막걸리 (2,500₩)♤ 새우젓 포장 (1,000₩)이거 먹으려고 또 아차산 올라갔다 왔다. 겨울이라서 그런지 콩국수는 메뉴에 없었고, 3명이서 모두부×1, 순두부×2, 밥 한 공기 시켰다.모두부랑 순두부는 어김없이 맛있었고, 저번에 못 먹은 공기밥을 시켰는데 이것도 히트다. 천 원짜리 밥 주제에 무채까지 딸려 나오는데, 순두부 반쯤 남기고 밥이랑 무채 비벼먹으면 너무나 맛있다. 막걸리는 알밤막걸리랑 아차산막걸리를 마셨는데, 아차산막걸리 이게 생각보다 굉장히 맛있다. 아차산 왔으면 아차산막걸리 마셔 줘야지. 아무튼 강추한다.콩비지는 공짜로 가져갈 수 있다.추천도: ★★★★☆#다시먹어봄",맛있다
9,원조할아버지손두부,Jㅐ,"아차산역에 위치한 ""원조할아버지손두부"". 보통은 아차산 등산 후에 시원~하게 막걸리 한 잔 곁들이는 맛집인 것 같으나.. 전 여기 넘 가고싶어서 그냥 택시타고 다녀왔어요ㅋㅋ 등산 여부와 관계없이 강추!! : D'순두부', '모두부'. 두부 종류가 두 개길래 하나씩ㅋㅋ 와이프님은 순두부가 더 맛있다고 했고, 나도 동의!! 순두부는 공기밥 하나 시켜가지구 스윽스윽 비벼 먹으면 짱맛이에요ㅋㅋ 여기는 특이하게 간장이 아니라 젓갈을 주시는데 이게 진짜 두부랑 엄청 잘 어울려요!! 따로 파시기도 하는 것 같은데 사오고 싶을 정도ㅋㅋ 모두부는 약간 단단해서 아삭한 김치에 싸서 먹고 막걸리 한 잔 캬~ 먹으면 딱이다!! 뜻밖에도 막걸리 종류가 상당히 많이 구비되어있어요ㅋㅋ 아침 10시에 아침 먹으러 간 거였는데도 마침! 아차산 막걸리가 있길래 한잔씩 마셨는데 두부랑 넘 잘어울리네요!!분위기도 두부에 밥 한 끼 먹기 괜찮은 분위기!! 아침에 갔는데도 사람이 많아서 놀랐다!! 계속 두부 만드는 기계 소리가 윙윙 거리기는 하는데 또 이게 여기만의 낭만 아닐까 싶네요ㅋㅋ 여기는 다음에 아차산 등산할 때 꼭 또 올 것!!",맛있다
10,원조할아버지손두부,돼지냥,기대하고 갔으나 막걸리 잔 에 립스틱 자국이 하나도 안지워진 상태로 그대로 묻어있어서 바꿨는데 (물로도 헹구지 않은 상태인것 같았음) 또 고춧가루 묻은 잔을 줬음 그 후 두부는 비위상해서 못먹음,별로
