,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,뚝방길 홍차가게,서울특별시 광진구 자양강변길 277,카페 / 디저트,만원 미만,30,4.5,37.5299463,127.0738435
2,스미다,서울특별시 광진구 천호대로109길 18 1F,카페 / 디저트,만원 미만,5,4.2,37.5575166,127.0812452
3,Daughter,서울특별시 광진구 아차산로31길 40,카페 / 디저트,만원 미만,11,4.2,37.5426446,127.0701649
4,최가커피회관,서울특별시 광진구 능동로13길 30 B1,카페 / 디저트,만원 미만,7,4.2,37.5433597,127.0705804
5,Index,서울특별시 광진구 아차산로 200 3F,카페 / 디저트,만원 미만,34,4.1,37.5408693,127.0660137
6,FEFE,서울특별시 광진구 뚝섬로 628 3F,카페 / 디저트,만원 미만,7,4.0,37.5319544,127.0792235
7,꼬메노,서울특별시 광진구 군자로7길 29,카페 / 디저트,만원 미만,44,3.9,37.5455626,127.0690728
8,모서리에커피집,서울특별시 광진구 능동로17길 5,카페 / 디저트,만원 미만,24,3.9,37.5460009,127.0730146
9,칼레오커피로스터스,서울특별시 광진구 아차산로 291 1F,카페 / 디저트,만원 미만,37,3.9,37.5387079,127.0754381
10,띵똥와플,서울특별시 광진구 능동로13길 10,카페 / 디저트,만원 미만,23,3.9,37.5425901,127.0713651
11,보라젤라또,서울특별시 광진구 동일로24길 59 1F,카페 / 디저트,만원 미만,10,3.9,37.5431154,127.0683892
12,고망고,서울특별시 광진구 아차산로30길 8 1F,카페 / 디저트,만원 미만,6,3.9,37.540361,127.0675997
13,열매제과점,서울특별시 광진구 동일로24길 31,카페 / 디저트,만원 미만,6,3.9,37.5435969,127.0669427
14,체리커피,서울특별시 광진구 능동로 284,카페 / 디저트,만원 미만,23,3.8,37.5551802,127.0787035
15,카페래디언트,서울특별시 광진구 능동로38길 41,카페 / 디저트,만원 미만,12,3.8,37.5570187,127.0821069
16,벨롱에스프레소,서울특별시 광진구 능동로17길 34 1F,카페 / 디저트,만원 미만,17,3.7,37.5463936,127.0720304
