,가게이름,리뷰아이디,리뷰,맛평가
1,스타벅스,양양,"먹은 거: 오늘의커피(3,800원) 조각케익친절함.매장 청결함.공부하는 사람과 대화하는 사람이 혼재된 분위기.노트북 가능 자리는 대략 30~40석 정도. 보통 자리는 대략 20 테이블 정도?평일에는 점심 시간에 많이 붐비고, 퇴근 시간 이후로 꽤 찬다. 나머지 시간은 널널.주말에는 오후 3,4시 쯤 되면 가득 차는 편.",괜찮다
2,카페샛길,달리자크롱,"건대에서 조용히 얘기하면서 좋은 시간 보낼 수 있는 카페, 샛길자주 가도 리뷰 한번 쓴 곳은 다시 안올리게 되는 것 같다. 귀찮고 새로운 내용도 딱히 없기 때문에 풍부하게 글쓰기가 어렵기 때문이다.근데 이곳은 디저트가 넘나 맛있고! 사장님도 짱 친절해서 장사가 더 잘 됐으면 좋겠다는 바람으로 또 올리고 싶어졌다:) 처음으로 두번 쓰는 리뷰다!여긴 빈티지 소품들이 많아 갬성 돋는다. 샛길에 있어서 사람들이 잘 모르는지 사람이 별로 없고 조용해서 더 좋다. 노래도, 분위기도 얘기하기 좋다.사실 티라미수 케이크 먹으려고 갔는데 찾는 사람이 없어 이젠 안나온다고 한다 ㅠ_ㅠ 내가 먹어 본 티라미수 중에 제일 맛있었는데 너무 아쉽다..• 바스크치즈케이크 5500원 그래도 이번에 시킨 케이크 역시 만족스러웠다. 여긴 디저트 맛집이다! 치즈가 느끼하지도 않고 부드러웠다. 개인적으로 치즈케이크를 많이 좋아해서 맛있게 먹었다. 빵은 폭신하고 크림치즈가 들어있는 중간은 부드럽고 따뜻했다.• 바닐라 라떼 5천원, 헤이즐넛 라떼 5천원 우유가 고소하고 부드러웠다. 무난하게 먹기 좋은 커피였다. 요즘 아메리카노만 먹다가 단 음료 먹으니깐 더 맛있게 느껴졌다 ㅋ_ㅋ카페 분위기가 좋아 또 찾아갈거다. 재방문예정 :-)",맛있다
3,투썸플레이스,muk_so.o,여러번 먹고 쓰는 리뷰 43스트로베리 요거 프라페/ 딸기 프라페에 요거트가 들어가고 음료 위에 바닐라 아이스크림이 올라가는 메뉴.바닐라 아이스크림은 웬만한 젤라또 뺨치게 쫀득하다. 아이스크림이 제일 맛있었다.딸기 프라페는 희미하게 해열제맛... 요즘 딸기 음료에서 왜이렇게 해열제맛이 나는 것인지 의문이다. 음료는 별로였고 위에 올라간 아이스크림만 먹을만 했다. 주객전도.바베큐 치킨 파니니/ 햄치즈 파니니인가 맛있다고 했는데 없다고 해서 바베큐로 골랐다.결론부터 말하자면 파니니.. 햄치즈 아니면 안 먹을랭... 빵은 퍼석하고 질겼다. 바베큐는 참치 같음.... 맛은 바베큐인데 식감과 질감이 참치...다신 안 먹을듯.허니레몬티/ 파니니 먹을 때 느끼할까봐 주문했다. 아주 상콤상콤하다. 적당히 달달한 레몬티. 이건 마실만 했다.밀크티쉐이크/ 투썸 밀크티 쉐이크는 국룰.밀크티보다 밀크티쉐이크가 더 맛있다.적당히 진한 밀크티 쉐이크와 아이스크림의 조화는 말해 무엇할까. 추운 겨울에도 밀크티 쉐이크는 포기할 수 없다.애플민트 아이스티/ 뭔가 달콤하고 상콤한게 먹고 싶었는데 이 메뉴가 달콤새콤하다기에 주문했다.음.. 나쁘지 않다만 애플 시럽이 너무 많이 들어가서 극강의 새콤이다. 젤리도 달다. 먹다가 민트티만 마시게 된다.,괜찮다
4,투썸플레이스,뒤빈,시간이 잠깐 떠서 + 이대 근처에 투썸이 없었는데 생겼길래 가봤어요. 신규 매장이라 깨끗하고 공간도 넓어요. 노트북 할 수 있는 자리도 있어서 대학가 앞에 딱 잘 생긴 것 같더라고요!음료는 투썸에서 좋아하는 뱅쇼로 주문했습니다. 따땃하고 진해서 맛있게 잘 마셨어요. 프랜차이즈 매장이라 뱅쇼의 경우 다른 지점이랑 큰 차이는 없었던 것 같아요. 이대역 바로 앞에 있어 접근성이 굳이에요.,괜찮다
5,카페구들,심아호,"아주 만족스러웠습니다!가게는 작은데 사장님두 넘넘 친절하시고 분위기도 따숩고 좋았어요~아메리카노는 3500, 구들 커피, 오구오구커피, 황달커핀가...는 5500원이었습니다!구들 커피는 시그니처로 커피 위에 아인슈패너처럼 크림이 올라간 거였는데 너무 쫀득하고 맛있었습니다.크림은 묵직하면서도 입에 묻는 쫀득한 크림이고 그 위에 헤이즐넛인가? 고소하면서 달콤한 가루가 뿌려져 있어서 씁씁한 커피랑 먹으면 조합이 참 좋았어요~인테리어도 인상적이었는데 미술 작품? 약간 갤러리가 많아서 더 좋은 느낌을 받았습니다. 동네 맛집??느낌이었어요~",맛있다
6,투썸플레이스,muk_so.o,딸기레어치즈케이크/ 투썸에 가면 항상 음료만 먹거나 아주 가끔 당근케이크랑 초코케이크 먹는 정도였는데 오늘은 안 먹어본게 끌려서 먹어보았다.나 왜 오늘 이거 처음 먹지ㅜㅜㅠ 너무 맛있다. 레어치즈보다는 요거트에 가까운 맛이지만 위에 크럼블이 단짠단짠이고 산딸기칩 같은거 톡톡 씹혀서 상콤하다. 케이크시트도 부드러워서 맘에 쏙 드네.여기 매장은 손님이 항상 많고 시끄러운게 단점!,맛있다
7,투썸플레이스,muk_so.o,"초코밀크쉐이크/ 요즘 투썸가서 꽂힌 초코밀크 쉐이크다. 한동안 밀크티 쉐이크에 꽂혔다가 우연히 초코쉐이크를 먹은 이후 저녁에 투썸가면 이것만 마신다. 이 지점은 초코가 좀 약해서 아쉬웠다,,,티라미수: 크림치즈층이 맛있다. 가루는 먹을 때 목에 걸릴 수 있으니까 조심!사람이 복작복작하다.",괜찮다
8,180커피로스터스,옥탑방고양이 ,맛있어요,맛있다
9,카페시벳,홍초,건대입구역 바로 옆에 있는데도 눈에 잘 안띄고 간판도 촌스러워서(?) 손님이 많이 없다.지하에 위치해 있는데 그만큼 조용하고 분위기가 좋다. 음료 종류도 다양하고 가격도 합리적! 개인적으로 차종류를 추천한다.조용한곳에서 소소하게 데이트를 하고 싶다면 추천하는곳!,맛있다
10,빽다방,Ray,"초코바나나 빽스치노에 샷 추가 해서 마셨어요. 예상되는 그 맛인데, 생각보다 많은 초코칩이 알알이 씹히는 건 좋았어요. 깔끔한 맛을 원한다면 초코바나나보다는 그냥 초코가 더 좋을 것 같아요.아침 7시부터 열어서 이용하기 편했어요.",괜찮다
