,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,쪼매매운떡볶이,서울특별시 노원구 공릉로 208,기타 한식,만원 미만,47,4.0,37.628258,127.0777683
2,무명칼국수,서울특별시 노원구 석계로7길 4,국수 / 면 요리,만원 미만,25,4.0,37.6166696,127.0638906
3,털보고된이,서울특별시 노원구 노해로81길 22-22,한정식 / 백반 / 정통 한식,만원 미만,28,3.9,37.6558713,127.0637387
4,돈까스먹는용만이,서울특별시 노원구 한글비석로20길 52,기타 한식,만원 미만,14,3.8,37.6612172,127.0745963
5,제일콩집,서울특별시 노원구 동일로174길 37-8,한정식 / 백반 / 정통 한식,만원 미만,30,3.8,37.6194809,127.0776354
6,가재골수제비,서울특별시 노원구 동일로242길 100,국수 / 면 요리,만원 미만,11,3.6,37.6743943,127.0606312
7,공릉우동집,서울특별시 노원구 동일로192길 42,기타 한식,만원 미만,16,3.6,37.6264176,127.0754006
8,피노키오냉면,서울특별시 노원구 한글비석로 474 보람상가,국수 / 면 요리,만원 미만,13,3.5,37.6647842,127.0654255
9,홍대개미,서울특별시 노원구 동일로 1414 롯데백화점 노원점 B1F,퓨전 한식,만원 미만,10,3.0,37.6552207,127.0612826
10,제형면옥,서울특별시 노원구 공릉로65길 16,국수 / 면 요리,만원 미만,13,,37.6353337,127.0700546
11,엄마손칼국수,서울특별시 노원구 상계로39길 5,국수 / 면 요리,만원 미만,7,,37.6710563,127.0802156
12,신가네칼국수,서울특별시 노원구 공릉로59나길 78-14,국수 / 면 요리,만원 미만,6,,37.6356584,127.0702137
13,숲속왕돈까스,서울특별시 노원구 공릉로51길 4,기타 한식,만원 미만,2,,37.6288962,127.0766422
14,두끼,서울특별시 노원구 상계로3길 15 현우빌딩 2F,기타 한식,만원 미만,1,,37.6568337,127.0621535
15,제주몸냥,서울특별시 노원구 동일로241길 36,국수 / 면 요리,만원 미만,3,,37.6777023,127.0544689
16,이오냉면,서울특별시 노원구 상계로1길 38-11 1F,국수 / 면 요리,만원 미만,4,,37.6579356,127.0620399
17,며느리도몰라,서울특별시 노원구 노해로 517-9,기타 한식,만원 미만,5,,37.6558974,127.0657692
18,소라,서울특별시 노원구 화랑로55길 7 공릉아파트상가,기타 한식,만원 미만,3,,37.6224187,127.0815689
19,멍텅구리즉석떡볶이,서울특별시 노원구 공릉로51길 14-2,기타 한식,만원 미만,7,,37.628831,127.0763745
20,아이엠돈까스,서울특별시 노원구 동일로198길 64,기타 한식,만원 미만,6,,37.629455,127.0750605
21,유부김밥,서울특별시 노원구 한글비석로 396,기타 한식,만원 미만,2,,37.6612726,127.0726949
22,메밀마당,서울특별시 노원구 동일로217가길 39 대성빌딩 102호,국수 / 면 요리,만원 미만,2,,37.6530259,127.058193
23,대가가마솥순대국,서울특별시 노원구 상계로 98 광복빌딩,탕 / 찌개 / 전골,만원 미만,2,,37.6566161,127.0658532
24,신전떡볶이,서울특별시 노원구 상계로 89,기타 한식,만원 미만,7,,37.6567774,127.0648323
25,소문난멸치국수,서울특별시 노원구 동일로173가길 81,국수 / 면 요리,만원 미만,6,,37.6218439,127.0724044
26,봉평산골메밀촌,서울특별시 노원구 공릉로 191-6,국수 / 면 요리,만원 미만,5,,37.6268383,127.0786117
27,시골순대,서울특별시 노원구 한글비석로20길 57,탕 / 찌개 / 전골,만원 미만,3,,37.6615843,127.0747504
28,전민규의황제누룽지탕,서울특별시 노원구 노해로77길 14-8,한정식 / 백반 / 정통 한식,만원 미만,3,,37.6546907,127.0596237
29,풍미연,서울특별시 노원구 노해로85길 7,탕 / 찌개 / 전골,만원 미만,3,,37.655641,127.0648035
30,소문난기사식당,서울특별시 노원구 동일로192길 30,한정식 / 백반 / 정통 한식,만원 미만,5,,37.6260595,127.0750086
31,로스2000,서울특별시 노원구 광운로 41,고기 요리,만원 미만,2,,37.6211699,127.0589802
32,돈까스클럽,서울특별시 노원구 노원로 247,기타 한식,만원 미만,3,,37.6394137,127.0734006
33,최대섭대박김밥,서울특별시 노원구 한글비석로 415,기타 한식,만원 미만,4,,37.661402,127.0704809
34,다미국수,서울특별시 노원구 상계로 75 노원빌딩,국수 / 면 요리,만원 미만,2,,37.6565199,127.0632658
35,절구시래기,서울특별시 노원구 동일로242길 123,탕 / 찌개 / 전골,만원 미만,1,,37.6748356,127.0615132
36,다이천 떡볶이,서울특별시 노원구 석계로 106,기타 한식,만원 미만,3,,37.6230986,127.060398
37,신고집찜칼국수,서울특별시 노원구 노원로15길 51-30,국수 / 면 요리,만원 미만,4,,37.6394183,127.0700841
38,옛날칼국수,서울특별시 노원구 동일로 1417,국수 / 면 요리,만원 미만,2,,37.6549923,127.0599384
39,나승준함흥냉면,서울특별시 노원구 상계로 97 104호,국수 / 면 요리,만원 미만,2,,37.6570226,127.0656429
40,차가네무번지,서울특별시 노원구 석계로8길 6,탕 / 찌개 / 전골,만원 미만,3,,37.6166009,127.0645473
41,수락이오냉면,서울특별시 노원구 동일로237다길 7,국수 / 면 요리,만원 미만,1,,37.6738747,127.0525666
42,봉평메밀막국수,서울특별시 노원구 한글비석로20길 61,국수 / 면 요리,만원 미만,1,,37.6617034,127.0748884
43,마뇨떡볶이,서울특별시 노원구 상계로 55 위성프라자 2F,기타 한식,만원 미만,2,,37.6560102,127.0611427
