,가게이름,리뷰아이디,리뷰,맛평가
1,아비꼬,kkonoo,토핑 관련해서는 아비꼬가 지점차가 좀 있는 듯.. 좋은 지점이라고 할 수는 없고 그냥 보통 지점.,괜찮다
2,아비꼬,노가리구운김,아비꼬가 아비꼬지 뭐... 맛있당. 이빨 누래지는 맛,맛있다
3,아비꼬,Lee,개인적으로 굉장히 좋아하는곳. 카레에서 깊은맛이 나고 고로케도 맛있다! 무한리필이 되는 마늘후레이크와 상에 있는 짠지(?)를 곁들여 먹으면 꿀맛!,맛있다
4,고씨네,Ray,"카츠카레 시켜먹었는데 돈까스가 밥이랑 층으로 분리되어 와서 여는 순간 마음에 들었습니다ㅋㅋ 이런 섬세함 좋아요!그리고 돈까스를 들어올려 밥을 보니 엄청 많더라고요. 카레를 다 부어야 되나 덜어먹어야 되나 싶을 정도였는데 정답은 덜어먹는 것이었습니다.... 토핑만 추가로 시킬 수 있다면 두 번 먹을 수 있는 어마어마한 양이었거든요. 근데 카레를 부어버리면 밥이 다시 먹을 수 없는 상태가 돼서ㅠㅠ다만 카레 자체는 아주아주 무난한 체인점 카레 맛이었어요. 돈까스는 섬세함 덕에 제법 바삭하니 괜찮았고요. 맛집은 아니지만, 직장인의 점심처럼 가끔씩 근처에서 한끼 먹는 식당으로는 괜찮은 것 같아요. #아무리뷰",괜찮다
5,고씨네,JW,갑자기 일본카레가 땡겨서 먹었는데 괜찮았다ㅋㅋ  일본카레인데 사실 코리안스타일이라 개운해서 굿!,맛있다
6,고씨네,E.T Jun ,외대앞역에 있는 일본식 카레 전문점입니다. 맵기를 조절할 수 있는데 1정도가 즐겁게 매운맛을 즐길수 있는 정도의 맵기인것 같습니다. 돈까스카레우동은 괜찮은 수준에 돈까스가 곁들여져 나왔고 버섯 카레우동은 두세가지 종류의 버섯이 들어가서 식감이 좋았습니다.  고씨네 스페셜카레에는 새우튀김 하나와 닭튀김 2개 그리고 돈까스가 곁들여져 나오는데 튀김들의 조리 정도와 맛들이 괜찮았습니다. 그리고 아무래도 면사리가 들어가지 않으니까 카레우동보다 카레가 좀더 깔끔하고 매운맛을 내는 것 같았습니다. 전반적으로 애니메이션 원피스를 테마로 한 인테리어가 깔끔했고 젊은 직원 두분이 친절하게 응대해주셔서 기분이 좋았습니다. 가성비가 약간 떨어지긴 하지만 매운 카레가 먹고싶을때 또 방문할것 같습니다.,괜찮다
7,고씨네,AlexTheFood,"170216.맛 ★★★분위기 ★★★☆ 가성비 ★★★ 재방문 의사 있음 주문한 메뉴 (2명 방문) 고씨네 스페셜 카레 2개- 8500*2 =17000원 총 17000원오랜만에 친구를 외대앞역에서 만났다.경희대를 갈 일이 있었는데,회기역보다 외대앞역에 내려외대를 지나가는 것이 더 빨랐으므로...어쨌든, 점심으로 뭘 먹을까 고민하다가그냥 일본 카레가 보이길래 바로 들어갔다.'일본 카레 전문점 고씨네 카레'이렇게 적혀있고,간판도 꽤 깔끔해보여서 그냥 들어간 건데,들어서는 순간 내 눈을 잡아끄는 것이 있었다.원피스라니!포스터와 피규어까지 있다니!조로 포스터가 너무 멋있어보여서몇 번을 계속 쳐다봤다.어쨌든 내 기준으로굉장히 잘 꾸며놨다는 생각이 계속 들어여기 저기 막 찍어댔다.인테리어도 잘해놓아서 꽤 넓어보였고대학가 식당치고는 내부도 꽤나 깔끔했다.가격은 거의 6천원에서 만 원 미만 정도로대학가치고 싼 가격은 아니었지만,주위 일본 카레를 파는 곳들에 비하면싸다 생각해 부담없이 스페셜 카레를 시켰다.돈까스, 새우튀김, 감자 고로케,닭 튀김(가라아게)까지 구성이 좋았다.맛도 괜찮았고.처음 나왔을 때는 왠지 적어보였지만다 먹고나니 배가 많이 불렀다.나랑 같이 먹은 애는 남겼다.물론 남자치고 입이 짧은 애긴 했지만.어쨌든 이 근처가 대학가이기 때문에가성비가 좋다 말할 수는 없지만,원피스와 일본 카레가 좋다면충분히 가 볼 만한 집인 것 같다.사실 '와, 완전 맛있다!' 정도는 아니지만타 일본 카레 체인점과 크게 다른 점이 없다.그런 것들을 감안하면가성비는 괜찮다고 말할 수 있지만,역시 대학가 물가를 또 생각하면싼 가격은 아니기 때문에 이런 면에서는가성비가 좋다고도 말할 수 없다.하지만 난 외대나 경희대 근처에서일본 카레가 땡기면 다시 여기로 올 것 같으니그 정도의 추천 정도는 해 줄 수 있다.그러니 외대생인데 일본 카레가 땡긴다면?경희대생인데 오늘 일본 카레가 먹고 싶다면?아니면 근처에서 친구와 약속이 있는데친구가 일본 카레를 좋아하는 사람이라면?한 번 가 보자.멀리서 굳이 와서 먹을 필요는 없지만,근처에 일본 카레 괜찮은 곳도 별로 없다.아, 원피스를 좋아하면분위기에 별 반 개 정도 더 줄 수 있으니분위기 ★★★★라고 생각하고 가도 좋다.",괜찮다
8,고씨네,띵시,매운카레 전문점이지만 생각보다 맵지 않은.... 돈까스카레만 판매하지만 특별히 맛있는 돈까스가 아닌.... 매우 노멀한 식당이에요. 카레가 생각날 때 한번쯤 또 갈수도 있음!,괜찮다
9,봉대박스파게티,수지,아무리 가격이 싸다해도 이건 아님.. 진짜 너무 맛없는거 아닌가요 봉골레스파게티랑 .. 이름도 기억 안나는 필라프? 진짜.. 이가격에 맛있는곳들도 있는데.. 여긴 진짜 아님 같이 데려간 남친도 맛없다고 하고.. 무안해 죽는줄,별로
10,라화쿵부,비밥,마라샹궈 맛집체인점이고 파란 간판때문에 안가다가 한번 가봤는데너무 맛있어서 감탄함,맛있다
