,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,당혹,서울특별시 노원구 동일로217가길 17 104호,카페 / 디저트,만원 미만,11,4.3,37.6532759,127.059373
2,달콤한순간,서울특별시 노원구 공릉로27길 10,카페 / 디저트,만원 미만,14,4.0,37.6214197,127.0784146
3,던모스,서울특별시 노원구 공릉로27길 8 1F,카페 / 디저트,만원 미만,20,3.9,37.6236045,127.0779443
4,디저트카페바미,서울특별시 노원구 상계로7길 22,카페 / 디저트,만원 미만,22,3.9,37.65792649999999,127.0650899
5,표준커피,서울특별시 노원구 공릉로 119-5 1F,카페 / 디저트,만원 미만,17,3.9,37.6210059,127.0781524
6,비스킷플로어,서울특별시 노원구 동일로180길 61-11,카페 / 디저트,만원 미만,13,3.9,37.6233447,127.0775435
7,이너모스트,서울특별시 노원구 동일로183길 12-14,카페 / 디저트,만원 미만,12,3.9,37.6237838,127.0729762
8,스윗레시피,서울특별시 노원구 한글비석로24길 24 2F,카페 / 디저트,만원 미만,10,3.9,37.6618194,127.0721067
9,오누이,서울특별시 노원구 동일로187길 12-47,카페 / 디저트,만원 미만,14,3.9,37.62459,127.0723759
10,브렉,서울특별시 노원구 동일로193길 14 1F,카페 / 디저트,만원 미만,34,3.8,37.6260239,127.0717305
11,마롱카롱,서울특별시 노원구 동일로186길 54-3 2F,카페 / 디저트,만원 미만,8,3.6,37.6249729,127.0759351
12,후아나,서울특별시 노원구 석계로1길 18,카페 / 디저트,만원 미만,6,3.6,37.6155031,127.0637115
13,무드쉐어,서울특별시 노원구 공릉로 119-23 더하우스 1F,카페 / 디저트,만원 미만,18,3.5,37.6214868,127.0778938
14,시드누아,서울특별시 노원구 상계로 84 큐비스트빌딩 1F,카페 / 디저트,만원 미만,34,3.4,37.6562709,127.0642402
15,메트로폴리스,서울특별시 노원구 동일로178길 11-9 1F,카페 / 디저트,만원 미만,5,3.0,37.621452,127.0750566
16,카페쉔,서울특별시 노원구 동일로184길 52,카페 / 디저트,만원 미만,5,,37.624379,127.076493
17,뽀스뜨레,서울특별시 노원구 공릉로35길 14-25,카페 / 디저트,만원 미만,8,,37.623257,127.0780815
18,플랫커피,서울특별시 노원구 공릉로39길 20,카페 / 디저트,만원 미만,4,,37.6238012,127.0783025
