,가게이름,리뷰아이디,리뷰,맛평가
1,스타벅스,양양,"먹은 거: 오늘의커피(3,800원) 조각케익친절함.매장 청결함.공부하는 사람과 대화하는 사람이 혼재된 분위기.노트북 가능 자리는 대략 30~40석 정도. 보통 자리는 대략 20 테이블 정도?평일에는 점심 시간에 많이 붐비고, 퇴근 시간 이후로 꽤 찬다. 나머지 시간은 널널.주말에는 오후 3,4시 쯤 되면 가득 차는 편.",괜찮다
2,미르,공복이3시간을넘기면안되는사람,"*연남동 구석진 곳에 있는 조용한 원테이블 한식주점*- 맛있는 증류주를 많이 판매하신다- 매주 달라지는 '한입거리'(기본찬)가 나옴- 닭목살구이, 명란계란말이, 한치물회 주문 -> 하나하나 엄청 정성들인 요리들 (물회 국물은 조금 아쉬웠어용 딴건 다 존맛!)- 전좌석 다찌라서 혼술하기도 귯귯- 가끔씩 추가로 서비스안주도 내어주심. 사장님 짱친절!!!!- 가장중요한 가격대 : 다 만원 중반대라 합리적!- 일반 소주는 팔지않음",맛있다
3,배스킨라빈스,영구빵,민트초코가 진릐~~~~~~~~,맛있다
4,할리스커피,GaremaSrivastav,"We took a lemonade from here and it was way too sweet. But what I hear is that sweet drinks here are always made too sweet. Flavour wise, bang on, very tasty! I even liked the cakes they had in display. Will go here again later to try them.",괜찮다
5,스타벅스,SOJANG,"스타벅스 별다방점이라고~조금 특별한 스타벅스라기에 찾아갔다.분위기가 다른 스벅과 완전 달랐다.벽에다 대형 스크린을 쏘아서 커피콩 이야기를 하고,벽난로를 켜고 빵빵하게 에어컨을 돌리는것도 신기했다. 빵 종류도 조금 더 많아서 요기할 것이 있어보였고...창가 인테리어도 조금 더 신경쓴듯 보였다.특별한 곳에 왔으니 오늘은 리저브 커피로다 ㅎ중앙에 앉아서 새로나왔다고 추천해주시는 콜롬비아와 브라질 커피로 주문했는데~콜롬비아 커피는 가격이 나가는 만큼(만원) 과일맛과 또다른 풍성한 이맛저맛~ 화려하고 찬란한 맛이랄까? ㅎ브라질 커피(7천원)는 넛트맛이라고 하셨는데~일반 아메리카노보다는 맛이 확실히 더 풍부했다.두가지 다 맛이 오랫동안 머리속에서 맴돈다 ㅎㅎ주차는 1시간 무료이고, 그다음부턴 30분에 3000원인데주말에는 신세계 이용객이면 5시간까지 무료라고 ㅎ평일이어선지 사람이 많지 않아서 편안했고,모든것에 특별한곳임을 인정 ^^*가끔 사치부리고 싶을때 또 이용할 듯하다.",맛있다
6,스타벅스,루카스,"스타벅스 리뷰는 한번도 써본적이 없지만 명동에 위치한 별다방점은 여기서만 판매하고 있는 메뉴들이 있다고 해서 작성해봅니다. 국내 지점 중 지명, 건물명 이외의 이름이 붙여진 곳은 처음이라고 하네요.샌드위치+샐러드 세트를 먹고싶었는데 평일 1시~2시쯤 방문했더니 이미 품절이었습니다ㅠㅠ 파트너분께서 크로와상을 추천해주셔서 크로와상햄샌드위치, 치킨샐러드 두개 주문했어요.크로와상은 확실히 맛있었습니다! 별다방점에서만 맛볼 수 있다고 해요. 빵은 맛있었는데 홀그레인머스터드를 너무 많이 발라주시는 게 좀 아쉬웠네요ㅠㅠ 자극적이어서 따로 덜어내고 먹었습니다. 샐러드 퀄리티는 좋았어요! 쿠스쿠스와 레드빈의 조화가 좋았고 야채도 전반적으로 신선했습니다. 그레인 치킨 샐러드 추천드려요.디저트로도 마찬가지로 청담점과 별다방점에서만 주문 가능하다는 오!그린피스 주문했습니다. 오그린피스는 시금치 시트(!)에 라임, 그릭요거트가 샌드되어있다는 설명에 주문을 안할 수가 없었어요. 우선 사이즈가 꽤 크고, 맛있습니다! 시금치 맛은 별로 안나요. 너무 단 케잌은 안좋아하는데 너무 달지도 않고 그릭요거트와의 조화가 좋았습니다. 청담점이나 별다방점 방문하시면 꼭 드셔보세요.",맛있다
7,스타벅스,muk_so.o,바질토마토 크림치즈 베이글: 한 때 아침마다 베이글 먹는 습관 때문에 한동안 베이글은 입에도 안 댔는데 스벅 바질토마토 베이글이 그렇게 맛있다고 해서 먹어봤다.음.. 맛있다. 조금 기대했었는데 기대만큼이었다. 또 먹을 생각이다. 바질 토마토 크림치즈다 보니 사실 피자 먹는 맛이다. 피자 베이글 같음. 베이글 자체가 맛있는 건 모르겠지만 안에 속재료가 잘 어울려서 맛있는 것 같다.그리고 무조건 전자렌지에 돌려 드세요. 진짜 피자같아요. 짭짤하고 베이글도 부드러워져요.자몽허니블랙티: 역시 돌고 돌아 자허블로 오는 듯. 스벅은 음료가 새로 나오면 한번씩 먹어 보는 편인데 결국 먹을거 없으면 자허블만 먹어요. 근데 여태 먹은 자허블 중에 제일 맛있었어요. 가끔 자몽의 씁쓸함이 잘 느껴지는 곳이 은근 있는데 여긴 달달하고 쓴맛 잘 안 느껴짐요. 사진은 없음..,맛있다
8,스타벅스,무화과,헬스장 아래 위치해서 종종 갑니다동네 마실방 같은 이미지죠.저한테는 너무 쓰고 진한 맛의 아메리카노라보통 다른 음료를 먹는데요잠깐 누굴 기다릴때는 피지생수를좀 오래 이용할때는 피지오 종류를 먹습니다.공간만 이용하고플 때 먹는 하루한컵 너무 좋아요많이 사면 다 못먹고 버리는방울토마토며 사과가 딱!! 하루분이라합리적인 것 같습니다.블루베리가 들어간 퍼플은 참 찾기 힘드네요 ^^,맛있다
9,스타벅스,백반남자 ,카스테라임맛은달면서촉촉한식감스타벅스는비싼게흠임,맛있다
10,스타벅스,AIROU,재방문 의사 : 있음카페가 넓고 자리 많고 자리 간격이 넓으며 탁 트인 느낌.사람이 많지만 그리 신경쓰이는 수준은 아니다.아이돌 음악을 싫어하는 나로서는 재즈 음악이 나오는 게 맘에 든다.수다 떨기에도 공부하기에도 좋음.,맛있다
11,스타벅스,모이모이짱,장점: 다른 스타벅스보다 천장이 높고 매장의 2면이 유리로 돼있어 답답하지 않다는게 진짜 좋다. 좌석간 간격도 좁은편이 아니라 좋다. 매장은 1층 뿐이지만 넓은편. 오전 일찍 연다. (7시)단점: 그래서 사람들이 엄청 많이 온다.,맛있다
12,빽다방,모이모이짱,"커피가 크고 싼건 좋은데 맛이 없다.. ㅎㅎ 물맛이 많이 나고 커피콩의 탄맛도 많이 난다. 깊은맛으로 즐길순없고 카페인을 채워야할때, 테이크아웃으로 사 갈땐 좋을것 같다. 믹스커피맛 원조냉커피, 옛다방커피, 씨리얼과 견과류가 든 호두크런치, 여자들을위한 무탄산 청포도아이스티, 추억의 오렌지맛 주황색 불량쥬스 등 재밌는 메뉴가 많아서 사람들이 좋아할것 같다.",괜찮다
13,백미당,라물장,"나름 맛있긴 한데 너무 비싸다... 아이스크림은 파스퇴르밀크바보다 좀 아래, 밀크쉐이크는 쉑쉑버거랑 비슷한 정도인데 가격대는 비슷하거나 더 높습니다. 좀만 더 저렴했으면 만족하면서 이용할 거 같은데 아쉽네요. 개인적으로는 아이스크림보다 밀크쉐이크가 더 맛있음!",괜찮다
14,백미당,보나보나,"서울성모에 범산목장이 있다면 은평성모엔 백미당이 있다!아포가토 먹었어요. 진한 우유 아이스크림에 씁쓸한 에스프레소의 조합은 S2가격은 비싸지만,, 가끔 스트레스 왕창 받은 날에 생각날 것 같아용",맛있다
15,스타벅스,AIROU,가게가 상당히 비좁다 ㅠㅠ. 그래도 서비스가 매우 친절해서 기분 좋은 곳.,괜찮다
16,와플대학,모찌모구모구,사람들은 와플대학에 왜 열광할까?시장에서 파는 1000원짜리 (옛날엔 500원) 사과쨈+크림 와플이 그리워지는 맛이다. 크림이 과하다.,괜찮다
17,스타벅스,슬슬슬,"주말 1시쯤 갔을 때, 강가 자리가 쫌 남아 있었어요:)장마 이후에 한강에 갔더니 강물색이 안이뻤지만,그래도 좌석마다 간격이 넓어서 좋았어요:) 새로 나온  커피드로잉말차프라푸치노 먹었는데, 말차 맛은 거의 안나요ㅠㅠ",맛있다
18,스타벅스,muk_so.o,"지나가는 길에 방문했다.자몽허니블랙티/ 요즘에 스벅 가면 거의 자허블을 주로 마신다.이 날도 어김없이 자허블을 찾았다.내가 먹어본 다른 지점과 비교하자면 생각보다 블랙티의 맛이 진했다는 것.보통은 자몽시럽의 맛이 진한데 여긴 비율이 비슷한건지, 자몽맛도 진하지만 블랙티 맛도 진했다.미리 주문하고 가서 다행이었지, 평일 오후였음에도 사람이 정말 많았고 자리가 없을 정도였다.그래서 스벅 안에서 한강은 구경도 못했다 ㅎㅎ한 번 가본 것으로 만족.",괜찮다
19,스타벅스,SOJANG,"한강뷰가 보이는 스타벅스 ^^*다른 스벅보다 빵과 케잌의 종류가 다양하다.크로와상, 그리고 따뜻한 애플파이와 아이스크림을 먹었는데 완전 유럽스타일였다.장소가 꽤 넓었는데 유명세에 걸맞게 사람들이 계속 들어와서 빈자리는 없었다.매장 분위기 좋고 쾌적하고~~한번 와볼만 하다.공영주차장을 이용할 수 있어서 주차도 편리하다.#위드인기맛집",맛있다
20,커피베이,임여사,역시나..저는 사진을 잘 못찍나 보옵니당~^^;; ㅋㅋㅋ날이 더워 커피베이를 들려 ~보니액자가 바뀌었다 오~먼가 또 은은하고 이뿌네영~사진좀 이뿌게 찍어보자!!..역시나 안됨 ㅋㅋ여튼시원한걸 먹고싶어 가지긍 한잔은 슬러쉬타입딸기스무벨라~어쩜 이리 시원하고 딸기맛이 팡팡~딸기뿅뿅은 하도 많이 묵어섭~^^근대도 맛있어영 ㅎㅎ딸기를 유난히 좋아하는거 같아영 ~한숨자고 일어나니 6시43분 오마이갓커피가 땡겨섭~운동겸 또 맛있는 음료를 사묵으러~뭘묵으까...ㅎㅎ아이스카라멜마끼아또 당첨!!gogo~~~룰루랄라~행복한 저녁 보내세용~^^,맛있다
21,할리스커피,취향저격수,빙수 자체를 넘 오랜만에 먹는데 너무 달았다 ㅠㅠ  그리고 갑자기 구구콘 아이스크림 왜들어가잇는데ㅠ.......,별로
22,할리스커피,혜혜,합정역 근처 2~3층을 쓰는 꽤 큰 규모의 할리스. 24시간 하는 것으로 알고 있고 책도 구비되어 있더라구요. 그런데 이용 손님이 정말 많은데.. 의자가 저지경이면 교체를 해주셨으면 좋겠어요ㅠㅠ.. 3층은 모르겠고 2층은 벽면에 붙은 의자가 다 저렇게 까져 있어요.. 앉을곳이 없어서 앉기는 했는데 옷상할까봐 계속 걱정되도라구요..신메뉴 윈터딜라이트-> 연유가 들어가서 그런가 크리미한 맛이 강하고 바닐라 딜라이트보다 달아요. 바닐라딜라이트의 파우더리한 맛보다 크리미한 맛이 더 좋네요.,별로
23,할리스커피,취향저격수,할리스 케이크류는 쿠키&치즈케이크의 등장 전 후로 나뉘는데 그게 무슨뜻이냐면 쿠키치즈 나오기전에 엄청 맛없었고 쿠키치즈 이후의케이키도 맛이가 없어요 그니깐 한마디로 쿠키&치즈케이크만 맛있고 다 별로임ㅎㅎ,별로
24,할리스커피,Mike Kim,Craving dessert after dinner so we headed to Hollys for coffee and cake! There weren't many places open for late night sweets so Hollys was our only option. The affogato was a satisfying treat while the cakes were standard.,맛있다
25,커피베이,임여사,아침부터 빵빠래가 먹고싶다며 ~그~빵또아?그런 아이스크림 먹고싶다는데너무 이른 아침이라 편의점을 가니~ㅋㅋ 내부 공사중 이네요^^;; 한턱 크게 쏠라고 했더니아쉽군CU... ㅋㅋㅋ얻어먹을땐 비싼거 한턱 쏠땐 편의점이죠~ ㅎㅎ사악한가요?아끼는 것입니다^^;;ㅎ ㅎ급할때 쓰려고..그래도 진짜 한턱낼땐 입떡 벌어지게쏩니다~^^ ㅋㅋㅋ앗.. 전 쓰잘데 없는 말이 너무 많아 ..죄송해용 여튼 그리하여 길을 틀어 혹시나 열었나 싶어커피베이를 향했습니다~오!!열었엉~사장님~우와^^주말에 못뵈었는데 이리또 반갑고 ~다른데 들렸다 온다고7시 30분이 넘은 시간이니 당근 열었겠죠~^^다행이다 싶었어요~아이스크림도 못사서 ~난감했는데..딸기뿅뿅   바닐라라떼   두개를 사왔어영~어버이 날이라 못먹은커피~비온뒤라 따땃한것이 땡겨 바닐라라떼주문거품스륵 ~너무 달지않은 바닐라라떼!!딸기뿅뿅이는 ~요거트맛이 살포시 나믄서 시원하고이거이거 한번 사드셔보세요!!여름엔 최고 음료가될듯~사장님꺼서 제가 한쪽은 택배상자 들고 ~한손은 커피들고 두손쓰기 힘들어 보였나 보아요 갈때 문도 열어주시고너무 친절해~고맙습니당~^^어린이날 어버이날 모두 고생 하셨어영~비온뒤라 ~공기가 세상맑은거 같아영^^건강하시공 오늘도 홧팅!!맛있는거 많이 드시고 행복한 하루 되세요!!!진짜 사진을 이뿌게 찍어 올리고 싶은데..^^;;재능이 없는가 보옵니다^^ ㅎㅎ이해바래요~,맛있다
26,커피베이,임여사,아부지랑 먹으려고 굶어서~심하게 허기가 져서..^^;;아부지가 배신하셨어영 혼자 드시고 오다뉘..그래서 저는딸기 컵빙수랑 까페모카 두개 사들고!!저혼자다 묵었어영 ㅋㅋㅋ욕심쟁이 우후훗~둘다 먹고 싶잖아영~안그래도 더웠는데~^^배도 고프고 그래성두개 주문^^아이쿠 맛있엉~♡너무 맛있어섭~행복했어요!!모카 좋아하는데과하지 않은 이 부드러운맛딸기 컵빙수~요거요거 여름에 핫하꺼 같은데영크림이 많아서 저는 앞으론 패쑤 할게영~^^;;전 딸기뿅뿅이가 더 맛있는거 같아영크림 많이 들어간걸 별루 조아하지 않아서  여튼 역시나 이쁩니다~사진을요리조리 이쁘게 찍었는데 아글씨..영상모드였지몬가요...ㅜㅜ사진은 없고 오데갔는지..힝..망고에도 영상올리기 있었으면 좋겠네영~^^오늘도 맛있게 잘 먹었습니다^^여기 사장님 친절 하세요 (속닥속닥) 만드는데 시간은 걸리니 진득하니 앉아서기다리세영~이뿌게 만들려면 집중 하셔야 되영 ㅎㅎ#커피베이  빙수야~컵빙수야~사랑해 사랑해,맛있다
