,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,광화문더덕순대,서울특별시 종로구 새문안로5길 10,탕 / 찌개 / 전골,만원 미만,10,4.3
1,화목순대국전문,서울특별시 종로구 새문안로5길 11,탕 / 찌개 / 전골,만원 미만,20,4.2
2,만나분식,서울특별시 종로구 필운대로1길 4,기타 한식,만원 미만,5,4.0
3,종로도담,서울특별시 종로구 삼봉로 78,한정식 / 백반 / 정통 한식,만원 미만,5,4.0
4,매일분식,서울특별시 종로구 새문안로5가길 5,기타 한식,만원 미만,8,4.0
5,대한순두부막걸리살롱,서울특별시 종로구 새문안로5길 13 B1,탕 / 찌개 / 전골,만원 미만,7,4.0
6,미진,서울특별시 종로구 종로 19 르메이에르종로타운 1F,국수 / 면 요리,만원 미만,65,3.9
7,모던김밥,서울특별시 종로구 자하문로2길 10,기타 한식,만원 미만,16,3.9
8,청담동마녀김밥,서울특별시 종로구 새문안로 105,기타 한식,만원 미만,6,3.9
9,부산집,서울특별시 종로구 사직로 133-8,국수 / 면 요리,만원 미만,5,3.8
10,봉평막국수,서울특별시 종로구 필운대로 6,국수 / 면 요리,만원 미만,25,3.7
11,종로빈대떡,서울특별시 종로구 세종대로23길 21,기타 한식,만원 미만,9,3.7
12,광화문집,서울특별시 종로구 새문안로5길 12,탕 / 찌개 / 전골,만원 미만,20,3.5
13,로라방앗간,서울특별시 종로구 종로3길 17 D타워,기타 한식,만원 미만,14,3.5
14,광화문미진별관,서울특별시 종로구 종로 19 르메이에르종로타운 1F,국수 / 면 요리,만원 미만,9,3.2
15,깡장집,서울특별시 종로구 새문안로5길 19,탕 / 찌개 / 전골,만원 미만,10,
16,옛날원조할머니떡볶이,서울특별시 종로구 자하문로15길 11,기타 한식,만원 미만,6,
17,도시락카페통,서울특별시 종로구 자하문로15길 18,기타 한식,만원 미만,5,
18,빌라드스파이시,서울특별시 종로구 종로3길 17 3F 308호,기타 한식,만원 미만,4,
19,경성치킨,서울특별시 종로구 율곡로4길 5,닭 / 오리 요리,만원 미만,5,
20,이모네감자탕,서울특별시 종로구 새문안로9길 29-3 삼환빌딩 1F,탕 / 찌개 / 전골,만원 미만,5,
21,교동전선생,서울특별시 종로구 삼봉로 62,한정식 / 백반 / 정통 한식,만원 미만,2,
22,송백부대찌개,서울특별시 종로구 새문안로5길 37 도렴빌딩 B1,탕 / 찌개 / 전골,만원 미만,11,
23,크레이지후라이,서울특별시 종로구 종로1길 50 케이트윈타워 B1,기타 한식,만원 미만,3,
24,흥진옥,서울특별시 종로구 종로5길 19-12,탕 / 찌개 / 전골,만원 미만,2,
25,비어할레,서울특별시 종로구 새문안로5길 19,기타 한식,만원 미만,3,
26,덕담,서울특별시 종로구 새문안로 92 오피시아빌딩 B1,한정식 / 백반 / 정통 한식,만원 미만,3,
27,나주소나주곰탕,서울특별시 종로구 자하문로2길 8,탕 / 찌개 / 전골,만원 미만,1,
28,허니즉석떡볶이,서울특별시 종로구 새문안로 103-1,기타 한식,만원 미만,5,
29,풍년옥,서울특별시 종로구 새문안로7길 26,탕 / 찌개 / 전골,만원 미만,7,
30,무교원원대구탕,서울특별시 종로구 새문안로3길 30 B1,탕 / 찌개 / 전골,만원 미만,2,
31,삼백집,서울특별시 종로구 사직로 133-3,탕 / 찌개 / 전골,만원 미만,6,
32,바지락칼국수,서울특별시 종로구 종로 22 인주빌딩,국수 / 면 요리,만원 미만,4,
33,통인전통기름떡볶기집,서울특별시 종로구 자하문로15길 18,기타 한식,만원 미만,2,
34,활짝핀메밀,서울특별시 종로구 자하문로 38,국수 / 면 요리,만원 미만,2,
35,통영굴밥,서울특별시 종로구 사직로 130 적선현대빌딩 지하상가,탕 / 찌개 / 전골,만원 미만,1,
36,만석꾼,서울특별시 종로구 사직로 133-10,한정식 / 백반 / 정통 한식,만원 미만,1,
37,빵튀,서울특별시 종로구 세종대로23길 54 세종빌딩 B1,기타 한식,만원 미만,3,
38,문화수제비,서울특별시 종로구 새문안로5길 19 B1,국수 / 면 요리,만원 미만,1,
39,용금옥,서울특별시 종로구 자하문로 41-2,탕 / 찌개 / 전골,만원 미만,3,
40,스노우폭스,서울특별시 중구 세종대로 136 B1,기타 한식,만원 미만,4,
41,모랑,서울특별시 종로구 새문안로 92,한정식 / 백반 / 정통 한식,만원 미만,5,
42,우동한닢,서울특별시 종로구 종로 19 르메이에르종로타운,기타 한식,만원 미만,2,
43,오양식관,서울특별시 중구 세종대로21길 49 오양수산빌딩,한정식 / 백반 / 정통 한식,만원 미만,3,
44,비오비플러스,서울특별시 종로구 새문안로5가길 28,한정식 / 백반 / 정통 한식,만원 미만,2,
45,리김밥,서울특별시 종로구 종로3길 17,기타 한식,만원 미만,2,
46,완산골명가,서울특별시 종로구 새문안로5가길 32,탕 / 찌개 / 전골,만원 미만,3,
47,광화문닭곰탕,서울특별시 종로구 새문안로 92 광화문오피시아,탕 / 찌개 / 전골,만원 미만,2,
48,서평옥,서울특별시 종로구 종로1길 42,탕 / 찌개 / 전골,만원 미만,1,
49,무궁화다섯,서울특별시 종로구 새문안로5길 13 변호사회관상가,한정식 / 백반 / 정통 한식,만원 미만,4,
50,바르다김선생,서울특별시 종로구 사직로8길 42,기타 한식,만원 미만,3,
51,종로맹버칼,서울특별시 종로구 종로5길 68 석탄회관 B1,국수 / 면 요리,만원 미만,1,
52,비원,서울특별시 종로구 청계천로 1 동아미디어센터 B1,한정식 / 백반 / 정통 한식,만원 미만,2,
53,나주소나주곰탕,서울특별시 종로구 새문안로 87-1,탕 / 찌개 / 전골,만원 미만,2,
54,대복집,서울특별시 종로구 사직로 137-9,탕 / 찌개 / 전골,만원 미만,1,
55,선미원,서울특별시 종로구 종로 14 한국무역보험공사 B1,한정식 / 백반 / 정통 한식,만원 미만,1,
56,궁돈까스,서울특별시 종로구 자하문로2길 17-2,기타 한식,만원 미만,1,
57,황금정,서울특별시 종로구 새문안로5가길 5,한정식 / 백반 / 정통 한식,만원 미만,2,
58,훈이네밥상,서울특별시 종로구 세종대로23길 54 세종빌딩 B1,한정식 / 백반 / 정통 한식,만원 미만,2,
59,명동할머니국수,서울특별시 종로구 무교로 39 참바른메디컬센터 1F,국수 / 면 요리,만원 미만,2,
60,김명자굴국밥,서울특별시 종로구 새문안로5길 19 로얄빌딩 B1,탕 / 찌개 / 전골,만원 미만,2,
61,육대장,서울특별시 종로구 새문안로5길 8-1,탕 / 찌개 / 전골,만원 미만,3,
62,경양식1985,서울특별시 종로구 종로 1 교보문고 B1,기타 한식,만원 미만,1,
63,오징어와불고기,서울특별시 종로구 삼봉로 81 두산위브파빌리온,해산물 요리,만원 미만,1,
64,전통남원추어탕,서울특별시 종로구 새문안로7길 18,탕 / 찌개 / 전골,만원 미만,1,
65,진이민이돈가스,서울특별시 종로구 새문안로3길 30 B1,기타 한식,만원 미만,1,
66,골목집김치찌개,서울특별시 종로구 새문안로5길 5-27,탕 / 찌개 / 전골,만원 미만,1,
67,김명자굴국밥,서울특별시 종로구 종로5길 76 목은관빌딩 B1,탕 / 찌개 / 전골,만원 미만,2,
68,한성옥,서울특별시 종로구 삼봉로 42-1,탕 / 찌개 / 전골,만원 미만,1,
69,토속집,서울특별시 종로구 종로1길 42 이마빌딩 B1,한정식 / 백반 / 정통 한식,만원 미만,1,
70,남도밥상,서울특별시 종로구 새문안로5가길 28 광화문 플래티넘 B1,한정식 / 백반 / 정통 한식,만원 미만,1,
71,국시방,서울특별시 종로구 새문안로5길 13,국수 / 면 요리,만원 미만,1,
72,김밥을맛있게먹는법,서울특별시 종로구 새문안로5길 12,기타 한식,만원 미만,1,
73,정국시랑,서울특별시 종로구 삼봉로 60,국수 / 면 요리,만원 미만,1,
74,로얄김밥,서울특별시 종로구 새문안로5길 19,기타 한식,만원 미만,1,
75,광화문국밥,서울특별시 종로구 새문안로3길 30,탕 / 찌개 / 전골,만원 미만,1,
76,양반댁,서울특별시 종로구 새문안로5길 37 도렴빌딩,한정식 / 백반 / 정통 한식,만원 미만,3,
77,광화문수제비,서울특별시 종로구 새문안로 92 오피시아빌딩,국수 / 면 요리,만원 미만,1,
78,모려,서울특별시 종로구 새문안로3길 30 B1,탕 / 찌개 / 전골,만원 미만,2,
79,소반,서울특별시 종로구 새문안로5길 37 B1,한정식 / 백반 / 정통 한식,만원 미만,1,
80,이두부야,서울특별시 종로구 자하문로 18 1F,한정식 / 백반 / 정통 한식,만원 미만,1,
81,오두막,서울특별시 종로구 새문안로7길 16,한정식 / 백반 / 정통 한식,만원 미만,1,
82,통영멸치국수,서울특별시 종로구 새문안로5길 37,국수 / 면 요리,만원 미만,1,
