,가게이름,리뷰,맛평가
0,광화문더덕순대,음 솔직히 양은 좀 아쉬워요. 밥도 뭔가 주다 만 느낌ㅋㅋㅋㅋ근데 억울하지만 맛있게 먹었다;; 그래서 양 적은 게 아쉬운 듯ㅋㅋㅋ진한 국물맛에 밥 안 말 수가 없다. 쌀밥 기피하는 내가 밥 한공기 다 먹게 하는 국밥집은 무조건 맛있다 준다! 더덕이 든 순대는 더덕향이 난다기보단 더덕의 식감과 맛이 조금 나는데 이게 킥인건가... 아주 잘게 잘려서 들어있는데 왜 보통 순대보다 맛있는지 모르겠다.그냥 먹어도 맛있고 부추와 청양고추까지 넣고 먹어도 맛있다.  다만 지하에 있는 노포라 그런지 돼지누린내도 좀 나서 돼지냄새 못 맡는 사람은 안 데려가는 게...,맛있다
1,광화문더덕순대,서빙할때부터 순대국에 간이 어느정도 된채로 나오는거같다 국물이 맑은거 같으면서 구수하다 맛있다 깍두기랑 다대기가 맛있는 집인거같다 누군가한테는 원픽인 순대국 맛집일거 같다는 생각~,맛있다
2,광화문더덕순대,"순대국 8000.코로나 덕분인지 2시 조금 지났는데 받아주시네요. 부속고기가 잘게 썰어져 있어 밥 말아먹기 좋네요. 더덕이 어디있는지는 잘모르겠지만, 고기양이 상당히 푸짐하게  느껴지네요. 정구지, 들깨, 새우젓, 다데기, 청양고추를 조금씩 넣고, 뜨끈한 국물을 목으로 넘기니 행복하네요. 푸짐한 깍두기가 식욕을 돋구네요.",맛있다
3,광화문더덕순대,굿b,맛있다
4,광화문더덕순대,"맛과 질      : 35/40  가격/가성비: 17/20 위생/서비스: 15/20위치/분위기: 7/10개성          : 7/10총점       81/100 재방문 : YES주문메뉴 : 야채순대, 순대국밥광화문 인근 직장인부터 아재들에게 사랑받는 식당이 아닐까요?? 식당 분위기 부터 팍!!!입구로 들어서자마자 반지하인듯 계단을 내려가면 식당내부가 보여요~초저녁 이른시간에 방문했는데...벌써부터 몇테이블은 이미 초록병이 즐비하네요^^ 개인적으로 돼지누린내 같은걸 못참아서 순대는 모듬대신 야채순대 한접시를 주문했구요~ 순대국은 일반으로 주문해서 속에 들어있는 부속고기를 맛보려했어요.찹쌀을 기본베이스로 다진 야채들과 중간중간 들깨가 씹히는듯하고, 선지도 적당히 들어서 부담스럽지 않고 깔끔한맛이 좋았어요.부드러우면서 은은하게 입안 가득 퍼지는 단맛과 고소함이 참 매력있네요. 더덕의 맛과 향이 느껴질 정도는 아니였는데...알고보니 예전엔 더덕을 많이 넣었으나 시간이 지남에 따라 더덕맛이 쉬거나 잘못된줄 아는 손님들이 많다보니 더덕양을 줄였다고 말씀하시더군요. 어찌보면 손님들의 피드백을 반영하여 현재의 결과물이 되었겠지만, 한편으론 예전의 순대가 궁금해 지기도 하네요^^;;소금이나 새우젓과 함께 먹으니 더욱 꿀맛!!순대국의 국물은 꽤 맑고 담백합니다. 자극적이지 않으면서 슴슴하니 좋더라구요.부속고기도 부들부들 촉촉한편이고, 누린내에 민감한 저에게 부담없이 깔끔했어요.술 좋아하는 친구들과 함께 식사도하면서 가볍게 한잔하기 좋겠어요.매장의 전체적 느낌이 그리 깨끗한 분위기는 아니라서 약간의 호불호는 있을거 같네요.",맛있다
5,광화문더덕순대,"특색있는 순대에 깊은 국물, 접근성까지<광화문더덕순대>. 광화문에 있는 더덕 순대 집이다. 보통/8000 순대국은 꽤 훌륭하다. 풍부한 돈사골에 고기 많고 순대특색있다. 준비되는 부추와 청양고추, 양념과 새우젓모두 좋다.‘순대에 정말 더덕이 들어가요?’ 물으니, 원래는 더덕을 많이 넣었는데, 더덕의 향을 상한 것이라 오인하는 손님이 많아 현재는 양배추가 주를 이루는 순대라 안내해주셨다. 순대를 먹으면 더덕의 쌉쌀한 향이 스치고 적당한 질감으로 씹히는데 나는 아주 좋았다. 맑은 순대국을 좋아하는 취향에 꼭 맞고, 위치도 느낌도 좋은데 당분간 재방문의사는 없다  첫째는 포장불가 때문. 원래 포장을 하지 않기에, 포장은 불가능하다고 한다.야채순대의 포장도 불가하다 하니 아쉬운 마음이 커질 뿐  둘째로는 위생, 식사 중 주방을 봐 버렸다. 모르고는먹지만 아른거리는 그 찌든 때 얼룩에....위생이 중요한 분께는 추천하지 않는다. *정식은 저녁, 2인이상만 가능*포장불가",맛있다
6,광화문더덕순대,순대 특이함,괜찮다
7,광화문더덕순대,"한줄평: 순대정식 한상에 미소짓는 나9,000원. 요즘, 특히 서울에선 만원 언더로 푸짐한 한상 먹기는 정말 어렵다. 특히 그 위치가 서울 한복판, 이순신 장군이 지키고있는 광화문이라면 더더욱. 하지만 이곳 광화문 더덕순다에서는 만원 언더로 정말 알찬 한끼, 그리고 술상을 맛볼 수 있다.- 순대정식 (9,000원)일반 순대국과 무엇이 다른지 말하자면, 정식은 순대국에 순대와 머릿고기 추가로 한접시 나온다. 순대국 대비 천원 비쌀뿐인데 그 푸짐함이 주는 만족감은 어마무시하다. 잘익은 깍두기는 순대국을 온전히 즐기기엔 더할나위없고, 양파, 고추도 쉴새없이 리필된다.요즘같이 추워진 겨울 언저리에 뜨끈하게 한그릇 즐기기에 제격인 순대국밥집.",맛있다
8,광화문더덕순대,진한 돈사골 국물에 잡내 하나 없는 부속고기들의 조화.광화문 순대국의 양대산맥. '13년에 광화문에서 일할 땐 맞은편 화목순대국밖에 몰랐는데 이렇게 훌륭한 순대국집이 있었다니.화목이 뻘건 국물에 살짝 돼지냄새가 나는 야성적인 맛이라면 이곳 더덕순대는 하얀 국물에 돼지냄새 다 잡은 차분한 맛이다.물론 돈사골 국물은 진~~~하다. 허나 자극적인 느낌보다 구수하면서 담백한 느낌이다.부속고기에는 간 허파 오소리감투 귀 등등이 들어가는데 정말 잡내 하나 없다. 재료 자체도 좋은데 관리도 그렇고 손질을 아주 잘하시는 듯. 보통 순대국 먹으면 부속고기 조금은 남기는 편인데 하나도 안 남기고 싹다 먹었다.아무것도 안 넣고 먹어도 기본 간이 되어 있어서 괜찮지만 부추 청양고추 들깨가루 살짝 넣고 새우젓으로 간 조금 해서 먹으니 꿀맛이네.아참.. 이곳은 순대국도 좋지만 야채순대도 아주 훌륭하다.가게 상호답게 더덕이 들어갔고 감자 양파 당근 고추 양배추 등이 들어간다함. 선지도 과하지 않게 적당해서 순대에서도 잡내나 꾸릿한 냄새는 거의 안 남. 정말 담백 고소한 맛인데 겉을 감싸는 돼지 곱창의 타이트한 식감도 좋다. 이곳 접시 순대는 킥이 있는데 바로 참깨. 순대 위에 볶은 참깨가 솔솔 뿌려져 있는데 이 참깨가 순대의 고소한 맛을 확 끌어올려준다. 입 안에서 톡 터지는 식감도 좋고.오랜만에 정말 맛있는 순대와 순대국을 먹은듯.가게 내부에 사진? 들이 많이 붙어 있는데 가게에 대한 각종 블로그 칭찬 글들을 가게 사장님이 프린트해서 붙여놓으신 것. ㅋㅋ 블로그 글들 하나하나에 감사하다는 코멘트도 다시고.. 재밌는 컨셉. ㅋ화목순대국과는 다른 스타일로 광화문 순대국 양대산맥을 지키는 집.,맛있다
9,광화문더덕순대,"광화문 최애 순대국! 더덕순대.몇 년 전에 근처에서 연주를 보고 엄청나게 배고픈 상태로 방문했었어요. 그 때 시킨 순대국은 정말 천상의 기억. 이번엔 접시 순대가 대박이네요.순대국은 뜨끈한 뚝배기에 부추 넣어서 먹으면 크.. 왜 주위 테이블에서 다들 소주를 시켜먹는지 아실 거에요! 건더기도 많고 하얀 비주얼만큼 맑은 맛이 좋아요. 체인 순대국과 비교하면 확실히 달라요. 오랜만에 먹으니 제 예전 기억보다는 더 가벼워진 느낌이긴  함.야채 순대는 안에 야채가 들어있는 비주얼이 탐스러워요. 야채가 중간중간 씹히는 느낌도 좋고 냄새 없이 고소한 맛도 대 만 족순대 집에서 새우젓이 별로면 흥미 훅 떨어지는데, 젓갈이나 반찬류도 괜찮은 편.더덕 잘 안먹는 저도 느끼지 못할 만큼 더덕의 존재는 미미해요. 빨갛고 자극적인 국물이 당길 때도 있지만, 먹으면 몸이 녹고 속이 따뜻해지는 맛이 더 기분 좋게 느껴져요. 그래서 최애라고 표현! 남자 사장님이 주방 계실 때가 더 맛있었던 건 기분탓일까,, 싶네요. 참고: 지하 식당에서 느껴지는 쿰쿰함과 깔끔하다곤 할 수 없는 매장insta: @hhhynie",맛있다
